District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Vijayapur,Sindagi PS,0116/2020,1,2020,4,2020-04-26 01:30:00.000,2020-04-26 03:00:00.000,2020-04-29 17:30:00.000,29/04/2020,Non Heinous,Undetected,Others, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,16.991585,76.280474,"IPC 1860 U/s: 427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",S H HOSAMANI   (PSI),2187933,,179200017,"In Mangalur Sarve Indi Shakha Kaluve No 13, In Mangalur Sarve Indi Shakha Kaluve No 13",Eastern North  10 KM From PS,BEAT NO 21,MANGALUR,0,1,0,0,0,0,0,0,0,0,0,0,2020000172,1510,10447151020200116,-1
Bengaluru City,Channammanakere Achu Kattu PS,0321/2016,1,2016,12,2016-12-04 16:00:00.000,2016-12-05 06:00:00.000,2016-12-17 14:00:00.000,17/12/2016,Non Heinous,False Case,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,12.459851568,77.258963411,"IPC 1860 U/s: 427 Karnataka Prevention of Damage to Public Property Act, 1984 U/s: 3 ",KUMAR SWAMY S P   (PI),50999,,137600090,"KATHRAGUPPE CIRCLE,, KATHRAGUPPE CIRCLE,",1,4,KATRIGUPPE,0,0,0,0,0,0,4,0,0,0,0,0,2016000360,1797,10443179720160321,-1
Bengaluru City,Konanakunte PS,0060/2020,1,2020,2,2020-02-12 00:00:00.000,2020-02-12 23:32:00.000,2020-02-27 18:30:00.000,27/02/2020,Non Heinous,False Case,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,12.85607,77.582594,"IPC 1860 U/s: 431 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3(2) ",VINAY K L   (PSI),2841006,,136800116,"In Front of No.405/2, Pavamananagara, In Front of No.405/2, Pavamananagara",3.5 KM Towards South East,BEAT 23,PAVAMAN NAGAR,1,0,0,0,0,0,1,0,0,0,0,0,2020000075,2202,10443220220200060,-1
Bengaluru City,Cubbon Park PS,0005/2020,1,2020,1,2020-01-13 00:00:00.000,2020-01-14 10:00:00.000,2020-01-14 11:30:00.000,14/01/2020,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,12.974766,77.60655,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2 ",MADESHA M   (PSI),2480234.0,,91900479,"No.10, 11 and 80, No.10, 11 and 80",500 Mtrs towards East of this PS,BEAT 1,M.G Road,0,0,0,0,0,0,1,0,0,0,0,0,2020000005,1398,10443139820200005,-1
Udupi,Hiriadka PS,0028/2019,1,2019,5,2019-05-12 17:30:00.000,2019-05-13 08:30:00.000,2019-05-13 19:00:00.000,13/05/2019,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,13.347741,74.888221,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 IPC 1860 U/s: 427,447 ",IRANNA SHIRAGUMPI   (PSI),2860986,,44700198,"survey no 303P1, survey no 303P1",8 KM NORTH EAST,BEAT 3,PERDOOR,1,0,0,0,0,0,0,0,0,0,0,0,2019000129,1210,10469121020190028,-1
Davanagere,Honnali PS,0228/2020,1,2020,12,2020-12-11 18:40:00.000,2020-12-11 18:41:00.000,2020-12-12 18:00:00.000,12/12/2020,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,14.239974,75.650223,"IPC 1860 U/s: 427 PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",BASAVARAJ BIRADAR   (PSI),2802593,,152600086,"NEAR HONNALI POLICE STATION DEVANAYAKANAHALLI, NEAR HONNALI POLICE STATION DEVANAYAKANAHALLI",300 MEETER TO EAST,VILLAGE BEAT 01,HONNALI,1,0,0,0,0,0,1,0,0,0,0,0,2020000392,1526,10438152620200228,-1
Bengaluru City,Kengeri PS,0046/2018,1,2018,2,2018-02-11 23:30:00.000,2018-02-11 23:45:00.000,2018-02-12 12:45:00.000,12/02/2018,Non Heinous,Pending Trial,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,12.908635,77.478454,"IPC 1860 U/s: 34,427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",VENKATESHAMURTHY H   (PSI),753902,,137600016,"Opp Renuka Bar, Mysore Road, Opp Renuka Bar, Mysore Road",Towards West 0.3 km,8th BEAT,Nagadevanahalli,1,0,0,0,0,0,3,3,0,3,2,0,2018000055,1423,10443142320180046,-1
Bengaluru City,Beguru PS,0044/2022,1,2022,2,2022-02-07 15:00:00.000,2022-02-07 15:20:00.000,2022-02-10 11:45:00.000,10/02/2022,Non Heinous,Pending Trial,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,12.893428,77.629269,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 IPC 1860 U/s: 431 ",Manjunath Barki Goneppa  (PSI),2841285,,219700001,"BEGURU LAKE ROAD,, BEGURU LAKE ROAD,",TOWARDS EAST 1 KM,others,others,0,0,0,0,0,0,1,1,0,1,1,0,2022000050,2194,10443219420220044,-1
Bengaluru City,Byatarayanapura  PS,0002/2021,1,2021,1,2021-01-02 15:20:00.000,2021-01-02 15:30:00.000,2021-01-02 17:30:00.000,02/01/2021,Non Heinous,Pending Trial,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,12.9568,77.5387,"IPC 1860 U/s: 427,506,34 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",SANJEEV MEGHANATH NAYAK (PSI),2925582.0,,141800138,"Near LDS Provision Store,1st Mai Road, 4th Cross, Near LDS Provision Store,1st Mai Road, 4th Cross",1 KM Towards North.,Beat 6,ATHMAJYOTHI NAGAR,1,0,0,0,0,0,2,3,0,3,4,0,2021000003,1418,10443141820210002,-1
Bagalkot,Bagalkot Town PS,0091/2017,1,2017,9,2017-09-18 14:20:00.000,2017-09-18 14:21:00.000,2017-09-18 15:30:00.000,18/09/2017,Non Heinous,Convicted,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,16.172535,75.655721,"IPC 1860 U/s: 353,336,341,427,504,34 Karnataka Prevention of Damage to Public Property Act, 1984 U/s: 3 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) IPC 1860 U/s: 109,149,148,147,143 ",RENUKA  HALLI (PSI),1333648,,123300001,"Bagalkot Kanchana Bar APMC and Daddannavar Cross, Bagalkot Kanchana Bar APMC and Daddannavar Cross",Towards South 1.5 KM from ps,TOWN BEAT NO 2,ARAVIND LIMBAVALI HOUSE,0,0,0,0,0,0,0,7,0,7,7,7,2017000106,1236,10470123620170091,-1
