District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Mandya,Halagur PS,0021/2023,1,2023,2,2023-02-15 08:30:00.000,2023-02-15 08:35:00.000,2023-02-15 12:30:00.000,15/02/2023,Non Heinous,Pending Trial,Others,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,12.407668,77.249565,"ARMS ACT, 1959 U/s: 3,25 WILD LIFE (PROTECTION) ACT, 1972 U/s: 9,27,29,31,50,51,2(16)(35) ",Mahendra B   (PSI),1923049,,112100028,"Byadarahalli limits Gollanahadi Forest Area, Byadarahalli limits Gollanahadi Forest Area",08  km towards south,New Beat No 15,H Basapura village,0,0,0,0,0,0,0,1,0,1,1,0,2023000023,876,10458087620230021,-1
Bengaluru City,Vishveshwarapuram PS,0012/2020,1,2020,2,2020-02-07 07:30:00.000,2020-02-07 07:40:00.000,2020-02-07 10:15:00.000,07/02/2020,Non Heinous,Undetected,Written,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,12.9602853260431,77.5726168164569,"ARMS ACT, 1959 U/s: 27,25 ",MIRZA ALI RAJA   (PI),1966730,,179600038,"BEHIND BURNING WARD, BEHIND BURNING WARD",1 KM TOWARDS NORTH,BEAT 28,VICTORIYA HOSPITAL OLD OPD,1,0,0,0,0,0,0,0,0,0,0,0,2020000013,1365,10443136520200012,0
Kolar,Kolar Town PS,0144/2023,1,2023,8,2023-08-16 08:30:00.000,2023-08-16 08:45:00.000,2023-08-16 09:15:00.000,16/08/2023,Non Heinous,Pending Trial,Written,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,13.129005,78.162324,"IPC 1860 U/s: 341,504,506 ARMS ACT, 1959 U/s: 25,7 ",HEMALATHA D   (WPSI),1280231,,80500042,"Opp. Yallamma Temple P.C. Extention, Opp. Yallamma Temple P.C. Extention",2 Km South to the ps,3,P.C.Extention,0,0,0,0,0,0,1,0,0,0,1,0,2023000241,805,10457080520230144,-1
Bengaluru City,H.A.L. PS,0669/2023,1,2023,10,2023-10-05 02:30:00.000,2023-10-05 03:10:00.000,2023-10-05 03:10:00.000,05/10/2023,Non Heinous,Under Investigation,Sue-moto by Police,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,12.964241,77.680117,"IPC 1860 U/s: 34 ARMS ACT, 1959 U/s: 25 ",RAMAKRISHNA  CHINMADLI (PSI),2568486,,138100124,"RAMESH NAGAR MAIN ROAD, RAMESH NAGAR MAIN ROAD",1KM TOWARDS WEST,BEAT 1,ANNASANDRA PALYA,0,0,0,0,0,0,2,0,0,0,0,0,2023000792,1416,10443141620230669,0
Chamarajanagar,Kollegala Rural  PS,0309/2019,1,2019,12,2019-12-29 05:30:00.000,2019-12-29 05:45:00.000,2019-12-29 08:15:00.000,29/12/2019,Non Heinous,Pending Trial,Sue-moto by Police,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,12.137503,77.006646,"ARMS ACT, 1959 U/s: 3,25 ",Ashoka V.C   (PSI),2289456,,191200002,"Near  Sanishwra Temple  Silkalpura Village, Near  Sanishwra Temple  Silkalpura Village",16 KMS Towrds West,No,Silkalpura,0,0,0,0,0,0,2,0,0,0,1,0,2019000388,1129,10467112920190309,-1
Dakshina Kannada,Kadaba PS,0020/2021,1,2021,3,2021-03-12 23:30:00.000,2021-03-13 00:30:00.000,2021-03-13 03:00:00.000,13/03/2021,Non Heinous,Convicted,Sue-moto by Police,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,12.791159,75.32309,"ARMS ACT, 1959 U/s: 30 ",ABHINANDANA M S   (PSI),2995095,,45500054,"Golithady Junction, Golithady Junction",West Side From PS 20 KM,BEAT 5,RAMAKUNJA,0,0,0,0,0,0,1,1,0,1,1,1,2021000025,1065,10463106520210020,-1
Uttara Kannada,Joida PS,0013/2021,1,2021,3,2021-03-13 18:15:00.000,2021-03-13 18:16:00.000,2021-03-13 20:55:00.000,13/03/2021,Non Heinous,Pending Trial,Sue-moto by Police,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,15.005473,74.551619,"INDIAN ARMS ACT, 1959 U/s: 3,25 ",KASTURI SIDALINGA KUKANUR (WPSI),3180263,,91900799,"Near Mahalemane Keri, Shivapura, Near Mahalemane Keri, Shivapura",45 Kms towards west from PS,BEAT 4,ULAVI,0,0,0,0,0,0,1,1,0,1,1,0,2021000021,1370,10460137020210013,-1
Bengaluru City,Kumaraswamy Layout PS,0068/2023,1,2023,3,2023-03-02 21:30:00.000,2023-03-02 21:45:00.000,2023-03-02 22:00:00.000,02/03/2023,Non Heinous,Pending Trial,Written,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,12.895561,77.559174,"ARMS ACT, 1959 U/s: 25-1(B) (b) ",VENKATARAMAIAH V D   (ASI),1214602,,142200022,"Near Abdul Kalam Park , Bikasipur, Near Abdul Kalam Park , Bikasipur",1.5km Towards South,Beat 18,Bikasipura,1,0,0,0,0,0,1,1,0,1,1,0,2023000084,1378,10443137820230068,0
Shivamogga,Hosanagara PS,0085/2020,1,2020,11,2020-11-05 11:00:00.000,2020-11-05 11:05:00.000,2020-11-05 14:15:00.000,05/11/2020,Non Heinous,Pending Trial,Sue-moto by Police,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,13.87152,75.141202,"INDIAN ARMS ACT, 1959 U/s: 3,25 ",D SURESH   (ASI),1179022,,102000024,"Accused Virupaksha's Crib in Kolagi Village,, Accused Virupaksha's Crib in Kolagi Village,",Towards 18 km South From PS,NEW BEAT 09,Sonale,0,0,0,0,0,0,1,1,0,1,1,0,2020000166,1745,10462174520200085,-1
Chikkamagaluru,Mallanduru PS,0037/2022,1,2022,7,2022-07-16 16:00:00.000,2022-07-16 16:30:00.000,2022-07-16 18:15:00.000,16/07/2022,Non Heinous,Pending Trial,Written,ARMS ACT  1959,Country Made - Non-Prohibited Bore - In Other Area,13.392897,75.654418,"INDIAN ARMS ACT, 1959 U/s: 3,25 ",Ravisa   (PSI),2423143.0,,44700222,"Kelaholadagadde Village, Kelaholadagadde Village",10 Km Towards East,Beat No 7,Shiravase,0,0,0,0,0,0,1,1,0,1,1,0,2022000063,1891,10448189120220037,-1
