District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Chickballapura,Manchenalli PS,0196/2023,1,2023,10,2023-10-08 03:45:00.000,2023-10-08 03:50:00.000,2023-10-10 22:15:00.000,10/10/2023,Non Heinous,Pending Trial,Written,Attempting to commit offences,Attempting to commit offences,13.500285,77.602267,"IPC 1860 U/s: 511,427,379,34,447 ",MANJUNATHA.M.   (ASI),1402836,,82800015,"Gollahalli Village Manchenahalli Hobli, Gollahalli Village Manchenahalli Hobli",06Kms from PS,9,KALLINAYAKANAHALLI,1,0,0,0,0,0,1,1,0,1,1,0,2023000246,838,10976083820230196,-1
Tumakuru,Koratagere PS,0065/2020,1,2020,4,2020-04-02 21:00:00.000,2020-04-02 22:00:00.000,2020-04-04 15:20:00.000,04/04/2020,Non Heinous,False Case,Written,Attempting to commit offences,Attempting to commit offences,13.496317,77.252439,"IPC 1860 U/s: 457,511 ",NAGARAJA B   (PSI),1131916,,107700588,"Kamarajanahalli S No 27, Kamarajanahalli S No 27",07 kms Towards East,Village Beat No 19,Puttasandra Village,1,0,0,0,0,0,3,0,0,0,0,0,2020000086,1643,10464164320200065,-1
Dharwad,Garag PS,0220/2023,1,2023,11,2023-11-13 16:00:00.000,2023-11-14 10:00:00.000,2023-11-14 15:00:00.000,14/11/2023,Non Heinous,Undetected,Others,Attempting to commit offences,Attempting to commit offences,15.3522,74.544999,"IPC 1860 U/s: 379,511 ",MANTUR F M   (PSI),1210182,,60800003,"Hanamant Tempal, Hanamant Tempal",3 Km east,NEW BEAT 16,GARAG,1,0,0,0,0,0,0,0,0,0,0,0,2023000352,609,10452060920230220,-1
Kalaburagi,Narona PS,0001/2019,1,2019,1,2019-01-02 00:05:00.000,2019-01-03 06:00:00.000,2019-01-03 23:55:00.000,03/01/2019,Non Heinous,Undetected,Written,Attempting to commit offences,Attempting to commit offences,17.63969,76.730134,"IPC 1860 U/s: 427,379,511 ",VATSALYA   (PSI),2764982,,158500067,"Belamagi village Area Land Sarve no 218/4, Belamagi village Area Land Sarve no 218/4",Towards North 35 km from ps,Beat no06,Savalgi k village,1,0,0,0,0,0,0,1,0,1,0,0,2019000001,1607,10454160720190001,-1
Kodagu,Virajpet Rural PS,0053/2023,1,2023,4,2023-04-08 00:00:00.000,2023-04-08 02:30:00.000,2023-04-08 10:00:00.000,08/04/2023,Non Heinous,Dis/Acq,Written,Attempting to commit offences,Attempting to commit offences,12.224415,75.736599,"IPC 1860 U/s: 457,380,511 ",MANJUNATHA C C   (PSI),2339960,,73800050,"KADANGA ARAPATTU VILLAGE, KADANGA ARAPATTU VILLAGE",12 KMS TOWARDS NORTH,21,Bittangala Village,1,0,0,0,0,0,1,1,0,1,1,0,2023000108,579,10451057920230053,-1
Koppal,Kushtagi PS,0092/2019,1,2019,5,2019-05-19 03:00:00.000,2019-05-19 03:01:00.000,2019-05-19 16:00:00.000,19/05/2019,Non Heinous,Undetected,Written,Attempting to commit offences,Attempting to commit offences,15.857934,76.1665609,"IPC 1860 U/s: 379,511 ",BASAVARAJ   (ASI),582885,,136600007,"K.Bodur Sima Mariyappa Melinamani Granait Factroy, K.Bodur Sima Mariyappa Melinamani Granait Factroy",14 Kms North From PS,Village Beat No 14,Boduru,1,0,0,0,0,0,0,0,0,0,0,0,2019000124,1176,10468117620190092,-1
Ballari,Sirigeri PS,0032/2024,1,2024,3,2024-03-07 00:30:00.000,2024-03-07 00:35:00.000,2024-03-07 02:30:00.000,07/03/2024,Non Heinous,Under Investigation,Sue-moto by Police,Attempting to commit offences,Attempting to commit offences,15.422101,76.95865,"IPC 1860 U/s: 379,511 ",PRASAD.K.M   (HC),1324290,,33500033,"NEAR STREAM, NEAR STREAM",14 KM TOWARDS EAST FROM PS,BEAT 2,DARURU VILLAGE,0,0,0,0,0,0,2,0,0,0,0,0,2024000043,346,10445034620240032,-1
Koppal,Munirabad PS,0144/2019,1,2019,7,2019-07-04 00:00:00.000,2019-07-04 00:05:00.000,2019-07-04 10:00:00.000,04/07/2019,Non Heinous,Pending Trial,Written,Attempting to commit offences,Attempting to commit offences,15.377437,76.313384,"IPC 1860 U/s: 379,511 ",SUPRIT  VIRUPAKSHAPPA (PSI),2764992,,35300044,"In the Kerehalli seema Amaresh Hugar Krushar, In the Kerehalli seema Amaresh Hugar Krushar",12 Kms to North from PS,BEAT 04,KASANAKANDI,1,0,0,0,0,0,3,2,0,2,3,0,2019000181,1162,10468116220190144,-1
Kalaburagi City,Station Bazar PS,0111/2021,1,2021,8,2021-08-04 20:00:00.000,2021-08-05 03:00:00.000,2021-08-05 14:30:00.000,05/08/2021,Non Heinous,Dis/Acq,Written,Attempting to commit offences,Attempting to commit offences,17.319464,76.825537,"IPC 1860 U/s: 511,380,457 ",SIDDARAMESHWAR GADED   (PI),1945295,,100500044,"KARANAKAT LODGE OPP CANARA BANK ATM, KARANAKAT LODGE OPP CANARA BANK ATM",1 KM TO WORDAS FROM WEST PS,Beat No 5,Upper Lane,1,0,0,0,0,0,1,1,0,1,1,0,2021000139,686,10985068620210111,-1
Mysuru Dist,Antharasanthe PS,0089/2019,1,2019,10,2019-10-02 22:30:00.000,2019-10-02 22:35:00.000,2019-10-03 17:30:00.000,03/10/2019,Non Heinous,Convicted,Written,Attempting to commit offences,Attempting to commit offences,11.916451,76.251085,"IPC 1860 U/s: 379,511 ",JAYAPRAKASH.D.B   (PSI),2289411,,3200165,"Kabini Back Water Near Gendathuru Village, Kabini Back Water Near Gendathuru Village",South 20 KM,BEAT NO 10,kanakanahallitittu,1,0,0,0,0,0,3,0,0,0,3,3,2019000176,897,10459089720190089,-1
Dharwad,Garag PS,0085/2019,1,2019,8,2019-08-20 11:00:00.000,2019-08-20 11:01:00.000,2019-08-31 19:45:00.000,31/08/2019,Non Heinous,Pending Trial,Written,Attempting to commit offences,Attempting to commit offences,15.504149,74.920951,"IPC 1860 U/s: 379,511 ",NARAGUND H M   (ASI),1202408,,61000007,"At: ADM Factory Belur Industreial Area, At: ADM Factory Belur Industreial Area",10 KM Towards West,NEW BEAT 10,BELUR,1,0,0,0,0,0,1,0,0,0,1,0,2019000196,609,10452060920190085,-1
Davanagere,Channagiri PS,0277/2019,1,2019,9,2019-08-31 18:30:00.000,2019-09-01 06:30:00.000,2019-09-01 11:30:00.000,01/09/2019,Non Heinous,Convicted,Written,Attempting to commit offences,Attempting to commit offences,13.865925,75.981723,"IPC 1860 U/s: 457,380,511 ",VEERAPPA.S.R   (ASI),1181524,,11200028,"Sri Padmagiri Choudeshwary Temple, Sri Padmagiri Choudeshwary Temple",20 K M Towards South,tvkbeat 2,KALKERE,1,0,0,0,0,0,2,2,0,2,3,1,2019000454,1522,10438152220190277,-1
Tumakuru,Chikkanayakanahalli PS,0067/2022,1,2022,4,2022-04-24 01:15:00.000,2022-04-24 02:45:00.000,2022-04-24 03:15:00.000,24/04/2022,Heinous,Pending Trial,Written,Attempting to commit offences,Attempting to commit offences,13.4092,76.617242,"PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3,4 IPC 1860 U/s: 34,436,457 PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 2 IPC 1860 U/s: 511 ",FAKRUSAB K NADAF   (PI),200071.0,,107701721,"SBI ATM, Shettikere Road, Near Degree Collage, SBI ATM, Shettikere Road, Near Degree Collage",0.5 KM Towards South,Beat 31,MAHALAKSHMI BADAVANE,1,0,0,0,0,0,0,3,0,3,3,0,2022000076,1652,10464165220220067,-1
Koppal,Kushtagi PS,0142/2022,1,2022,7,2022-07-09 14:00:00.000,2022-07-13 17:00:00.000,2022-07-18 15:30:00.000,18/07/2022,Non Heinous,Pending Trial,Others,Attempting to commit offences,Attempting to commit offences,15.750131,76.19247,"IPC 1860 U/s: 420,511 ",MOUNESH U RATHOD   (PSI),2764991,,150300065,"PUJA POOTWEAR SHOP BUS STAND ROAD KUSHTAGI, PUJA POOTWEAR SHOP BUS STAND ROAD KUSHTAGI",WEST FROM PS 1 KM,Town Beat No 52,Kushtagi,1,0,0,0,0,0,0,1,0,1,1,0,2022000201,1176,10468117620220142,-1
Chikkamagaluru,Chickmagalur Town PS,0220/2021,1,2021,11,2021-11-13 10:30:00.000,2021-11-13 14:30:00.000,2021-11-13 14:45:00.000,13/11/2021,Non Heinous,False Case,Sue-moto by Police,Attempting to commit offences,Attempting to commit offences,13.328064,75.794328,"IPC 1860 U/s: 420,511,34 ",SHAMBHULINGANAGOUDA   (PSI),2995118,,189100051,"NARIGUDDANAHALLI ROAD, NARIGUDDANAHALLI ROAD",2 KM TOWARDS WEST,46th TOWN BEAT,KALYANA NAGARA,1,0,0,0,0,0,2,2,0,2,0,0,2021000303,450,10448045020210220,-1
Hubballi Dharwad City,Keshavapur PS,0105/2022,1,2022,9,2022-09-26 04:00:00.000,2022-09-26 04:30:00.000,2022-09-26 08:00:00.000,26/09/2022,Non Heinous,Pending Trial,Others,Attempting to commit offences,Attempting to commit offences,15.368665,75.146483,"IPC 1860 U/s: 457,379,511 CODE OF CRIMINAL PROCEDURE, 1973 U/s: 102 ",JAGADEESH  HANCHINAL (PI),1843007,,193500010,"SULLAD ROAD NEAR MANOJ PARK, SULLAD ROAD NEAR MANOJ PARK",2 KM  NORTH FROM PS,BEAT 2,uday nagar,1,0,0,0,0,0,3,1,0,1,3,0,2022000154,73,10971007320220105,-1
