District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Athani PS,0206/2021,1,2021,6,2021-05-07 19:00:00.000,2021-05-08 06:00:00.000,2021-06-07 14:15:00.000,07/06/2021,Non Heinous,Pending Trial,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,16.73149,75.046718,"IPC 1860 U/s: 457,380 ",KUMAR HADAKAR   (PSI),2481364.0,,44700147,"athani to miraj rood athani, athani to miraj rood athani",Toward's  West  1 KM,Balligeri 01,Balligeri,1,0,0,0,0,0,0,8,0,8,8,0,2021000238,1485,10444148520210206,-1
Kalaburagi City,Chowk PS,0073/2020,1,2020,10,2020-10-10 18:30:00.000,2020-10-11 06:30:00.000,2020-10-11 16:00:00.000,11/10/2020,Heinous,Undetected,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,17.362783,76.848454,"IPC 1860 U/s: 457,380 ",S.R.NAIK   (PI),1022004,,41200016,"PRERANA  AUTO SPARE'S, NEAR KMF DAIRY, PRERANA  AUTO SPARE'S, NEAR KMF DAIRY",TOWARD  EAST 3 KM FROM PS,Beat No 4,NEHRU GUNJ,0,0,0,0,0,0,0,0,0,0,0,0,2020000097,695,10985069520200073,-1
Vijayapur,Vijayapura Rural PS,0381/2022,1,2022,11,2022-11-25 18:30:00.000,2022-11-27 08:30:00.000,2022-11-30 19:15:00.000,30/11/2022,Non Heinous,Undetected,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,17.033319,75.7000749,"IPC 1860 U/s: 454,457,380 ",R A DINNI   (PSI),1270736,,41100054,"In P K P S Sangha, In P K P S Sangha",Notrh 32 k m,Beat 23,Kannur,0,0,0,0,0,0,0,0,0,0,0,0,2022000484,415,10447041520220381,-1
Udupi,Padubidri PS,0005/2023,1,2023,1,2023-01-18 01:00:00.000,2023-01-18 02:00:00.000,2023-01-18 11:45:00.000,18/01/2023,Non Heinous,Undetected,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,13.140751,74.772808,"IPC 1860 U/s: 457,380 ",SUDARSHAN DODAMANI   (PSI),2925601,,137300129,"Naz Dress Art Cloth Shop, Karkala road, Padubidri, Naz Dress Art Cloth Shop, Karkala road, Padubidri",1 KM East towards from PS,Beat 1,NANDIKOOR,1,0,0,0,0,0,1,0,0,0,0,0,2023000027,1203,10469120320230005,-1
Bengaluru City,Jayanagar PS,0243/2017,1,2017,8,2017-08-10 22:00:00.000,2017-08-11 10:30:00.000,2017-08-11 13:00:00.000,11/08/2017,Heinous,Undetected,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,12.934367,77.582268,"IPC 1860 U/s: 457,380 ",MALAPPA  PUJARI (PSI),2841552,,137200115,"RAYMONDS SHOW ROOM, 14/2, DAIGANAL ROAD, ELIPHENT, RAYMONDS SHOW ROOM, 14/2, DAIGANAL ROAD, ELIPHENT",NORTH 1 KM,Beat 1,ICICI Bank Circle,1,0,0,0,0,0,0,0,0,0,0,0,2017000260,1372,10443137220170243,0
Bengaluru Dist,Avalahally PS,0400/2023,1,2023,10,2023-10-09 19:30:00.000,2023-10-10 06:00:00.000,2023-10-11 16:00:00.000,11/10/2023,Non Heinous,Under Investigation,,BURGLARY - NIGHT,At Commercial Places / Establishments,13.053198,77.6911859,"IPC 1860 U/s: 457,380 ",ANJANAPPA.D.   (HC),1449365,,27100003,"no 87/3, Unit 1, Rampura village, no 87/3, Unit 1, Rampura village",8km towards west,BEAT NO 2,Rampura,1,0,0,0,0,0,0,0,0,0,0,0,2023000520,1916,10442191620230400,0
Bengaluru Dist,Sarjapura PS,0042/2022,1,2022,2,2022-02-20 03:00:00.000,2022-02-20 04:00:00.000,2022-02-20 17:00:00.000,20/02/2022,Non Heinous,Undetected,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,12.867522,77.767126,"IPC 1860 U/s: 457,380 ",SHIVALINGAIAH.K.   (ASI),1220904,,133400029,"pestoHyperMart,, pestoHyperMart,",1Km  towards west,1 BEAT,SARJAPURA,1,0,0,0,0,0,1,0,0,0,0,0,2022000056,1334,10442133420220042,0
Koppal,Kushtagi PS,0224/2023,1,2023,11,2023-11-21 21:00:00.000,2023-11-22 06:00:00.000,2023-11-23 13:30:00.000,23/11/2023,Non Heinous,Under Investigation,Judicial/Magistrate reference,BURGLARY - NIGHT,At Commercial Places / Establishments,15.751919,76.192929,"IPC 1860 U/s: 457,380 ",MANAPPA   (PSI),1103040,,116800026,"Gajendragad road Near Maruthi circle Kushtagi, Gajendragad road Near Maruthi circle Kushtagi",Weast From PS 1/2 km,Town Beat No 52,Kushtagi,1,0,0,0,0,0,0,0,0,0,0,0,2023000417,1176,10468117620230224,-1
Mysuru City,Vijayanagar PS,0198/2023,1,2023,11,2023-10-25 06:30:00.000,2023-11-07 09:30:00.000,2023-11-07 12:25:00.000,07/11/2023,Non Heinous,Under Investigation,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,12.336901,76.601685,"IPC 1860 U/s: 454,457,380 ",NARAYANA K   (PSI),3009350,,4600109,"#623, BEHIND GOVT HIGH SCHOOL, #623, BEHIND GOVT HIGH SCHOOL",02 KM TOWARDS WEST,Beat 9,Hootagalli Housing Board Colony,0,1,0,0,0,0,0,0,0,0,0,0,2023000299,45,10973004520230198,-1
Bidar,Khataka Chincholi PS,0009/2024,1,2024,2,2024-02-03 02:30:00.000,2024-02-03 03:00:00.000,2024-02-03 14:00:00.000,03/02/2024,Non Heinous,Under Investigation,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,17.896681,77.204065,"IPC 1860 U/s: 457,380 ",HANAMANTH BANKALAGI  (PSI),471161,,69100009,"at Jai Bhavani Wine Shop Near Bajolaga Cross, at Jai Bhavani Wine Shop Near Bajolaga Cross",15 Km towards North From PS,Beat 2,Kaplapur,0,0,0,0,0,0,1,0,0,0,0,0,2024000014,391,10446039120240009,-1
