District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bagalkot,Amengad PS,0129/2018,1,2018,6,2018-06-25 15:00:00.000,2018-06-25 15:05:00.000,2018-06-25 22:30:00.000,25/06/2018,Non Heinous,Pending Trial,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 186,427,506,504,34 PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",B A TIPARADDI   (PSI),2595579,,190100011,"GUDUR VILLAGE VADAGERI CROSS NEAR, GUDUR VILLAGE VADAGERI CROSS NEAR",SOUTH TOARDS 14,GUDUR TOWN BEAT NO 21,GUDUR,0,0,0,0,0,0,3,1,0,1,3,0,2018000134,1245,10470124520180129,-1
Bagalkot,Bagalkot Town PS,0091/2017,1,2017,9,2017-09-18 14:20:00.000,2017-09-18 14:21:00.000,2017-09-18 15:30:00.000,18/09/2017,Non Heinous,Convicted,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,16.172535,75.655721,"IPC 1860 U/s: 353,336,341,427,504,34 Karnataka Prevention of Damage to Public Property Act, 1984 U/s: 3 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) IPC 1860 U/s: 109,149,148,147,143 ",RENUKA  HALLI (PSI),1333648,,123300001,"Bagalkot Kanchana Bar APMC and Daddannavar Cross, Bagalkot Kanchana Bar APMC and Daddannavar Cross",Towards South 1.5 KM from ps,TOWN BEAT NO 2,ARAVIND LIMBAVALI HOUSE,0,0,0,0,0,0,0,7,0,7,7,7,2017000106,1236,10470123620170091,-1
Bagalkot,Bagalkot Town PS,0029/2023,1,2023,3,2023-02-27 09:30:00.000,2023-02-27 09:31:00.000,2023-03-02 12:30:00.000,02/03/2023,Non Heinous,False Case,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 431,427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",I.R.MADAR   (PSI),1270739,,188800008,"Bagalkot Daddanavar Crosr To Anusha petrol Pamp, Bagalkot Daddanavar Crosr To Anusha petrol Pamp",South 1 KM From PS,TOWN BEAT NO 2,ARAVIND LIMBAVALI HOUSE,1,0,0,0,0,0,6,0,0,0,0,0,2023000046,1236,10470123620230029,-1
Bagalkot,Hungunda PS,0173/2017,1,2017,7,2017-06-26 13:00:00.000,2017-06-26 13:01:00.000,2017-07-24 21:15:00.000,24/07/2017,Non Heinous,Pending Trial,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",Pundalik Patatar   (PI),2481465,,123600120,"KUDALASANGAM- MANAHALLI ON ROAD NEAR SHARANAPPA, KUDALASANGAM- MANAHALLI ON ROAD NEAR SHARANAPPA",NORTH 25 KM FROM PS,BEAT NO 10 RURAL,CHOUDAKAMALADINNI,0,0,0,0,0,0,1,1,0,1,1,0,2017000192,1241,10470124120170173,-1
Bagalkot,Hungunda PS,0046/2019,1,2019,3,2019-03-20 22:30:00.000,2019-03-20 22:31:00.000,2019-03-24 14:00:00.000,24/03/2019,Non Heinous,Pending Trial,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,16.060143,76.0583169,"IPC 1860 U/s: 427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",S.H.DODDAMANI   (ASI),1269001,,188800066,"HUNGUND KSRTC BUS STAND, HUNGUND KSRTC BUS STAND",SOUTH 1 KM FROM PS,BEAT 1 TOWN,BEVINAMATTI,0,0,0,0,0,0,1,5,0,5,5,0,2019000080,1241,10470124120190046,-1
Bagalkot,Hungunda PS,0068/2021,1,2021,4,2021-04-17 15:15:00.000,2021-04-17 15:16:00.000,2021-04-17 17:00:00.000,17/04/2021,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,16.177552,76.099375,"IPC 1860 U/s: 427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3(1) ",SHARANABASAPPA  SANGALAD (PSI),2840947,,25700095,"DHANNUR VILLEGE NEAR BRIDGE, DHANNUR VILLEGE NEAR BRIDGE",NORTH 16 KM FROM PS,BEAT NO 12 RURAL,KENGAL,1,0,0,0,0,0,0,0,0,0,0,0,2021000078,1241,10470124120210068,-1
Bagalkot,Ilakal PS,0058/2023,1,2023,8,2023-02-08 11:00:00.000,2023-06-12 11:30:00.000,2023-08-01 11:30:00.000,01/08/2023,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,15.57349,76.080071,"IPC 1860 U/s: 427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3(1)(2) ",S.R.NAIK   (WPSI),1270011,,123800020,"NEKAR COLONY PWD KANDAGALL ROAD, NEKAR COLONY PWD KANDAGALL ROAD",TOWARDS EAST 2.5 KM FROM PS,TOWN BEAT 4,KANAKANAGAR ILKAL,0,0,0,0,0,0,0,0,0,0,0,0,2023000081,1242,10470124220230058,-1
Bagalkot,Ilakal Rural PS,0009/2024,1,2024,2,2000-01-10 11:30:00.000,2000-01-10 11:31:00.000,2024-02-10 16:00:00.000,10/02/2024,Non Heinous,Under Investigation,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,16.03252,76.14496,"PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 IPC 1860 U/s: 427 KARNATAKA  IRRIGATION ACT, 1965 U/s: 55(I) ",J.D.LAMANI   (ASI),1332643,,124200004,"IN BALAKUNDI AT  BTC COMPANY, IN BALAKUNDI AT  BTC COMPANY",SOUTH 8 KM FROM PS,BEAT NO 1,BALAKUNDI,1,0,0,0,0,0,2,0,0,0,0,0,2024000016,2189,10470218920240009,-1
Bagalkot,Jamakhandi Rural PS,0054/2021,1,2021,4,2021-04-13 06:45:00.000,2021-04-13 06:46:00.000,2021-04-13 11:00:00.000,13/04/2021,Non Heinous,Pending Trial,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,16.495834,75.206694,"IPC 1860 U/s: 427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3(1) ",VASANT BANDAGAR   (PSI),2481653,,91900280,"NEAR MADHURKHANDI VILLAGE KEMPU KERE, NEAR MADHURKHANDI VILLAGE KEMPU KERE",07 KM WEST FROM P.S,BEAT 1,KALLALLI,0,0,0,0,0,0,3,3,0,3,3,0,2021000069,1251,10470125120210054,-1
Bagalkot,Kaladagi PS,0064/2018,1,2018,4,2018-04-14 02:00:00.000,2018-04-14 02:01:00.000,2018-04-14 08:15:00.000,14/04/2018,Non Heinous,Dis/Acq,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 143,147,283,149 PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",V.A.SHIDANAL   (ASI),743335,,125500047,"Bagalkot-Belagavi SH-20 Road & Hubbali Vijayapur, Bagalkot-Belagavi SH-20 Road & Hubbali Vijayapur",East-14 Km From PS,RURAL BEAT 4,SIMIKERI,0,0,0,0,0,0,4,1,0,1,4,0,2018000066,1240,10470124020180064,-1
Bagalkot,Kaladagi PS,0041/2022,1,2022,4,2022-04-16 22:00:00.000,2022-04-16 22:01:00.000,2022-04-17 15:00:00.000,17/04/2022,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,16.200388,75.532131,"IPC 1860 U/s: 427 PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",RAMANAGOUD SANKANAL  (PSI),1807112,,147400055,"On Belagavi Raichur Road SH-20, On Belagavi Raichur Road SH-20",Towards East 5 K M From Ps,TOWN BEAT,KALADAGI,1,0,0,0,0,0,0,0,0,0,0,0,2022000053,1240,10470124020220041,-1
Bagalkot,Kaladagi PS,0103/2022,1,2022,10,2022-10-01 20:00:00.000,2022-10-01 20:01:00.000,2022-10-02 10:00:00.000,02/10/2022,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 427 PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",PRAKASH BANAKAR   (PSI),2315996,,141400094,"Near Samshi Cross, Near Samshi Cross",Towards East 2 Km From ps,RURAL BEAT 2,GOVINDAKOPPA,1,0,0,0,0,0,0,0,0,0,0,0,2022000146,1240,10470124020220103,-1
