District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bagalkot,Amengad PS,0177/2016,1,2016,9,2016-09-29 23:00:00.000,2016-09-30 05:00:00.000,2016-09-30 18:00:00.000,30/09/2016,Non Heinous,Undetected,Written,ARSON,Others,0.0,0.0,IPC 1860 U/s: 435 ,P.A.JADAV   (PSI),1016018,,188800039,"GUDUR VILLAGE MOHANASA PATIL  PETROL PUMPA NEAR, GUDUR VILLAGE MOHANASA PATIL  PETROL PUMPA NEAR",SOUTH TOWARDS 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,0,0,0,0,0,0,0,0,0,0,0,0,2016000189,1245,10470124520160177,0
Bagalkot,Amengad PS,0077/2021,1,2021,7,2021-07-09 13:00:00.000,2021-07-09 13:01:00.000,2021-07-09 20:15:00.000,09/07/2021,Non Heinous,Pending Trial,Sue-moto by Police,ARSON,Warehouse(Godown),15.976676,75.910613,"IPC 1860 U/s: 143,147,148,427,436,448,149 ",Mallikarjun Guruputrappa Kulkarni (PSI),2481424,,7100075,"IN BASAPPA KUNCHAGANUR HOUSE AT KELUR, IN BASAPPA KUNCHAGANUR HOUSE AT KELUR",SOUTH 10 KM,GUDUR OP RURAL BEAT NO 27,KELUR,1,0,0,0,0,0,13,7,0,7,13,0,2021000091,1245,10470124520210077,-1
Bagalkot,Amengad PS,0012/2023,1,2023,1,2023-01-29 19:00:00.000,2023-01-30 10:00:00.000,2023-01-31 13:00:00.000,31/01/2023,Non Heinous,False Case,Others,ARSON,Agricultural Produce,16.002213,75.902583,"IPC 1860 U/s: 435,34 ",SHIVANAND  SINGANNAVAR (PSI),2954871,,156800079,"HIREMAGI VILLAGE COMPLAINANT FIELD, HIREMAGI VILLAGE COMPLAINANT FIELD",EAST 12 KM,RURAL BEAT NO 16,MADAPUR,1,0,0,0,0,0,0,0,0,0,0,0,2023000017,1245,10470124520230012,-1
Bagalkot,Badami PS,0226/2017,1,2017,12,2017-11-27 14:00:00.000,2017-11-27 14:01:00.000,2017-12-02 17:00:00.000,02/12/2017,Non Heinous,Pending Trial,Others,ARSON,Agricultural Produce,0.0,0.0,"IPC 1860 U/s: 498A,323,324,447,435 ",L M Gorawar   (ASI),1020452,,123800066,"IN FELD OF COMPLAINANT, IN FELD OF COMPLAINANT",WEST SIDE 8 KM FROM PS,RURAL BEAT NO 6,ADAGAL,0,1,0,0,0,0,1,0,0,0,1,0,2017000254,1246,10470124620170226,0
Bagalkot,Badami PS,0232/2017,1,2017,12,2017-12-03 19:00:00.000,2017-12-03 19:01:00.000,2017-12-03 23:00:00.000,03/12/2017,Heinous,Dis/Acq,Written,ARSON,Others,0.0,0.0,"IPC 1860 U/s: 143,147,148,504,506,436,427,149,435 ",K.S.HATTI   (PI),1842975,,43300006,"IN NANDIKESHWAR VILLAGE, IN NANDIKESHWAR VILLAGE",15 KM East from PS,RURAL BEAT NO 5,NAVILOHOLE,1,0,0,0,0,0,15,15,0,15,14,0,2017000261,1246,10470124620170232,0
Bagalkot,Bagalkot Rural PS,0053/2016,1,2016,2,2016-02-16 13:59:00.000,2016-02-16 14:00:00.000,2016-02-16 17:00:00.000,16/02/2016,Non Heinous,Dis/Acq,Written,ARSON,Agricultural Produce,0.0,0.0,IPC 1860 U/s: 435 ,S.S.PEERZADE   (ASI),745394,,123800035,"Bennur RC Surve NO-130 Complaint Farm, Bennur RC Surve NO-130 Complaint Farm",Towards East 20 KM,BEAT NO 3,SANGONDI,0,0,0,0,0,0,3,0,0,0,3,0,2016000058,1238,10470123820160053,0
Bagalkot,Bagalkot Rural PS,0119/2022,1,2022,6,2022-06-17 10:00:00.000,2022-06-17 10:05:00.000,2022-06-23 12:15:00.000,23/06/2022,Heinous,Pending Trial,Written,ARSON,Dwelling House,0.0,0.0,"IPC 1860 U/s: 323,436 ",BHEEMANNA   (PI),1895578,,14200048,"Shirur, Complainant House, Shirur, Complainant House",EAST 12 KMS,BEAT NO 2,SHIRUR,1,0,0,0,0,0,1,1,0,1,1,0,2022000153,1238,10470123820220119,0
Bagalkot,Bagalkot Town PS,0001/2022,1,2022,1,2022-01-06 22:30:00.000,2022-01-06 23:30:00.000,2022-01-07 13:30:00.000,07/01/2022,Non Heinous,Undetected,Written,ARSON,Others,0.0,0.0,IPC 1860 U/s: 435 ,R.S.DODAMANI   (PSI),1270777,,124600019,"Infront of complainant house, Jadaragalli, Infront of complainant house, Jadaragalli",2 Km from PS towards East,TOWN BEAT NO 6,KOULPET,1,0,0,0,0,0,0,0,0,0,0,0,2022000002,1236,10470123620220001,0
Bagalkot,Bagalkot Town PS,0115/2023,1,2023,9,2023-09-27 02:00:00.000,2023-09-27 03:00:00.000,2023-09-27 10:30:00.000,27/09/2023,Non Heinous,Undetected,Written,ARSON,Others,16.192905,75.700445,IPC 1860 U/s: 435 ,KIRAN SURESH MOHITE (PSI),2597955,,60800078,"Near Old Anjuman Gate, Asara Galli, Near Old Anjuman Gate, Asara Galli",North 03 K M From P S,TOWN BEAT NO 7,VENKATAPET,1,0,0,0,0,0,0,0,0,0,0,0,2023000168,1236,10470123620230115,-1
Bagalkot,Banahatti PS,0036/2022,1,2022,4,2022-04-09 10:00:00.000,2022-04-09 10:01:00.000,2022-04-13 18:00:00.000,13/04/2022,Non Heinous,False Case,Written,ARSON,Agricultural Produce,0.0,0.0,"IPC 1860 U/s: 447,435,504,506,34 ",RAKESH BAGALI  (PSI),2840928,,1500092,"In Complainant Farm Land Navalagi Village, In Complainant Farm Land Navalagi Village",Towards South 12 km,Rural Beat No 2,Jagadal Village,0,1,0,0,0,0,3,0,0,0,0,0,2022000059,1259,10470125920220036,0
Bagalkot,Bilagi PS,0069/2016,1,2016,3,2016-03-10 15:30:00.000,2016-03-10 15:31:00.000,2016-03-11 18:15:00.000,11/03/2016,Non Heinous,Dis/Acq,Written,ARSON,Industrial Establishment,0.0,0.0,"IPC 1860 U/s: 435,34 ",B.M.BASANAGOUDAR   (PSI),1202533,,124100014,"IN BILAI SUGAR PVT LMT PREMISES, IN BILAI SUGAR PVT LMT PREMISES",EAST 6 KM,RURAL BEAT 2,BADAGANDI,0,0,0,0,0,0,2,0,0,0,2,0,2016000071,1263,10470126320160069,0
Bagalkot,Guledagudda PS,0018/2016,1,2016,2,2016-02-05 23:30:00.000,2016-02-05 23:31:00.000,2016-02-06 16:30:00.000,06/02/2016,Heinous,Abated,Written,ARSON,Others,0.0,0.0,"IPC 1860 U/s: 436,504 ",NEELAPPA MALAPPA OLEKAR (PI),1548044,,156700009,"IN FRONT OF BASAPPA KOTI HOUSE, IN FRONT OF BASAPPA KOTI HOUSE",WEST 10 KM,RURAL BEAT NO 04,Lingapur,0,0,0,0,0,0,1,1,0,1,1,0,2016000019,1249,10470124920160018,0
Bagalkot,Guledagudda PS,0089/2017,1,2017,10,2017-10-30 22:00:00.000,2017-10-31 06:00:00.000,2017-10-31 12:00:00.000,31/10/2017,Heinous,Undetected,Written,ARSON,Dwelling House,0.0,0.0,IPC 1860 U/s: 436 ,K.S.HATTI   (PI),1842975,,43300006,"ISHWARAPPA RAJANAL HOUSE HARADOLI R.S NO-88, ISHWARAPPA RAJANAL HOUSE HARADOLI R.S NO-88",EAST 4 KM,TOWN BEAT NO 02,HOSA PETE,1,0,0,0,0,0,0,0,0,0,0,0,2017000100,1249,10470124920170089,0
Bagalkot,Ilakal PS,0070/2017,1,2017,7,2017-07-10 01:30:00.000,2017-07-10 01:31:00.000,2017-07-10 12:45:00.000,10/07/2017,Non Heinous,Undetected,Written,ARSON,Others,0.0,0.0,IPC 1860 U/s: 435 ,A.R. Kadam   (ASI),1269712,,124100003,"ILKAL NEAR ACO SCHOOL, ILKAL NEAR ACO SCHOOL",SOUTH 2 KM FROM PS,TOWN BEAT 3,BANNIKATTI ILKAL,1,0,0,0,0,0,0,0,0,0,0,0,2017000076,1242,10470124220170070,0
Bagalkot,Ilakal PS,0103/2017,1,2017,9,2017-09-24 02:00:00.000,2017-09-24 02:01:00.000,2017-09-24 14:15:00.000,24/09/2017,Non Heinous,Undetected,Written,ARSON,Others,0.0,0.0,IPC 1860 U/s: 435 ,NAGAPPA R KHILARE   (PSI),2045564,,37300060,"ILKAL TOWN GURLINGAPPA PLAT, ILKAL TOWN GURLINGAPPA PLAT",1 KM WEST FROM PS,TOWN BEAT 1,KUDALASANGAM COLONY,1,0,0,0,0,0,0,0,0,0,0,0,2017000113,1242,10470124220170103,0
Bagalkot,Ilakal PS,0139/2017,1,2017,12,2017-12-10 22:00:00.000,2017-12-11 01:00:00.000,2017-12-11 14:45:00.000,11/12/2017,Non Heinous,Undetected,Written,ARSON,Others,0.0,0.0,IPC 1860 U/s: 435 ,NAGAPPA R KHILARE   (PSI),2045564,,37300060,"ILKAL TOWN PRERANA SCHOOL, ILKAL TOWN PRERANA SCHOOL",1 KM NORTH FROM PS,TOWN BEAT 3,BANNIKATTI ILKAL,1,0,0,0,0,0,0,0,0,0,0,0,2017000151,1242,10470124220170139,0
Bagalkot,Ilakal PS,0157/2018,1,2018,11,2018-11-03 01:00:00.000,2018-11-03 01:01:00.000,2018-11-03 08:15:00.000,03/11/2018,Non Heinous,Undetected,Written,ARSON,Others,0.0,0.0,IPC 1860 U/s: 435 ,S.B.MURADI   (HC),1207044,,124900039,"ILKAL TOWN INFRONT OF COMPLAINANT HOUSE, ILKAL TOWN INFRONT OF COMPLAINANT HOUSE",1 KM SOUTH FROM PS,TOWN BEAT 2,KULAKARNIPETH HOSAPETH GALLI,1,0,0,0,0,0,0,0,0,0,0,0,2018000166,1242,10470124220180157,0
Bagalkot,Ilakal PS,0165/2018,1,2018,11,2018-11-17 00:30:00.000,2018-11-17 01:00:00.000,2018-11-17 08:15:00.000,17/11/2018,Non Heinous,Pending Trial,Written,ARSON,Others,0.0,0.0,IPC 1860 U/s: 435 ,NAGAPPA R KHILARE   (PSI),2045564,,37300060,"GOULER GUDI IN ILKAL TOWN INFRONT OF COMPLAINANT, GOULER GUDI IN ILKAL TOWN INFRONT OF COMPLAINANT",2 KM SOUTH FROM PS,TOWN BEAT 2,KULAKARNIPETH HOSAPETH GALLI,1,0,0,0,0,0,0,1,0,1,1,0,2018000175,1242,10470124220180165,0
Bagalkot,Ilakal PS,0126/2021,1,2021,11,2021-11-02 01:00:00.000,2021-11-02 01:25:00.000,2021-11-21 18:30:00.000,21/11/2021,Heinous,Pending Trial,Written,ARSON,Dwelling House,0.0,0.0,"IPC 1860 U/s: 307,448,436,435 ",HOSAKERAPPA.K   (PI),164999,,162800019,"AT COMPLAINANT HOUSE AT KAVISHETTY ONI ILKAL, AT COMPLAINANT HOUSE AT KAVISHETTY ONI ILKAL",SOUTH 1 KM FROM PS,TOWN BEAT 3,BANNIKATTI ILKAL,1,0,0,0,0,0,1,0,0,0,1,0,2021000151,1242,10470124220210126,0
Bagalkot,Ilakal PS,0068/2022,1,2022,8,2022-08-06 23:30:00.000,2022-08-07 00:10:00.000,2022-08-07 18:45:00.000,07/08/2022,Non Heinous,False Case,Written,ARSON,Others,0.0,0.0,IPC 1860 U/s: 435 ,M.B.KALAKUTIGAR   (ASI),1270730,,125600031,"INFRONT OF COMPLAINANT HOUSE ON PUBLIC ROAD, INFRONT OF COMPLAINANT HOUSE ON PUBLIC ROAD",TOWARDS SOUTH 1 KM FROM PS,TOWN BEAT 2,KULAKARNIPETH HOSAPETH GALLI,1,0,0,0,0,0,0,0,0,0,0,0,2022000089,1242,10470124220220068,0
Bagalkot,Jamakhandi Rural PS,0017/2016,1,2016,1,2016-01-31 12:00:00.000,2016-01-31 12:01:00.000,2016-01-31 19:00:00.000,31/01/2016,Non Heinous,Convicted,Written,ARSON,Agricultural Produce,0.0,0.0,"IPC 1860 U/s: 435,447,109,149 ",S.S.SANDRIMANI   (PSI),529709,,125400009,"KONNUR VILLAGE AREA COMPLAINANT FIELD, KONNUR VILLAGE AREA COMPLAINANT FIELD",TOWARDS EAST 15 KM FROM PS,BEAT 9,HUNASHIKATTI,0,0,0,0,0,0,5,1,0,1,5,0,2016000018,1251,10470125120160017,0
Bagalkot,Jamakhandi Rural PS,0024/2024,1,2024,3,2024-02-18 00:30:00.000,2024-02-18 00:31:00.000,2024-03-04 17:30:00.000,04/03/2024,Heinous,Under Investigation,Written,ARSON,Dwelling House,16.456204,75.281657,"IPC 1860 U/s: 143,147,448,341,323,307,354,436,504,149 ",MAHESH  SANKH (PSI),3035066,,124900052,"Siddapur Village Complainant House, Siddapur Village Complainant House",Towards South 8 K M From P S,BEAT 8,SIDDAPUR,2,2,0,0,0,0,12,0,0,0,0,0,2024000058,1251,10470125120240024,-1
Bagalkot,Jamakhandi Town PS,0001/2016,1,2016,1,2016-01-01 01:00:00.000,2016-01-01 03:20:00.000,2016-01-01 12:00:00.000,01/01/2016,Heinous,Undetected,Written,ARSON,Others,0.0,0.0,"IPC 1860 U/s: 436,427 ",Sunilkumar Nandeswar   (PI),1845441,,146300035,"JAMAKHANDI BIJAPUR ROAD NEAR RELINCE, JAMAKHANDI BIJAPUR ROAD NEAR RELINCE",TWARDS EAST 1 KM FROM PS,BEAT 03,BIJAPUR ROAD,0,0,0,0,0,0,0,0,0,0,0,0,2016000001,1250,10470125020160001,0
Bagalkot,Jamakhandi Town PS,0038/2023,1,2023,3,2023-03-13 18:00:00.000,2023-03-13 18:01:00.000,2023-03-15 12:30:00.000,15/03/2023,Non Heinous,Undetected,Written,ARSON,Others,0.0,0.0,"IPC 1860 U/s: 143,147,323,435,504,506,149 ",NAGAPPA R KHILARE   (PSI),2045564,,37300060,"Jamkhandi Town, Jamkhandi Town",Soutn 0.5 Kms From PS,BEAT 06,RAMESHWAR COLONY,1,0,0,0,0,0,1,0,0,0,0,0,2023000051,1250,10470125020230038,0
