District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bagalkot,Amengad PS,0156/2018,1,2018,8,2018-08-08 12:30:00.000,2018-08-08 15:15:00.000,2018-08-09 13:00:00.000,09/08/2018,Heinous,Convicted,Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",SANJEEV S BALIGAR   (PI),1898637,,42000030,"BASAVANAL VIILAGE COMPLAINAT LAND HOUSE, BASAVANAL VIILAGE COMPLAINAT LAND HOUSE",NORTH TOWARDS 18 KM,RURAL BEAT NO 16,MADAPUR,0,0,0,0,0,0,1,0,0,0,1,1,2018000163,1245,10470124520180156,0
Bagalkot,Amengad PS,0106/2019,1,2019,12,2019-12-18 10:00:00.000,2019-12-18 12:00:00.000,2019-12-30 16:00:00.000,30/12/2019,Heinous,Pending Trial,Written,BURGLARY - DAY,At Residential Premises,16.10506,75.86518,"IPC 1860 U/s: 454,380 ",HOSAKERAPPA.K   (PI),164999,,162800019,"KAMTAGI TOWN IN COMPLAINANT HOUSE, KAMTAGI TOWN IN COMPLAINANT HOUSE",WEST 14 KM FROM PS,RURAL BEAT NO 13,KAMATAGI,0,0,0,0,0,0,2,2,0,2,2,0,2019000180,1245,10470124520190106,-1
Bagalkot,Badami PS,0091/2017,1,2017,4,2017-04-18 15:10:00.000,2017-04-18 15:45:00.000,2017-04-18 20:30:00.000,18/04/2017,Heinous,Undetected,Written,BURGLARY - DAY,At Commercial Places / Establishments,0.0,0.0,"IPC 1860 U/s: 454,380 ",RAMESH H HANAPUR   (PI),1898679,,105400030,"In K.M.PattanShetty Petrol Bunk Badami, In K.M.PattanShetty Petrol Bunk Badami",1 KM North from PS,TOWN BEAT NO 3,ANAND NAGAR,0,0,0,0,0,0,0,0,0,0,0,0,2017000100,1246,10470124620170091,0
Bagalkot,Badami PS,0209/2017,1,2017,11,2017-11-10 22:00:00.000,2017-11-11 10:00:00.000,2017-11-11 16:30:00.000,11/11/2017,Heinous,Undetected,Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,457,380 ",K.S.HATTI   (PI),1842975,,43300006,"In Complainants House of Badami, In Complainants House of Badami",1 KM North from PS,TOWN BEAT NO 3,ANAND NAGAR,0,0,0,0,0,0,0,0,0,0,0,0,2017000235,1246,10470124620170209,0
Bagalkot,Badami PS,0021/2018,1,2018,2,2018-01-31 16:30:00.000,2018-02-01 06:30:00.000,2018-02-01 16:30:00.000,01/02/2018,Heinous,Undetected,Others,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,457,380 ",RAMESH H HANAPUR   (PI),1898679,,105400030,"ANGANAWADI NO. 03 CHOLACHAGUDDA VILLAGE, ANGANAWADI NO. 03 CHOLACHAGUDDA VILLAGE",SOUTH SIDE 7 KM FROM PS,RURAL BEAT NO 3,NEERALAGI,0,0,0,0,0,0,0,0,0,0,0,0,2018000023,1246,10470124620180021,0
Bagalkot,Badami PS,0015/2019,1,2019,1,2019-01-19 08:00:00.000,2019-01-19 08:30:00.000,2019-01-31 14:00:00.000,31/01/2019,Heinous,Undetected,Written,BURGLARY - DAY,At Residential Premises,15.937494,75.433622,"IPC 1860 U/s: 454,380 ",RAMESH H HANAPUR   (PI),1898679,,105400030,"COMPLAINANTS HOUSE, KAKANUR VILLAGE, COMPLAINANTS HOUSE, KAKANUR VILLAGE",WEST 30 KMS,OP BEAT NO 1,KAKANUR,1,0,0,0,0,0,0,0,0,0,0,0,2019000018,1246,10470124620190015,-1
Bagalkot,Badami PS,0161/2019,1,2019,11,2019-11-18 17:00:00.000,2019-11-18 18:00:00.000,2019-11-19 12:45:00.000,19/11/2019,Heinous,Pending Trial,Oral,BURGLARY - DAY,In Other Places,15.912563,75.68485,"IPC 1860 U/s: 454,380 ",RAMESH H HANAPUR   (PI),1898679,,105400030,"in Rait Sampark Kendra Badami, in Rait Sampark Kendra Badami",South Side 2 KM From PS,TOWN BEAT NO 2,RANGANATH NAGAR,0,0,0,0,0,0,0,2,0,2,2,0,2019000246,1246,10470124620190161,-1
Bagalkot,Badami PS,0002/2022,1,2022,1,2022-01-03 16:00:00.000,2022-01-04 10:00:00.000,2022-01-05 15:30:00.000,05/01/2022,Non Heinous,Undetected,Written,BURGLARY - DAY,In Other Places,15.918064,75.679403,"IPC 1860 U/s: 457,454,380 ",N.S.GHANTI   (WPSI),1270744,,124900009,"KULAGERI CROSS IN ANGANAWADI CENTARE, KULAGERI CROSS IN ANGANAWADI CENTARE",WEST 22 KM FROM PS,OP BEAT NO 2,KULAGERI,0,0,0,0,0,0,0,0,0,0,0,0,2022000002,1246,10470124620220002,-1
Bagalkot,Badami PS,0072/2022,1,2022,4,2021-12-15 11:00:00.000,2021-12-15 15:00:00.000,2022-04-27 14:15:00.000,27/04/2022,Heinous,False Case,Written,BURGLARY - DAY,At Residential Premises,15.851998,75.556472,"IPC 1860 U/s: 454,380 ",KARIYAPPA B. BANNE   (PI),18986672,,35600052,"IN COMPLAINANT HOUSE, IN COMPLAINANT HOUSE",SOUTH 17 KM FROM PS,RURAL BEAT NO 3,NEERALAGI,0,0,0,0,0,0,0,0,0,0,0,0,2022000103,1246,10470124620220072,-1
Bagalkot,Badami PS,0029/2023,1,2023,2,2023-02-10 08:00:00.000,2023-02-10 15:00:00.000,2023-02-10 21:15:00.000,10/02/2023,Non Heinous,Undetected,Written,BURGLARY - DAY,Temple Theft,0.0,0.0,"IPC 1860 U/s: 454,380 ",VITTAL IRAPPA NAIK (PSI),2277188,,29200056,"HEBBALLI VILLAGE IN KALMESHWAR TEMPLE, HEBBALLI VILLAGE IN KALMESHWAR TEMPLE",SOUTH 18 KM FROM PS,RURAL BEAT NO 2,YARAGOPPA,1,0,0,0,0,0,0,0,0,0,0,0,2023000053,1246,10470124620230029,0
Bagalkot,Badami PS,0049/2023,1,2023,3,2023-03-20 10:00:00.000,2023-03-20 16:00:00.000,2023-03-20 20:45:00.000,20/03/2023,Heinous,Transfered :UI( Badami Circle),Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",D.D.DHULKHED   (PI),1019635,,124600055,"IN COMPLAINT RENT HOUSE BADAMI ANAND NAGAR, IN COMPLAINT RENT HOUSE BADAMI ANAND NAGAR",west 1 km from ps,TOWN BEAT NO 3,ANAND NAGAR,1,0,0,0,0,0,0,0,0,0,0,0,2023000099,1246,10470124620230049,0
