District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bagalkot,Amengad PS,0073/2016,1,2016,5,2016-04-24 23:00:00.000,2016-04-25 05:00:00.000,2016-05-04 20:00:00.000,04/05/2016,Non Heinous,Undetected,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,0.0,0.0,"IPC 1860 U/s: 457,380 ",R S BIRADAR   (PI),1898733,,42900007,"GUDUR VILLAGE COMPLAINANT KIRANI SHOP, GUDUR VILLAGE COMPLAINANT KIRANI SHOP",SOUTH FROM PS 15 KM,GUDUR TOWN BEAT NO 21,GUDUR,0,0,0,0,0,0,0,0,0,0,0,0,2016000078,1245,10470124520160073,0
Bagalkot,Amengad PS,0168/2016,1,2016,9,2016-09-13 02:00:00.000,2016-09-13 06:00:00.000,2016-09-13 09:00:00.000,13/09/2016,Non Heinous,Undetected,Written,BURGLARY - NIGHT,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 457,380 ",SHRISHAIL K BYAKOD   (PI),133999,,8000071,"SULEBHAVI VILLAGE COMPLAINANT HOUSE, SULEBHAVI VILLAGE COMPLAINANT HOUSE",SOUTH TOWARDS 3 KM,RURAL BEAT NO 6,SULEBAVI,0,0,0,0,0,0,0,0,0,0,0,0,2016000179,1245,10470124520160168,0
Bagalkot,Amengad PS,0192/2016,1,2016,10,2016-10-23 23:00:00.000,2016-10-24 03:00:00.000,2016-10-24 14:00:00.000,24/10/2016,Non Heinous,Pending Trial,Written,BURGLARY - NIGHT,In Other Places,0.0,0.0,"IPC 1860 U/s: 457,380 ",R S BIRADAR   (PI),1898733,,42900007,"GUDUR VILLAGE COMPLAINT WINE SHOP, GUDUR VILLAGE COMPLAINT WINE SHOP",SOUTH FROM PS 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,0,0,0,0,0,0,0,1,0,1,1,0,2016000204,1245,10470124520160192,0
Bagalkot,Amengad PS,0031/2017,1,2017,2,2017-02-21 23:00:00.000,2017-02-22 04:00:00.000,2017-02-22 15:00:00.000,22/02/2017,Heinous,Pending Trial,Written,BURGLARY - NIGHT,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 457,380,413,411 ",S A SAVADI   (PI),1845439,,156600037,"IN COMPLAINANT AND WITNESS HOUSE, IN COMPLAINANT AND WITNESS HOUSE",SOUTH 3 KM FROM PS,RURAL BEAT NO 6,SULEBAVI,0,0,0,0,0,0,2,3,0,3,4,0,2017000033,1245,10470124520170031,0
Bagalkot,Amengad PS,0118/2018,1,2018,5,2018-03-29 23:00:00.000,2018-05-30 05:00:00.000,2018-05-30 22:00:00.000,30/05/2018,Non Heinous,Undetected,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,0.0,0.0,"IPC 1860 U/s: 457,380 ",B A TIPARADDI   (PSI),2595579,,190100011,"AMINAGAD CIT HUGAR KIRANI SHOP, AMINAGAD CIT HUGAR KIRANI SHOP",EAST TOWARDS 400 MITERS,AMINAGAD TOWN BEAT NO 1,AMINAGAD,0,0,0,0,0,0,0,0,0,0,0,0,2018000123,1245,10470124520180118,0
Bagalkot,Amengad PS,0147/2018,1,2018,7,2018-07-24 23:00:00.000,2018-07-25 06:00:00.000,2018-07-25 20:15:00.000,25/07/2018,Heinous,Undetected,Written,BURGLARY - NIGHT,At Commercial Places / Establishments,0.0,0.0,"IPC 1860 U/s: 457,380 ",Ayyanagouda V Patil (PI),18990190,,116200005,"AMINAGAD COMPLAINAT MEDICLE SHOP, AMINAGAD COMPLAINAT MEDICLE SHOP",WEST TOWARDS 700 MITERS,AMINAGAD TOWN BEAT NO 1,AMINAGAD,0,0,0,0,0,0,0,0,0,0,0,0,2018000153,1245,10470124520180147,0
Bagalkot,Amengad PS,0020/2019,1,2019,3,2019-03-28 22:00:00.000,2019-03-29 05:00:00.000,2019-03-29 17:00:00.000,29/03/2019,Non Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,15.995498,75.879126,"IPC 1860 U/s: 457,380 ",B A TIPARADDI   (PSI),2595579,,190100011,"BENAKANAVARI HPS SCHOOL, BENAKANAVARI HPS SCHOOL",SOUTH FROM PS 12KM,GUDUR OP BEAT NO 24,UPANAL,0,0,0,0,0,0,0,0,0,0,0,0,2019000066,1245,10470124520190020,1
Bagalkot,Amengad PS,0065/2019,1,2019,8,2019-08-22 23:45:00.000,2019-08-23 06:00:00.000,2019-08-23 13:00:00.000,23/08/2019,Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,16.055811,75.952481,"IPC 1860 U/s: 457,380 ",Ayyanagouda V Patil (PI),18990190,,116200005,"AMINAGAD PATTAN COMPLAINT HOUSE, AMINAGAD PATTAN COMPLAINT HOUSE",EAST 1KM FROM PS,AMINAGAD TOWN BEAT NO 1,AMINAGAD,0,0,0,0,0,0,0,0,0,0,0,0,2019000128,1245,10470124520190065,1
Bagalkot,Amengad PS,0098/2019,1,2019,12,2019-12-12 23:00:00.000,2019-12-13 06:00:00.000,2019-12-13 16:00:00.000,13/12/2019,Non Heinous,Convicted,Written,BURGLARY - NIGHT,Temple Theft,16.026951,75.871049,"IPC 1860 U/s: 457,380 ",Mallikarjun Guruputrappa Kulkarni (PSI),2481424,,7100075,"KALLIGUDDA VILLAGE IN BASAVESHVAR TEMPLE, KALLIGUDDA VILLAGE IN BASAVESHVAR TEMPLE",tO WARDS SOUTH 10 KM,RURAL BEAT NO 3,AIHOLE,1,0,0,0,0,0,0,1,0,1,1,1,2019000172,1245,10470124520190098,1
Bagalkot,Amengad PS,0101/2019,1,2019,12,2019-12-16 00:00:00.000,2019-12-17 07:30:00.000,2019-12-17 21:00:00.000,17/12/2019,Heinous,Convicted,Written,BURGLARY - NIGHT,At Residential Premises,16.103914,75.867943,"IPC 1860 U/s: 457,380,454 ",Ayyanagouda V Patil (PI),18990190,,116200005,"KAMATAGI COMPLAINANT HOUSE, KAMATAGI COMPLAINANT HOUSE",TOWARDS WEST 12 km FROM PS,RURAL BEAT NO 13,KAMATAGI,0,0,0,0,0,0,1,1,0,1,1,1,2019000175,1245,10470124520190101,1
