District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bagalkot,Amengad PS,0043/2017,1,2017,3,2017-03-09 07:30:00.000,2017-03-09 07:35:00.000,2017-03-11 21:30:00.000,11/03/2017,Heinous,Dis/Acq,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,0.0,0.0,"IPC 1860 U/s: 324,323,149,147,143,504,498A,506 DOWRY PROHIBITION ACT, 1961 U/s: 4,3 ",SANJEEV S BALIGAR   (PI),1898637,,42000030,"HIREMAGI VILLAGE VICTEM HOUSE, HIREMAGI VILLAGE VICTEM HOUSE",NORTH TOWARDS 8 KM,RURAL BEAT NO 16,MADAPUR,0,1,0,0,0,0,5,3,2,5,5,0,2017000046,1245,10470124520170043,0
Bagalkot,Amengad PS,0151/2017,1,2017,8,2017-08-16 12:30:00.000,2017-08-16 12:35:00.000,2017-08-29 14:45:00.000,29/08/2017,Heinous,Dis/Acq,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,0.0,0.0,"IPC 1860 U/s: 324,323,149,504,498A,341,506 DOWRY PROHIBITION ACT, 1961 U/s: 4,3 ",SANJEEV S BALIGAR   (PI),1898637,,42000030,"KAMATAGI VICTEM HOUSE, KAMATAGI VICTEM HOUSE",WEST TOWARDS 14 KM,RURAL BEAT NO 13,KAMATAGI,0,1,0,0,0,0,5,3,2,5,5,0,2017000160,1245,10470124520170151,0
Bagalkot,Amengad PS,0007/2023,1,2023,1,2023-01-18 09:00:00.000,2023-01-19 09:01:00.000,2023-01-23 18:00:00.000,23/01/2023,Heinous,Pending Trial,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,16.015132,75.549205,"IPC 1860 U/s: 143,147,323,324,498A,504,506,149 DOWRY PROHIBITION ACT, 1961 U/s: 4 ",S A SAVADI   (PI),1845439,,156600037,"DAMMUR VILLAGE, DAMMUR VILLAGE",SOUTH 20 KM,GUDUR OP RURAL BEAT NO 29,DAMMUR,0,1,0,0,0,0,5,0,0,0,5,0,2023000009,1245,10470124520230007,-1
Bagalkot,Amengad PS,0095/2023,1,2023,9,2022-04-25 10:00:00.000,2022-04-25 19:00:00.000,2023-09-07 17:00:00.000,07/09/2023,Heinous,Pending Trial,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,16.107899,75.866545,"IPC 1860 U/s: 143,147,148,323,324,504,506,498A,149 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 ",S A SAVADI   (PI),1845439,,156600037,"KAMATAGI VILLAGE ACCUSED HOUSE, KAMATAGI VILLAGE ACCUSED HOUSE",WEST 11 KM,RURAL BEAT NO 11,KAMATAGI ONE,0,1,0,0,0,0,5,2,3,5,5,0,2023000143,1245,10470124520230095,-1
Bagalkot,Badami PS,0081/2016,1,2016,5,2009-02-01 00:00:00.000,2016-05-19 00:00:00.000,2016-05-19 18:30:00.000,19/05/2016,Heinous,Dis/Acq,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,0.0,0.0,"DOWRY PROHIBITION ACT, 1961 U/s: 3,4 IPC 1860 U/s: 506,498A,504,143,147,149,323,34 ",NEELAPPA MALAPPA OLEKAR (PI),1548044,,156700009,"In Giddanayakahalli Village, In Giddanayakahalli Village",20 KM South from PS,RURAL BEAT NO 4,HIRENASIBI,1,0,0,0,0,0,8,6,2,8,3,0,2016000091,1246,10470124620160081,0
Bagalkot,Badami PS,0016/2017,1,2017,1,2016-01-25 00:00:00.000,2017-01-25 00:00:00.000,2017-01-25 10:30:00.000,25/01/2017,Heinous,Dis/Acq,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,0.0,0.0,"IPC 1860 U/s: 324,498A,504,34 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 ",K.S.HATTI   (PI),1842975,,43300006,"In Nandkeshwar Village, In Nandkeshwar Village",20 KM East from PS,RURAL BEAT NO 5,NAVILOHOLE,0,1,0,0,0,0,2,0,0,0,2,0,2017000017,1246,10470124620170016,0
Bagalkot,Badami PS,0085/2017,1,2017,4,2016-04-01 00:00:00.000,2017-04-06 00:00:00.000,2017-04-06 18:30:00.000,06/04/2017,Heinous,Pending Trial,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,0.0,0.0,"IPC 1860 U/s: 143,147,323,324,498A,504,506,149 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 IPC 1860 U/s: 34 ",NEELAPPA MALAPPA OLEKAR (PI),1548044,,156700009,"IN BADAMI, IN BADAMI",1 KM SOUTH FROM PS,TOWN BEAT NO 1,TALAWAR GALLI,1,0,0,0,0,0,7,5,2,7,3,0,2017000094,1246,10470124620170085,0
Bagalkot,Badami PS,0181/2017,1,2017,9,2017-06-10 00:00:00.000,2017-06-10 00:01:00.000,2017-09-09 18:45:00.000,09/09/2017,Heinous,Pending Trial,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,0.0,0.0,"IPC 1860 U/s: 323,498A,506,34 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 ",K.S.HATTI   (PI),1842975,,43300006,"In Badami Jayanagar, In Badami Jayanagar",1 KM South from PS,TOWN BEAT NO 2,RANGANATH NAGAR,0,1,0,0,0,0,4,1,3,4,4,0,2017000203,1246,10470124620170181,0
Bagalkot,Badami PS,0238/2018,1,2018,11,2018-05-10 18:30:00.000,2018-05-10 18:31:00.000,2018-11-06 16:00:00.000,06/11/2018,Heinous,Dis/Acq,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,0.0,0.0,"IPC 1860 U/s: 498A,342,307 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 ",RAMESH H HANAPUR   (PI),1898679,,105400030,"In Badami, In Badami",1 KM South from PS,TOWN BEAT NO 2,RANGANATH NAGAR,0,1,0,0,0,0,1,1,0,1,1,0,2018000258,1246,10470124620180238,0
Bagalkot,Badami PS,0084/2020,1,2020,6,2019-12-30 18:00:00.000,2019-12-30 18:01:00.000,2020-06-24 18:00:00.000,24/06/2020,Heinous,Pending Trial,Written,CRIMES RELATED TO WOMEN,Dowry Prohibition,0.0,0.0,"IPC 1860 U/s: 143,147,323,498A,355,504,506,149 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 IPC 1860 U/s: 34 ",RAMESH H HANAPUR   (PI),1898679,,105400030,"In Jalihal Village, In Jalihal Village",12 KM South from PS,RURAL BEAT NO 4,HIRENASIBI,0,1,0,0,0,0,5,0,0,0,2,0,2020000116,1246,10470124620200084,0
