District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bagalkot,Kerur PS,0198/2019,1,2019,12,2019-12-28 19:45:00.000,2019-12-28 19:46:00.000,2019-12-29 11:00:00.000,29/12/2019,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.058597,75.597458,"IPC 1860 U/s: 279,337,338,304(A) ",RAMESH H HANAPUR   (PI),1898679,,105400030,"Agasanakoppa-Jammanakatti Road Near Jammanakatti,, Agasanakoppa-Jammanakatti Road Near Jammanakatti,",North 10 Km From PS,RURALBEAT3,SULIKERI,2,0,0,0,0,0,1,0,0,0,1,0,2019000302,1247,10470124720190198,-1
Bagalkot,Banahatti PS,0121/2022,1,2022,12,2022-12-15 16:00:00.000,2022-12-15 16:01:00.000,2022-12-17 17:45:00.000,17/12/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.547529,75.181617,"IPC 1860 U/s: 279,338,176,304(A),201,149,34 ",SANJEEV S BALIGAR   (PI),1898637,,42000030,"ON HIPPARAGI- KULAHALLI ROAD NEAR MADINA MASIDI, ON HIPPARAGI- KULAHALLI ROAD NEAR MADINA MASIDI",12 K M EAST FROM PS,Rural Beat NO 3,Aski Asangi Village,1,0,0,0,0,0,6,0,0,0,6,0,2022000188,1259,10470125920220121,-1
Bagalkot,Savalgi PS,0069/2019,1,2019,7,2019-07-03 10:00:00.000,2019-07-03 10:01:00.000,2019-07-03 16:15:00.000,03/07/2019,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.73208,75.387158,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3,181,146,196,5,180 ",D.K.Patil   (PI),1898661,,31100010,"On kajibilagi-Honwad Road kajibilagi village, On kajibilagi-Honwad Road kajibilagi village",Towards North 12 Kms,RURAL BEAT 4,KURAGOD,0,0,0,1,0,0,2,0,0,0,2,0,2019000151,1254,10470125420190069,-1
Bagalkot,Banahatti PS,0169/2023,1,2023,12,2023-12-04 18:00:00.000,2023-12-04 18:01:00.000,2023-12-04 21:00:00.000,04/12/2023,Heinous,Transfered :UI( Banahatti Circle),Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.52752,75.17478,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SANJEEV S BALIGAR   (PI),1898637,,42000030,"NEAR SIDDAYYA SAVVACHARI FIELD KULAHALLI VILLAGE, NEAR SIDDAYYA SAVVACHARI FIELD KULAHALLI VILLAGE",NORTH 7 KM FROM PS,Rural Beat NO 3,Aski Asangi Village,1,0,0,0,0,0,1,0,0,0,1,0,2023000260,1259,10470125920230169,-1
Bagalkot,Savalgi PS,0146/2023,1,2023,11,2023-11-04 19:10:00.000,2023-11-04 19:11:00.000,2023-11-05 00:45:00.000,05/11/2023,Heinous,Transfered :UI( Jamakhandi Circle),Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.755259,75.471472,"IPC 1860 U/s: 304(A),337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181,5,3,146 ",M. D. Maddi   (PI),1809497,,41200055,"Near mallu Kavatekar Land On Road Gadyal village, Near mallu Kavatekar Land On Road Gadyal village",East 10 Km From Ps,RURAL BEAT 4,KURAGOD,3,0,0,0,0,0,2,0,0,0,2,0,2023000207,1254,10470125420230146,-1
Bagalkot,Mudhol PS,0148/2021,1,2021,9,2021-07-23 11:00:00.000,2021-07-23 11:01:00.000,2021-09-07 13:00:00.000,07/09/2021,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.325569,75.13992,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,177,129,3 ",Holeppagouda.R.Patil   (PI),1898603,,125600012,"On Akkimaradi- Mahalingapur Road Akkimaradi, On Akkimaradi- Mahalingapur Road Akkimaradi",Towards West 18 Kms From Ps,Rural Beat No 6,Belagali,0,1,0,0,0,0,1,1,0,1,1,0,2021000210,1255,10470125520210148,-1
Bagalkot,Savalgi PS,0039/2019,1,2019,5,2019-05-01 15:30:00.000,2019-05-01 15:31:00.000,2019-05-01 18:30:00.000,01/05/2019,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.680637,75.306367,"IPC 1860 U/s: 279,338,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3,181,146,196,129,177 ",D.K.Patil   (PI),1898661,,31100010,"ON SAVALAGI-TUNGAL ROAD NEAR BASAPPA VITHAL, ON SAVALAGI-TUNGAL ROAD NEAR BASAPPA VITHAL",TOWARDS WEST 5 KMS,RURAL BEAT I,TUNGAL,2,1,0,2,0,0,1,0,0,0,2,0,2019000112,1254,10470125420190039,-1
Bagalkot,Mudhol PS,0099/2022,1,2022,4,2022-04-18 19:00:00.000,2022-04-18 19:01:00.000,2022-04-27 16:05:00.000,27/04/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.337527,75.45344,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",Ayyanagouda V Patil (PI),18990190,,116200005,"On Halagali-Melligeri Road Near Halagali, On Halagali-Melligeri Road Near Halagali",Towards East 22 Kms From Ps,Rural Beat No 2,Budni PM,1,0,0,0,0,0,0,0,0,0,1,0,2022000149,1255,10470125520220099,-1
Bagalkot,Savalgi PS,0093/2019,1,2019,9,2019-09-16 16:30:00.000,2019-09-16 16:31:00.000,2019-09-28 07:15:00.000,28/09/2019,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.613907,75.435051,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177,129 ",D.K.Patil   (PI),1898661,,31100010,"On Todalabagi-Chikkalaki Cross Road Near Durgappa, On Todalabagi-Chikkalaki Cross Road Near Durgappa",Towards south 13 kms,RURAL BEAT I,TUNGAL,1,0,0,0,0,0,0,0,0,0,1,0,2019000195,1254,10470125420190093,-1
Bagalkot,Amengad PS,0060/2022,1,2022,5,2022-05-25 16:40:00.000,2022-05-25 16:41:00.000,2022-05-25 20:15:00.000,25/05/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.013492,75.884934,"IPC 1860 U/s: 279,337,338,304(A) ",Suresh Bendegumbal   (PI),2390053,,188800119,"ON BADAMI AIHOLE ROAD NEAR KYADIGERI CROSS, ON BADAMI AIHOLE ROAD NEAR KYADIGERI CROSS",SOUTH 10 KM,RURAL BEAT NO 5,KYADIGERI,0,0,0,5,0,0,1,1,0,1,1,0,2022000071,1245,10470124520220060,-1
