District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bagalkot,Mudhol PS,0072/2019,1,2019,4,2018-08-27 15:00:00.000,2019-04-10 12:00:00.000,2019-04-20 16:05:00.000,20/04/2019,Heinous,Pending Trial,Written,POCSO,Rape,16.304176,75.342602,"IPC 1860 U/s: 354(D),376(2)(n),363 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4,6 IPC 1860 U/s: 506 ",Holeppagouda.R.Patil   (PI),1898603,,125600012,"Near One Land  Near Shri Horatti School, Near One Land  Near Shri Horatti School",East 1 Kms from PS,Mudhol Town Beat 2,APMC YARD,0,0,0,1,0,0,1,1,0,1,1,0,2019000375,1255,10470125520190072,-1
Bagalkot,Banahatti PS,0063/2019,1,2019,6,2019-04-26 14:00:00.000,2019-04-26 14:01:00.000,2019-06-15 13:15:00.000,15/06/2019,Heinous,Dis/Acq,Written,POCSO,Rape,16.422846,75.107555,"IPC 1860 U/s: 363,366(A),376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4,6 IPC 1860 U/s: 376(1),376,366 ",Ashok Sadalagi   (PI),1898649,,7800020,"Chimmad Village in Complainant house, Chimmad Village in Complainant house",South 8 K.M away from P.S,Rural Beat No 1,Chimmad Village,0,0,0,1,0,0,0,1,0,1,1,0,2019000107,1259,10470125920190063,-1
Bagalkot,Bagalkot Rural PS,0223/2021,1,2021,12,2021-12-09 14:29:00.000,2021-12-09 14:30:00.000,2021-12-16 18:30:00.000,16/12/2021,Heinous,Dis/Acq,Written,POCSO,Rape,16.284472,76.002607,"IPC 1860 U/s: 363,366,376,376(1),376(N) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4,6 ",N.N.AMBIGER   (PI),1962771,,125400032,"Bommanaggi Village Complainant House, Bommanaggi Village Complainant House",East 42 Kms From ps,BEVOOR OP BEAT NO 2,BOMMANAGI,0,0,0,1,0,0,1,1,0,1,1,0,2021000328,1238,10470123820210223,-1
Bagalkot,Banahatti PS,0063/2021,1,2021,7,2021-06-23 15:30:00.000,2021-06-23 15:31:00.000,2021-07-03 19:45:00.000,03/07/2021,Heinous,Pending Trial,Written,POCSO,Rape,16.525932,75.166191,IPC 1860 U/s: 363 ,Karuneshagowda J   (PI),1820048,,97500025,"In Complainant House, Kulahalli Village, In Complainant House, Kulahalli Village",Towards North 10 km,Rural Beat NO 3,Aski Asangi Village,0,0,0,1,0,0,0,1,0,1,1,0,2021000083,1259,10470125920210063,-1
Bagalkot,Lokapur PS,0016/2024,1,2024,1,2023-12-25 09:00:00.000,2023-12-25 09:01:00.000,2024-01-31 22:45:00.000,31/01/2024,Heinous,Transfered :UI( Mudhol Circle),Written,POCSO,Rape,16.143841,75.377528,"IPC 1860 U/s: 363,376,376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4,6 ",MAHADEV NEMANNA SHIRAHATTI (PI),900743974,,125000086,"In Palkimani area Complaint  form house, In Palkimani area Complaint  form house",South 4 KM,LOKAPUR TOWN BEAT 2,LOKAPUR,0,0,0,1,0,0,1,0,0,0,0,0,2024000021,1256,10470125620240016,-1
Bagalkot,Navanagara PS,0004/2019,1,2019,1,2018-10-23 11:15:00.000,2018-10-23 11:16:00.000,2019-01-08 20:15:00.000,08/01/2019,Heinous,Dis/Acq,Written,POCSO,Rape,16.150019,75.659888,"PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4,6 IPC 1860 U/s: 376(2)(n),506,366,342,363 ",SHRISHAIL GABI   (PI),1966709,,124100038,"Navanagar Shedda Cross, Navanagar Shedda Cross",South 1 km From Ps,05,Navanagar,0,0,0,1,0,0,0,1,0,1,1,0,2019000004,1888,10470188820190004,-1
Bagalkot,Ilakal Rural PS,0032/2023,1,2023,5,2023-05-05 22:30:00.000,2023-05-05 22:31:00.000,2023-05-15 19:45:00.000,15/05/2023,Heinous,Pending Trial,Written,POCSO,Rape,15.986737,76.219353,"IPC 1860 U/s: 363,376(3) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4 IPC 1860 U/s: 376(2)(n) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 6 IPC 1860 U/s: 376 ",Suresh Bendegumbal   (PI),2390053,,188800119,"KRISHNAPUR VILLEGE OPPOSIT COMPLENENT HOUSE &, KRISHNAPUR VILLEGE OPPOSIT COMPLENENT HOUSE &",EAST 14 K M,NANDAVADAGI 0P BEAT NO 1,NANDAWADAGI,0,0,0,1,0,0,1,1,0,1,1,0,2023000055,2189,10470218920230032,-1
Bagalkot,Bagalkot Rural PS,0002/2021,1,2021,1,2020-11-23 15:59:00.000,2020-11-23 16:00:00.000,2021-01-03 17:30:00.000,03/01/2021,Non Heinous,Dis/Acq,Written,POCSO,Rape,16.172164,75.731876,"IPC 1860 U/s: 376(1),376(N),366,376,363,323 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4,6 IPC 1860 U/s: 109 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 17 IPC 1860 U/s: 376(3),376(2)(n) ",N.N.AMBIGER   (PI),1962771.0,,125400032,"Old Mallapur Shir Mallikarjun Temple, Old Mallapur Shir Mallikarjun Temple",10 Km Towerds East From PS,BEAT NO 6,SHIGIKERI,0,0,0,1,0,0,0,1,0,1,2,0,2021000003,1238,10470123820210002,-1
Bagalkot,Hungunda PS,0047/2021,1,2021,3,2021-03-15 21:00:00.000,2021-03-15 21:01:00.000,2021-03-16 12:45:00.000,16/03/2021,Heinous,Pending Trial,Written,POCSO,Rape,16.115287,76.041873,"IPC 1860 U/s: 363,376(1) PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4,6,12 CHILD MARRIAGE RESTRAINT ACT U/s: 9 IPC 1860 U/s: 376(2)(n) ",HOSAKERAPPA.K   (PI),164999.0,,162800019,"AMARAVATI VILLAGE IN COMPLAINANT HOUSE, AMARAVATI VILLAGE IN COMPLAINANT HOUSE",EAST 5 KM FROM PS,BEAT NO 8 RURAL,AMARAVTI,0,0,0,1,0,0,1,1,0,1,1,0,2021000053,1241,10470124120210047,-1
Bagalkot,Ilakal Rural PS,0033/2022,1,2022,3,2022-02-25 14:00:00.000,2022-02-25 14:01:00.000,2022-03-23 19:30:00.000,23/03/2022,Heinous,Dis/Acq,Written,POCSO,Rape,16.131726,75.723641,"Prohibition of Child Marriage Act 2006 U/s: 9,10 PROTECTION OF CHILDREN FROM SEXUAL OFFENCES ACT 2012 U/s: 4,6 IPC 1860 U/s: 376(2)(n),363,366(A) Prohibition of Child Marriage Act 2006 U/s: 11 ",HOSAKERAPPA.K   (PI),164999.0,,162800019,"IN PALATI AT COMPLAINT FATHERS HOUSE, IN PALATI AT COMPLAINT FATHERS HOUSE",EAST 19 KM FROM PS,BEAT NO 7,PALATI,0,0,1,0,0,0,5,2,0,2,5,0,2022000039,2189,10470218920220033,-1
