District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bagalkot,Badami PS,0171/2023,1,2023,11,2023-10-06 16:30:00.000,2023-10-06 16:31:00.000,2023-11-03 12:30:00.000,03/11/2023,Non Heinous,False Case,Written,WRONGFUL RESTRAINT/CONFINEMENT,Others,15.924666,75.67884,"IPC 1860 U/s: 341,504,506 ",VITTAL IRAPPA NAIK (PSI),2277188,,29200056,"BADAMI TOWN NEAR KUMARAGOUD JANALI HOUSE, BADAMI TOWN NEAR KUMARAGOUD JANALI HOUSE",NOTRH 200 MTR FROM PS,TOWN BEAT NO 3,ANAND NAGAR,0,1,0,0,0,0,2,0,0,0,0,0,2023000277,1246,10470124620230171,-1
Bagalkot,Bagalkot Rural PS,0291/2018,1,2018,12,2018-12-16 07:59:00.000,2018-12-16 08:00:00.000,2018-12-27 22:15:00.000,27/12/2018,Non Heinous,Pending Trial,Written,WRONGFUL RESTRAINT/CONFINEMENT,Others,0.0,0.0,"IPC 1860 U/s: 341,504,506,149,147,143 ",M.J.TUREDAWALE   (ASI),1022303,,124100037,"Bevoor Village In Madara Oni, Bevoor Village In Madara Oni",East 27 kms From ps,BEVOOR OP BEAT NO 1,BODANAYAKANADINNI,1,0,0,0,0,0,9,7,1,8,9,0,2018000321,1238,10470123820180291,0
Bagalkot,Bagalkot Rural PS,0011/2022,1,2022,1,2022-01-20 12:29:00.000,2022-01-20 12:30:00.000,2022-01-21 18:30:00.000,21/01/2022,Non Heinous,False Case,Written,WRONGFUL RESTRAINT/CONFINEMENT,Others,16.18977,75.627837,"IPC 1860 U/s: 323,341,504,506,34 ",HANAMANT  NARALI (PSI),2224452,,139400159,"Gaddanakeri Village Infront Of Complainant House, Gaddanakeri Village Infront Of Complainant House",South 10 Kms From ps,BEAT NO 4,VEERAPUR,1,0,0,0,0,0,2,0,0,0,0,0,2022000014,1238,10470123820220011,-1
Bagalkot,Bagalkot Rural PS,0063/2022,1,2022,4,2022-03-14 13:49:00.000,2022-03-14 13:50:00.000,2022-04-02 16:00:00.000,02/04/2022,Non Heinous,Pending Trial,Written,WRONGFUL RESTRAINT/CONFINEMENT,Others,0.0,0.0,"IPC 1860 U/s: 323,341,504,506 ",JANARDHAN BHATRALLI   (PSI),2976408,,60800083,"IN Ramapur Panchayati Office, IN Ramapur Panchayati Office",East 35 Kms,RAMPUR OP BEAT NO 1,RAMPUR RC,1,0,0,0,0,0,1,1,0,1,1,0,2022000082,1238,10470123820220063,0
Bagalkot,Bagalkot Town PS,0137/2018,1,2018,8,2018-08-06 15:00:00.000,2018-08-06 15:01:00.000,2018-08-06 18:30:00.000,06/08/2018,Non Heinous,Convicted,Sue-moto by Police,WRONGFUL RESTRAINT/CONFINEMENT,Others,16.172535,75.655721,"IPC 1860 U/s: 341,283 ",K.V.GULABAL   (ASI),1332646,,124700013,"Dr. Kerudi Hospital Road Bagalkot, Dr. Kerudi Hospital Road Bagalkot",Towards East-0.5 Km from ps,TOWN BEAT NO 4,HARANASHIKARI KALANI,0,0,0,0,0,0,1,1,0,1,1,1,2018000144,1236,10470123620180137,-1
Bagalkot,Bagalkot Town PS,0013/2019,1,2019,2,2019-02-06 09:40:00.000,2019-02-06 09:41:00.000,2019-02-20 19:45:00.000,20/02/2019,Non Heinous,Convicted,Written,WRONGFUL RESTRAINT/CONFINEMENT,Others,16.183616,75.695384,"IPC 1860 U/s: 323,341,504,506,34 ",L.B.MUGI   (ASI),1332593,,124000005,"Near Lions School, Near Lions School",Towards East 0.5 Km From Ps,TOWN BEAT NO 3,LAXMI NAGARA,0,1,0,0,0,0,2,0,0,0,2,2,2019000018,1236,10470123620190013,-1
Bagalkot,Bagalkot Town PS,0024/2022,1,2022,5,2022-05-08 05:30:00.000,2022-05-08 06:15:00.000,2022-05-08 15:45:00.000,08/05/2022,Non Heinous,Pending Trial,Written,WRONGFUL RESTRAINT/CONFINEMENT,Others,0.0,0.0,"IPC 1860 U/s: 307,342,427,447,34 ",M NAGAREDDY   (PI),1637553,,115500021,"Vinayak Nagar, Complainant House, Vinayak Nagar, Complainant House",East 1 K.M From P.S,TOWN BEAT NO 3,LAXMI NAGARA,0,1,0,0,0,0,5,0,0,0,2,0,2022000034,1236,10470123620220024,0
Bagalkot,Banahatti PS,0068/2023,1,2023,4,2023-04-17 12:15:00.000,2023-04-17 12:30:00.000,2023-04-17 14:15:00.000,17/04/2023,Non Heinous,Pending Trial,Sue-moto by Police,WRONGFUL RESTRAINT/CONFINEMENT,Others,16.284112,75.72412,"IPC 1860 U/s: 283,149,147,143,341 ",RAGHAVENDRA  KHOT (PSI),2952378,,146000049,"BANAHATTI TOWN NEAR TAMMANNAPPA CIRCLE BANAHTTI, BANAHATTI TOWN NEAR TAMMANNAPPA CIRCLE BANAHTTI",EAST 500 MITER FROM PS,TOWN BEAT 1,Rampur,1,0,0,0,0,0,14,0,0,0,14,0,2023000095,1259,10470125920230068,-1
Bagalkot,Banahatti PS,0119/2023,1,2023,8,2023-08-03 17:30:00.000,2023-08-03 17:31:00.000,2023-08-07 12:30:00.000,07/08/2023,Non Heinous,Pending Trial,Written,WRONGFUL RESTRAINT/CONFINEMENT,Others,16.479377,75.130392,"IPC 1860 U/s: 323,341,504,506,34 ",RAGHAVENDRA  KHOT (PSI),2952378,,146000049,"IN SHREE KADASIDDESHWAR ELECTRICAL WEAVE MACHINE, IN SHREE KADASIDDESHWAR ELECTRICAL WEAVE MACHINE",EAST 1 KM FROM PS,TOWN BEAT 3,K H D C COLONY,1,0,0,0,0,0,2,0,0,0,2,0,2023000172,1259,10470125920230119,-1
Bagalkot,Bilagi PS,0027/2017,1,2017,2,2017-02-06 11:59:00.000,2017-02-06 12:00:00.000,2017-02-06 15:00:00.000,06/02/2017,Non Heinous,Dis/Acq,Written & Organised,WRONGFUL RESTRAINT/CONFINEMENT,Others,0.0,0.0,"IPC 1860 U/s: 506(2),504,341 ",Shivayogi Lohar   (PSI),2481852,,44700139,"INAM HANCHANALA VILLAGE, INAM HANCHANALA VILLAGE",WEST 18 KMS,GALAGALI OP BEAT 2,GULABAL,1,0,0,0,0,0,1,1,0,1,1,0,2017000028,1263,10470126320170027,0
