District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Ballari,Bellary Rural PS,0009/2019,1,2019,1,2019-01-08 21:20:00.000,2019-01-08 21:21:00.000,2019-01-09 00:30:00.000,09/01/2019,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) IPC 1860 U/s: 427 PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",LAXMAN M   (PSI),1255149,,34200012,"Near Canal, Hospet Road, Near Canal, Hospet Road",5 km towards west to ps,BEAT 5,HALADAHALLI,0,0,0,0,0,0,0,0,0,0,0,0,2019000012,338,10445033820190009,0
Ballari,Bellary Rural PS,0010/2019,1,2019,1,2019-01-08 21:45:00.000,2019-01-08 21:46:00.000,2019-01-09 01:00:00.000,09/01/2019,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 427 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) ",LAXMAN M   (PSI),1255149,,34200012,"Opposite Janardhana Reddy Helipad, Siruguppa Road, Opposite Janardhana Reddy Helipad, Siruguppa Road",5 km towards Norht to ps,BEAT 2,KAPPAGALLU,0,0,0,0,0,0,0,0,0,0,0,0,2019000013,338,10445033820190010,0
Ballari,Bellary Rural PS,0316/2020,1,2020,12,2020-12-11 11:20:00.000,2020-12-11 11:21:00.000,2020-12-11 13:00:00.000,11/12/2020,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 427 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",Y S HANUMANTHAPPA   (PI),2481436,,36000042,"Near Bus-Stop, Near Bus-Stop",6 Km towards form West,BEAT 5,HALADAHALLI,0,0,0,0,0,0,0,0,0,0,0,0,2020000462,338,10445033820200316,0
Ballari,Bellary Rural PS,0317/2020,1,2020,12,2020-12-11 11:21:00.000,2020-12-11 11:22:00.000,2020-12-11 14:00:00.000,11/12/2020,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 IPC 1860 U/s: 427 ",Y S HANUMANTHAPPA   (PI),2481436,,36000042,"Infront of Sharma Daba, Infront of Sharma Daba",6 Km Towards from West,BEAT 5,HALADAHALLI,0,0,0,0,0,0,0,0,0,0,0,0,2020000463,338,10445033820200317,0
Ballari,Bellary Rural PS,0318/2020,1,2020,12,2020-12-11 21:45:00.000,2020-12-11 21:50:00.000,2020-12-11 23:00:00.000,11/12/2020,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 427 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",Y S HANUMANTHAPPA   (PI),2481436,,36000042,"Near Bus-Stand, Near Bus-Stand",6 Km Towards from West,BEAT 5,HALADAHALLI,0,0,0,0,0,0,0,0,0,0,0,0,2020000464,338,10445033820200318,0
Ballari,Bellary Rural PS,0112/2021,1,2021,4,2021-04-12 19:30:00.000,2021-04-12 19:40:00.000,2021-04-12 22:00:00.000,12/04/2021,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 427 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) PREV. OF DAMAGE TO PUBLIC PROPERTY ACT, 1984 U/s: 3 ",Y S HANUMANTHAPPA   (PI),2481436,,36000042,"Opp BSAL Factory Anthapura Road, Opp BSAL Factory Anthapura Road",08 KM Towderes East,BEAT 1,B.GONAL,0,0,0,0,0,0,0,0,0,0,0,0,2021000129,338,10445033820210112,0
Ballari,Brucepet PS,0032/2018,1,2018,2,2018-02-10 22:20:00.000,2018-02-10 22:25:00.000,2018-02-11 13:00:00.000,11/02/2018,Non Heinous,Dis/Acq,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 323,504,332,353,506,34 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) ",NAGARAJA R   (PI),1966774,,176800097,"MOTHI CIRCLE, MOTHI CIRCLE",01 KM TOWARDS WEST,BEAT 1,BIG VEG MARKET,1,0,0,0,0,0,2,0,0,0,2,0,2018000040,333,10445033320180032,0
Ballari,Brucepet PS,0293/2018,1,2018,11,2018-11-13 01:00:00.000,2018-11-13 01:30:00.000,2018-11-13 10:00:00.000,13/11/2018,Non Heinous,Convicted,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) ",CHAND BASHA MD   (ASI),721870,,34400005,"NEW KSRTC BUSTAND, NEW KSRTC BUSTAND",2 KMS TOWARDS SOUTH,BEAT 1,BIG VEG MARKET,0,0,0,0,0,0,1,1,0,1,1,1,2018000336,333,10445033320180293,0
Ballari,Brucepet PS,0005/2019,1,2019,1,2019-01-08 21:30:00.000,2019-01-08 21:40:00.000,2019-01-09 00:15:00.000,09/01/2019,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 427 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(B) ",LOKARAJA N.   (PSI),721842,,33000071,"MOTHI CIRCLE, MOTHI CIRCLE",01 KM TOWARDS WEST,BEAT 1,BIG VEG MARKET,1,0,0,0,0,0,1,0,0,0,0,0,2019000005,333,10445033320190005,0
Ballari,Brucepet PS,0052/2021,1,2021,4,2021-04-12 19:15:00.000,2021-04-12 19:45:00.000,2021-04-13 11:00:00.000,13/04/2021,Non Heinous,Undetected,Written, PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ,0.0,0.0,"IPC 1860 U/s: 427 PREVENTION OF DESTRUCTION AND LOSS OF PROPERTY ACT, 1981 U/s: 2(b) ",NAGARAJA R   (PI),1966774,,176800097,"NEAR M G, ANANTHAPUR ROAD AND, NEAR M G, ANANTHAPUR ROAD AND",HALF KM TOWARDS EAST,BEAT 6,DATTASAI NAGARA AREA,1,0,0,0,0,0,0,0,0,0,0,0,2021000165,333,10445033320210052,0
