District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Ballari,Brucepet PS,0083/2017,1,2017,5,2017-05-06 18:30:00.000,2017-05-06 18:40:00.000,2017-05-06 21:15:00.000,06/05/2017,Non Heinous,Dis/Acq,Sue-moto by Police,AFFRAY,Affray,0.0,0.0,IPC 1860 U/s: 160 ,KALI KRISHNA.E.   (PI),1962653,,34400008,"PUBLIC PLACE, INFRONT OF REDDY BAKERY, PUBLIC PLACE, INFRONT OF REDDY BAKERY","1,1/2 KM TOWARDS EAST",BEAT 4,BANGALORE ROAD,0,0,0,0,0,0,6,5,0,5,6,0,2017000093,333,10445033320170083,0
Ballari,Brucepet PS,0163/2017,1,2017,7,2017-07-19 20:45:00.000,2017-07-19 21:00:00.000,2017-07-19 21:55:00.000,19/07/2017,Non Heinous,Convicted,Sue-moto by Police,AFFRAY,Affray,0.0,0.0,IPC 1860 U/s: 160 ,NIRANJANA B   (PI),2282210,,180900196,"Public Place Infront of Swamy timber depo, Public Place Infront of Swamy timber depo","1,1/2 Km Towards East",BEAT 4,BANGALORE ROAD,0,0,0,0,0,0,5,5,0,5,5,4,2017000181,333,10445033320170163,0
Ballari,Brucepet PS,0029/2023,1,2023,3,2023-03-04 18:00:00.000,2023-03-04 18:15:00.000,2023-03-04 19:30:00.000,04/03/2023,Non Heinous,Convicted,Written,AFFRAY,Affray,0.0,0.0,IPC 1860 U/s: 160 ,ISMAIL SAB   (PSI),1252033,,34700036,"Near Rani thota circle, Near Rani thota circle",2Kmt toward s South from ps,BEAT 2,RANITHOTA AREA,0,0,0,0,0,0,6,0,0,0,6,6,2023000105,333,10445033320230029,0
Ballari,Brucepet PS,0068/2023,1,2023,5,2023-05-12 17:30:00.000,2023-05-12 18:00:00.000,2023-05-12 19:00:00.000,12/05/2023,Non Heinous,Convicted,Written,AFFRAY,Affray,0.0,0.0,IPC 1860 U/s: 160 ,SURESHAPPA R.   (PSI),1090307,,36000028,"At public place, near Kaman, Ranithota,, At public place, near Kaman, Ranithota,",2 km towards South,BEAT 2,RANITHOTA AREA,0,0,0,0,0,0,3,0,0,0,3,3,2023000177,333,10445033320230068,0
Ballari,Cowlbazar PS,0067/2017,1,2017,4,2017-04-01 18:30:00.000,2017-04-01 19:00:00.000,2017-04-01 19:30:00.000,01/04/2017,Non Heinous,Convicted,Written,AFFRAY,Affray,0.0,0.0,IPC 1860 U/s: 160 ,SHIVA SHANKAR GOUDA   (PSI),721837,,33400052,"In Publice Place, Infront of Shadi Mahal,, In Publice Place, Infront of Shadi Mahal,",1 KM towards north to PS,BEAT1,Dhobi street,0,0,0,0,0,0,2,0,0,0,2,2,2017000074,334,10445033420170067,0
Ballari,Cowlbazar PS,0158/2017,1,2017,5,2017-05-25 13:30:00.000,2017-05-25 13:45:00.000,2017-05-25 15:30:00.000,25/05/2017,Non Heinous,Pending Trial,Written,AFFRAY,Affray,0.0,0.0,IPC 1860 U/s: 160 ,SHIVA SHANKAR GOUDA   (PSI),721837,,33400052,"Dodda Idga,, Dodda Idga,",1 KM towards notrh to PS,BEAT1,Dhobi street,0,0,0,0,0,0,3,0,0,0,3,0,2017000173,334,10445033420170158,0
Ballari,Cowlbazar PS,0112/2019,1,2019,7,2019-07-03 22:30:00.000,2019-07-03 22:45:00.000,2019-07-03 23:40:00.000,03/07/2019,Non Heinous,Pending Trial,Written,AFFRAY,Affray,0.0,0.0,IPC 1860 U/s: 160 ,POMPANNA A.   (HC),1255259,,34200019,"Vims Haspital, Vims Haspital",3 KM Towards North To PS,BEAT7,Siddharthanagar,0,0,0,0,0,0,5,0,0,0,5,0,2019000192,334,10445033420190112,0
Ballari,Cowlbazar PS,0070/2021,1,2021,4,2021-04-27 18:30:00.000,2021-04-27 18:45:00.000,2021-04-27 19:30:00.000,27/04/2021,Non Heinous,Pending Trial,Written,AFFRAY,Affray,0.0,0.0,"IPC 1860 U/s: 160,188 THE KARNATAKA EPIDEMIC DISEASES ACT, 2020 U/s: 5(1),5(4) ",VIJAYA LAKSHMI H B   (PSI),1091490,,33500062,"In Public Place Radio Park Circel, In Public Place Radio Park Circel",1km Towards  North to Ps,BEAT3,Pakali street,0,0,0,0,0,0,9,0,0,0,9,0,2021000137,334,10445033420210070,0
Ballari,Cowlbazar PS,0074/2023,1,2023,5,2023-05-14 17:00:00.000,2023-05-14 17:15:00.000,2023-05-14 18:30:00.000,14/05/2023,Non Heinous,Pending Trial,Written,AFFRAY,Affray,0.0,0.0,IPC 1860 U/s: 160 ,SHAHANAZ SULTHANA S.   (PSI),3331005,,33400045,"Beside Remand Home, Beside Remand Home",2 KM towards north to PS,BEAT5,KARKHANA MOSQUE,0,0,0,0,0,0,5,0,0,0,5,0,2023000180,334,10445033420230074,0
Ballari,Gadiganur PS,0086/2016,1,2016,10,2016-10-12 21:30:00.000,2016-10-13 02:30:00.000,2016-10-14 09:30:00.000,14/10/2016,Non Heinous,Convicted,Written,AFFRAY,Affray,0.0,0.0,"IPC 1860 U/s: 143,147,323,504,160,506,149 ",VASUKUMAR K B BHOJAP   (PI),2282194,,180900824,"Infront Of Peeraladevara Gudi Ubbalagandi Villege, Infront Of Peeraladevara Gudi Ubbalagandi Villege",30 KM Towards East,Beat 4,GADIGANOORU,0,0,0,0,0,0,17,17,0,17,17,0,2016000096,362,10445036220160086,0
