District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Ballari,APMC Yard PS,0099/2016,1,2016,11,2016-11-01 08:30:00.000,2016-11-01 19:30:00.000,2016-11-01 21:00:00.000,01/11/2016,Heinous,Undetected,Oral & Organised,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",N. LOKESHAWARAPPA   (Dy.SP),1239480,,34700053,"IN COMPLAINT HOUSE, IN COMPLAINT HOUSE",1 KM TOWARDS SOUTH,3 beat,Andral,0,0,0,0,0,0,0,0,0,0,0,0,2016000109,1920,10445192020160099,0
Ballari,APMC Yard PS,0052/2017,1,2017,8,2017-08-12 07:30:00.000,2017-08-12 18:00:00.000,2017-08-12 20:15:00.000,12/08/2017,Heinous,Undetected,Oral,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",KALI KRISHNA.E.   (PI),1962653,,34400008,"AT: COMPLAINANT HOUSE, HANUMAN NAGAR,, AT: COMPLAINANT HOUSE, HANUMAN NAGAR,",1 KM TOWARDS SOUTH,3 beat,Andral,0,1,0,0,0,0,1,0,0,0,0,0,2017000059,1920,10445192020170052,0
Ballari,APMC Yard PS,0057/2022,1,2022,8,2022-08-20 11:30:00.000,2022-08-20 13:30:00.000,2022-08-20 15:30:00.000,20/08/2022,Non Heinous,Undetected,Others,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",Sathyanarayana M   (ASI),1091085,,33400094,"IN COMPLAINANT HOUSE, IN COMPLAINANT HOUSE",3 KMs TOWARDS EAST,3 beat,Andral,0,1,0,0,0,0,1,0,0,0,0,0,2022000089,1920,10445192020220057,0
Ballari,APMC Yard PS,0071/2022,1,2022,9,2022-09-30 11:30:00.000,2022-09-30 13:00:00.000,2022-09-30 14:30:00.000,30/09/2022,Non Heinous,Undetected,Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",Sathyanarayana M   (ASI),1091085,,33400094,"IN COMPLAINANT HOUSE, NEAR MAREMMA TEMPLE, IN COMPLAINANT HOUSE, NEAR MAREMMA TEMPLE",3 KMs TOWARDS EAST,3 beat,Andral,1,0,0,0,0,0,1,0,0,0,0,0,2022000110,1920,10445192020220071,0
Ballari,APMC Yard PS,0003/2023,1,2023,1,2023-01-26 15:30:00.000,2023-01-26 17:00:00.000,2023-01-27 09:00:00.000,27/01/2023,Heinous,False Case,Others,BURGLARY - DAY,At Residential Premises,15.117423,76.915434,"IPC 1860 U/s: 454,380 ",BASAVARAJ M PATIL   (PI),2282151,,135400068,"IN COMPLAINANT HOUSE, IN COMPLAINANT HOUSE",1 KM TOWARDS SOUTH,3 beat,Andral,0,1,0,0,0,0,1,0,0,0,0,0,2023000015,1920,10445192020230003,-1
Ballari,Bellary Rural PS,0139/2016,1,2016,3,2016-03-25 11:30:00.000,2016-03-25 15:00:00.000,2016-03-25 19:00:00.000,25/03/2016,Non Heinous,Pending Trial,Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380,511 ",SIDDESH KRISHNA ILAK   (PSI),721217,,189300022,"COMPLAINANT HOUSE 11th CROSS RENUKA NAGARA, COMPLAINANT HOUSE 11th CROSS RENUKA NAGARA",NOTRH OWARDS 2 K.M,BEAT 2,KAPPAGALLU,0,0,0,0,0,0,0,1,0,1,1,0,2016000145,338,10445033820160139,0
Ballari,Bellary Rural PS,0144/2016,1,2016,3,2016-03-26 10:30:00.000,2016-03-26 18:00:00.000,2016-03-29 10:00:00.000,29/03/2016,Heinous,Undetected,Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",CHIDANANDA RAO M.   (PI),1252538,,36100040,"COMPLAINANT HOUSE, COMPLAINANT HOUSE",EAST TOWARDS 2 K.M,BEAT 1,B.GONAL,0,0,0,0,0,0,0,0,0,0,0,0,2016000150,338,10445033820160144,0
Ballari,Bellary Rural PS,0455/2016,1,2016,11,2016-11-03 12:00:00.000,2016-11-03 13:00:00.000,2016-11-03 18:00:00.000,03/11/2016,Heinous,Pending Trial,Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",PRASAD.K.GOKHALE   (Dy.SP),1840995,,34500001,"2nd Ward, 2nd Ward",5 KM fom ps to East.,BEAT 2,KAPPAGALLU,0,0,0,0,0,0,2,0,0,0,2,0,2016000499,338,10445033820160455,0
Ballari,Bellary Rural PS,0067/2017,1,2017,3,2017-03-22 09:00:00.000,2017-03-22 15:00:00.000,2017-03-22 17:30:00.000,22/03/2017,Heinous,Pending Trial,Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",DR.SUDHAKAR B S   (PI),1635942,,68300051,"Near Hill Halakundi village, Near Hill Halakundi village",8 km for from Towards south,BEAT 4,HALDALLI,0,0,0,0,0,0,0,3,0,3,3,0,2017000075,338,10445033820170067,0
Ballari,Bellary Rural PS,0149/2017,1,2017,6,2017-06-03 11:00:00.000,2017-06-03 17:00:00.000,2017-06-03 21:30:00.000,03/06/2017,Heinous,Undetected,Written,BURGLARY - DAY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 454,380 ",CHIDANANDA RAO M.   (PI),1252538,,36100040,"Complainant House, Complainant House",10 KM Towards West,BEAT 5,HALADAHALLI,0,0,0,0,0,0,1,0,0,0,0,0,2017000163,338,10445033820170149,0
