District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Ballari,APMC Yard PS,0069/2022,1,2022,9,2022-09-17 21:00:00.000,2022-09-19 00:00:00.000,2022-09-19 22:00:00.000,19/09/2022,Non Heinous,False Case,Written,COMMUNAL / RELIGION   ,Others,0.0,0.0,IPC 1860 U/s: 297 ,PADMAVATHI R.   (PSI),1323807,,33800030,"TS NO: 673/3, BURIAL GROUND,, TS NO: 673/3, BURIAL GROUND,",1 KM  TOWARDS WEST,1 BEAT,BANDIMOTE AREA,1,0,0,0,0,0,4,0,0,0,0,0,2022000107,1920,10445192020220069,0
Ballari,Bellary Rural PS,0062/2024,1,2024,2,2024-02-24 01:45:00.000,2024-02-24 03:30:00.000,2024-02-25 20:00:00.000,25/02/2024,Non Heinous,Under Investigation,Written,COMMUNAL / RELIGION   ,Religious Issue,15.144266,76.934774,"IPC 1860 U/s: 143,147,295,149 ",SANTOSH B DABBIN   (PSI),2441273,,140700198,"IN YERRITAATA TEMPLE COMPOUND, IN YERRITAATA TEMPLE COMPOUND",06 KM TOWORDS WEST FROM PS,BEAT 5,HALADAHALLI,1,0,0,0,0,0,23,0,0,0,0,0,2024000087,338,10445033820240062,-1
Ballari,Brucepet PS,0120/2016,1,2016,7,2016-05-06 19:00:00.000,2016-05-06 19:01:00.000,2016-07-11 18:15:00.000,11/07/2016,Non Heinous,False Case,Judicial/Magistrate reference,COMMUNAL / RELIGION   ,Others,0.0,0.0,"IPC 1860 U/s: 298,297,296,295A,295,504,34,506 ",N. LOKESHAWARAPPA   (Dy.SP),1239480,,34700053,"HAZARATH MQDHOOM JHANI DARGHA AREA OPPOSITE, HAZARATH MQDHOOM JHANI DARGHA AREA OPPOSITE",2 K.M TOWARDS NORTH,BEAT 6,DATTASAI NAGARA AREA,0,0,0,0,0,0,5,0,0,0,0,0,2016000137,333,10445033320160120,0
Ballari,Cowlbazar PS,0140/2019,1,2019,8,2019-08-15 08:30:00.000,2019-08-15 09:00:00.000,2019-08-15 19:00:00.000,15/08/2019,Non Heinous,Pending Trial,Written,COMMUNAL / RELIGION   ,Communal Issue,0.0,0.0,"IPC 1860 U/s: 295A,34,153A,505 ",SUBHASH CHANDRA T   (PI),1898747,,48900072,"Babu Chowk Auto Stand, Babu Chowk Auto Stand",0.5 KM Towards North To PS,BEAT1,Dhobi street,0,0,0,0,0,0,2,0,0,0,2,0,2019000228,334,10445033420190140,0
Ballari,Gandhinagar PS,0003/2020,1,2020,1,2020-01-03 11:15:00.000,2020-01-03 12:30:00.000,2020-01-04 08:30:00.000,04/01/2020,Non Heinous,Transfered :UI( Bellary City Sub-Division),Written,COMMUNAL / RELIGION   ,Political Issue,0.0,0.0,IPC 1860 U/s: 153A ,SHEKARAPPA H   (Dy.SP),18409498,,15300001,"ROYAL CIRCLE, INFRONT OF KESHAVA REDDY PETROL BUNK, ROYAL CIRCLE, INFRONT OF KESHAVA REDDY PETROL BUNK",500 METRES WEST,1ST BEAT,PARVATHI NAGAR FRIST CROSS,1,0,0,0,0,0,2,0,0,0,0,0,2020000003,335,10445033520200003,0
Ballari,Hatcholli PS,0044/2017,1,2017,7,2017-07-27 06:00:00.000,2017-07-27 06:30:00.000,2017-07-27 13:45:00.000,27/07/2017,Non Heinous,Undetected,Written,COMMUNAL / RELIGION   ,Others,0.0,0.0,"IPC 1860 U/s: 295A,295 ",YENKAPPA   (PSI),0582844,,95800209,"Beerahalli villae near Busstop, Beerahalli villae near Busstop",06 KM TO TOWARDS TO PS,BEAT 4,BEERALLI,1,0,0,0,0,0,0,0,0,0,0,0,2017000048,348,10445034820170044,0
Ballari,Kuduthini PS,0006/2024,1,2024,1,2024-01-22 14:00:00.000,2024-01-22 14:15:00.000,2024-01-22 16:00:00.000,22/01/2024,Non Heinous,Under Investigation,Sue-moto by Police,COMMUNAL / RELIGION   ,Religious Issue,15.19711,76.75815,IPC 1860 U/s: 295A ,HULIGESH   (PSI),2764967,,35500053,"MOWLALI THATA  MOSQUE, MOWLALI THATA  MOSQUE",01  KM TOWARDS WEST,BEAT 01,KUDUTHINI,0,0,0,0,0,0,0,0,0,0,0,0,2024000044,1893,10445189320240006,-1
Ballari,Kurugod PS,0291/2017,1,2017,11,2017-11-10 21:00:00.000,2017-11-11 09:00:00.000,2017-11-11 13:30:00.000,11/11/2017,Non Heinous,Undetected,Sue-moto by Police,COMMUNAL / RELIGION   ,Others,0.0,0.0,IPC 1860 U/s: 295A ,THIMMAPPA B   (ASI),7226690,,188300003,"NEAR GRAMPANCHAYAT, NEAR GRAMPANCHAYAT",TOWARDS NORTH 12 K.M,Beat 4,H.VEERAPURA,1,0,0,0,0,0,1,0,0,0,0,0,2017000316,343,10445034320170291,0
Ballari,Kurugod PS,0147/2019,1,2019,9,2019-09-03 18:30:00.000,2019-09-03 21:10:00.000,2019-09-04 12:30:00.000,04/09/2019,Non Heinous,Undetected,Others,COMMUNAL / RELIGION   ,Others,0.0,0.0,"IPC 1860 U/s: 457,295,427 ",MOUNESH U RATHOD   (PSI),2764991,,150300065,"AYYAPPA SWAMY TEMPLE, AYYAPPA SWAMY TEMPLE",TOWARDS WEST 1/2 K.M,Beat 1,Badanahatti,1,0,0,0,0,0,1,0,0,0,0,0,2019000193,343,10445034320190147,0
Ballari,Moka PS,0193/2017,1,2017,9,2017-09-17 11:30:00.000,2017-09-17 12:00:00.000,2017-09-18 17:30:00.000,18/09/2017,Non Heinous,Other Disposal,Written,COMMUNAL / RELIGION   ,Religious Issue,0.0,0.0,"IPC 1860 U/s: 143,147,448,153A,295A,354,427,504,506,149 ",AROGYA SWAMY C.A.   (PSI),270846,,34700025,"CHANAL CROSS HADLIGI ROAD, CHANAL CROSS HADLIGI ROAD",15 KM TO WORDS NORTH,BEAT 04,JALEBENCHI,1,0,0,0,0,0,9,4,0,4,9,0,2017000199,342,10445034220170193,0
