District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Ballari,APMC Yard PS,0023/2018,1,2018,7,2015-01-28 11:30:00.000,2015-04-08 00:00:00.000,2018-07-23 21:00:00.000,23/07/2018,Non Heinous,Pending Trial,Written,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 420,406 ",PARASHURAM   (PSI),2882719,,33000189,"BESIDE: DWARAKA LODGE, SRI NARAYANA KRUPA,, BESIDE: DWARAKA LODGE, SRI NARAYANA KRUPA,",1 KM TOWARDS NORTH,1 BEAT,BANDIMOTE AREA,0,1,0,0,0,0,1,1,0,1,1,0,2018000028,1920,10445192020180023,0
Ballari,Ballari CEN Crime PS,0013/2022,1,2022,3,2020-11-28 10:00:00.000,2021-11-18 18:00:00.000,2022-03-17 13:45:00.000,17/03/2022,Non Heinous,Under Investigation,Others,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 420,409 ",RAMAKANTH Y HULLAR   (PI),1352849,,148900001,"Office the Muncipal Collage,[HIGH SCHOOL SCECTION], Office the Muncipal Collage,[HIGH SCHOOL SCECTION]",TOWARDS 3 KM EAST,Ballari City Sub Division,Brucepet PS Limits,1,0,0,0,0,0,1,1,0,1,1,0,2022000013,2221,10445222120220013,0
Ballari,Ballari Women PS,0010/2024,1,2024,1,2022-05-15 10:00:00.000,2024-01-17 18:30:00.000,2024-01-18 19:00:00.000,18/01/2024,Non Heinous,Under Investigation,Written,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,15.153207,76.918876,"IPC 1860 U/s: 420,406,323,504,506 ",CHANDRA SHEKAR   (HC),1908602,,33800005,"At Rented House, Near Karnataka function hall,, At Rented House, Near Karnataka function hall,","Towards west, 3km",CBPS Area,CB PS,0,1,0,0,0,0,1,1,0,1,1,0,2024000010,2205,10445220520240010,-1
Ballari,Bellary Rural PS,0459/2016,1,2016,11,2015-04-25 00:00:00.000,2015-05-05 00:00:00.000,2016-11-08 17:30:00.000,08/11/2016,Non Heinous,Other Disposal,Judicial/Magistrate reference,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 506(2),417,420,406,403,418,504 ",LAXMAN M   (PSI),1255149,,34200012,"Sai Srinivasa cold storage, Plot No: 118,, Sai Srinivasa cold storage, Plot No: 118,",8 KM towards south,BEAT 4,HALDALLI,0,0,0,0,0,0,1,0,0,0,0,0,2016000503,338,10445033820160459,0
Ballari,Bellary Rural PS,0036/2018,1,2018,1,2014-01-10 00:00:00.000,2014-01-10 00:01:00.000,2018-01-22 17:30:00.000,22/01/2018,Non Heinous,Pending Trial,Judicial/Magistrate reference,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 417,420,406,418,34,423 ",Y S HANUMANTHAPPA   (PI),2481436,,36000042,"Country club and resorts, Hospet road, Country club and resorts, Hospet road",10 KM towards west,BEAT 5,HALADAHALLI,1,0,0,0,0,0,3,0,0,0,3,0,2018000042,338,10445033820180036,0
Ballari,Bellary Rural PS,0433/2018,1,2018,12,2015-11-06 00:00:00.000,2017-05-18 00:00:00.000,2018-12-29 19:30:00.000,29/12/2018,Non Heinous,Pending Trial,Written,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 409,420 ",BAIRAPPA G   (ASI),1252219,,33300056,"Andhra Bank, Siruguppa road branch, Andhra Bank, Siruguppa road branch",5 KM towards north,BEAT 2,KAPPAGALLU,1,0,0,0,0,0,1,1,0,1,1,0,2018000500,338,10445033820180433,0
Ballari,Bellary Rural PS,0179/2023,1,2023,7,2021-04-28 10:30:00.000,2021-05-20 17:30:00.000,2023-07-06 18:30:00.000,06/07/2023,Non Heinous,Under Investigation,Written,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 409,420,506,34 ",N SATHEESH   (PI),80999,,34200017,"NAGARAJAGOUDA ENTERPRISES, MANJUNATHA NILAYA, 16TH, NAGARAJAGOUDA ENTERPRISES, MANJUNATHA NILAYA, 16TH",04 KM TOWORDS NORTH FROM PS,BEAT 2,KAPPAGALLU,1,0,0,0,0,0,4,0,0,0,0,0,2023000283,338,10445033820230179,0
Ballari,Brucepet PS,0289/2016,1,2016,12,2013-04-04 00:00:00.000,2016-09-28 00:00:00.000,2016-12-31 12:15:00.000,31/12/2016,Non Heinous,False Case,Judicial/Magistrate reference,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 323,324,405,406,442,504,506,34 ",ABDUL GAFOOR   (ASI),721394,,33900001,"BALLARI, BALLARI",1 km towards west,BEAT 3,STATION ROAD AREA,0,0,0,0,0,0,2,0,0,0,0,0,2016000321,333,10445033320160289,0
Ballari,Brucepet PS,0283/2018,1,2018,10,2012-06-18 00:00:00.000,2012-07-10 00:00:00.000,2018-10-06 11:15:00.000,06/10/2018,Non Heinous,Pending Trial,Judicial/Magistrate reference,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 416,415,405,420,406,418 ",NAGARAJA R   (PI),1966774,,176800097,"SUB REGISTERAR OFFICE, SUB REGISTERAR OFFICE",2 Km towards North,BEAT 3,STATION ROAD AREA,1,0,0,0,0,0,1,0,0,0,1,0,2018000325,333,10445033320180283,0
Ballari,Brucepet PS,0016/2019,1,2019,2,2018-01-11 00:00:00.000,2018-11-28 00:00:00.000,2019-02-04 21:15:00.000,04/02/2019,Non Heinous,Pending Trial,Written,CRIMINAL BREACH OF TRUST,Criminal Breach Of Trust,0.0,0.0,"IPC 1860 U/s: 406,420 ",SHANMUKHAPPA.G.R.   (PI),18989627,,33400049,"At Madani Tours and Travels, HMJ Complex,, At Madani Tours and Travels, HMJ Complex,",2 KM Towards East,BEAT 4,BANGALORE ROAD,1,0,0,0,0,0,1,1,0,1,1,0,2019000018,333,10445033320190016,0
