District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Ballari,Bellary Rural PS,0010/2016,1,2016,1,2016-01-08 18:45:00.000,2016-01-08 18:46:00.000,2016-01-09 13:00:00.000,09/01/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,0.0,0.0,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SIDDESH KRISHNA ILAK   (PSI),721217,,189300022,"Near new bypass road cross, Hospet road, Near new bypass road cross, Hospet road",8 KM towards west,BEAT 5,HALADAHALLI,0,0,0,0,0,0,1,1,0,1,1,1,2016000010,338,10445033820160010,0
Ballari,Bellary Rural PS,0015/2016,1,2016,1,2016-01-14 04:30:00.000,2016-01-14 04:31:00.000,2016-01-14 19:30:00.000,14/01/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,0.0,0.0,IPC 1860 U/s: 279 ,SIDDESH KRISHNA ILAK   (PSI),721217,,189300022,"MS.Hanumasridevi infrastructor pvt ltd.,road, MS.Hanumasridevi infrastructor pvt ltd.,road",8 KM towards west,BEAT 5,HALADAHALLI,0,0,0,0,0,0,1,1,0,1,1,0,2016000015,338,10445033820160015,0
Ballari,Bellary Rural PS,0023/2016,1,2016,1,2016-01-18 07:45:00.000,2016-01-18 07:46:00.000,2016-01-18 18:15:00.000,18/01/2016,Non Heinous,Convicted,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,0.0,0.0,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338 ",VASANTH KUMAR M   (PI),2153841,,48200029,"Opposite to Anganawadi school,, Opposite to Anganawadi school,",20 KM towards east,BEAT 3,ANDRAL,0,0,1,0,0,0,1,1,0,1,1,1,2016000023,338,10445033820160023,0
Ballari,Bellary Rural PS,0059/2016,1,2016,2,2016-02-01 09:30:00.000,2016-02-01 09:31:00.000,2016-02-01 22:00:00.000,01/02/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,0.0,0.0,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 338 ",VASANTH KUMAR M   (PI),2153841,,48200029,"Opposite to Anjini hotel, Anantapur road, Opposite to Anjini hotel, Anantapur road",8 KM towards east,BEAT 1,B.GONAL,0,0,0,0,0,0,1,1,0,1,1,0,2016000061,338,10445033820160059,0
Ballari,Bellary Rural PS,0075/2016,1,2016,2,2016-02-05 20:30:00.000,2016-02-05 20:31:00.000,2016-02-06 15:30:00.000,06/02/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,0.0,0.0,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SIDDESH KRISHNA ILAK   (PSI),721217,,189300022,"Toll gate, Hospet-Bangalore bypass road, Toll gate, Hospet-Bangalore bypass road",10 KM towards west,BEAT 5,HALADAHALLI,0,0,0,0,0,0,1,1,0,1,1,0,2016000077,338,10445033820160075,0
Ballari,Bellary Rural PS,0076/2016,1,2016,2,2016-02-07 00:10:00.000,2016-02-07 00:11:00.000,2016-02-07 14:30:00.000,07/02/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,0.0,0.0,"IPC 1860 U/s: 337,279 ",SIDDESH KRISHNA ILAK   (PSI),721217,,189300022,"Charakunta village cross, Charakunta village cross",8 KM towards south,BEAT 3,ANDRAL,0,0,0,0,0,0,1,1,0,1,1,1,2016000078,338,10445033820160076,0
Ballari,Bellary Rural PS,0077/2016,1,2016,2,2016-02-06 23:15:00.000,2016-02-06 23:16:00.000,2016-02-07 15:15:00.000,07/02/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,0.0,0.0,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SIDDESH KRISHNA ILAK   (PSI),721217,,189300022,"Opposite to OMC gate, Bangalore road, Opposite to OMC gate, Bangalore road",10 KM towards south,BEAT 4,HALDALLI,1,0,0,0,0,0,1,1,0,1,1,1,2016000079,338,10445033820160077,0
Ballari,Bellary Rural PS,0083/2016,1,2016,2,2016-02-16 15:30:00.000,2016-02-16 15:31:00.000,2016-02-16 19:30:00.000,16/02/2016,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,0.0,0.0,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",VENUGOPAL S.   (ASI),721147,,35500045,"Opposite to Naidu transport, Bangalore road, Opposite to Naidu transport, Bangalore road",8 KM towards south,BEAT 4,HALDALLI,1,0,0,0,0,0,1,1,0,1,1,1,2016000086,338,10445033820160083,0
Ballari,Bellary Rural PS,0086/2016,1,2016,2,2016-02-18 16:45:00.000,2016-02-18 16:46:00.000,2016-02-18 22:30:00.000,18/02/2016,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,0.0,0.0,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",VASANTH KUMAR M   (PI),2153841,,48200029,"Opposite to Anjineya temple, Rupanagudi road, Opposite to Anjineya temple, Rupanagudi road",5 KM towards east,BEAT 1,B.GONAL,1,0,0,0,0,0,1,1,0,1,1,1,2016000089,338,10445033820160086,0
Ballari,Bellary Rural PS,0099/2016,1,2016,3,2016-02-22 20:00:00.000,2016-02-22 20:01:00.000,2016-03-01 19:15:00.000,01/03/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,0.0,0.0,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,3,146,196 ",MARENNA B.E   (ASI),536908,,33800026,"Near Mangamma Camp Near new rice mill building, Near Mangamma Camp Near new rice mill building",7 KM South From PS,BEAT 3,ANDRAL,1,0,0,0,1,0,1,1,0,1,1,1,2016000103,338,10445033820160099,0
