District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi City,APMC Yard PS,0054/2019,1,2019,4,2019-04-27 12:00:00.000,2019-04-27 12:01:00.000,2019-04-27 14:00:00.000,27/04/2019,Non Heinous,Convicted,Written,ANIMAL,Prevention Of Cruelty To Animals Act 1960,15.868773,74.48942,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960 U/s: 11 ",R M KALADAGI   (ASI),398,,145700024,"HINDALGA ROAD HANUMAN NAGAR, HINDALGA ROAD HANUMAN NAGAR",WEST 2 K.M,BEAT 75,JAY NAGAR,1,0,0,0,0,0,0,1,0,1,1,1,2019000111,298,10982029820190054,0
Belagavi City,Bagewadi PS,0098/2021,1,2021,10,2021-10-12 18:00:00.000,2021-10-12 18:01:00.000,2021-10-12 18:45:00.000,12/10/2021,Non Heinous,Pending Trial,Sue-moto by Police,ANIMAL,Prevention Of Cruelty To Animals Act 1960,15.764406,74.647222,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960 U/s: 11(D),11(E) ",B R MUTNAL   (PSI),765303,,28900041,"On NH 4, Near Badekollamath cross, On NH 4, Near Badekollamath cross",Towards west 3kms,Beat No 5,mutnal,0,0,0,0,0,0,4,4,0,4,4,0,2021000127,1456,10982145620210098,-1
Belagavi City,Bagewadi PS,0105/2021,1,2021,10,2021-10-26 18:00:00.000,2021-10-26 18:01:00.000,2021-10-26 19:00:00.000,26/10/2021,Non Heinous,Convicted,Others,ANIMAL,Prevention Of Cruelty To Animals Act 1960,15.830182,74.550767,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960 U/s: 11(D),11(E) ",B R MUTNAL   (PSI),765303,,28900041,"ON NH 4 ROAD NEAR ALARAWAD BRIDJ, ON NH 4 ROAD NEAR ALARAWAD BRIDJ",NORTH 10 K.M,Beat No 45,Halaga.Vijay nagar Suvarna soudha,0,0,0,0,0,0,1,1,0,1,1,1,2021000136,1456,10982145620210105,0
Belagavi City,Bagewadi PS,0063/2022,1,2022,6,2022-06-09 06:00:00.000,2022-06-09 06:01:00.000,2022-06-09 11:00:00.000,09/06/2022,Non Heinous,Pending Trial,Sue-moto by Police,ANIMAL,The Karnataka Prevention of  Slaughter and Preservation of Cattle Ordinance 2020,15.756718,74.590006,"THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020 U/s: 7,5,12,4 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 192(A) ",SARADARGOUD  MUTTATTI (PSI),3191354,,145500070,"NEAR BUS STOP, NEAR BUS STOP",SOUTH 10 K.M,Beat No 32,K K Koppa. Kudenatti Somanath nagar Gokul nagar Motageri oni,0,0,0,0,0,0,2,0,0,0,2,0,2022000089,1456,10982145620220063,-1
Belagavi City,Bagewadi PS,0120/2022,1,2022,11,2022-11-03 18:45:00.000,2022-11-03 18:46:00.000,2022-11-03 19:20:00.000,03/11/2022,Non Heinous,Pending Trial,Sue-moto by Police,ANIMAL,The Karnataka Prevention of  Slaughter and Preservation of Cattle Ordinance 2020,0.0,0.0,"THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020 U/s: 4,5,7,12 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 192(A) ",Praveen  Biradar (PSI),3190519,,30300108,"kondasakoppa Village Limits Near HP Petrol Pump, kondasakoppa Village Limits Near HP Petrol Pump",East 08 Km,Beat no 35,Kondasakoppa,0,0,0,0,0,0,3,0,0,0,3,0,2022000181,1456,10982145620220120,-1
Belagavi City,Belagavi Rural PS,0097/2021,1,2021,7,2021-07-18 00:45:00.000,2021-07-18 00:46:00.000,2021-07-18 03:00:00.000,18/07/2021,Non Heinous,Pending Trial,Sue-moto by Police,ANIMAL,Prevention Of Cruelty To Animals Act 1960,15.783041,74.459087,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960 U/s: 11(D),11(E) ",A Y Adagond   (PSI),2825689,,31000064,"BELAGAVI JAMBOTI ROAD, BELAGAVI JAMBOTI ROAD",12 KM SOUTH,20,SANTIBASTWAD,0,0,0,0,0,0,1,1,0,1,1,0,2021000117,310,10982031020210097,0
Belagavi City,Belagavi Rural PS,0178/2021,1,2021,12,2021-12-28 17:00:00.000,2021-12-28 17:01:00.000,2021-12-28 19:00:00.000,28/12/2021,Non Heinous,Convicted,Written,ANIMAL,Prevention Of Cruelty To Animals Act 1960,15.763425,74.421697,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960 U/s: 11(D),11(E) ",B.U.NARAGUND   (WHC),1472500,,28900445,"AT KINEYE VILLAGE BUS STOP, AT KINEYE VILLAGE BUS STOP",15 KM TOWARDS SOUTH,30,KINEY,1,0,0,0,0,0,2,2,0,2,2,2,2021000228,310,10982031020210178,0
Belagavi City,Kakati PS,0007/2020,1,2020,1,2020-01-08 09:30:00.000,2020-01-08 09:36:00.000,2020-01-08 12:15:00.000,08/01/2020,Non Heinous,Pending Trial,Sue-moto by Police,ANIMAL,Prevention Of Cruelty To Animals Act 1960,15.9012,74.433479,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960 U/s: 11(A),11(D),11(E),12 ",AVINASH A Y   (PSI),2820678,,31100044,"GOJAGA VILLAGE LIMITS, GOJAGA VILLAGE LIMITS",15 KM TOWARDS WEST,BEAT 47,GOJAGA,0,0,0,0,0,0,3,3,0,3,3,0,2020000007,311,10982031120200007,0
Belagavi City,Kakati PS,0117/2021,1,2021,8,2021-08-25 09:45:00.000,2021-08-25 09:46:00.000,2021-08-25 13:30:00.000,25/08/2021,Non Heinous,Pending Trial,Sue-moto by Police,ANIMAL,Prevention Of Cruelty To Animals Act 1960,15.876473,74.42192,"PREVENTION OF CRUELTY TO ANIMALS ACT, 1960 U/s: 11(1) (D) ",AVINASH A Y   (PSI),2820678,,31100044,"SULAGA VILLAGE AMBIKA DABA NEAR, SULAGA VILLAGE AMBIKA DABA NEAR",TOWARDS WEST 10 KM,BEAT 39,SULAGA,0,0,0,0,0,0,3,0,0,0,2,0,2021000164,311,10982031120210117,0
Belagavi City,Kakati PS,0029/2024,1,2024,2,2024-02-07 11:00:00.000,2024-02-07 11:01:00.000,2024-02-07 12:00:00.000,07/02/2024,Non Heinous,Under Investigation,Sue-moto by Police,ANIMAL,The Karnataka Prevention of  Slaughter and Preservation of Cattle Ordinance 2020,15.992438,74.5058,"THE KARNATAKA PREVENTION OF SLAUGHTER AND PRESERVATION OF CATTLE ORDINANCE-2020 U/s: 4,5,7,12 (1) (2) ",Manjunath Hulakund   (PSI),3190516,,30200088,"BUTARAMANAHATTI VILLAGE LIMTS, BUTARAMANAHATTI VILLAGE LIMTS",TOWARDS NORTH 10 KM FROM PS,BEAT 15,DEVAGIRI,0,0,0,0,0,0,1,0,0,0,0,0,2024000039,311,10982031120240029,-1
