District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi City,Bagewadi PS,0021/2023,1,2023,2,2023-02-15 21:30:00.000,2023-02-15 21:31:00.000,2023-02-16 18:30:00.000,16/02/2023,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.824452,74.62351,"IPC 1860 U/s: 324,323,504,341,506 ",R M TALWAR   (ASI),743,,145700026,"LAXMI GALLI, LAXMI GALLI",NORTH 10 K.M,Beat No 39,Chandanhosur.,1,0,0,0,0,0,1,0,0,0,1,0,2023000026,1456,10982145620230021,0
Belagavi City,Bagewadi PS,0014/2024,1,2024,1,2024-01-20 18:30:00.000,2024-01-20 18:31:00.000,2024-01-21 10:45:00.000,21/01/2024,Non Heinous,Under Investigation,Written,CASES OF HURT,Simple Hurt ,15.819351,74.56708,"IPC 1860 U/s: 323,504,34,341,506 ",Kempanna Goni   (ASI),1759954,,145600049,"On Road Infront of Arun chivate House, On Road Infront of Arun chivate House",North 14 KM,Beat No 45,Halaga.Vijay nagar Suvarna soudha,1,0,0,0,0,0,4,0,0,0,0,0,2024000021,1456,10982145620240014,0
Belagavi City,Kakati PS,0254/2023,1,2023,12,2023-11-26 11:30:00.000,2023-11-26 11:35:00.000,2023-12-02 20:45:00.000,02/12/2023,Non Heinous,Under Investigation,Written,CASES OF HURT,Simple Hurt ,15.996898,74.50212,"IPC 1860 U/s: 324,323,504,34,341,506 ",B L LAMANI   (ASI),900492499,,31100005,"Ukkad Village Limits, Ukkad Village Limits",7 Km Towards North,BEAT 15,DEVAGIRI,1,1,0,0,0,0,4,0,0,0,0,0,2023000360,311,10982031120230254,0
Belagavi City,Belagavi Rural PS,0196/2022,1,2022,9,2022-09-27 09:30:00.000,2022-09-27 09:31:00.000,2022-09-28 23:45:00.000,28/09/2022,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.743126,74.525965,"IPC 1860 U/s: 323,324,504,506 ",BASAPPA YARNAL  (HC),1926557,,29800080,"RAJAHANSAGAD, RAJAHANSAGAD",10 KM TOWARDS SOUTH,9,Kiniye Badarawadi Karle Janewadi,1,0,0,0,0,0,1,0,0,0,1,0,2022000263,310,10982031020220196,0
Belagavi City,Bagewadi PS,0058/2019,1,2019,5,2019-05-25 13:00:00.000,2019-05-25 13:01:00.000,2019-05-26 11:00:00.000,26/05/2019,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.737943,74.600245,"IPC 1860 U/s: 324,447,504,34,506 ",R M TALWAR   (ASI),743,,145700026,"R.S NO 75/6, R.S NO 75/6",WEST 12 K.M,Beat No 23,Hulikavi,4,0,0,0,0,0,4,2,2,4,4,0,2019000101,1456,10982145620190058,0
Belagavi City,Malamaruthi PS,0013/2021,1,2021,2,2021-02-02 20:00:00.000,2021-02-02 21:00:00.000,2021-02-07 12:00:00.000,07/02/2021,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.878685,74.540712,"IPC 1860 U/s: 324,323,504,34,341,506,500 ",HONNAPPA HANAMANT TALWAR (PSI),2825691,,29700080,"At: Ajim Patavegar Office New Ghandi Nagar, At: Ajim Patavegar Office New Ghandi Nagar",3 Km Towrds East from PS,53,NEW GANDHI NAGAR,2,0,0,0,0,0,5,0,0,0,5,0,2021000016,297,10982029720210013,0
Belagavi City,Marihal PS,0041/2019,1,2019,3,2019-03-10 11:00:00.000,2019-03-10 11:01:00.000,2019-03-10 22:00:00.000,10/03/2019,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.860034,74.575845,"IPC 1860 U/s: 324,504,34,341,506 ",A K AGSAR   (ASI),549448,,31500003,"NILAJI, NILAJI",10 KM TOWARDS WEST,45 NILAJI,NILAJI,0,1,0,0,0,0,4,1,3,4,4,0,2019000067,1457,10982145720190041,0
Belagavi City,Kakati PS,0159/2022,1,2022,6,2022-05-31 23:30:00.000,2022-05-31 23:31:00.000,2022-06-12 19:10:00.000,12/06/2022,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.979629,74.450465,"IPC 1860 U/s: 324,504,506 ",Manjunath Hulakund   (PSI),3190516,,30200088,"BODAKYANATTI VILLAGE, BODAKYANATTI VILLAGE",TOWARDS EAST 15 KM,BEAT 28,IRABAVI,0,1,0,0,0,0,1,0,0,0,1,0,2022000192,311,10982031120220159,0
Belagavi City,Tilakwadi PS,0035/2019,1,2019,4,2019-04-28 19:59:00.000,2019-04-28 20:00:00.000,2019-04-28 22:30:00.000,28/04/2019,Non Heinous,Dis/Acq,Written,CASES OF HURT,Simple Hurt ,15.819003,74.501673,"IPC 1860 U/s: 143,147,148,323,324,336,341,149,34 ",Y M KARIGAR   (HC),900490788,,146700025,"Muslim galli cross on Road, Muslim galli cross on Road",South 2km from PS,Beat 54,MUSLIM GALLI,1,0,0,0,0,0,2,0,0,0,2,0,2019000075,302,10982030220190035,0
Belagavi City,Belagavi Rural PS,0080/2021,1,2021,6,2021-05-29 12:00:00.000,2021-05-29 12:01:00.000,2021-06-09 13:00:00.000,09/06/2021,Non Heinous,Dis/Acq,Written,CASES OF HURT,Simple Hurt ,15.789925,74.479424,"IPC 1860 U/s: 323,324,504,506,34 ",L.Y.LAKKANNAVAR   (WHC),1472499,,28900329,"HAVAL NAGAR, HAVAL NAGAR",10 KM TOWARDS SOUTH,13,Bijagarni Kavalewadi Belavatti Inambadas,4,0,0,0,0,0,4,4,0,4,4,0,2021000096,310,10982031020210080,0
Belagavi City,Market PS,0027/2019,1,2019,2,2019-02-22 16:00:00.000,2019-02-22 16:01:00.000,2019-02-24 15:00:00.000,24/02/2019,Non Heinous,Pending Trial,Oral,CASES OF HURT,Simple Hurt ,15.861021,74.513931,"IPC 1860 U/s: 324,323,504,341,506 ",A M YARAGATTI   (ASI),549401,,145500004,"At:Khade Bazar, At:Khade Bazar",1 km towards west,42,MONAPPA PAN SHOP MAHALXMI TEMPLE BASHIBAN COMPOUND KHADE BAZAR ROAD BENDI BAZAR CROSS,0,2,0,0,0,0,1,0,1,1,1,0,2019000035,292,10982029220190027,0
Belagavi City,Shahapura PS,0002/2022,1,2022,1,2022-01-02 19:29:00.000,2022-01-02 19:30:00.000,2022-01-03 00:50:00.000,03/01/2022,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.841715,74.517718,"IPC 1860 U/s: 324,504,506 ",MANJUNATH   (PSI),2825688,,29600085,"INFRONT OF COMPLAINT HOUSE GANESHPET GALLI, INFRONT OF COMPLAINT HOUSE GANESHPET GALLI",TOWRDS 1.5 KM EAST,5,VADAGAON,1,1,0,0,0,0,1,0,0,0,1,0,2022000003,296,10982029620220002,0
Belagavi City,Belagavi Rural PS,0113/2023,1,2023,5,2023-05-20 21:00:00.000,2023-05-20 21:01:00.000,2023-05-29 13:05:00.000,29/05/2023,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.875375,74.473012,"IPC 1860 U/s: 323,324,504,506,34 ",V N KANTHIKAR   (HC),1364,,29600041,"SIDDARTH GALLI, SIDDARTH GALLI",10 KM TOWARDS WEST,47,HINDALAGA,1,0,0,0,0,0,2,2,0,2,2,0,2023000156,310,10982031020230113,0
Belagavi City,Marihal PS,0029/2022,1,2022,3,2022-03-11 21:00:00.000,2022-03-11 21:05:00.000,2022-03-12 12:00:00.000,12/03/2022,Non Heinous,Pending Trial,Written,CASES OF HURT,Simple Hurt ,15.830846,74.592694,"IPC 1860 U/s: 341,324,504 ",GURURAJ I KALYANSHET   (PI),1898730,,146100012,"NEAR SHIVAJI STATUE, NEAR SHIVAJI STATUE",05 KM TOWARDS WEST,40 SAMBRA,SAMBRA,1,0,0,0,0,0,1,0,0,0,1,0,2022000036,1457,10982145720220029,0
