District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi City,APMC Yard PS,0156/2016,1,2016,8,2016-06-01 15:00:00.000,2016-06-01 15:01:00.000,2016-08-03 19:45:00.000,03/08/2016,Heinous,Dis/Acq,Judicial/Magistrate reference,DACOITY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 441,425,327,326,324,323,452,448,395,392,144,143,504,506,427,149,147,201 ",L H KATTI   (PSI),547937,,28900097,"KANGARALI B K, KANGARALI B K",1 K M TOWARDS EAST.,Beat 2,NEHARU NAGAR,0,0,0,0,0,0,10,0,0,0,10,0,2016000176,298,10982029820160156,0
Belagavi City,APMC Yard PS,0022/2017,1,2017,2,2017-02-01 15:30:00.000,2017-02-01 15:31:00.000,2017-02-01 20:30:00.000,01/02/2017,Heinous,Pending Trial,Sue-moto by Police,DACOITY,Preparation And Assembly For Dacoity,0.0,0.0,"IPC 1860 U/s: 399,402,120B INDIAN ARMS ACT, 1959 U/s: 25,3,30 ",J M KALIMIRCHI   (PI),189591,,30100032,"AMBEKAR ROAD BIMS COLLEGE OPPOSITE, AMBEKAR ROAD BIMS COLLEGE OPPOSITE",2 KM TOWARDS SOUTH.,Beat 3,SADASHIVA NAGAR,1,0,0,0,0,0,9,8,0,8,11,0,2017000023,298,10982029820170022,0
Belagavi City,APMC Yard PS,0038/2017,1,2017,2,2016-04-06 23:00:00.000,2016-04-07 00:00:00.000,2017-02-16 19:00:00.000,16/02/2017,Heinous,False Case,Judicial/Magistrate reference,DACOITY,In Other Places,0.0,0.0,"IPC 1860 U/s: 143,144,147,420,395,465,468,471,474,149 ",L H KATTI   (PSI),547937,,28900097,"SADASHIV NAGAR, SADASHIV NAGAR",SOUTH 2 K.M,Beat 3,SADASHIVA NAGAR,1,0,0,0,0,0,4,0,0,0,0,0,2017000040,298,10982029820170038,0
Belagavi City,APMC Yard PS,0012/2022,1,2022,1,2022-01-14 12:14:00.000,2022-01-14 12:15:00.000,2022-01-18 14:30:00.000,18/01/2022,Heinous,Pending Trial,Written,DACOITY,On Other Roads,15.895868,74.501869,"IPC 1860 U/s: 342,395,364A,307 INDIAN ARMS ACT, 1959 U/s: 25(a) IPC 1860 U/s: 506,120B ",MANJUNATH G HIREMATH   (PI),2282198,,177400044,"NEAR KLE J N M C GATE, NEAR KLE J N M C GATE",TOWARDS 2 KM EAST FROM P S,BEAT 28,KLE CAMPUS.,1,0,0,0,0,0,12,12,0,12,12,0,2022000014,298,10982029820220012,1
Belagavi City,Bagewadi PS,0097/2018,1,2018,3,2018-03-30 01:15:00.000,2018-03-30 01:16:00.000,2018-03-30 05:00:00.000,30/03/2018,Heinous,Dis/Acq,Others,DACOITY,Preparation And Assembly For Dacoity,0.0,0.0,"IPC 1860 U/s: 402,399,400 ",NARAYANSWAMI   (PI),952262,,60500040,"KUKADOLLI CROSS NEAR, KUKADOLLI CROSS NEAR",SOUTH 2 K.M,Beat No 1,HALAGA,0,0,0,0,0,0,9,9,0,9,9,0,2018000099,1456,10982145620180097,0
Belagavi City,Bagewadi PS,0201/2018,1,2018,12,2018-12-03 14:00:00.000,2018-12-03 14:01:00.000,2018-12-03 20:10:00.000,03/12/2018,Heinous,Pending Trial,Written,DACOITY,On Highways,0.0,0.0,"IPC 1860 U/s: 341,395 ",A H PATHAN   (PSI),812532,,6200114,"At: On NH-4 Road In Badekollamath Ghat, At: On NH-4 Road In Badekollamath Ghat",3 K.M Towards North,Beat No 5,mutnal,1,0,0,0,0,0,0,5,0,5,5,0,2018000235,1456,10982145620180201,0
Belagavi City,Bagewadi PS,0092/2022,1,2022,8,2022-07-31 19:20:00.000,2022-07-31 19:21:00.000,2022-08-21 15:00:00.000,21/08/2022,Heinous,Pending Trial,Written,DACOITY,On Highways,15.743278,74.663082,"IPC 1860 U/s: 363,397,395,120B,364A,341,506,149 ",Gurushant Dashyal   (PI),1935402,,189400009,"On NH4 Road Way, On NH4 Road Way","South, 3 KM",Beat No 11,Mutnal. Talawar oni Topinakatti oni Hrijan keri Gudi oni,1,0,0,0,0,0,5,5,0,5,5,0,2022000137,1456,10982145620220092,1
Belagavi City,Bagewadi PS,0152/2022,1,2022,12,2022-12-28 14:30:00.000,2022-12-29 16:10:00.000,2022-12-31 21:45:00.000,31/12/2022,Heinous,Pending Trial,Written,DACOITY,At Residential Premises,15.816381,74.608502,"IPC 1860 U/s: 342,324,323,397,395,394,392,149,504,364A,506,109 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3 (2)(v) ",GANGADHAR  BM (Dy.SP),1841108,,156000060,"Tarihal Village Accused House, Tarihal Village Accused House",North 14 KM,Beat No 37,Tarihal. Shivaji galli Sonar galli Laxmi galli Maruti galli Valmiki galli Ambedkar galli,1,0,0,0,0,0,7,2,0,2,7,0,2022000223,1456,10982145620220152,1
Belagavi City,Belagavi Rural PS,0111/2016,1,2016,4,2016-04-28 11:30:00.000,2016-04-28 12:00:00.000,2016-04-28 18:00:00.000,28/04/2016,Heinous,Other Disposal,Written,DACOITY,At Commercial Places / Establishments,0.0,0.0,IPC 1860 U/s: 397 ,NARAYANSWAMI   (PI),952262,,60500040,"Bachi Village Area, Bachi Village Area",19 K M TOWARDS WEST,18,Santibastawad Karle Ranakunde Janewadi,1,0,0,0,1,0,8,0,0,0,8,0,2016000121,310,10982031020160111,0
Belagavi City,Belagavi Rural PS,0217/2018,1,2018,12,2018-11-28 23:30:00.000,2018-11-28 23:31:00.000,2018-12-04 18:30:00.000,04/12/2018,Heinous,Pending Trial,Written,DACOITY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 395,450,397 ",Sunilkumar Nandeswar   (PI),1845441,,146300035,"RAMESHWAR NAGAR, RAMESHWAR NAGAR",10 KM SOUTH,26,HUNCHANATTI,1,0,0,0,0,0,0,5,0,5,5,0,2018000255,310,10982031020180217,0
Belagavi City,Belagavi Rural PS,0041/2021,1,2021,3,2021-03-15 01:30:00.000,2021-03-15 01:31:00.000,2021-03-15 04:30:00.000,15/03/2021,Heinous,Dis/Acq,Written,DACOITY,On Highways,15.76503,74.425158,IPC 1860 U/s: 398 ,Sunilkumar Nandeswar   (PI),1845441,,146300035,"KINAYE GHAT, KINAYE GHAT",15 KM TOWARDS SOUTH,30,KINEY,1,0,0,0,0,0,2,5,0,5,5,0,2021000049,310,10982031020210041,1
Belagavi City,Belagavi Rural PS,0181/2023,1,2023,9,2023-09-09 13:50:00.000,2023-09-09 17:00:00.000,2023-09-09 23:30:00.000,09/09/2023,Heinous,False Case,Written,DACOITY,In Other Places,15.844838,74.454834,"IPC 1860 U/s: 395,324,504 ",MANJUNATH G HIREMATH   (PI),2282198,,177400044,"ANGADI COLLEGE ROAD, ANGADI COLLEGE ROAD",10 KM WEST,44,SAVANAGAV,1,0,0,0,0,0,0,0,0,0,0,0,2023000241,310,10982031020230181,1
Belagavi City,Camp PS,0048/2016,1,2016,2,2016-02-25 07:00:00.000,2016-02-25 07:20:00.000,2016-02-25 13:00:00.000,25/02/2016,Heinous,Dis/Acq,Written,DACOITY,At Residential Premises,0.0,0.0,"IPC 1860 U/s: 143,147,148,324,341,354,395,427,451,504,506,149,323 ",PRABHAKAR. DHARMATTI   (PI),1895547,,147000024,"House no 3957/73 First floor, House no 3957/73 First floor",Towards North 2  K M,BEAT NO 03,ARAGIN TALAV,1,1,0,0,0,0,9,2,3,5,8,0,2016000051,303,10982030320160048,0
Belagavi City,Camp PS,0133/2016,1,2016,9,2016-09-29 22:25:00.000,2016-09-29 22:26:00.000,2016-09-30 13:00:00.000,30/09/2016,Heinous,Pending Trial,Written,DACOITY,In Other Places,0.0,0.0,IPC 1860 U/s: 397 ,PRABHAKAR. DHARMATTI   (PI),1895547,,147000024,"Near Military form house, Near Military form house",Towards North  2 K M,BEAT NO 02,BOGARVES,1,0,0,0,0,0,5,0,0,0,5,0,2016000156,303,10982030320160133,0
Belagavi City,Camp PS,0107/2017,1,2017,11,2017-11-15 14:15:00.000,2017-11-15 14:16:00.000,2017-11-15 18:15:00.000,15/11/2017,Heinous,Undetected,Written,DACOITY,On Other Roads,0.0,0.0,IPC 1860 U/s: 397 ,CHANNAKESHAVA TINGARIKAR  (PI),1895582,,148500010,"Congress road Near Military Mahadev Temple, Congress road Near Military Mahadev Temple",Towards South 1.5  K M,BEAT NO 03,ARAGIN TALAV,1,0,0,0,0,0,0,0,0,0,0,0,2017000121,303,10982030320170107,0
Belagavi City,Camp PS,0093/2021,1,2021,12,2021-12-08 10:00:00.000,2021-12-08 11:00:00.000,2021-12-23 18:00:00.000,23/12/2021,Heinous,False Case,Judicial/Magistrate reference,DACOITY,At Residential Premises,15.871308,74.478167,"IPC 1860 U/s: 379,380,395,445,447,448,461,120B ",ALTAPHUSSAIN MULLA   (PI),1898722,,188800084,"VPC NO 574 VIJAY NAGAR 3RD CROSS VENGURLA ROAD, VPC NO 574 VIJAY NAGAR 3RD CROSS VENGURLA ROAD",4 KM TOWARDS WEST,BEAT NO 36,SHIVAGIRI COLONY,1,1,0,0,0,0,1,0,0,0,0,0,2021000128,303,10982030320210093,1
