District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi City,APMC Yard PS,0017/2016,1,2016,1,2015-12-10 00:00:00.000,2016-01-26 00:01:00.000,2016-01-27 11:30:00.000,27/01/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,RAYAMANE K S   (PI),1635940,,60800017,"NEHRU NAGAR, NEHRU NAGAR",SOUTH 2 K.M,Beat 2,NEHARU NAGAR,0,0,0,0,0,0,1,0,1,1,1,0,2016000018,298,10982029820160017,0
Belagavi City,APMC Yard PS,0025/2016,1,2016,1,2015-11-20 00:00:00.000,2016-01-30 10:30:00.000,2016-01-30 11:30:00.000,30/01/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,RAYAMANE K S   (PI),1635940,,60800017,"NEHRU NAGAR, NEHRU NAGAR",SOUTH 1 K.M,Beat 2,NEHARU NAGAR,0,0,0,0,0,0,1,1,0,1,1,0,2016000026,298,10982029820160025,0
Belagavi City,APMC Yard PS,0026/2016,1,2016,1,2015-03-13 00:00:00.000,2015-06-29 10:18:00.000,2016-01-31 11:30:00.000,31/01/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,RAYAMANE K S   (PI),1635940,,60800017,"CLUB ROAD, CLUB ROAD",SOUTH 1 K.M,Beat 3,SADASHIVA NAGAR,0,0,0,0,0,0,1,0,1,1,1,1,2016000027,298,10982029820160026,0
Belagavi City,APMC Yard PS,0027/2016,1,2016,1,2015-03-13 00:00:00.000,2015-06-29 00:01:00.000,2016-01-31 12:00:00.000,31/01/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,RAYAMANE K S   (PI),1635940,,60800017,"CLUB ROAD, CLUB ROAD",SOUTH 1 K.M,Beat 3,SADASHIVA NAGAR,0,0,0,0,0,0,1,0,1,1,1,1,2016000028,298,10982029820160027,0
Belagavi City,APMC Yard PS,0030/2016,1,2016,2,2015-12-03 00:00:00.000,2015-12-03 00:01:00.000,2016-02-02 08:30:00.000,02/02/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,RAYAMANE K S   (PI),1635940,,60800017,"RUKMINI NAGAR, RUKMINI NAGAR",NORTH 2 K.M,Beat 2,NEHARU NAGAR,0,0,0,0,0,0,1,1,0,1,1,1,2016000032,298,10982029820160030,0
Belagavi City,APMC Yard PS,0031/2016,1,2016,2,2015-12-03 00:00:00.000,2015-12-03 00:01:00.000,2016-02-02 09:00:00.000,02/02/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,RAYAMANE K S   (PI),1635940,,60800017,"VANTAMURI COLONY, VANTAMURI COLONY",NORTH 6 K.M,Beat 1,Vaibhav Nagar,0,0,0,0,0,0,1,1,0,1,1,1,2016000033,298,10982029820160031,0
Belagavi City,APMC Yard PS,0032/2016,1,2016,2,2015-12-03 00:00:00.000,2015-12-03 00:01:00.000,2016-02-02 09:30:00.000,02/02/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,RAYAMANE K S   (PI),1635940,,60800017,"RUKMINI NAGAR, RUKMINI NAGAR",2 K.M SOUTH.,Beat 2,NEHARU NAGAR,0,0,0,0,0,0,1,1,0,1,1,1,2016000034,298,10982029820160032,0
Belagavi City,Bagewadi PS,0052/2016,1,2016,2,2016-02-07 13:00:00.000,2016-02-07 13:01:00.000,2016-02-07 14:00:00.000,07/02/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,D L BALOGI   (ASI),548899,,29800020,"At: Badal Ankalagi, At: Badal Ankalagi",12 K.M Towards west,Beat No 3,K K KOPPA,0,0,0,0,0,0,1,1,0,1,1,1,2016000053,1456,10982145620160052,0
Belagavi City,Bagewadi PS,0053/2016,1,2016,2,2016-02-07 14:00:00.000,2016-02-07 14:01:00.000,2016-02-07 15:00:00.000,07/02/2016,Non Heinous,Convicted,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,P M SHEELI   (ASI),549490,,29600022,"At: Halaga, At: Halaga",12 K.M Towards North,Beat No 1,HALAGA,0,0,0,0,0,0,1,1,0,1,1,1,2016000054,1456,10982145620160053,0
Belagavi City,Bagewadi PS,0061/2016,1,2016,2,2016-02-18 07:15:00.000,2016-02-18 07:16:00.000,2016-02-18 09:00:00.000,18/02/2016,Non Heinous,Dis/Acq,Sue-moto by Police,Failure to appear to Court,229 A,0.0,0.0,IPC 1860 U/s: 229A ,S.K.HOLENNAVAR.   (ASI),1112956,,28900502,"At: Halaga Village, At: Halaga Village",10 K.M Towards North,Beat No 1,HALAGA,0,0,0,0,0,0,4,2,2,4,4,0,2016000062,1456,10982145620160061,0
