District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi City,Belgaum South Traffic PS,0053/2022,1,2022,5,2022-05-24 14:30:00.000,2022-05-24 14:31:00.000,2022-05-28 13:15:00.000,28/05/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.836873,74.500172,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(B),187 ",D N UPARI   (ASI),900491880,,30100018,"TILAKAWADI MANDOLLI ROAD NEAR 1ST RAILWAY GATE, TILAKAWADI MANDOLLI ROAD NEAR 1ST RAILWAY GATE",3 KM TOWARDS SOUTH,Point 08,CAMP LIMITS,0,1,0,1,0,0,1,1,0,1,1,1,2022000053,305,10982030520220053,0
Belagavi City,Belgaum North Traffic PS,0028/2022,1,2022,3,2022-03-20 16:00:00.000,2022-03-20 16:01:00.000,2022-03-21 13:20:00.000,21/03/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.88629,74.520509,"IPC 1860 U/s: 279,337,338 ",G R GANTENNAVAR   (ASI),900491898,,30100021,"KLE BYPASS TOWARDS RAMDEV CIRCLE ROAD, KLE BYPASS TOWARDS RAMDEV CIRCLE ROAD",1 KM TOWARDS NORTH,KLE ROAD,KLE ROAD,2,0,0,0,0,0,1,1,0,1,1,0,2022000028,306,10982030620220028,0
Belagavi City,Belgaum South Traffic PS,0003/2019,1,2019,1,2019-01-06 14:30:00.000,2019-01-06 14:31:00.000,2019-01-07 20:15:00.000,07/01/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.867275,74.510708,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 184 IPC 1860 U/s: 338 ",G V BANDHARI   (ASI),808522,,30500012,"BELAGAVI COLLEGE ROAD, BELAGAVI COLLEGE ROAD",2 KMS TOWARDS NORTH,Point  01,CHANNAMMA CIRCLE,1,0,0,0,0,0,1,1,0,1,1,1,2019000003,305,10982030520190003,0
Belagavi City,Belgaum South Traffic PS,0112/2019,1,2019,10,2019-10-17 21:20:00.000,2019-10-17 21:21:00.000,2019-10-18 11:30:00.000,18/10/2019,Non Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.842363,74.51717,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 184,185,134(B),187 IPC 1860 U/s: 201,202 ",B.P.SINDIGAR.   (PSI),2272537,,28900344,"BELAGAVI SHAHAPUR KHADEBAZAR ROAD, BELAGAVI SHAHAPUR KHADEBAZAR ROAD",3 KM TOWARDS SOUTH,Point 16,DHACK BANGALOW,0,0,0,0,0,0,1,1,0,1,1,0,2019000112,305,10982030520190112,0
Belagavi City,Belgaum South Traffic PS,0050/2021,1,2021,8,2021-08-21 09:15:00.000,2021-08-21 09:16:00.000,2021-08-21 19:15:00.000,21/08/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.828498,74.504696,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(B),187 ",G V BANDHARI   (ASI),808522,,30500012,"BELAGAVI BHAGYANAGAR CITY HALL, BELAGAVI BHAGYANAGAR CITY HALL",3KMS TOWARDS SOUTH,Point 18,HARIMANDIR,0,1,0,0,0,0,1,1,0,1,1,1,2021000050,305,10982030520210050,0
Belagavi City,Belgaum North Traffic PS,0157/2023,1,2023,12,2023-12-26 17:00:00.000,2023-12-26 17:01:00.000,2023-12-28 20:15:00.000,28/12/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.878587,74.515481,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177,119 ",AYUBKHAN GHORI   (ASI),1113019,,29200080,"RAMDEV CIRCLE TOWARDS KOLHAPUR CIRCLE ROAD, RAMDEV CIRCLE TOWARDS KOLHAPUR CIRCLE ROAD",1 KM TOWARDS WEST,2,TRIVENI HOTEL,0,0,0,0,0,0,1,1,0,1,1,0,2023000157,306,10982030620230157,0
Belagavi City,Belgaum North Traffic PS,0129/2023,1,2023,10,2023-10-20 15:30:00.000,2023-10-20 15:31:00.000,2023-10-23 19:15:00.000,23/10/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.85698,74.518555,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(a&b),177,187 IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 5,180,146,196,39,192(1) ",M K FATHE   (ASI),900492187,,145500021,"OLD BAJI MARKET TOWARDS DESHPANDE PETROL PUMP, OLD BAJI MARKET TOWARDS DESHPANDE PETROL PUMP",2 KM TOWARDS SOUTH,A18,CHAVAT GALLI,1,0,0,0,0,0,2,1,0,1,2,0,2023000129,306,10982030620230129,0
Belagavi City,Belgaum South Traffic PS,0120/2019,1,2019,11,2019-11-12 17:20:00.000,2019-11-12 17:21:00.000,2019-11-13 18:00:00.000,13/11/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.865029,74.473021,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 184,134(a&b),187 ",V V DALAVAI   (PSI),568847,,30600129,"GANESHPUR ROAD, GANESHPUR ROAD",3 KM TOWARDS WEST,Point 09,KHADEBAZAR LIMITS,1,0,0,0,0,0,1,1,0,1,1,1,2019000120,305,10982030520190120,0
Belagavi City,Belgaum South Traffic PS,0096/2021,1,2021,12,2021-12-21 18:15:00.000,2021-12-21 18:16:00.000,2021-12-22 18:30:00.000,22/12/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.819824,74.490519,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(B),187 IPC 1860 U/s: 338 ",F M RAMANNAVAR   (HC),1688,,28900510,"BELAGAVI UDYAMBAG BEMCO CROSS VEGA HELMET ROAD, BELAGAVI UDYAMBAG BEMCO CROSS VEGA HELMET ROAD",4 KM TOWARDS SOUTH,Point 06,CONGRESS ROAD,1,0,0,0,0,0,1,1,0,1,1,1,2021000096,305,10982030520210096,0
Belagavi City,Belgaum South Traffic PS,0030/2019,1,2019,3,2019-03-22 19:30:00.000,2019-03-22 19:31:00.000,2019-03-22 21:30:00.000,22/03/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.864585,74.482793,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,184,134(a&b),146,196 IPC 1860 U/s: 337 ",G V BANDHARI   (ASI),808522,,30500012,"BELAGAVI GANESHPUR ROAD NEAR VIJAY NAGAR PIPE LINE, BELAGAVI GANESHPUR ROAD NEAR VIJAY NAGAR PIPE LINE",2 KMS TOWARDS WEST,Point 11,SHAHAPUR LIMITS,0,1,0,0,0,0,1,1,0,1,1,1,2019000030,305,10982030520190030,0
