District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi City,APMC Yard PS,0053/2016,1,2016,2,2016-02-08 15:30:00.000,2016-02-08 15:31:00.000,2016-02-08 21:30:00.000,08/02/2016,Heinous,Dis/Acq,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,0.0,0.0,"IPC 1860 U/s: 324,323,34,341 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(1)(x) ",B.P.HULSGUNDA   (Dy.SP),703452,,125700001,"DISTRICT HOSPITAL, DISTRICT HOSPITAL",2 K.M SOUTH,Beat 3,SADASHIVA NAGAR,0,0,0,0,0,0,1,3,0,3,3,0,2016000055,298,10982029820160053,0
Belagavi City,APMC Yard PS,0088/2016,1,2016,4,1995-01-01 00:00:00.000,1995-01-01 00:01:00.000,2016-04-01 17:00:00.000,01/04/2016,Heinous,False Case,Written & Organised,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,0.0,0.0,"IPC 1860 U/s: 201,202 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 4 ",VINAY A GOANKAR   (SP),1939845,,104200057,"DDPI OFFICE, DDPI OFFICE",SOUTH 2 K.M,Beat 3,SADASHIVA NAGAR,0,0,0,0,0,0,6,0,0,0,0,0,2016000097,298,10982029820160088,0
Belagavi City,APMC Yard PS,0090/2016,1,2016,4,2016-04-02 23:58:00.000,2016-04-02 23:59:00.000,2016-04-05 17:30:00.000,05/04/2016,Heinous,False Case,Written & Organised,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  Women,0.0,0.0,"IPC 1860 U/s: 354,306 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(1)(x) ",JAYAKUMAR C T   (ADDL. SP),1353162,,3200010,"VAIBHAV NAGAR, VAIBHAV NAGAR",1 K.M EAST.,Beat 1,Vaibhav Nagar,0,1,0,0,0,0,1,0,0,0,0,0,2016000099,298,10982029820160090,0
Belagavi City,APMC Yard PS,0095/2016,1,2016,4,2012-01-01 00:00:00.000,2016-04-08 00:00:00.000,2016-04-08 20:00:00.000,08/04/2016,Heinous,Pending Trial,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  Women,0.0,0.0,"IPC 1860 U/s: 354,471,469,468,465,420 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(1)(xi),3(XII),3(1)(s),3(1)(r) IPC 1860 U/s: 506 ",JAYAKUMAR C T   (ADDL. SP),1353162,,3200010,"BIMS HOSPITAL AND SUB REGISTER OFFICE, BIMS HOSPITAL AND SUB REGISTER OFFICE",SOUTH 1 K.M,Beat 3,SADASHIVA NAGAR,0,0,0,0,1,0,1,1,0,1,1,0,2016000104,298,10982029820160095,0
Belagavi City,APMC Yard PS,0010/2019,1,2019,1,2019-01-10 23:58:00.000,2019-01-10 23:59:00.000,2019-01-11 15:30:00.000,11/01/2019,Non Heinous,Dis/Acq,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,15.872373,74.510726,"IPC 1860 U/s: 504,143,147,148,149,307,323,324,326 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(2)(va),3(1)(s),3(1)(r) ",NARAYAN BHARAMANI  (ADDL. SP),1352843,,28900627,"HANUMAN NAGAR MURLIDHAR COLONY, HANUMAN NAGAR MURLIDHAR COLONY",WEST 2 K.M,BEAT 46,HANUMAN NAGAR WEST,2,0,0,0,0,0,8,7,0,7,7,0,2019000012,298,10982029820190010,1
Belagavi City,APMC Yard PS,0026/2020,1,2020,2,2020-02-23 19:49:00.000,2020-02-23 19:50:00.000,2020-02-23 23:40:00.000,23/02/2020,Heinous,Dis/Acq,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,15.878691,74.514203,"IPC 1860 U/s: 143,147,148,427,149 KARNATAKA PREVENTION OF DISTRUCTION & LOSS OF PROPERTY ACT 1981 U/s: 2(A) The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(2)(va),3(1)(r) IPC 1860 U/s: 504,506,323 ",NARAYAN BHARAMANI  (ADDL. SP),1352843,,28900627,"SC&ST BOYS HOSTEL SANGAMESHWAR NAGAR, SC&ST BOYS HOSTEL SANGAMESHWAR NAGAR",1 KM TOWARDS SOUTH,BEAT 26,SANGAMESHWAR NAGAR SOUTH,1,0,0,0,0,0,0,6,0,6,6,0,2020000029,298,10982029820200026,1
Belagavi City,APMC Yard PS,0003/2021,1,2021,1,2021-01-05 23:30:00.000,2021-01-05 23:31:00.000,2021-01-06 14:30:00.000,06/01/2021,Heinous,False Case,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,15.892298,74.511434,"IPC 1860 U/s: 504,506 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(1) (s),3(2)(v-a) ",Sadashiv Revappa Kattimani (ACP),1827332,,143600001,"SHAHU NAGAR, SHAHU NAGAR",2KM EAST,BEAT 15,SHAHU NAGAR EAST.,1,0,0,0,0,0,1,0,0,0,0,0,2021000003,298,10982029820210003,1
Belagavi City,APMC Yard PS,0095/2022,1,2022,7,2022-06-30 21:59:00.000,2022-06-30 22:00:00.000,2022-07-01 12:15:00.000,01/07/2022,Heinous,Dis/Acq,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,15.89357,74.519664,"IPC 1860 U/s: 323,307,504,34,506 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(2)(v-a),3(1)(s),3(1)(r) IPC 1860 U/s: 324 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(2)(V) ",Sadashiv Revappa Kattimani (ACP),1827332,,143600001,"3rd CROSS VAIBHAV NAGAR NEAR AYYANGAR BAKERY, 3rd CROSS VAIBHAV NAGAR NEAR AYYANGAR BAKERY",EAST 2KM,Beat 5,T.V Center,1,0,0,0,0,0,3,1,0,1,2,0,2022000136,298,10982029820220095,1
Belagavi City,APMC Yard PS,0010/2023,1,2023,1,2018-01-01 00:00:00.000,2022-04-24 00:01:00.000,2023-01-27 18:15:00.000,27/01/2023,Heinous,Other Disposal,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  Women,0.0,0.0,"IPC 1860 U/s: 420,312,384,354C,504,506 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(1)(r),3(1)(s),3(2)(v-a) ",NARAYAN BHARAMANI  (ADDL. SP),1352843,,28900627,"KANGRALI KH, KANGRALI KH",NORTH 1 KM,BEAT 18,KANGARALI K H EAST.,0,1,0,0,0,0,1,0,0,0,0,0,2023000020,298,10982029820230010,0
Belagavi City,APMC Yard PS,0153/2023,1,2023,10,2023-10-07 18:30:00.000,2023-10-07 19:15:00.000,2023-10-08 22:50:00.000,08/10/2023,Heinous,Pending Trial,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,15.882526,74.487629,"IPC 1860 U/s: 323,354,448,427,504,506,149 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(1)(r)(s),3(2)(v-a) IPC 1860 U/s: 147,143 Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Ordinance 2014 U/s: 3(2)(5a),3(1)(r)(s) ",NARAYAN BHARAMANI  (ADDL. SP),1352843,,28900627,"KUVEMPU NAGAR, KUVEMPU NAGAR",WEST 2KM,BEAT 62,KUVEMPU NAGAR SOUTH,1,1,0,0,0,0,5,0,0,0,5,0,2023000218,298,10982029820230153,1
