District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Hukkeri PS,0084/2022,1,2022,5,2022-04-27 22:30:00.000,2022-04-27 22:35:00.000,2022-05-01 18:15:00.000,01/05/2022,Non Heinous,Dis/Acq,Written,CASES OF HURT,Grievous  Hurt,16.232016,74.679982,"IPC 1860 U/s: 498A,323,326,504,109,34,324 ",M M TAHASHILDAR   (PI),2014037,,107200025,"Kotabagi Dasarahatti Plot, Kotabagi Dasarahatti Plot",Towards East 10 KM,31,KOTABAGI DASARATTI PLOT,0,1,0,0,0,0,3,2,1,3,1,0,2022000104,1461,10444146120220084,-1
Belagavi Dist,Athani PS,0001/2019,1,2019,1,2019-01-01 21:30:00.000,2019-01-01 21:31:00.000,2019-01-03 13:00:00.000,03/01/2019,Non Heinous,Dis/Acq,Written,CASES OF HURT,Grievous  Hurt,16.647654,75.022124,"IPC 1860 U/s: 325,504,34,323 ",L S AJJANAGI   (HC),1128.0,,148500022,"Tevaratti Village Limits Complainant Field House, Tevaratti Village Limits Complainant Field House",19 Km Towards North,Darur 09,Darur,1,0,0,0,0,0,2,0,0,0,2,0,2019000001,1485,10444148520190001,-1
Belagavi Dist,Gokak Rural PS,0023/2024,1,2024,2,2024-02-05 14:30:00.000,2024-02-05 14:35:00.000,2024-02-06 20:10:00.000,06/02/2024,Non Heinous,Under Investigation,Others,CASES OF HURT,Grievous  Hurt,16.162285,74.809921,"IPC 1860 U/s: 323,324,326,504,506,34 ",B N SUNAGAR   (HC),900491606.0,,145900003,"Makkalageri village Limits, Makkalageri village Limits",South 18 km,Beat No 15,Makkalageri,2,0,0,0,0,0,3,0,0,0,0,0,2024000036,319,10444031920240023,-1
Belagavi Dist,Athani PS,0056/2020,1,2020,2,2020-02-17 21:30:00.000,2020-02-17 21:45:00.000,2020-02-18 15:00:00.000,18/02/2020,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,16.876747,75.000891,"IPC 1860 U/s: 323,504,341,506,326,324 ",Pawadi Malagoudar   (HC),1926505.0,,148500055,"Anantpur Village Limits Tq Athani, Anantpur Village Limits Tq Athani",25 KM Towards North Side,Kiranagi 02,ANANTAPUR,1,0,0,0,0,0,3,2,1,3,3,0,2020000067,1485,10444148520200056,-1
Belagavi Dist,Kagwad PS,0152/2023,1,2023,9,2023-09-16 10:30:00.000,2023-09-16 10:35:00.000,2023-09-24 11:00:00.000,24/09/2023,Non Heinous,Under Investigation,Others,CASES OF HURT,Grievous  Hurt,16.678009,74.833911,"IPC 1860 U/s: 354,326,323,504,506,354(B) ",S A GODSE   (HC),900490709,,145700028,"R/O PARIDAKHANWADI, R/O PARIDAKHANWADI",17 KMS EAST FROM PS,16 FARIDAKHANWADI,LOKUR,0,2,0,0,0,0,1,0,0,0,0,0,2023000214,1486,10444148620230152,-1
Belagavi Dist,Chikkodi PS,0034/2020,1,2020,3,2020-03-01 14:00:00.000,2020-03-01 14:01:00.000,2020-03-01 19:00:00.000,01/03/2020,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,16.312693,74.763159,"IPC 1860 U/s: 326,323,504,34,341,506 ",ASHOK T KULLUR   (PSI),549301.0,,147800008,"JODAKUARALI VILLAGE LIMITS, JODAKUARALI VILLAGE LIMITS",TOWARDS EAST 12 KMS,BEAT 27,JODAKURALI,0,1,0,0,0,0,2,0,1,1,2,0,2020000045,1478,10444147820200034,-1
Belagavi Dist,Kudachi PS,0029/2021,1,2021,3,2021-03-12 18:00:00.000,2021-03-12 18:01:00.000,2021-03-14 15:00:00.000,14/03/2021,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,16.561696,74.821255,"IPC 1860 U/s: 323,324,326,504,506,34 ",SHIVARAJ  DHARIGON (PSI),2841068,,178000089,"Chinchali Village Limits, Chinchali Village Limits",South 10 Km,Chinchali,Chinchali,1,1,0,0,0,0,2,1,0,1,2,0,2021000036,1484,10444148420210029,-1
Belagavi Dist,Doddawad PS,0027/2020,1,2020,5,2020-05-11 15:29:00.000,2020-05-11 15:30:00.000,2020-05-11 20:40:00.000,11/05/2020,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,15.674267,74.97074,"IPC 1860 U/s: 341,326,323,504,34 ",GAJANAN KAREPPA NAIK   (PI),2511163.0,,68300195,"AT-DODDAWAD, AT-DODDAWAD",EAST 01 KM,01,DODAWAD,2,0,0,0,0,0,3,2,0,2,3,0,2020000046,1467,10444146720200027,-1
Belagavi Dist,Doddawad PS,0084/2023,1,2023,8,2023-05-15 20:40:00.000,2023-05-15 20:41:00.000,2023-08-03 18:45:00.000,03/08/2023,Non Heinous,Under Investigation,Judicial/Magistrate reference,CASES OF HURT,Grievous  Hurt,15.675172,74.965344,"IPC 1860 U/s: 326,329,506,507,34 ",Nandeesha   (PSI),3191810.0,,146400076,"Complaint House At: Doddawad, Complaint House At: Doddawad",Towards East 0.5 km,02,BELAVADI,1,0,0,0,0,0,11,0,0,0,0,0,2023000116,1467,10444146720230084,-1
Belagavi Dist,Athani PS,0251/2023,1,2023,7,2023-07-29 12:30:00.000,2023-07-29 12:31:00.000,2023-07-29 20:30:00.000,29/07/2023,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,16.766813,74.946447,"IPC 1860 U/s: 341,324,326,504,506,34,323 ",S S SANADI   (HC),2271059.0,,146500028,"Siddewadi Village Limits, Siddewadi Village Limits",18 K M Towards North Side,Siddewadi 06,Siddewadi,2,0,0,0,0,0,3,0,0,0,3,0,2023000334,1485,10444148520230251,-1
