District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Aigali PS,0086/2019,1,2019,7,2019-02-17 00:00:00.000,2019-02-17 00:01:00.000,2019-07-17 18:30:00.000,17/07/2019,Non Heinous,Pending Trial,Written,CHILDREN ACT,Child Marriage (Restraint) Act  1929,16.665303,75.238525,"Prohibition of Child Marriage Act 2006 U/s: 10,9 ",M D GHORI   (PSI),2825784,,28900646,"INFRONT OF  THE VASANT AMBAJI HOME SUTTATTI, INFRONT OF  THE VASANT AMBAJI HOME SUTTATTI",18 KMS TOWARDS SOUTH,BEAT 16,SUTTATTI,0,0,0,1,0,0,4,0,0,0,4,0,2019000140,1487,10444148720190086,-1
Belagavi Dist,Aigali PS,0104/2020,1,2020,8,2019-06-20 00:00:00.000,2019-06-20 00:01:00.000,2020-08-22 14:15:00.000,22/08/2020,Non Heinous,False Case,Others,CHILDREN ACT,Child Marriage (Restraint) Act  1929,16.737517,75.210715,"CHILD MARRIAGE RESTRAINT ACT U/s: 9,10 ",SHANKAR P SAVADI   (ASI),477,,148500045,"KHOTANATTI VILLAGE, KHOTANATTI VILLAGE",10 KM TOWARDS SOUTH,BEAT 20,KHOTANATTI,0,1,0,0,0,0,3,0,0,0,0,0,2020000142,1487,10444148720200104,-1
Belagavi Dist,Aigali PS,0099/2022,1,2022,8,2020-06-25 10:00:00.000,2020-06-25 10:01:00.000,2022-08-18 10:00:00.000,18/08/2022,Non Heinous,Under Investigation,Written,CHILDREN ACT,Child Marriage (Restraint) Act  1929,16.738535,75.350242,"Prohibition of Child Marriage Act 2006 U/s: 9,10,11 ",S M Padasalagi   (HC),1757480,,145800045,"HALAHALLI VILLAGE LIMITS, HALAHALLI VILLAGE LIMITS",10 KM TOWARDS EAST,BEAT 10,HALALLI,0,0,0,2,0,0,1,0,0,0,0,0,2022000148,1487,10444148720220099,-1
Belagavi Dist,Aigali PS,0108/2022,1,2022,9,2020-06-15 18:00:00.000,2020-06-15 18:01:00.000,2022-09-13 17:00:00.000,13/09/2022,Non Heinous,Under Investigation,Others,CHILDREN ACT,Child Marriage (Restraint) Act  1929,16.797017,75.338438,"Prohibition of Child Marriage Act 2006 U/s: 9,11 ",Sumalata  Asangi (WPSI),3191815,,220400013,"TELASANG VILLAGE LIMITS GANAPATI TEMPLE, TELASANG VILLAGE LIMITS GANAPATI TEMPLE",15 KM TOWARDS EAST,BEAT 07,BADACHI,0,0,0,1,0,0,1,0,0,0,0,0,2022000170,1487,10444148720220108,-1
Belagavi Dist,Ankalgi PS,0035/2023,1,2023,6,2021-12-13 00:05:00.000,2021-12-13 00:10:00.000,2023-06-17 18:00:00.000,17/06/2023,Non Heinous,Under Investigation,Others,CHILDREN ACT,Child Marriage (Restraint) Act  1929,16.040395,74.716573,"Prohibition of Child Marriage Act 2006 U/s: 11,10,9 ",MANJUNATH  BHAJANTRI (PSI),2825692,,145500067,"Madawal Village Limits Inftont Of Accused Home, Madawal Village Limits Inftont Of Accused Home",East Towards 06 KM,17,Madawal,0,0,0,1,0,0,4,0,0,0,4,0,2023000070,324,10444032420230035,-1
Belagavi Dist,Ankalgi PS,0015/2024,1,2024,3,2023-12-25 10:00:00.000,2023-12-25 10:01:00.000,2024-03-02 18:00:00.000,02/03/2024,Non Heinous,Under Investigation,Others,CHILDREN ACT,Child Marriage (Restraint) Act  1929,16.027748,74.693352,"Prohibition of Child Marriage Act 2006 U/s: 9,10,11 ",MANJUNATH  BHAJANTRI (PSI),2825692,,145500067,"Budihal Village Limits In, Budihal Village Limits In",South Towards 06 KM,6,URUBINAHATTI,0,0,0,1,0,0,2,0,0,0,0,0,2024000032,324,10444032420240015,-1
Belagavi Dist,Ankali PS,0053/2020,1,2020,7,2020-06-17 12:00:00.000,2020-06-17 12:01:00.000,2020-07-04 17:00:00.000,04/07/2020,Non Heinous,Pending Trial,Others,CHILDREN ACT,Child Marriage (Restraint) Act  1929,0.0,0.0,"CHILD MARRIAGE RESTRAINT ACT U/s: 9,10,11 ",L M AARI   (PSI),2349885,,17200148,"MANJARI VILLAGE, MANJARI VILLAGE",05 KM TOWARDS NORTH,01 BEAT ANKALI PS,ANKALI,0,0,0,1,0,0,18,2,2,4,18,0,2020000074,2011,10444201120200053,0
Belagavi Dist,Athani PS,0051/2018,1,2018,2,2018-01-19 16:30:00.000,2018-01-19 16:35:00.000,2018-02-02 18:00:00.000,02/02/2018,Non Heinous,Compounded,Others,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act 1986,0.0,0.0,"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986 U/s: 3 ",U S AWATI   (PSI),2285508.0,,32700382,"Sankonatti Village Limits In Shivu Naik's Bricks, Sankonatti Village Limits In Shivu Naik's Bricks",03 Km Towerds South,Kallotti 05,Kallotti,0,0,2,0,0,0,1,1,0,1,1,0,2018000057,1485,10444148520180051,0
Belagavi Dist,Athani PS,0210/2019,1,2019,6,2019-05-05 00:00:00.000,2019-05-05 00:01:00.000,2019-06-03 15:45:00.000,03/06/2019,Non Heinous,Pending Trial,Written,CHILDREN ACT,Child Marriage (Restraint) Act  1929,16.661706,74.996588,"CHILD MARRIAGE RESTRAINT ACT U/s: 10,9 ",KUMAR HADAKAR   (PSI),2481364.0,,44700147,"Hulagabal, Hulagabal",8K M Towards South Side,Tanvashi 03,SATTI,0,0,0,1,0,0,12,1,0,1,12,0,2019000317,1485,10444148520190210,-1
Belagavi Dist,Athani PS,0093/2020,1,2020,3,2020-03-09 21:00:00.000,2020-03-09 21:01:00.000,2020-03-12 00:30:00.000,12/03/2020,Non Heinous,Pending Trial,Written,CHILDREN ACT,Child Marriage (Restraint) Act  1929,0.0,0.0,"IPC 1860 U/s: 366(A),147,143 CHILD MARRIAGE RESTRAINT ACT U/s: 10,9 ",M S PATIL ASI ATHANI   (ASI),1107196.0,,148700029,"Satti Village Limits, Satti Village Limits",20 Km Towards South,Satti 13,SATTI,0,0,0,1,0,0,6,1,0,1,1,0,2020000109,1485,10444148520200093,0
Belagavi Dist,Athani PS,0381/2021,1,2021,10,2021-09-24 12:00:00.000,2021-09-24 12:01:00.000,2021-10-22 14:15:00.000,22/10/2021,Non Heinous,Pending Trial,Written,CHILDREN ACT,Child Marriage (Restraint) Act  1929,0.0,0.0,"CHILD MARRIAGE RESTRAINT ACT U/s: 10,9 ",ARER V G   (ASI),549422.0,,145600003,"TEERTH VILLAGE ACCUSED HOUSE, TEERTH VILLAGE ACCUSED HOUSE",18 KMS TOWARDS SOUTH,Khotawadi 04,Kotawadi,0,0,0,1,0,0,0,0,0,0,4,0,2021000466,1485,10444148520210381,0
Belagavi Dist,Athani PS,0144/2023,1,2023,4,2023-04-17 00:00:00.000,2023-04-17 00:01:00.000,2023-04-19 12:00:00.000,19/04/2023,Non Heinous,False Case,Written,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act 1986,16.726688,75.060208,"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986 U/s: 14,3 ",SHIVANAND M KARAJOL   (PSI),2951595.0,,31400062,"Athani Town Limits, Athani Town Limits",1 KM Towards East,Athani Town 01  14,ABBIHAL,0,1,0,0,0,0,1,0,0,0,0,0,2023000199,1485,10444148520230144,-1
