District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Aigali PS,0039/2017,1,2017,3,2017-02-05 10:00:00.000,2017-02-05 10:01:00.000,2017-03-14 17:30:00.000,14/03/2017,Non Heinous,Pending Trial,Written,CRIMINAL TRESPASS,Land,0.0,0.0,"IPC 1860 U/s: 447,149,147,143,504,506,427 ",DEVAMANE B S   (ASI),914721,,148400011,"BURLATTI, BURLATTI",16 KMS TOWARDS SOUTH,BEAT 07,BADACHI,1,0,0,0,0,0,16,1,1,2,15,0,2017000042,1487,10444148720170039,0
Belagavi Dist,Aigali PS,0007/2019,1,2019,1,2019-01-08 15:00:00.000,2019-01-08 15:01:00.000,2019-01-11 08:15:00.000,11/01/2019,Non Heinous,False Case,Written,CRIMINAL TRESPASS,Land,16.66635,75.166877,"IPC 1860 U/s: 323,447,504,506 ",SHIVAJI H PAWAR   (PSI),2198421,,135100095,"BADAGI, BADAGI",07 KMS TOWARDS SOUTH,BEAT 12,BADAGI,0,1,0,0,0,0,1,0,0,0,0,0,2019000009,1487,10444148720190007,-1
Belagavi Dist,Aigali PS,0011/2019,1,2019,1,2018-06-15 16:00:00.000,2018-06-15 16:01:00.000,2019-01-12 16:30:00.000,12/01/2019,Non Heinous,False Case,Judicial/Magistrate reference,CRIMINAL TRESPASS,Land,16.768681,75.18595,"IPC 1860 U/s: 324,323,447,504,34,506 ",DEVAMANE B S   (ASI),914721,,148400011,"PADATARAWADI, PADATARAWADI",06 KMS TOWARDS EAST,BEAT 09,PADATARAWADI,1,0,0,0,0,0,10,0,0,0,0,0,2019000014,1487,10444148720190011,-1
Belagavi Dist,Aigali PS,0078/2019,1,2019,6,2018-05-01 07:00:00.000,2018-05-01 07:01:00.000,2019-06-15 14:30:00.000,15/06/2019,Non Heinous,False Case,Judicial/Magistrate reference,CRIMINAL TRESPASS,Land,16.778079,75.254342,"IPC 1860 U/s: 446,448,447,504,34,509,506 ",BASAVARAJ MALLAPPA DAVALESHWAR (HC),1926529,,145800046,"AIGALI, AIGALI",03 KMS TOWARDS WEST,BEAT 01,AIGALI,0,1,0,0,0,0,7,0,0,0,0,0,2019000127,1487,10444148720190078,-1
Belagavi Dist,Aigali PS,0002/2020,1,2020,1,2019-12-27 00:00:00.000,2019-12-27 00:01:00.000,2020-01-05 12:30:00.000,05/01/2020,Non Heinous,Pending Trial,Written,CRIMINAL TRESPASS,House,16.692518,75.215726,"IPC 1860 U/s: 341,448,323,504,34 ",DEVAMANE B S   (ASI),914721,,148400011,"IN COMPLAINANT HOME TELASANG, IN COMPLAINANT HOME TELASANG",15 KMS TOWARDS SOUTH,BEAT 07,BADACHI,1,0,0,0,0,0,2,0,0,0,2,0,2020000003,1487,10444148720200002,-1
Belagavi Dist,Aigali PS,0158/2021,1,2021,10,2021-10-23 14:40:00.000,2021-10-23 14:41:00.000,2021-10-23 17:00:00.000,23/10/2021,Non Heinous,False Case,Written,CRIMINAL TRESPASS,House,16.794817,75.340789,"IPC 1860 U/s: 442,448,34 ",M D GHORI   (PSI),2825784,,28900646,"TELASANG LIMITS COMPLAINANT HOME, TELASANG LIMITS COMPLAINANT HOME",18 KMS TOWARDS EAST,BEAT 07,BADACHI,1,0,0,0,0,0,4,0,0,0,0,0,2021000231,1487,10444148720210158,-1
Belagavi Dist,Aigali PS,0014/2022,1,2022,2,2022-02-09 15:00:00.000,2022-02-09 15:01:00.000,2022-02-10 13:10:00.000,10/02/2022,Non Heinous,Pending Trial,Others,CRIMINAL TRESPASS,Others,16.692088,75.214109,"IPC 1860 U/s: 143,147,148,323,324,384,447,504,506,149 ",SHIVAJI H PAWAR   (PSI),2198421,,135100095,"YAKKANCHI VILLAGE LIMITS, YAKKANCHI VILLAGE LIMITS",15 KM TOWARDS WEST,BEAT 24,YANKACHI,1,0,0,0,0,0,7,5,2,7,7,0,2022000022,1487,10444148720220014,-1
Belagavi Dist,Aigali PS,0018/2022,1,2022,2,2022-02-19 23:00:00.000,2022-02-19 23:01:00.000,2022-02-22 15:00:00.000,22/02/2022,Non Heinous,Pending Trial,Others,CRIMINAL TRESPASS,Others,16.691996,75.213831,"IPC 1860 U/s: 447,504,506,34,448 ",S R SATIGOUDAR   (HC),2271050,,148300033,"KOKATANUR VILLAGE LIMITS, KOKATANUR VILLAGE LIMITS",18 KM TOWARDS SOUTH,BEAT 15,KOKATANUR,0,1,0,0,0,0,2,2,0,2,2,0,2022000028,1487,10444148720220018,-1
Belagavi Dist,Aigali PS,0043/2022,1,2022,4,2022-04-21 14:00:00.000,2022-04-21 14:01:00.000,2022-04-22 20:30:00.000,22/04/2022,Non Heinous,False Case,Written,CRIMINAL TRESPASS,Others,16.794499,75.337147,"IPC 1860 U/s: 143,147,148,324,447,504,506,149 ",SHIVAJI H PAWAR   (PSI),2198421,,135100095,"TELASANG VILLAGE LIMITS IN COMPLAINANT LAND, TELASANG VILLAGE LIMITS IN COMPLAINANT LAND",15 KM TOWARDS EAST,BEAT 08,KOHALLI,1,0,0,0,0,0,5,0,0,0,0,0,2022000067,1487,10444148720220043,-1
Belagavi Dist,Aigali PS,0012/2024,1,2024,1,2024-01-19 14:00:00.000,2024-01-19 15:00:00.000,2024-01-21 17:30:00.000,21/01/2024,Non Heinous,Under Investigation,Others,CRIMINAL TRESPASS,House,16.794461,75.149948,"IPC 1860 U/s: 143,147,323,448,504,506,149 ",S M Padasalagi   (HC),1757480,,145800045,"In Complainant House, In Complainant House",Towards West to PS 18 KM,BEAT 05,KHOTNATTI,1,0,0,0,0,0,7,0,0,0,0,0,2024000016,1487,10444148720240012,-1
Belagavi Dist,Aigali PS,0020/2024,1,2024,2,2024-02-06 12:00:00.000,2024-02-06 12:01:00.000,2024-02-09 11:30:00.000,09/02/2024,Non Heinous,Under Investigation,Written,CRIMINAL TRESPASS,Land,16.869924,75.293734,"IPC 1860 U/s: 143,147,148,323,354,427,447,448,504,506,149 ",S M Padasalagi   (HC),1757480,,145800045,"Telasang Village, Telasang Village",EAST 2 KM,BEAT 02,RAMTIRATH,1,2,0,0,0,0,11,0,0,0,0,0,2024000028,1487,10444148720240020,-1
Belagavi Dist,Ankali PS,0176/2016,1,2016,12,2016-12-10 15:00:00.000,2016-12-10 15:01:00.000,2016-12-12 18:00:00.000,12/12/2016,Non Heinous,Dis/Acq,Written,CRIMINAL TRESPASS,Land,0.0,0.0,"IPC 1860 U/s: 323,341,447,504,506,34 ",D B KAMBLE   (HC),670,,148300003,"CHANDUR TEK VILLAGE, CHANDUR TEK VILLAGE",12 KM TOWARDS WEST,00,CHANDUR,2,0,0,0,0,0,4,4,0,4,4,0,2016000187,2011,10444201120160176,0
Belagavi Dist,Ankali PS,0007/2017,1,2017,1,2014-07-15 10:00:00.000,2014-07-15 10:01:00.000,2017-01-16 19:00:00.000,16/01/2017,Non Heinous,False Case,Judicial/Magistrate reference,CRIMINAL TRESPASS,Land,0.0,0.0,"IPC 1860 U/s: 447,504,506 ",GANAPATI BHIMAPPA KONGANOLI (PSI),2481632,,44700149,"MANJARI VILLAGE, MANJARI VILLAGE",04 KM TOWARDS NORTH,07 BEAT ANKALI PS,MANJARI,1,0,0,0,0,0,1,0,0,0,0,0,2017000008,2011,10444201120170007,0
Belagavi Dist,Ankali PS,0109/2017,1,2017,8,2017-08-16 16:00:00.000,2017-08-16 16:01:00.000,2017-08-16 18:00:00.000,16/08/2017,Non Heinous,Compounded,Written,CRIMINAL TRESPASS,Land,0.0,0.0,"IPC 1860 U/s: 447,506,34 ",GANAPATI BHIMAPPA KONGANOLI (PSI),2481632,,44700149,"ANKALI VILLAGE, ANKALI VILLAGE",1 KM TOWARDS EAST,00,ANKALI,1,0,0,0,0,0,4,3,1,4,4,0,2017000127,2011,10444201120170109,0
Belagavi Dist,Ankali PS,0048/2018,1,2018,2,2018-02-11 08:00:00.000,2018-02-11 08:01:00.000,2018-02-11 18:00:00.000,11/02/2018,Non Heinous,Dis/Acq,Written,CRIMINAL TRESPASS,House,0.0,0.0,"IPC 1860 U/s: 143,147,447,427,506,149 ",N B JAMADAR   (HC),1261,,147800041,"KADAPUR VILLAGE, KADAPUR VILLAGE",07 KM TOWARDS SOUTH,00,KADAPUR,0,1,0,0,0,0,8,4,3,7,8,0,2018000048,2011,10444201120180048,0
Belagavi Dist,Ankali PS,0001/2020,1,2020,1,2019-12-04 10:00:00.000,2019-12-04 10:01:00.000,2020-01-02 18:30:00.000,02/01/2020,Non Heinous,False Case,Written,CRIMINAL TRESPASS,Others,16.469063,74.644385,"IPC 1860 U/s: 447,504,506,34 ",L M AARI   (PSI),2349885,,17200148,"INGALI VILLAGE, INGALI VILLAGE",12  KM TOWARDS NORTH,04 BEAT ANKALI PS,KADAPUR,1,0,0,0,0,0,3,0,0,0,0,0,2020000001,2011,10444201120200001,2
Belagavi Dist,Ankali PS,0029/2021,1,2021,4,2021-04-17 10:00:00.000,2021-04-17 10:01:00.000,2021-04-19 09:15:00.000,19/04/2021,Non Heinous,Pending Trial,Written,CRIMINAL TRESPASS,House,16.5724,74.753413,"IPC 1860 U/s: 143,147,448,427,504,506,149 ",L M AARI   (PSI),2349885,,17200148,"AT KERUR, AT KERUR",SOUTH 15 KM,00,KERUR,0,1,0,0,0,0,5,0,0,0,5,0,2021000049,2011,10444201120210029,5
Belagavi Dist,Ankali PS,0052/2021,1,2021,8,2021-08-11 02:00:00.000,2021-08-11 04:00:00.000,2021-08-11 13:00:00.000,11/08/2021,Non Heinous,Pending Trial,Written,CRIMINAL TRESPASS,Hotel ,16.466617,74.642699,"IPC 1860 U/s: 143,147,447,448,427,504,506,149,148 ",N S PARAMANATTI   (ASI),900491279,,148400023,"KERUR VILLAGE LIMITS, KERUR VILLAGE LIMITS",TOWRDS SOUTH 15 KMS,00,KERUR,1,0,0,0,0,0,9,10,0,10,15,0,2021000082,2011,10444201120210052,2
Belagavi Dist,Ankali PS,0094/2021,1,2021,12,2021-12-28 14:00:00.000,2021-12-28 14:01:00.000,2021-12-28 20:15:00.000,28/12/2021,Non Heinous,Pending Trial,Written,CRIMINAL TRESPASS,Land,16.574609,74.757833,"IPC 1860 U/s: 447,149,147,143,504,506,427 ",ANIL B PADEDAR   (HC),2271073,,145800040,"INGALI VILLAGE LIMITS, INGALI VILLAGE LIMITS",TOWRDS NORTH 15 KMS,04 BEAT ANKALI PS,KADAPUR,1,0,0,0,0,0,10,0,0,0,10,0,2021000150,2011,10444201120210094,5
Belagavi Dist,Ankali PS,0041/2022,1,2022,5,2022-04-04 18:30:00.000,2022-04-04 18:31:00.000,2022-05-27 13:15:00.000,27/05/2022,Non Heinous,False Case,Written,CRIMINAL TRESPASS,Others,16.558183,74.692858,"IPC 1860 U/s: 143,147,148,448,427,379,506,504,149 ",Kadappa Balappa Jakkannavar (PSI),3191817,,146200063,"MANJARI VILLAGE LIMITS, MANJARI VILLAGE LIMITS",TOWARDS NORTH 6 KMS,01 BEAT ANKALI PS,ANKALI,0,1,0,0,0,0,11,0,0,0,0,0,2022000046,2011,10444201120220041,5
Belagavi Dist,Ankali PS,0005/2023,1,2023,1,2023-01-17 10:00:00.000,2023-01-17 10:01:00.000,2023-01-17 18:00:00.000,17/01/2023,Non Heinous,Pending Trial,Written,CRIMINAL TRESPASS,Land,16.568421,74.689654,"IPC 1860 U/s: 447,504,506,34 ",R S RABAKAVI   (HC),900491632,,146000027,"KERUR VILLAGE LIMITS, KERUR VILLAGE LIMITS",TOWARDS SOUTH 8 KM,08 BEAT ANKALI PS,KERUR,1,0,0,0,0,0,4,0,0,0,4,0,2023000006,2011,10444201120230005,5
Belagavi Dist,Ankali PS,0063/2023,1,2023,6,2023-06-01 22:30:00.000,2023-06-01 22:31:00.000,2023-06-02 01:30:00.000,02/06/2023,Non Heinous,Pending Trial,Written,CRIMINAL TRESPASS,House,16.48001,74.624129,"IPC 1860 U/s: 143,147,148,452,323,324,326,504,506,149,34 ",K B HADIMANI   (ASI),900491173,,147800027,"KERUR VILLAGE LIMITS, KERUR VILLAGE LIMITS",TOWARDS SOUTH 10 KMS,08 BEAT ANKALI PS,KERUR,4,0,0,0,0,0,9,3,1,4,4,0,2023000098,2011,10444201120230063,2
Belagavi Dist,Athani PS,0357/2016,1,2016,9,2016-09-11 12:00:00.000,2016-09-11 12:01:00.000,2016-09-12 18:30:00.000,12/09/2016,Non Heinous,Abated,Written,CRIMINAL TRESPASS,Land,0.0,0.0,"IPC 1860 U/s: 447,504,34,506,427 ",S K BAJANTRI   (ASI),900491382,,148500044,"KHAVATAKOPP VILLAGE LIMITS COMPLAINANT FIELD, KHAVATAKOPP VILLAGE LIMITS COMPLAINANT FIELD",22 KM TOWARDS SOUTH,Ajur 04,KAVATAKOPPA,0,0,0,0,0,0,4,0,0,0,4,0,2016000410,1485,10444148520160357,0
