District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Khanapur PS,0130/2019,1,2019,6,2019-06-19 16:30:00.000,2019-06-19 16:35:00.000,2019-06-20 15:50:00.000,20/06/2019,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,15.641535,74.504595,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,196,5,146,146,134,187 ",Suresh Shingi   (PI),200067,,30500049,"NEAR LOKAMANYA BHAVAN KHANAPUR, NEAR LOKAMANYA BHAVAN KHANAPUR",LESS THAN 01 KM TOWARDS WEST FROM PS,BEAT NO 01,KHANAPUR,1,0,0,0,0,0,2,0,0,0,3,0,2019000243,314,10444031420190130,-1
Belagavi Dist,Kittur PS,0047/2019,1,2019,4,2019-04-02 20:15:00.000,2019-04-02 20:16:00.000,2019-04-03 05:15:00.000,03/04/2019,Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,15.581583,74.795228,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181(3),5,146 ",S F TOTAGI   (PI),1845405,,146600027,"BGM DWD NH4 ROAD M K HUBLI NEAR ASQA MASIDI, BGM DWD NH4 ROAD M K HUBLI NEAR ASQA MASIDI",TOWORDS NORTH 20 KM,BEAT NO 31,M K HUBLI,1,0,0,0,0,0,2,0,0,0,2,1,2019000109,1466,10444146620190047,-1
Belagavi Dist,Khanapur PS,0029/2022,1,2022,2,2022-02-15 20:00:00.000,2022-02-15 20:50:00.000,2022-02-16 08:05:00.000,16/02/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,15.72268,74.482322,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187,146,196 ",Suresh Shingi   (PI),200067,,30500049,"Between Akrali Croos And Rajwal, Ramnagar-Goa Road, Between Akrali Croos And Rajwal, Ramnagar-Goa Road",About 38 KM Towards South,BEAT NO 41,AKRALI,1,0,0,0,0,0,2,0,0,0,2,0,2022000036,314,10444031420220029,-1
Belagavi Dist,Kittur PS,0052/2020,1,2020,4,2020-04-18 14:00:00.000,2020-04-18 14:01:00.000,2020-04-18 18:15:00.000,18/04/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,15.57235,74.74135,"IPC 1860 U/s: 279,337,338,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181(3),5,146 ",MANJUNATHA.S.KUSUGAL   (PI),1899207,,161300013,"BGM DWD NH 4 ROAD M K HUBBALI LIMITES, BGM DWD NH 4 ROAD M K HUBBALI LIMITES",TOWORDS NORTH 20 KM,BEAT NO 31,M K HUBLI,3,0,0,0,0,0,4,1,0,1,2,0,2020000083,1466,10444146620200052,-1
Belagavi Dist,Sankeshwar PS,0025/2023,1,2023,1,2023-01-23 21:00:00.000,2023-01-23 21:05:00.000,2023-01-24 11:00:00.000,24/01/2023,Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.255422,74.48675,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,134 ",SHIVA SHARAN AWAJI   (PI),1941318.0,,169000006,"Sankeshwar City Limits NH4 Highway, Sankeshwar City Limits NH4 Highway",2 KM Towards South,42,SANKESHWAR TOWN,1,0,0,0,0,0,0,0,0,0,0,0,2023000032,1462,10444146220230025,-1
Belagavi Dist,Yamakanmardi PS,0104/2021,1,2021,6,2021-06-05 12:00:00.000,2021-06-05 14:15:00.000,2021-06-05 16:00:00.000,05/06/2021,Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.158199,74.518456,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 ",RAMESH B CHHAYAGOL   (PI),97999.0,,8100058,"Hanchinal Limits Near Gulabsha Darga BGM-SNK NH4, Hanchinal Limits Near Gulabsha Darga BGM-SNK NH4",Towards North 3 Km,BEAT NO 04,MANAGUTTI,0,1,0,0,0,0,0,0,0,0,0,0,2021000126,1463,10444146320210104,-1
Belagavi Dist,Sankeshwar PS,0173/2022,1,2022,7,2022-07-31 15:10:00.000,2022-07-31 15:20:00.000,2022-07-31 18:00:00.000,31/07/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.283365,74.52622,"IPC 1860 U/s: 304(A),338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 194A,181,3(1),146,196 ",NARASIMHARAJU. J.D   (PSI),1422068.0,,153500090,"Kamatanur Village Limits Near Laxmi Temple Cross, Kamatanur Village Limits Near Laxmi Temple Cross",8 KM Towards North,8,NERLI,8,0,0,0,0,0,2,0,0,0,2,0,2022000222,1462,10444146220220173,-1
Belagavi Dist,Sankeshwar PS,0040/2021,1,2021,3,2021-03-17 09:30:00.000,2021-03-17 09:40:00.000,2021-03-17 20:15:00.000,17/03/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.215874,74.516469,"IPC 1860 U/s: 279,337,338,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,194D,181,129,3,146 ",RAMESH B CHHAYAGOL   (PI),97999.0,,8100058,"Hebbal Village Limits in NH 4 Cercle, Hebbal Village Limits in NH 4 Cercle",6 KM Towards South,9,GOTUR,3,0,0,0,0,0,2,1,0,1,2,0,2021000064,1462,10444146220210040,-1
Belagavi Dist,Yamakanmardi PS,0162/2023,1,2023,7,2023-07-19 15:30:00.000,2023-07-19 15:35:00.000,2023-07-21 13:30:00.000,21/07/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.094893,74.519137,"IPC 1860 U/s: 279,337,338,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181,5,3,146 ",RAMESH B CHHAYAGOL   (PI),97999.0,,8100058,"Narasingapur Limit SNK-BGM NH4 Road Mangalore Dhab, Narasingapur Limit SNK-BGM NH4 Road Mangalore Dhab",TOWORDS SOUTH 08 KM,BEAT NO 13,SHINDHIHATTI,1,1,0,0,0,0,3,1,0,1,3,0,2023000213,1463,10444146320230162,-1
Belagavi Dist,Yamakanmardi PS,0061/2020,1,2020,3,2020-03-14 14:45:00.000,2020-03-14 14:46:00.000,2020-03-14 16:30:00.000,14/03/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.104025,74.517694,"IPC 1860 U/s: 279,337,304(A),338 ",GURURAJ I KALYANSHET   (PI),1898730.0,,146100012,"Mangutti Limits BGM-SNK NH 4, Mangutti Limits BGM-SNK NH 4",Towards South 5 Km,BEAT NO 11,PACHAPUR,3,0,0,0,0,0,1,1,0,1,1,0,2020000076,1463,10444146320200061,-1
Belagavi Dist,Nippani Town PS,0057/2022,1,2022,7,2022-07-25 06:00:00.000,2022-07-25 07:00:00.000,2022-07-25 08:15:00.000,25/07/2022,Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.359075,74.400274,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 ",SIDDABASAVANA GOUDA   (PI),2462.0,,29800059,"Nippani N H 4 Road On Belagavi to Kolhapur Road Ne, Nippani N H 4 Road On Belagavi to Kolhapur Road Ne",Towards East 6 K M,Beat 3,Gavani,1,0,0,0,0,0,1,0,0,0,0,0,2022000082,1480,10444148020220057,-1
Belagavi Dist,Nippani Town PS,0054/2019,1,2019,8,2019-08-17 10:30:00.000,2019-08-17 10:31:00.000,2019-08-17 12:00:00.000,17/08/2019,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.399726,74.371717,"IPC 1860 U/s: 304(A),279 ",SANTOSH  SATYANAIK (Dy.SP),1637253.0,,30900001,"On National Highway, Near Harinagar Cross, Nippani, On National Highway, Near Harinagar Cross, Nippani",Towards West 2 Km,Beat 13,Harinagar,1,0,0,0,0,0,1,0,0,0,1,0,2019000127,1480,10444148020190054,-1
Belagavi Dist,Kittur PS,0273/2023,1,2023,12,2023-12-22 23:45:00.000,2023-12-22 23:46:00.000,2023-12-23 09:00:00.000,23/12/2023,Heinous,Pending Trial,,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,15.717935,74.698943,"IPC 1860 U/s: 283,279,304A ",SUNIL PATIL   (PI),1998617,,103800094,"DASTIKOPPA VILLAGE LIMITS NH-48 ROAD, DASTIKOPPA VILLAGE LIMITS NH-48 ROAD",TOWADS NORTH 18 KM TO PS,BEAT NO 34,DEVARSHIGIHALLI,1,0,0,0,0,0,2,1,0,1,2,0,2023000384,1466,10444146620230273,-1
Belagavi Dist,Kittur PS,0036/2021,1,2021,3,2021-03-15 17:00:00.000,2021-03-15 17:01:00.000,2021-03-15 20:45:00.000,15/03/2021,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,15.640492,74.784408,"IPC 1860 U/s: 279,337,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 185 ",MANJUNATHA.S.KUSUGAL   (PI),1899207,,161300013,"M K Hubli Limits Near Aqsa Masjid, M K Hubli Limits Near Aqsa Masjid",North 20 Km,BEAT NO 32,M K HUBLI,1,0,1,0,0,0,1,0,0,0,1,0,2021000064,1466,10444146620210036,-1
Belagavi Dist,Yamakanmardi PS,0068/2022,1,2022,3,2022-03-13 16:30:00.000,2022-03-13 16:35:00.000,2022-03-13 20:30:00.000,13/03/2022,Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16.081445,74.517823,"IPC 1860 U/s: 279,283,338,304A ",RAMESH B CHHAYAGOL   (PI),97999.0,,8100058,"Benakanaholi Village Limits BGM to SNK NH 4 Road, Benakanaholi Village Limits BGM to SNK NH 4 Road",7 KM Towards Soutt,BEAT NO 14,BASAPUR,1,1,0,1,0,0,2,1,0,1,2,1,2022000086,1463,10444146320220068,-1
