District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Bailahongal PS,0094/2021,1,2021,4,2021-04-10 17:30:00.000,2021-04-10 17:31:00.000,2021-04-12 10:15:00.000,12/04/2021,Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,15.765412,74.78696,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,177,181,129,5,3,146 ",SATHENAHALLI.U.H   (PI),167076.0,,11100029,"Bevinkoppa-Neginal Road Neginal Village Limits, Bevinkoppa-Neginal Road Neginal Village Limits",Towards to south 12 km,z,NEGINAHAL,1,0,0,0,0,0,2,0,0,0,2,1,2021000143,1464,10444146420210094,-1
Belagavi Dist,Kagwad PS,0131/2023,1,2023,7,2023-07-20 15:30:00.000,2023-07-20 15:31:00.000,2023-07-20 17:30:00.000,20/07/2023,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.655769,74.791097,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 ",M B Biradar   (PSI),3191825,,146000053,"UGAR BK VILLAGE LIMITS UGAR- SHEDABAL ROAD, UGAR BK VILLAGE LIMITS UGAR- SHEDABAL ROAD",TOWARDS 6 KMS EAST FROM PS,10 UGAR BK,MANGAVATI VILLAGE,1,0,0,0,0,0,0,0,0,0,0,0,2023000177,1486,10444148620230131,-1
Belagavi Dist,Mudalgi PS,0096/2021,1,2021,6,2021-06-23 08:00:00.000,2021-06-23 08:16:00.000,2021-06-24 15:00:00.000,24/06/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.335369,74.962839,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 IPC 1860 U/s: 279,338,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,180,4,3,5 ",Venkatesh Shivashankrappa Murnal (PI),1962813.0,,40800164,"MUDALAGI, MUDALAGI",EAST 1 KM,Mudalgi Beat No 01,Mudalagi,0,1,0,0,0,0,1,0,0,0,2,0,2021000121,1458,10444145820210096,-1
Belagavi Dist,Hukkeri PS,0064/2023,1,2023,5,2023-05-24 23:00:00.000,2023-05-24 23:01:00.000,2023-05-25 07:00:00.000,25/05/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.27024,74.722892,"IPC 1860 U/s: 304(A),338,279 ",MAHANTESH BASAPUR   (PI),1841307,,145500025,"On Bellada Bagewadi to Shiradhan Cross Road, On Bellada Bagewadi to Shiradhan Cross Road",Towards East 12 km,26,JANGATIHAL,1,0,1,0,0,0,1,1,0,1,1,0,2023000097,1461,10444146120230064,-1
Belagavi Dist,Athani PS,0236/2022,1,2022,7,2022-07-06 19:45:00.000,2022-07-06 19:46:00.000,2022-07-07 20:15:00.000,07/07/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.727958,75.077107,"IPC 1860 U/s: 304(A),338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,129,3,146 ",RAVINDRA NAIKODI   (PI),900461840.0,,148500039,"Athani Town Near Butali House Athani Katageri Road, Athani Town Near Butali House Athani Katageri Road",Towards East 2 KM,Anantpur  01,Anantapur,3,0,0,0,0,0,2,1,0,1,2,0,2022000304,1485,10444148520220236,-1
Belagavi Dist,Katkol PS,0034/2023,1,2023,2,2023-02-20 07:15:00.000,2023-02-20 07:16:00.000,2023-02-20 17:00:00.000,20/02/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,15.986368,75.140033,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 146,3,5,181,196,180 IPC 1860 U/s: 279,337,304(A) ",I R PATTANASHETTI   (PI),1898621,,41500040,"Belagavi-Bagalakot road M.Chandargi limits, Belagavi-Bagalakot road M.Chandargi limits",10 Km towards North from ps,BEAT 02,K CHANDARAGI,5,0,0,0,0,0,1,0,0,0,2,0,2023000060,1473,10444147320230034,-1
Belagavi Dist,Sadalaga PS,0028/2021,1,2021,2,2021-02-21 02:00:00.000,2021-02-21 02:01:00.000,2021-02-21 11:45:00.000,21/02/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.531958,74.604957,"IPC 1860 U/s: 304(A),338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,3 ",RAJU RAVSAB PATIL   (PI),1898602.0,,126000025,"BHOJ VILLAGE LIMTS NEAR KARADAGA CROSS TYARI HALLA, BHOJ VILLAGE LIMTS NEAR KARADAGA CROSS TYARI HALLA",12 KMS TOWARDS WEST,BEAT NO 25,BHOJ,4,0,0,0,0,0,1,1,0,1,1,0,2021000041,1479,10444147920210028,-1
Belagavi Dist,Yamakanmardi PS,0098/2022,1,2022,4,2022-04-15 13:00:00.000,2022-04-15 13:01:00.000,2022-04-15 16:30:00.000,15/04/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.103786,74.503882,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187,180,181,5,3 ",RAMESH B CHHAYAGOL   (PI),97999.0,,8100058,"Managutti Village Limit Mangutii to Kavalikatti Ro, Managutti Village Limit Mangutii to Kavalikatti Ro",5 KM Towards West,BEAT NO 11,PACHAPUR,1,0,0,0,0,0,1,1,0,1,2,0,2022000124,1463,10444146320220098,-1
Belagavi Dist,Harugeri PS,0073/2023,1,2023,4,2023-04-05 20:00:00.000,2023-04-05 20:01:00.000,2023-04-05 22:15:00.000,05/04/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.514264,74.912485,"IPC 1860 U/s: 279,338,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187,180,181,5,3,146,196 ",RAVICHANDRA. D.B   (PI),1898666,,188500044,"BADABYAKUD VILLAGE LIMITS HARUGERI TO ALAKHANUR RO, BADABYAKUD VILLAGE LIMITS HARUGERI TO ALAKHANUR RO",WEST 2 KM,BEAT 4,MUGALAKHOD,1,1,0,0,0,0,2,1,0,1,3,0,2023000101,2126,10444212620230073,-1
Belagavi Dist,Hukkeri PS,0042/2021,1,2021,3,2021-03-28 19:30:00.000,2021-03-28 19:31:00.000,2021-03-30 09:00:00.000,30/03/2021,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.193796,74.69059,"IPC 1860 U/s: 337,279,304(A),338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",RAMESH B CHHAYAGOL   (PI),97999,,8100058,"AWARGOL VILLAGE LIMITS ( OR ROAD), AWARGOL VILLAGE LIMITS ( OR ROAD)",TOWARDS 9 KM,32,AVARAGOL,2,0,0,0,0,0,1,0,0,0,1,0,2021000066,1461,10444146120210042,-1
Belagavi Dist,Harugeri PS,0084/2022,1,2022,5,2022-05-13 18:00:00.000,2022-05-13 18:01:00.000,2022-05-14 07:00:00.000,14/05/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.387607,74.909713,"IPC 1860 U/s: 279,337,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177,129 ",RAVICHANDRA. D.B   (PI),1898666,,188500044,"SAVASUDDI VILLAGE LIMITS, NEAR SADASHIV VITTHAL, SAVASUDDI VILLAGE LIMITS, NEAR SADASHIV VITTHAL",18 KM TOWARDS SOUTH,BEAT 27,SAVASUDDI,1,1,0,0,0,0,3,1,0,1,3,0,2022000107,2126,10444212620220084,-1
Belagavi Dist,Athani PS,0110/2022,1,2022,3,2022-03-23 18:20:00.000,2022-03-23 18:21:00.000,2022-03-23 21:00:00.000,23/03/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.647765,74.990552,"IPC 1860 U/s: 279,304(A),338,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,192(1),3,146 ",Shankaragouda Basanagoudar  (PI),1637555.0,,14500037,"Nadi-Ingalagaon limits Near compl House Nadi ingal, Nadi-Ingalagaon limits Near compl House Nadi ingal",Towards South 15 km,Pandegaon 04,GATANATTI,2,0,0,0,0,0,1,0,0,0,1,0,2022000133,1485,10444148520220110,-1
Belagavi Dist,Katkol PS,0211/2023,1,2023,11,2023-11-18 10:45:00.000,2023-11-18 10:46:00.000,2023-11-18 12:00:00.000,18/11/2023,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,15.98459,75.136796,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 ",VIJAYKUMAR RATHOD   (PSI),3191824,,147300049,"Katakol Chandaragi Road Katakol Limits, Katakol Chandaragi Road Katakol Limits",1 kms away from ps towards Noth,BEAT  1,KATAKOL,1,0,0,0,0,0,1,0,0,0,0,0,2023000323,1473,10444147320230211,-1
Belagavi Dist,Raibag PS,0357/2023,1,2023,11,2023-11-05 18:45:00.000,2023-11-05 18:46:00.000,2023-11-06 12:00:00.000,06/11/2023,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.486416,74.788927,"IPC 1860 U/s: 279,337,304(A) ",S S PUJERI   (WHC),900490652.0,,14820032,"NEAR NAGARAL CROSS, NEAR NAGARAL CROSS",2KM TOWORDS EAST,01 BEAT,YADRANV,1,1,0,0,0,0,1,0,0,0,0,0,2023000504,1483,10444148320230357,-1
Belagavi Dist,Athani PS,0062/2022,1,2022,2,2022-02-15 21:00:00.000,2022-02-15 21:01:00.000,2022-02-17 19:15:00.000,17/02/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.76661,74.946314,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,177,181,129,50,5,3,146 ",RAVINDRA NAIKODI   (PI),900461840.0,,148500039,"Halyal Limits Near Water Cenal Halyal Ghatanatti, Halyal Limits Near Water Cenal Halyal Ghatanatti",10 KM  Towards South,Sambaragi 05,Sambaragi,1,0,0,0,0,0,2,1,0,1,3,0,2022000074,1485,10444148520220062,-1
Belagavi Dist,Athani PS,0261/2021,1,2021,7,2021-07-30 18:30:00.000,2021-07-30 18:31:00.000,2021-07-30 22:30:00.000,30/07/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.593357,74.999217,"IPC 1860 U/s: 279,337,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177,196,50,192(A),146 ",Shankaragouda Basanagoudar  (PI),1637555.0,,14500037,"Shankarahattii Limits Near Parameshwar Giddur Fiel, Shankarahattii Limits Near Parameshwar Giddur Fiel",Toward's  South 22 KM,Chikkatti 11,Chikkatti,2,4,0,0,0,0,2,0,0,0,2,0,2021000312,1485,10444148520210261,-1
Belagavi Dist,Chikkodi Town Traffic PS,0034/2021,1,2021,9,2021-09-21 07:50:00.000,2021-09-21 07:51:00.000,2021-09-21 10:15:00.000,21/09/2021,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.479633,74.570778,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3,194D,181,129,177 ",RAJU RAVSAB PATIL   (PI),1898602.0,,126000025,"HIREKODI NAGARAL ROAD HIREKODI LIMITS NEAR KALLAPP, HIREKODI NAGARAL ROAD HIREKODI LIMITS NEAR KALLAPP",7 KM TOWARDS NORTH,BEAT NO 03,HIREKODI,1,0,0,0,0,0,1,1,0,1,2,0,2021000034,2133,10444213320210034,-1
Belagavi Dist,Ghataprabha PS,0032/2019,1,2019,2,2019-02-14 18:00:00.000,2019-02-14 18:01:00.000,2019-02-15 11:00:00.000,15/02/2019,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.24876,74.76084,"IPC 1860 U/s: 304(A),338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",Venkatesh Shivashankrappa Murnal (PI),1962813.0,,40800164,"At Duradundi, At Duradundi",East 10 km,10,DURADUNDI,2,0,0,0,0,0,1,0,0,0,1,0,2019000063,1460,10444146020190032,-1
Belagavi Dist,Khanapur PS,0018/2020,1,2020,1,2020-01-20 06:25:00.000,2020-01-20 06:30:00.000,2020-01-20 22:45:00.000,20/01/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,15.431224,74.517806,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,181,180,134,5,3 ",Suresh Shingi   (PI),200067,,30500049,"AT: DEVALATTI-BIDARABAVI ROAD, AT: DEVALATTI-BIDARABAVI ROAD",TOWARDS EAST 10 KMS FROM PS,BEAT NO 05,HATTARGUNJI,1,0,0,0,0,0,2,0,0,0,3,0,2020000024,314,10444031420200018,-1
Belagavi Dist,Yamakanmardi PS,0068/2023,1,2023,3,2023-03-18 21:00:00.000,2023-03-18 21:02:00.000,2023-03-20 11:30:00.000,20/03/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.15232,74.534966,"IPC 1860 U/s: 279,338,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181,5,3,146 ",RAMESH B CHHAYAGOL   (PI),97999.0,,8100058,"Hanchinal Limits Near Basavan gudi, Hanchinal Limits Near Basavan gudi",East 6 KM,BEAT NO 04,MANAGUTTI,2,0,0,0,0,0,2,0,0,0,2,0,2023000098,1463,10444146320230068,-1
Belagavi Dist,Raibag PS,0071/2024,1,2024,3,2024-03-03 15:30:00.000,2024-03-03 15:45:00.000,2024-03-07 15:45:00.000,07/03/2024,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.422391,74.839891,"IPC 1860 U/s: 304(A),338,279 ",S S PUJERI   (WHC),900490652.0,,14820032,"BYAKUD VILLAGE LIMITS NEAR SARIKA MANE LAND, BYAKUD VILLAGE LIMITS NEAR SARIKA MANE LAND",12 KM TOWARDS SOUTH SIDE,11 BEAT,ITNAL,1,0,2,0,0,0,1,0,0,0,0,0,2024000113,1483,10444148320240071,-1
Belagavi Dist,Hukkeri PS,0098/2021,1,2021,7,2021-07-30 16:20:00.000,2021-07-30 16:21:00.000,2021-07-30 18:00:00.000,30/07/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.244517,74.736404,"IPC 1860 U/s: 279,337,338,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 ",RAMESH B CHHAYAGOL   (PI),97999,,8100058,"SHIRDHAN VILLAGE LIMITS BELLADBAGEWADI TO SHIRADHA, SHIRDHAN VILLAGE LIMITS BELLADBAGEWADI TO SHIRADHA",TOWARDS 16 KM EAST,27,SHIRADAN,2,1,0,0,0,0,1,1,0,1,1,0,2021000145,1461,10444146120210098,-1
Belagavi Dist,Hukkeri PS,0027/2021,1,2021,2,2021-02-26 15:30:00.000,2021-02-26 15:31:00.000,2021-02-27 19:10:00.000,27/02/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.222865,74.604876,"IPC 1860 U/s: 279,304(A) ",RAMESH B CHHAYAGOL   (PI),97999,,8100058,"Bellad Bagewadi Village Limits (HKR TO BB OR ROAD), Bellad Bagewadi Village Limits (HKR TO BB OR ROAD)",TOWARDS 16 KM NORTH,22,BELLADBAGEWADI,1,0,0,0,0,0,1,1,0,1,1,0,2021000035,1461,10444146120210027,-1
Belagavi Dist,Sadalaga PS,0043/2021,1,2021,3,2021-03-18 14:45:00.000,2021-03-18 14:46:00.000,2021-03-19 11:30:00.000,19/03/2021,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.546868,74.535275,"IPC 1860 U/s: 279,338,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 39(1),192(1),196,181,3,146,5,180 ",RAJU RAVSAB PATIL   (PI),1898602.0,,126000025,"NEJ VILLAGE MAGADDUM GALLI ROAD MAGADUM HOSPITAL, NEJ VILLAGE MAGADDUM GALLI ROAD MAGADUM HOSPITAL",5KMS TOWARDS NORTH,BEAT NO 4,SHAMANEWADI,0,0,1,0,0,0,2,1,0,1,2,0,2021000057,1479,10444147920210043,-1
Belagavi Dist,Ghataprabha PS,0090/2022,1,2022,4,2022-03-29 17:00:00.000,2022-03-29 17:01:00.000,2022-04-01 10:00:00.000,01/04/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16.276665,74.77217,"IPC 1860 U/s: 279,337,338,304(A),146 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181,5,3 ",SHRISHAIL K BYAKOD   (PI),133999.0,,8000071,"Pamaladinni Limit,s, Pamaladinni Limit,s","Toward,s North 12 Kms",5,KALLOLLI,2,0,0,0,0,0,2,0,0,0,3,0,2022000114,1460,10444146020220090,-1
