District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Katkol PS,0064/2022,1,2022,4,2022-04-02 10:00:00.000,2022-04-02 10:01:00.000,2022-04-04 12:00:00.000,04/04/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16.031404,75.258654,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181,5,3,146 ",B M VIRKTMATH   (ASI),549506,,147200008,"BANNUR TANDA-BANNUR ROAD BANNUR TANDA LIMITS, BANNUR TANDA-BANNUR ROAD BANNUR TANDA LIMITS",20 KM TOWARDS EAST,BEAT 06,BANNUR,3,0,0,0,0,0,3,2,0,2,3,3,2022000084,1473,10444147320220064,-1
Belagavi Dist,Khanapur PS,0149/2021,1,2021,7,2021-07-23 14:25:00.000,2021-07-23 14:30:00.000,2021-07-25 17:45:00.000,25/07/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.686207,74.325795,"IPC 1860 U/s: 338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",SHARANESH JALIHAL  (PSI),2305888,,44700137,"Kalmani Jamboti road near Kalmani village, Kalmani Jamboti road near Kalmani village",Towards west 23 mks from P.S.,BEAT NO 32,KALMANI,2,0,0,0,0,0,1,0,0,0,1,1,2021000192,314,10444031420210149,-1
Belagavi Dist,Bailahongal PS,0021/2019,1,2019,2,2019-02-01 18:00:00.000,2019-02-01 18:01:00.000,2019-02-03 12:20:00.000,03/02/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.753126,74.87905,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,134,337 ",SATHENAHALLI.U.H   (PI),167076.0,,11100029,"AT-CHANNAMMA SAMADI ROAD BAILHONGAL, AT-CHANNAMMA SAMADI ROAD BAILHONGAL",WEST 1 K M,04 BAILHONGAL TOWN,BAILHONGAL TOWN,0,1,0,0,0,0,1,1,0,1,1,1,2019000029,1464,10444146420190021,-1
Belagavi Dist,Chikkodi PS,0120/2021,1,2021,6,2021-06-20 09:45:00.000,2021-06-20 09:46:00.000,2021-06-20 18:30:00.000,20/06/2021,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16.47231,74.5368,IPC 1860 U/s: 279 ,Yamanappa Mang   (PSI),2646807.0,,142500133,"Nagaral Village Near Sadanand Maste his House, Nagaral Village Near Sadanand Maste his House",Towards North 10 km,BEAT 7,NAGARAL,0,0,0,0,0,0,1,1,0,1,1,0,2021000155,1478,10444147820210120,-1
Belagavi Dist,Yamakanmardi PS,0223/2019,1,2019,11,2019-11-03 21:00:00.000,2019-11-03 21:01:00.000,2019-11-04 18:30:00.000,04/11/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16.118226,74.518897,"IPC 1860 U/s: 279,337,338,283 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",S G MESTRI   (HC),1330.0,,32300038,"HATTARAGI LIMITS DADABANATTI DADDI CROSS ROAD, HATTARAGI LIMITS DADABANATTI DADDI CROSS ROAD",02 KMS TOWARDS SOUTH,BEAT NO 09,SHAHABANDAR,2,0,0,0,0,0,2,2,0,2,2,2,2019000346,1463,10444146320190223,-1
Belagavi Dist,Katkol PS,0159/2023,1,2023,8,2023-08-03 14:25:00.000,2023-08-03 14:26:00.000,2023-08-04 10:00:00.000,04/08/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.999208,75.238852,"IPC 1860 U/s: 338,337,279 ",SIDRAMAPPA P UNNAD   (PSI),2693529,,146100056,"Piranagudi Village Limits, Piranagudi Village Limits",12 kms away from ps towards East,BEAT 07,THOTAGATTI,1,1,1,0,0,0,1,1,0,1,1,0,2023000240,1473,10444147320230159,-1
Belagavi Dist,Murgod PS,0206/2021,1,2021,9,2021-08-31 17:30:00.000,2021-08-31 17:31:00.000,2021-09-02 11:30:00.000,02/09/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,15.969369,75.020904,"IPC 1860 U/s: 338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,3,146,196 ",H R NYAMAGOUDRA   (HC),1643.0,,147300009,"JALIKATTI VILLAGE LIMITS, JALIKATTI VILLAGE LIMITS",TOWARDS EAST 20 KM,Sub Beat No 33,MADLUR,2,1,0,0,0,0,2,1,0,1,2,2,2021000264,1470,10444147020210206,-1
Belagavi Dist,Athani PS,0160/2022,1,2022,5,2022-05-03 08:00:00.000,2022-05-03 08:01:00.000,2022-05-07 20:30:00.000,07/05/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16.725315,75.063302,"IPC 1860 U/s: 338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,177,181,3,146 ",Mallappa Mahaishwadg   (HC),1926646.0,,148500073,"Athani Limits Near KEB Cross Athani-Satti Road, Athani Limits Near KEB Cross Athani-Satti Road",Toward's  East 3 KM,Anantpur  01,Anantapur,2,0,1,0,0,0,0,0,0,0,2,2,2022000195,1485,10444148520220160,1
Belagavi Dist,Yamakanmardi PS,0182/2021,1,2021,10,2021-10-02 17:30:00.000,2021-10-02 17:35:00.000,2021-10-04 16:30:00.000,04/10/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16.083426,74.671174,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 4,181,5,180 ",V M DANWAD   (HC),1493.0,,147900040,"Bagaranal Limits Near Railway Station, Bagaranal Limits Near Railway Station",East 30 KM,BEAT NO 33,Bannibagi,0,0,2,0,0,0,3,0,0,0,3,2,2021000230,1463,10444146320210182,-1
Belagavi Dist,Gokak Rural PS,0093/2022,1,2022,6,2022-06-11 18:00:00.000,2022-06-11 18:05:00.000,2022-06-11 21:00:00.000,11/06/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16.114225,74.954275,"IPC 1860 U/s: 338,279 ",B S BADIGER   (ASI),900491232.0,,148500007,"At Maradishivapur, At Maradishivapur",20 km Towards East,Beat No 7,KANAGANV,1,0,0,0,0,0,1,1,0,1,1,1,2022000138,319,10444031920220093,0
