District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Nesargi PS,0001/2022,1,2022,1,2022-01-03 16:00:00.000,2022-01-03 16:05:00.000,2022-01-04 15:00:00.000,04/01/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.90484,74.808892,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 IPC 1860 U/s: 337 ",Yallappa  Shigihalli (PSI),2378745.0,,28900641,"Somanatti Village Limits On Belagavi-Bagalkot Road, Somanatti Village Limits On Belagavi-Bagalkot Road",02 Km Towards East,21 Beat,Somanatti,1,0,0,0,0,0,1,1,0,1,1,1,2022000001,1465,10444146520220001,0
Belagavi Dist,Chikkodi Town Traffic PS,0009/2023,1,2023,2,2023-01-06 09:00:00.000,2023-01-06 09:01:00.000,2023-02-01 16:00:00.000,01/02/2023,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.469834,74.589277,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,177,181,190(2),129,5,3,146 ",KALAVATI IRAPPA CHAJAGOUD (WHC),1998213.0,,146400056,"CHIKODI YEKSHAMBAR ROAD HIREKKODI LIMIT NEAR, CHIKODI YEKSHAMBAR ROAD HIREKKODI LIMIT NEAR",5 KM TOWARDS NORTH,BEAT NO 03,HIREKODI,1,0,0,0,0,0,2,1,0,1,2,2,2023000009,2133,10444213320230009,1
Belagavi Dist,Murgod PS,0033/2022,1,2022,2,2022-02-03 20:30:00.000,2022-02-03 20:31:00.000,2022-02-04 10:30:00.000,04/02/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.816211,74.926517,"IPC 1860 U/s: 338,279 ",K B ALAGARAVUTH   (HC),1998227.0,,147800067,"BELAGAVI - BAGALAKOT ROAD CHACHADI VILLAGE LIMITS, BELAGAVI - BAGALAKOT ROAD CHACHADI VILLAGE LIMITS",TO WARADS TO WEST 10 K M,Sub Beat No 09,BASAPUR,0,0,1,0,0,0,1,1,0,1,1,1,2022000040,1470,10444147020220033,0
Belagavi Dist,Nippani Town PS,0007/2021,1,2021,1,2021-01-25 14:15:00.000,2021-01-25 14:16:00.000,2021-01-25 18:00:00.000,25/01/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.398104,74.378786,"IPC 1860 U/s: 338,337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,39(1),181,192(1),5,3,146 ",K C GURLAHOSUR   (WPSI),1998600.0,,145800013,"Near Testy Hotel On Old P.B Road Nippani, Near Testy Hotel On Old P.B Road Nippani",Towards North 1 km.,Beat 11,Sakharawadi,1,0,0,0,0,0,2,1,0,1,2,2,2021000010,1480,10444148020210007,1
Belagavi Dist,Kagwad PS,0039/2023,1,2023,3,2023-03-06 21:00:00.000,2023-03-06 21:01:00.000,2023-03-07 18:00:00.000,07/03/2023,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.671458,74.891722,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 ",S A GODSE   (HC),900490709,,145700028,"SHIRAGUPPI VILLAGE LIMITS KAGWAD-SHIRAGUPPI ROAD, SHIRAGUPPI VILLAGE LIMITS KAGWAD-SHIRAGUPPI ROAD",09 KMS EAST FROM PS,03 SHIRGUPPI,SHIRAGUPPI,1,0,0,0,0,0,0,0,0,0,0,0,2023000057,1486,10444148620230039,3
Belagavi Dist,Gokak Town PS,0076/2022,1,2022,7,2022-07-03 17:50:00.000,2022-07-03 17:55:00.000,2022-07-05 15:00:00.000,05/07/2022,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.165317,74.822038,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181,5,3 ",M D GHORI   (PSI),2825784,,28900646,"Gokak Kadabagatti road near jyna deep collge Gokak, Gokak Kadabagatti road near jyna deep collge Gokak",South 02 KM,BEAT NO 5,CHANAMMA NAGAR,2,0,0,0,0,0,2,1,0,1,2,0,2022000116,323,10444032320220076,2
Belagavi Dist,Chikkodi Town Traffic PS,0044/2019,1,2019,6,2019-06-13 17:30:00.000,2019-06-13 17:31:00.000,2019-06-26 12:00:00.000,26/06/2019,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.425579,74.57853,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,146 ",V M BARAMGOL   (ASI),900491158.0,,14820037,"CHIKODI K.C ROAD NEAR KSRTC BUSTAND, CHIKODI K.C ROAD NEAR KSRTC BUSTAND",0.5 KM TOWARD TO EAST,CHIKKODI TOWN BEAT NO 04,BUS STAND,2,0,0,0,0,0,1,1,0,1,1,1,2019000044,2133,10444213320190044,1
Belagavi Dist,Hukkeri PS,0080/2022,1,2022,4,2022-04-22 23:00:00.000,2022-04-23 08:00:00.000,2022-04-26 18:15:00.000,26/04/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.246973,74.735279,"IPC 1860 U/s: 279,337,338,379 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",K I GANACHARI   (ASI),900490640,,14820014,"Shiradhan Village Limits Near Shirdhan Cross Gokak, Shiradhan Village Limits Near Shirdhan Cross Gokak",Towards East 14 KM,27,SHIRADAN,1,0,0,0,0,0,2,1,0,1,1,1,2022000100,1461,10444146120220080,2
Belagavi Dist,Raibag PS,0251/2021,1,2021,10,2021-10-12 16:10:00.000,2021-10-12 16:15:00.000,2021-10-15 17:35:00.000,15/10/2021,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.351229,74.9008,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187,180,181,196,5,3,146 ",R B KHANAPURE   (HC),1892353.0,,148500056,"KANKANAWADI BHAGIRATH CERCLE, KANKANAWADI BHAGIRATH CERCLE",25 KM TOWARDS SOUTH SIDE,00,KANKANAWADI,1,0,0,0,0,0,3,1,0,1,4,0,2021000341,1483,10444148320210251,2
Belagavi Dist,Nippani Town PS,0097/2023,1,2023,7,2023-07-27 19:30:00.000,2023-07-27 19:31:00.000,2023-07-28 20:30:00.000,28/07/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,16.405652,74.367194,"IPC 1860 U/s: 279,338 ",S K NAREGAL   (ASI),900489929.0,,148000026,"Near Basavan Mal, Nippani Murgod Road, Near Basavan Mal, Nippani Murgod Road",3 KM towards West,Beat 10,Shrinagar,2,0,0,0,0,0,1,1,0,1,1,0,2023000141,1480,10444148020230097,1
