District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Kagwad PS,0164/2023,1,2023,10,2023-10-13 17:30:00.000,2023-10-13 17:31:00.000,2023-10-14 20:30:00.000,14/10/2023,Non Heinous,Pending Trial,Written,NEGLIGENT ACT,Other - Related,16.672245,74.89019,"IPC 1860 U/s: 338,289 ",V M NARAGATTI   (HC),2271046,,148600032,"AT AINAPUR, NEAR SIDDESHWAR TEMPLE, AT AINAPUR, NEAR SIDDESHWAR TEMPLE",25 KMS EAST FROM PS,17 AINAPUR,AINAPUR,1,0,0,0,0,0,2,2,0,2,2,0,2023000234,1486,10444148620230164,-1
Belagavi Dist,Kulgod PS,0044/2023,1,2023,3,2023-03-31 15:30:00.000,2023-03-31 15:31:00.000,2023-03-31 17:35:00.000,31/03/2023,Non Heinous,Pending Trial,Written,NEGLIGENT ACT,Other - Related,16.31245,75.041045,"IPC 1860 U/s: 304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181,5,3,146 ",C.S.HIREMATH.   (HC),1926545,,28900333,"Bisanakoppa Village Limits, Bisanakoppa Village Limits",Towards North 10 Kms From PS,BEAT NO 8,DHAVALESHWAR,1,0,0,0,0,0,3,1,0,1,3,0,2023000067,1459,10444145920230044,-1
Belagavi Dist,Mudalgi PS,0071/2020,1,2020,4,2020-04-08 15:30:00.000,2020-04-08 15:35:00.000,2020-04-08 16:00:00.000,08/04/2020,Non Heinous,Convicted,Sue-moto by Police,NEGLIGENT ACT,Other - Related,16.337691,74.967321,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3,181 IPC 1860 U/s: 279 ",M S DODDANNAVAR   (HC),900490760.0,,146300019,"Mudalgi Town Limits Near Kalmeshwar Circle, Mudalgi Town Limits Near Kalmeshwar Circle",500 Mtrs Towards East,Mudalgi Beat No 01,Mudalagi,1,0,0,0,0,0,1,1,0,1,1,1,2020000091,1458,10444145820200071,-1
Belagavi Dist,Murgod PS,0162/2023,1,2023,6,2023-06-02 17:00:00.000,2023-06-02 17:01:00.000,2023-06-04 10:00:00.000,04/06/2023,Non Heinous,Pending Trial,Written,NEGLIGENT ACT,Other - Related,15.939514,74.951023,IPC 1860 U/s: 338 ,I.M.HIREGOUDAR   (PSI),1023060.0,,124200005,"Yaragatti Town in KEB, Yaragatti Town in KEB",To warads to east 18 k m,Sub Beat No 21,YARAGATTI,1,0,0,0,0,0,1,1,0,1,1,0,2023000218,1470,10444147020230162,-1
Belagavi Dist,Yamakanmardi PS,0038/2022,1,2022,2,2022-02-07 17:00:00.000,2022-02-07 17:05:00.000,2022-02-11 19:15:00.000,11/02/2022,Non Heinous,Convicted,Written,NEGLIGENT ACT,Other - Related,16.131468,74.528152,IPC 1860 U/s: 338 ,S P MUNAWALI   (HC),900490869.0,,146200037,"U Khanapur Limit Service Road, U Khanapur Limit Service Road",North 8 KM,BEAT NO 01,CHIKKALAGUD,1,0,0,0,0,0,1,1,0,1,1,1,2022000049,1463,10444146320220038,-1
Belagavi Dist,Gokak Rural PS,0031/2019,1,2019,3,2019-03-01 10:00:00.000,2019-03-01 10:01:00.000,2019-03-06 08:30:00.000,06/03/2019,Non Heinous,Pending Trial,Written,NEGLIGENT ACT,Other - Related,16.01392,74.808433,"IPC 1860 U/s: 304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134,187 ",PRADEEP Y TALAKERI   (PI),2153870.0,,124000014,"At Adibatti Limits, At Adibatti Limits",East 10 KM,Beat No 2,MALADINNI,1,0,0,0,0,0,1,1,0,1,1,0,2019000071,319,10444031920190031,-1
Belagavi Dist,Sankeshwar PS,0245/2023,1,2023,11,2023-10-26 20:30:00.000,2023-10-26 20:35:00.000,2023-11-19 20:15:00.000,19/11/2023,Non Heinous,Under Investigation,Written,NEGLIGENT ACT,Other - Related,16.341632,74.420901,IPC 1860 U/s: 304(A) ,U.S.SHETTENNAVAR.   (ASI),1275575.0,,28900382,"Kanagala Village Limits, Kanagala Village Limits",15 KM Towards North,5,KANAGALA,1,0,0,0,0,0,1,0,0,0,0,0,2023000330,1462,10444146220230245,-1
Belagavi Dist,Mudalgi PS,0079/2020,1,2020,4,2020-04-16 17:00:00.000,2020-04-16 17:05:00.000,2020-04-16 18:00:00.000,16/04/2020,Non Heinous,Convicted,Sue-moto by Police,NEGLIGENT ACT,Other - Related,16.342632,74.974028,IPC 1860 U/s: 279 ,I A SOUDAGAR   (HC),776.0,,146200012,"Mudalgi Town Limits Near Vaddar Galli, Mudalgi Town Limits Near Vaddar Galli",1 Km Towards East,Mudalgi Beat No 01,Mudalagi,1,0,0,0,0,0,1,1,0,1,1,1,2020000100,1458,10444145820200079,-1
Belagavi Dist,Soundatti PS,0174/2022,1,2022,6,2022-06-12 17:30:00.000,2022-06-12 17:31:00.000,2022-06-30 18:00:00.000,30/06/2022,Non Heinous,Pending Trial,Written,NEGLIGENT ACT,Other - Related,15.889091,75.165491,"IPC 1860 U/s: 338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181,5,3 ",H.L.BAJANTRI.   (HC),1926614.0,,28900360,"COMPLAINANT HOUSE NEAR, COMPLAINANT HOUSE NEAR",TOWARDS NORTH 26 KMS FROM PS,BEAT 48,TREDAKOPPA,0,0,1,0,0,0,3,1,0,1,3,0,2022000250,1468,10444146820220174,-1
Belagavi Dist,Aigali PS,0051/2022,1,2022,5,2022-05-07 02:00:00.000,2022-05-07 02:01:00.000,2022-05-07 10:00:00.000,07/05/2022,Non Heinous,Pending Trial,Others,NEGLIGENT ACT,Other - Related,16.779044,75.2507,IPC 1860 U/s: 304(A) ,Sumalata  Asangi (WPSI),3191815.0,,220400013,"AIGALI VILLAGE LIMITS AIGALI CROSS, AIGALI VILLAGE LIMITS AIGALI CROSS",0.5 KM TOWARDS SOUTH,BEAT 01,AIGALI,1,0,0,0,0,0,1,0,0,0,1,0,2022000075,1487,10444148720220051,-1
