District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Belagavi Dist,Khadakalat PS,0015/2021,1,2021,2,2021-02-06 00:00:00.000,2021-02-08 07:30:00.000,2021-02-08 20:35:00.000,08/02/2021,Non Heinous,False Case,Written,THEFT,Other Items Not Included Above,16.450987,74.4626,"IPC 1860 U/s: 143,447,379,506,149 ",L M AARI   (PSI),2349885,,17200148,"KAHADAKLAT VILLAGE LIMITS, KAHADAKLAT VILLAGE LIMITS",TOWARDS NORTH 4 KM  FROM PS,Beat No 1,TAPAKARWADI,1,0,0,0,0,0,9,0,0,0,0,0,2021000016,2204,10444220420210015,-1
Belagavi Dist,Murgod PS,0360/2023,1,2023,12,2019-10-25 10:00:00.000,2019-10-25 10:01:00.000,2023-12-04 18:30:00.000,04/12/2023,Non Heinous,Under Investigation,Others,THEFT,Other Items Not Included Above,15.235684,74.259684,IPC 1860 U/s: 379 ,Chandabee Gangavati   (WPSI),3191811.0,,212600017,"AT SOPPADL VILLAGE LIMITS, AT SOPPADL VILLAGE LIMITS",TOWARDS EAST 20 KM,Sub Beat No 26,KORAKOPPA,1,0,0,0,0,0,2,0,0,0,0,0,2023000507,1470,10444147020230360,-1
Belagavi Dist,Aigali PS,0030/2022,1,2022,3,2022-01-22 10:30:00.000,2022-01-23 07:30:00.000,2022-03-16 18:00:00.000,16/03/2022,Non Heinous,Undetected,Others,THEFT,Other Items Not Included Above,16.77909,75.250705,IPC 1860 U/s: 379 ,Sumalata  Asangi (WPSI),3191815,,220400013,"KHOTANATTI VILLAGE LIMITS NEAR ATHANI VIJAYAPUR, KHOTANATTI VILLAGE LIMITS NEAR ATHANI VIJAYAPUR",6 KM TOWARDS WEST,BEAT 20,KHOTANATTI,1,0,0,0,0,0,0,0,0,0,0,0,2022000042,1487,10444148720220030,-1
Belagavi Dist,Hukkeri PS,0108/2022,1,2022,5,2022-05-26 18:00:00.000,2022-05-27 06:30:00.000,2022-05-28 12:30:00.000,28/05/2022,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,16.301858,74.719954,IPC 1860 U/s: 379 ,K N PINJAR   (ASI),443,,147900015,"Bellad Bagewadi Village Limits, Bellad Bagewadi Village Limits",Towards East 16 Km From PS,22,BELLADBAGEWADI,1,0,0,0,0,0,1,0,0,0,0,0,2022000137,1461,10444146120220108,-1
Belagavi Dist,Sankeshwar PS,0050/2021,1,2021,4,2021-03-02 13:30:00.000,2021-03-02 14:00:00.000,2021-04-01 15:00:00.000,01/04/2021,Non Heinous,Compounded,Written,THEFT,Other Items Not Included Above,16.258327,74.489466,IPC 1860 U/s: 379 ,G A KELAGADE   (PSI),709589.0,,148500012,"Sankeshwar College Road, Sankeshwar College Road",North 3 KM,42,SANKESHWAR TOWN,0,1,0,0,0,0,1,1,0,1,1,0,2021000076,1462,10444146220210050,-1
Belagavi Dist,Soundatti PS,0121/2022,1,2022,5,2022-04-28 18:00:00.000,2022-04-29 10:00:00.000,2022-05-10 18:00:00.000,10/05/2022,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,15.770465,75.121644,IPC 1860 U/s: 379 ,Karuneshagowda J   (PI),1820048.0,,97500025,"AT:HOOLI VILLAGE LIMITS, AT:HOOLI VILLAGE LIMITS",NORTH TOWARDS 10 KM,BEAT 26,HOOLI,1,0,0,0,0,0,0,0,0,0,0,0,2022000174,1468,10444146820220121,-1
Belagavi Dist,Bailahongal PS,0122/2020,1,2020,6,2020-06-11 16:30:00.000,2020-06-11 17:30:00.000,2020-06-14 22:45:00.000,14/06/2020,Non Heinous,Compounded,Written,THEFT,Other Items Not Included Above,15.820316,74.856071,IPC 1860 U/s: 379 ,IRAPPA  RITTI (PSI),2841003.0,,136100102,"Somavarpeth Berin Chal Bailhongal, Somavarpeth Berin Chal Bailhongal",1 km away from ps towards west,04 BAILHONGAL TOWN,BAILHONGAL TOWN,1,0,0,0,0,0,0,1,0,1,1,0,2020000182,1464,10444146420200122,-1
Belagavi Dist,Ankalgi PS,0038/2023,1,2023,6,2023-06-23 20:00:00.000,2023-06-24 06:00:00.000,2023-06-26 18:00:00.000,26/06/2023,Non Heinous,Under Investigation,Written,THEFT,Other Items Not Included Above,16.037176,74.705358,IPC 1860 U/s: 379 ,Yamanappa Mang   (PSI),2646807,,142500133,"Akkatangerahal Village Limits In Complainant Land, Akkatangerahal Village Limits In Complainant Land",North Towards 04 KM,18,Akkatangerahal,1,0,0,0,0,0,1,1,0,1,1,0,2023000077,324,10444032420230038,-1
Belagavi Dist,Nesargi PS,0065/2019,1,2019,10,2019-10-13 19:00:00.000,2019-10-14 06:00:00.000,2019-10-14 15:15:00.000,14/10/2019,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,15.900062,74.766154,IPC 1860 U/s: 379 ,Yallappa  Shigihalli (PSI),2378745.0,,28900641,"NESARGI VILLAGE LIMITS, NESARGI VILLAGE LIMITS",TOWARDS TO WEST 1 KM,28 Beat,Nesaragi,1,0,0,0,0,0,0,0,0,0,0,0,2019000128,1465,10444146520190065,-1
Belagavi Dist,Yamakanmardi PS,0211/2023,1,2023,9,2023-09-06 13:00:00.000,2023-09-07 10:00:00.000,2023-09-27 16:00:00.000,27/09/2023,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,16.112067,74.683907,IPC 1860 U/s: 379 ,SHIVAPPA K MANNIKERI   (PSI),2273201.0,,151401972,"Paschapur Village, Paschapur Village",East 25 KM,BEAT NO 30 A,PASCHAPUR A,1,0,0,0,0,0,1,0,0,0,0,0,2023000286,1463,10444146320230211,-1
