District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru City,Nandini Layout PS,0268/2017,1,2017,7,2017-07-08 15:00:00.000,2017-07-10 07:30:00.000,2017-07-10 10:30:00.000,10/07/2017,Non Heinous,Pending Trial,Written,BURGLARY - NIGHT,In Other Places,12.9990808152415,77.52251723226419,"IPC 1860 U/s: 457,454,380,34,109 ",NARASIMHARAJU G N   (PSI),686358,,134900039,"In Be Best School, 16 th Cross,Chowdeshwari Nagara, In Be Best School, 16 th Cross,Chowdeshwari Nagara",1.5 Km towards west,Beat 8,Preethi Nagar,1,0,0,0,0,0,3,3,0,3,3,0,2017000310,1363,10443136320170268,0
Bengaluru City,Devanahalli PS,0084/2019,1,2019,9,2019-09-20 08:45:00.000,2019-09-20 09:15:00.000,2019-09-20 09:50:00.000,20/09/2019,Heinous,Pending Trial,Written,BURGLARY - NIGHT,In Other Places,13.277743,77.712514,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 41(D),102 IPC 1860 U/s: 457,380 ",NAGARAJA N   (PSI),2840949,,138000137,"Near Nileri gate, Near Nileri gate",2KM towards west,2nd BEAT,BAJAR STREET,0,0,0,0,0,0,2,2,0,2,2,0,2019000134,266,10443026620190084,-1
Bengaluru City,Amruthahally PS,0105/2022,1,2022,4,2022-04-28 17:30:00.000,2022-04-29 09:40:00.000,2022-04-29 11:00:00.000,29/04/2022,Non Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,13.061808,77.587419,"IPC 1860 U/s: 454,457,380,511 ",SUNIL KUMAR K B   (PSI),2925410.0,,187400072,"1st Floor, Coffy Board Layout Ward Office, 1st Floor, Coffy Board Layout Ward Office",Towards West 2 km from PS,05,Kempapura,1,0,0,0,0,0,0,0,0,0,0,0,2022000145,1818,10443181820220105,0
Bengaluru City,Chandra Layout PS,0367/2017,1,2017,7,2017-07-19 18:30:00.000,2017-07-20 09:30:00.000,2017-07-27 14:00:00.000,27/07/2017,Heinous,Pending Trial,Written,BURGLARY - NIGHT,In Other Places,12.95770442,77.5284436,"IPC 1860 U/s: 457,380 ",KALLAPPA S KHARATH   (PI),1270740.0,,143000081,"NO 1628, 2nd Cross, 1st Stage, 2nd Phase,, NO 1628, 2nd Cross, 1st Stage, 2nd Phase,",1 Km Towards South,BEAT 2,INDIRA COLONY,1,0,0,0,0,0,3,0,0,0,3,0,2017000403,1420,10443142020170367,0
Bengaluru City,H.A.L. PS,0097/2023,1,2023,3,2022-08-08 12:00:00.000,2022-10-15 13:00:00.000,2023-03-16 19:45:00.000,16/03/2023,Non Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,12.972786,77.711309,"IPC 1860 U/s: 457,454,380 ",RAMAKRISHNA  CHINMADLI (PSI),2568486,,138100124,"BAGMANE TECH PARK, SOLARIUM CITY, ARGAN BUILDING,, BAGMANE TECH PARK, SOLARIUM CITY, ARGAN BUILDING,",TOWRADS 3.5 KM,BEAT 3,DODDANAKKUNDI,0,0,0,0,0,0,0,0,0,0,0,0,2023000115,1416,10443141620230097,-1
Bengaluru City,Ashoknagar PS,0301/2020,1,2020,12,2020-12-01 18:00:00.000,2020-12-03 17:15:00.000,2020-12-03 17:45:00.000,03/12/2020,Non Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,12.969029,77.609508,"IPC 1860 U/s: 454,457,380 ",BASAVARAJU T D   (PSI),2384759.0,,109800086,"Goverment Tamil Lower Primary School,Markhum Road, Goverment Tamil Lower Primary School,Markhum Road",1 Kms,1st Beat,Ashoknagar,0,1,0,0,0,0,0,0,0,0,0,0,2020000359,1389,10443138920200301,0
Bengaluru City,Suddaguntepalya PS,0099/2021,1,2021,4,2021-04-23 16:30:00.000,2021-04-24 04:00:00.000,2021-04-24 09:30:00.000,24/04/2021,Non Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,12.928613,77.606028,"IPC 1860 U/s: 457,380 ",SURENDRACHAR S   (PSI),2610891,,135500107,"Christ School (ICSE), Christ School (ICSE)",Towards 500 Mtrs North,5 th Beat,Bharathi layout,0,0,0,0,0,0,0,0,0,0,0,0,2021000118,2197,10443219720210099,0
Bengaluru City,Nandini Layout PS,0495/2017,1,2017,9,2017-09-28 08:30:00.000,2017-09-28 08:45:00.000,2017-09-29 00:30:00.000,29/09/2017,Non Heinous,Pending Trial,Written,BURGLARY - NIGHT,In Other Places,13.0088125564905,77.5329304182499,"IPC 1860 U/s: 457,511,380,34 ",NARASIMHARAJU G N   (PSI),686358,,134900039,"H.No.52, BHEL Officers Homing co-apprative socity,, H.No.52, BHEL Officers Homing co-apprative socity,",Towards west 1 km to ps,Beat 3,JAIMARUTHI NAGARA,0,0,0,0,0,0,0,2,0,2,2,0,2017000555,1363,10443136320170495,0
Bengaluru City,H.A.L. PS,0465/2023,1,2023,8,2023-08-18 22:00:00.000,2023-08-19 10:00:00.000,2023-08-19 15:10:00.000,19/08/2023,Non Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,12.969953,77.678998,"IPC 1860 U/s: 457,380 ",VIDYA CHANDRASHEKHAR HAIBATTI  (WPSI),2925591,,141300122,"S.C.T COLLEGE,KAGGADASAPURA MAIN ROAD, S.C.T COLLEGE,KAGGADASAPURA MAIN ROAD",TOWARDS 3KM EAST,BEAT 2,VIGNANA NAGARA,1,0,0,0,0,0,0,0,0,0,0,0,2023000569,1416,10443141620230465,0
Bengaluru City,Peenya PS,0280/2018,1,2018,6,2018-06-03 22:30:00.000,2018-06-04 08:30:00.000,2018-06-04 12:15:00.000,04/06/2018,Non Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,13.02516523,77.50822246,"IPC 1860 U/s: 457,454,380 ",RAGHUPRASAD.N   (PSI),2289416,,4300081,"SLN BIO  PROCESSING PRODUCTS NO-M-13, 7TH CROSS, SLN BIO  PROCESSING PRODUCTS NO-M-13, 7TH CROSS",TOWARDS WEST 1KM,1st Beat,Peenya Village,1,0,0,0,0,0,0,0,0,0,0,0,2018000298,1350,10443135020180280,-1
Bengaluru City,Hulimavu PS,0577/2023,1,2023,12,2023-12-17 22:00:00.000,2023-12-17 22:01:00.000,2023-12-18 11:30:00.000,18/12/2023,Non Heinous,Under Investigation,Written,BURGLARY - NIGHT,In Other Places,12.876271,77.595943,"IPC 1860 U/s: 457,380,506 ",PRABHUGOUDA   (PSI),2185560.0,,169501648,"islamic Mission Of India, Netional Park Road,, islamic Mission Of India, Netional Park Road,",Towards 01 Km,BEAT NO 1,HULIMAVU GATE,1,0,0,0,0,0,0,0,0,0,0,0,2023000685,1798,10443179820230577,0
Bengaluru City,Rajajinagar PS,0244/2017,1,2017,11,2017-09-17 22:00:00.000,2017-09-18 07:00:00.000,2017-11-02 11:30:00.000,02/11/2017,Non Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,12.98446341,77.55653928,"IPC 1860 U/s: 457,380 ",RAMAIAH D K   (PSI),769404.0,,142400051,"VIVEKA VARDHINI EDUCATION SOCIETY,3RD MAIN,, VIVEKA VARDHINI EDUCATION SOCIETY,3RD MAIN,",TOWARDS 500 MTR  EAST,BEAT 6,PRAKASHNAGAR,0,0,0,0,0,0,0,0,0,0,0,0,2017000266,1360,10443136020170244,0
Bengaluru City,Jagajeevanram Nagar PS,0035/2016,1,2016,2,2016-02-15 23:00:00.000,2016-02-16 08:30:00.000,2016-02-16 19:00:00.000,16/02/2016,Non Heinous,Dis/Acq,Written,BURGLARY - NIGHT,In Other Places,12.573806,77.33074,"IPC 1860 U/s: 457,454,380 ",GEETHALAKSHMI N   (PSI),819760.0,,136600082,"CIVIL DEFENCE DIVISIONAL OFFICE, HARISHCHANDRA, CIVIL DEFENCE DIVISIONAL OFFICE, HARISHCHANDRA",TOWARDS WEST 1KM,Beat 3,Eidga Ground,0,0,0,0,0,0,1,1,0,1,1,0,2016000039,1421,10443142120160035,-1
Bengaluru City,Chikkajala PS,0137/2023,1,2023,8,2023-08-22 16:30:00.000,2023-08-23 07:45:00.000,2023-08-23 13:15:00.000,23/08/2023,Non Heinous,Pending Trial,Written,BURGLARY - NIGHT,In Other Places,13.161667,77.609207,"IPC 1860 U/s: 457,380 ",MAHESH  GONDA (PSI),3230276,,26800134,"BETTAHALASURU AND HUNASAMARANAHALLI POST OFFICE, BETTAHALASURU AND HUNASAMARANAHALLI POST OFFICE",SOUTH 02KM FROM PS,Beat 3,BHOVIPALYA,1,0,0,0,0,0,1,1,0,1,1,0,2023000186,268,10443026820230137,-1
Bengaluru City,K.R. Puram PS,0523/2017,1,2017,9,2017-09-22 00:00:00.000,2017-09-23 00:00:00.000,2017-09-23 11:00:00.000,23/09/2017,Heinous,Undetected,Written,BURGLARY - NIGHT,In Other Places,13.00785409,77.69358539,"IPC 1860 U/s: 457,380 ",JAYARAJ H   (PI),1947668,,167400018,"50 SHANTI LAYOUT, 50 SHANTI LAYOUT",1KM TOWARDS NORTH,BEAT 9,T.C.PALYA,0,0,0,0,0,0,0,0,0,0,0,0,2017000588,1405,10443140520170523,0
Bengaluru City,Devanahalli PS,0020/2019,1,2019,2,2019-02-21 18:00:00.000,2019-02-22 10:00:00.000,2019-02-28 19:00:00.000,28/02/2019,Heinous,Pending Trial,Written,BURGLARY - NIGHT,In Other Places,13.226848,77.685937,"IPC 1860 U/s: 457,380 ",NAGARAJA N   (PSI),2840949.0,,138000137,"Sy no 12/64, Bangarammana halli, IVC Road, Sy no 12/64, Bangarammana halli, IVC Road",3Km towards West,4 Th BEAT,GIRIYAMMA CIRCEL,1,0,0,0,0,0,1,7,0,7,8,0,2019000027,266,10443026620190020,-1
Bengaluru City,J.C. Nagar PS,0114/2023,1,2023,7,2023-07-16 21:00:00.000,2023-07-23 18:45:00.000,2023-07-23 21:15:00.000,23/07/2023,Non Heinous,Pending Trial,Written,BURGLARY - NIGHT,In Other Places,13.000044,77.607086,"IPC 1860 U/s: 457,454,380 ",AJITH KUMAR S V  (PSI),3050639.0,,135200131,"NO 48/3 3RD CROSS WILIAMS TOWN  BENSON CROSS, NO 48/3 3RD CROSS WILIAMS TOWN  BENSON CROSS",1 KM FROM PS,BEAT 3,WILLIAMS TOWN,0,0,0,0,0,0,0,1,0,1,1,0,2023000150,1351,10443135120230114,0
