District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru City,Halasur PS,0007/2023,1,2023,1,2023-01-10 09:30:00.000,2023-01-10 11:00:00.000,2023-01-10 18:40:00.000,10/01/2023,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,12.9619,77.6386,"IPC 1860 U/s: 323,504,341,506,325 ",SRINIVASA DODDAMANI   (PSI),2687991,,219900001,"Near Domlur Bus Stand, Near Domlur Bus Stand",Towards South 2.5 Km from PS,7 th beat,Domlur Village,1,0,0,0,0,0,0,1,0,1,1,0,2023000008,1410,10443141020230007,0
Bengaluru City,Peenya PS,0342/2022,1,2022,10,2022-10-17 13:00:00.000,2022-10-17 13:10:00.000,2022-10-17 17:35:00.000,17/10/2022,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,13.0399092084671,77.5188415707814,"IPC 1860 U/s: 341,335,504 ",BIRANI ML   (PSI),218968,,135000110,"NEAR METRO  STATION BUS STOP, JALAHALLI CROSS, NEAR METRO  STATION BUS STOP, JALAHALLI CROSS",TOWARDS NORTH 01 KM,1st Beat,Peenya Village,1,0,0,0,0,0,1,0,0,0,1,0,2022000462,1350,10443135020220342,0
Bengaluru City,Girinagar PS,0151/2020,1,2020,8,2020-08-31 10:30:00.000,2020-08-31 11:25:00.000,2020-08-31 16:00:00.000,31/08/2020,Non Heinous,Pending Trial,Others,CASES OF HURT,Grievous  Hurt,12.931479,77.543725,"IPC 1860 U/s: 448,325,307,393,120B,34,354 ARMS ACT, 1959 U/s: 25-1(B) (b),4 ",DEEPAK L   (PI),2153221,,113800022,"No- 3353&3355, 2ND CROSS, VBH CS LAYOUT, GIRINAGAR, No- 3353&3355, 2ND CROSS, VBH CS LAYOUT, GIRINAGAR",TO WORDS EAST 1 KM,BEAT 5,Nagendra block,0,2,0,0,0,0,0,2,0,2,2,0,2020000191,1368,10443136820200151,0
Bengaluru City,Mahadevapura PS,0653/2023,1,2023,10,2023-10-10 19:30:00.000,2023-10-12 18:30:00.000,2023-10-12 20:30:00.000,12/10/2023,Non Heinous,Under Investigation,Written,CASES OF HURT,Grievous  Hurt,12.996703,77.692811,"IPC 1860 U/s: 325,323,504,341 ",SUNIL KADDI   (PSI),2926515,,136800147,"UMA BAR OUT SIDE, UMA BAR OUT SIDE",TOWORDS 3KM WEST,BEAT 9,UDAYANAGAR,2,0,0,0,0,0,2,0,0,0,1,0,2023000833,1414,10443141420230653,0
Bengaluru City,Upparpet PS,0164/2019,1,2019,7,2019-07-19 10:30:00.000,2019-07-20 01:10:00.000,2019-07-20 07:05:00.000,20/07/2019,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,12.97288141,77.58058073,"IPC 1860 U/s: 326,324,34 ",Vasantha S.H.   (PI),184245,,86400029,"Near Kamath Hotel Down, Avenue Road, Near Kamath Hotel Down, Avenue Road",1.0KM TOWARDS NORTH,Other Area,Other Police Sation,1,0,0,0,0,0,1,0,0,0,1,0,2019000207,1430,10443143020190164,0
Bengaluru City,Bagalur PS,0082/2018,1,2018,5,2018-05-03 09:00:00.000,2018-05-03 09:30:00.000,2018-05-03 21:00:00.000,03/05/2018,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,13.143324,77.642875,"IPC 1860 U/s: 326,324,323,504,34,341,506 ",PRASANTH.R.VARNI   (PI),1966701.0,,200704,"Hosahalli village, Hosahalli village",Towards west 4kms from PS,1,CHOKKANAHALLI VILLAGE,1,0,0,0,0,0,2,0,0,0,2,0,2018000091,1822,10443182220180082,0
Bengaluru City,Devarajeevanahalli PS,0398/2020,1,2020,11,2020-11-27 22:15:00.000,2020-11-27 22:30:00.000,2020-11-28 22:35:00.000,28/11/2020,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,13.0086836908793,77.6118744039527,"IPC 1860 U/s: 341,326 ",NAGADEV GAJANAN TORKE (PSI),2597033,,140200122,"Near Ubed Tea Shop, A K Colony, Near Ubed Tea Shop, A K Colony",Towards South 1KM,1,A K colony,1,0,0,0,0,0,1,0,0,0,1,0,2020000508,1402,10443140220200398,0
Bengaluru City,Hennur PS,0402/2018,1,2018,12,2018-12-17 21:30:00.000,2018-12-17 21:45:00.000,2018-12-18 10:30:00.000,18/12/2018,Non Heinous,Pending Trial,Written,CASES OF HURT,Grievous  Hurt,13.0494491,77.63049649,"IPC 1860 U/s: 326,341,506 ",CHIKKARASAIAH T K   (PSI),652468,,135200040,"sarayipalya, sarayipalya",3 km  towads west,9,Agara,1,0,0,0,0,0,1,0,0,0,1,0,2018000467,1408,10443140820180402,0
Bengaluru City,Devarajeevanahalli PS,0219/2017,1,2017,7,2017-07-22 23:30:00.000,2017-07-22 23:40:00.000,2017-07-23 01:00:00.000,23/07/2017,Non Heinous,Pending Trial,Oral,CASES OF HURT,Grievous  Hurt,13.0112242461388,77.60785073994579,"IPC 1860 U/s: 326,447 ",NAYAZ AHAMED   (PI),2153778,,139000032,"No-42,4th Cross Near Iyesha Masjid, No-42,4th Cross Near Iyesha Masjid",Towards West 0.5 Km,2,MODI ROAD,0,1,0,0,0,0,1,1,0,1,1,0,2017000248,1402,10443140220170219,0
Bengaluru City,Jeevan Bheemanagar PS,0034/2019,1,2019,1,2019-01-23 18:00:00.000,2019-01-23 18:30:00.000,2019-01-24 16:00:00.000,24/01/2019,Non Heinous,Compounded,Written,CASES OF HURT,Grievous  Hurt,12.968058,77.641739,"IPC 1860 U/s: 325,323,149,341 ",Ningaraja Kalasappa Hanninavar (PSI),2841083,,141300109,"Church Of Sacred Hearts, 100Ft Road, Church Of Sacred Hearts, 100Ft Road",Approx 2.00Km,05,JB Nagar Bustop to SD Road,1,0,0,0,0,0,2,0,0,0,2,0,2019000037,1413,10443141320190034,0
