District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru City,City Market PS,0070/2023,1,2023,5,2023-05-01 11:20:00.000,2023-05-01 11:30:00.000,2023-05-01 12:15:00.000,01/05/2023,Non Heinous,Pending Trial,Judicial/Magistrate reference,KARNATAKA POLICE ACT 1963,Betting,12.9661219,77.5765497,"KARNATAKA POLICE ACT, 1963 U/s: 78(1)(a)(vi) ",SANJEEV MEGHANATH NAYAK (PSI),2925582,,141800138,"NEAR NORTH GATE, NEAR NORTH GATE",TOWARDS NORTH 200 METER FROM PS,1 ST BEAT,MARKET CIRCLE,0,0,0,0,0,0,1,0,0,0,1,0,2023000095,1432,10443143220230070,0
Bengaluru City,Kamakshipalya PS,0649/2023,1,2023,10,2023-10-30 19:15:00.000,2023-10-30 22:30:00.000,2023-10-31 01:30:00.000,31/10/2023,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Betting,12.986764,77.533151,"KARNATAKA POLICE ACT, 1963 U/s: 78 (A)(vi),87 ",DHARMARAJ KONDOOR C   (PSI),3177831,,142800127,"No.73, 7Th Main Road,, No.73, 7Th Main Road,",Towards North 1km From ps,1st BEAT,MAGADI MAIN ROAD,0,0,0,0,0,0,1,1,0,1,1,0,2023000835,1428,10443142820230649,0
Bengaluru City,Halasurgate PS,0033/2021,1,2021,2,2021-02-20 15:00:00.000,2021-02-20 18:30:00.000,2021-02-22 11:00:00.000,22/02/2021,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Betting,12.966225,77.5827869,"KARNATAKA POLICE ACT, 1963 U/s: 78(I),78(VI) ",MALLIKARJUNA N C   (PSI),2153156,,178100020,"NO-967 4TH MAIN ROAD, NO-967 4TH MAIN ROAD",1 KM,BEAT 03,J.M ROAD,1,0,0,0,0,0,3,3,0,3,3,0,2021000035,1386,10443138620210033,0
Bengaluru City,S.J. Park PS,0053/2022,1,2022,3,2022-03-28 16:30:00.000,2022-03-28 16:40:00.000,2022-03-28 17:00:00.000,28/03/2022,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Betting,12.963917,77.581548,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",ASHOK THAKUR   (PSI),2988114,,143100169,"Silver jubilee Park, Silver jubilee Park","Towords North, 01 KM from PS",BEAT 4,KRISHNA SINGH LANE,1,0,0,0,0,0,0,1,0,1,2,0,2022000056,1392,10443139220220053,0
Bengaluru City,Mahalakshmipuram PS,0269/2023,1,2023,11,2023-11-01 17:00:00.000,2023-11-01 22:00:00.000,2023-11-01 22:15:00.000,01/11/2023,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Betting,13.626368,77.631423,"KARNATAKA POLICE ACT, 1963 U/s: 87,78 (A)(vi) ",LEPAKSHAMURTY R G   (PSI),2687948,,1400106,"No-47, 9th Cross, 15th Main, JC Nagara, Kurubaraha, No-47, 9th Cross, 15th Main, JC Nagara, Kurubaraha",Towrads West 1Km,BEAT 6,J C NAGARA,0,0,0,0,0,0,1,0,0,0,1,0,2023000354,1359,10443135920230269,-1
Bengaluru City,Halasurgate PS,0139/2022,1,2022,5,2022-05-25 17:00:00.000,2022-05-25 20:05:00.000,2022-05-25 20:15:00.000,25/05/2022,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Betting,12.969812,77.58361,"KARNATAKA POLICE ACT, 1963 U/s: 78 (A)(vi) ",Vasant Ramappa Kalagi (PSI),2925374,,139500112,"NO-27/3,13 CROSS CUBBONPETE MAIN ROAD, NO-27/3,13 CROSS CUBBONPETE MAIN ROAD",TOWARDS 700 MTRS,BEAT 02,CUBBONPET,0,0,0,0,0,0,2,0,0,0,2,0,2022000154,1386,10443138620220139,0
Bengaluru City,Nandini Layout PS,0035/2021,1,2021,2,2021-02-01 13:00:00.000,2021-02-01 15:30:00.000,2021-02-01 16:00:00.000,01/02/2021,Non Heinous,Dis/Acq,Written,KARNATAKA POLICE ACT 1963,Betting,13.01589259,77.53338646,"KARNATAKA POLICE ACT, 1963 U/s: 78 (A)(vi),80 ",LAXMAN J.   (PI),1252466,,152600022,"Nandini layout busstop  near, Nandini layout busstop  near",towrds south .0.3 km  from  ps,Beat 4,NANDINI LAYOUT POLICE STATION,1,0,0,0,0,0,6,6,0,6,6,0,2021000041,1363,10443136320210035,0
Bengaluru City,Chandra Layout PS,0075/2024,1,2024,2,2024-02-08 16:45:00.000,2024-02-08 17:00:00.000,2024-02-08 19:00:00.000,08/02/2024,Non Heinous,Under Investigation,Others,KARNATAKA POLICE ACT 1963,Betting,12.963725,77.514536,"KARNATAKA RACE BETTING ACT U/s: 12 KARNATAKA POLICE ACT, 1963 U/s: 78 (1)(A)(i) ",SOMAPPAGOUDA BIRADAR   (PSI),2988385,,178300098,"1st Cross, 1 st Main, Vinayaka Layout,, 1st Cross, 1 st Main, Vinayaka Layout,",1 Kms towards South,BEAT 17,Vinayakalayout,0,0,0,0,0,0,1,1,0,1,0,0,2024000088,1420,10443142020240075,0
Bengaluru City,Cottonpet PS,0416/2023,1,2023,11,2023-11-08 21:00:00.000,2023-11-08 22:00:00.000,2023-11-08 22:00:00.000,08/11/2023,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Betting,12.969115,77.567661,"KARNATAKA POLICE ACT, 1963 U/s: 87,78(1)(a)(vi) ",NAGESH.H.M   (PSI),2647751,,137800080,"Infrant Of SLN Lodge, Cottonpet Main Road, Infrant Of SLN Lodge, Cottonpet Main Road",1KM Towards North From  the PS,Beat 3,Goodshed Road,0,0,0,0,0,0,0,3,0,3,3,0,2023000553,1417,10443141720230416,0
Bengaluru City,Govindaraja Nagar PS,0263/2022,1,2022,12,2022-12-04 15:30:00.000,2022-12-04 17:15:00.000,2022-12-04 17:15:00.000,04/12/2022,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Betting,12.97522,77.520781,"KARNATAKA POLICE ACT, 1963 U/s: 78(3),78(1)(a)(vi) ",Santhosh V   (PSI),2925185,,1700003,"No.Durgha Condiments Near panchsheel Nagar bus sto, No.Durgha Condiments Near panchsheel Nagar bus sto",2.km from PS,Beat No 11,Annapurneshwarinagar,0,0,0,0,0,0,1,1,0,1,1,0,2022000329,2303,10443230320220263,0
