District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru City,Chandra Layout PS,0518/2023,1,2023,11,2023-11-14 22:35:00.000,2023-11-14 22:45:00.000,2023-11-15 00:40:00.000,15/11/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,12.951544,77.526617,"KARNATAKA POLICE ACT, 1963 U/s: 103 ",UMESH HONNAMORE   (PSI),3118010,,169600864,"Near Anjaneya temple, Near Anjaneya temple",2km towords South,BEAT 18,Nayandahlli,0,0,0,0,0,0,1,0,0,0,1,0,2023000623,1420,10443142020230518,0
Bengaluru City,City Market PS,0110/2017,1,2017,6,2017-06-15 02:00:00.000,2017-06-15 02:01:00.000,2017-06-15 12:30:00.000,15/06/2017,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,others ,12.9684059708654,77.5757325940332,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",SHIVARAJU   (ASI),929673,,179700047,"No.101, Masco Mens Botique, SBS Complex,, No.101, Masco Mens Botique, SBS Complex,",800 mts from the ps Towards North,4 TH BEAT,O T PET,0,0,0,0,0,0,1,0,0,0,1,0,2017000135,1432,10443143220170110,0
Bengaluru City,Madivala PS,0017/2021,1,2021,1,2021-01-23 02:00:00.000,2021-01-23 02:30:00.000,2021-01-23 15:15:00.000,23/01/2021,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,others ,12.921163,77.6199009,"KARNATAKA POLICE ACT, 1963 U/s: 96(D) ",Kishor B T   (PSI),1720432,,57800046,"KENDRIY SADAN SERVICE ROAD, KENDRIY SADAN SERVICE ROAD","TOWARDS 500M, NORTH",BEAT NO 3,AXA BUILDING,0,0,0,0,0,0,1,1,0,1,1,0,2021000020,1380,10443138020210017,0
Bengaluru City,Marathahalli PS,0402/2023,1,2023,11,2023-11-14 22:50:00.000,2023-11-14 23:00:00.000,2023-11-15 18:35:00.000,15/11/2023,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,others ,12.948188,77.71309,"KARNATAKA POLICE ACT, 1963 U/s: 103 ",RAMACHANDRA KALASAD   (PSI),2790385,,219900062,"Near Marathahalli Bridge, CKB Layout,, Near Marathahalli Bridge, CKB Layout,",Towards North East 3Km,05,Panathuru,1,0,0,0,0,0,1,1,0,1,1,0,2023000538,2199,10443219920230402,0
Bengaluru City,Nandini Layout PS,0020/2022,1,2022,2,2022-02-02 05:15:00.000,2022-02-02 05:30:00.000,2022-02-02 05:30:00.000,02/02/2022,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,others ,13.0205243520223,77.529968782943,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",NITHYANANDACHARI.H.N   (PSI),2198916,,138900104,"Near Muni Bachchamma Ashrama, Muneshwara Layout, Near Muni Bachchamma Ashrama, Muneshwara Layout",2 Km towards  West,Beat 9,Muneshwara Layout,1,0,0,0,0,0,2,2,0,2,2,0,2022000030,1363,10443136320220020,0
Bengaluru City,Suddaguntepalya PS,0446/2023,1,2023,11,2023-11-14 23:10:00.000,2023-11-14 23:20:00.000,2023-11-15 15:50:00.000,15/11/2023,Non Heinous,Under Investigation,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,12.917631,77.610421,"KARNATAKA POLICE ACT, 1963 U/s: 31,103 ",Raghavendra B R   (PSI),2775331,,219700022,"16th main road, 16th main road",Towrads 1Km South,2nd Beat,Maruthi layout,0,0,0,0,0,0,1,0,0,0,1,0,2023000548,2197,10443219720230446,0
Bengaluru City,Annapoorneshwari Nagar PS,0484/2023,1,2023,12,2023-12-04 10:00:00.000,2023-12-04 10:40:00.000,2023-12-04 10:40:00.000,04/12/2023,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,others ,12.970723,77.494995,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",SHARAVANA M   (PSI),3230355.0,,218800022,"Near, Nammura tindi, GM Hospital, Near, Nammura tindi, GM Hospital",Towards South 2.00 Km,BEAT 4,KENGUNTE,0,0,0,0,0,0,1,1,0,1,0,0,2023000582,2188,10443218820230484,0
Bengaluru City,Upparpet PS,0240/2018,1,2018,9,2018-09-07 01:30:00.000,2018-09-07 01:45:00.000,2018-09-07 11:30:00.000,07/09/2018,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,others ,12.9770775334198,77.5720927329309,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",KRISHNA MURTHY.S   (PI),1684337,,3100655,"BMTC SERVICE ROAD , CANARA BANK ATM, BMTC SERVICE ROAD , CANARA BANK ATM",1 KM WEST,Beat 7,KSRTC AND BMTC SEVICE ROAD,0,0,0,0,0,0,1,0,0,0,1,0,2018000290,1430,10443143020180240,0
Bengaluru City,Siddapura PS,0304/2023,1,2023,11,2023-11-26 01:45:00.000,2023-11-26 01:50:00.000,2023-11-26 14:10:00.000,26/11/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,12.933774,77.589999,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",Mohan Murali M   (PSI),2647777,,137600176,"NEAR PUBLIC TOILET, NEAR PUBLIC TOILET",SOUTH .5KM,BEAT 2,Madhavan park,0,0,0,0,0,0,2,2,0,2,2,0,2023000391,1385,10443138520230304,0
Bengaluru City,Kadugodi PS,0593/2023,1,2023,11,2023-11-14 23:30:00.000,2023-11-14 23:40:00.000,2023-11-16 18:40:00.000,16/11/2023,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,others ,13.000524,77.7505,"KARNATAKA POLICE ACT, 1963 U/s: 31,103 ",CHIKKAYYA MALLAYYA MATHAPATI (PSI),2925403,,138800175,"1st Cross, Saptagiri Layout, 1st Cross, Saptagiri Layout",towards west-02KM,5 TH BEAT,KODEGEHALLY,0,0,0,0,0,0,1,0,0,0,1,0,2023000711,257,10443025720230593,-1
