District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru City,Chickpet Traffic PS,0020/2024,1,2024,3,2024-03-09 11:30:00.000,2024-03-09 11:35:00.000,2024-03-09 18:30:00.000,09/03/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.974824,77.570495,"IPC 1860 U/s: 338,279 ",LAKSHMAN N   (ASI),1149562,,138600052,"G T ROAD, NEAR SHANTHLA CIRCLE, G T ROAD, NEAR SHANTHLA CIRCLE",TOWARDS NORTH 2.4KMS FROM PS,G T Road,Cottonpet,1,0,0,0,0,0,1,0,0,0,0,0,2024000020,1788,10443178820240020,0
Bengaluru City,K.R.Puram Traffic PS,0203/2020,1,2020,10,2020-10-30 05:00:00.000,2020-10-30 05:01:00.000,2020-10-30 11:00:00.000,30/10/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.994128,77.700776,"IPC 1860 U/s: 337,279,338 ",BATHEPPA   (PSI),1362491,,177300064,"WHITE FILIED ROAD NEAR, WHITE FILIED ROAD NEAR",TOWARDS EAST 3 K M,WHITE FIELD MAIN ROAD,MAHADEVAPURA,1,0,0,0,0,0,1,1,0,1,1,1,2020000205,1774,10443177420200203,0
Bengaluru City,Whitefield Traffic PS,0018/2024,1,2024,1,2024-01-28 12:10:00.000,2024-01-28 12:15:00.000,2024-01-28 16:15:00.000,28/01/2024,Non Heinous,Under Investigation,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.995249,77.766931,"IPC 1860 U/s: 279,337,338 ",CHANDRASHEKARA REDDY   (PSI),1056705,,176700080,"UNDER KADUGODI RAILWAY BRIDGE RD, UNDER KADUGODI RAILWAY BRIDGE RD",2.6 KM TOWARDS EAST,sector 1,KADUGODI HOSKOTE MAIN ROAD,1,0,0,0,0,0,1,1,0,1,1,0,2024000018,1895,10443189520240018,0
Bengaluru City,Devanahalli Traffic PS,0237/2023,1,2023,11,2023-11-21 06:55:00.000,2023-11-21 07:00:00.000,2023-11-22 15:00:00.000,22/11/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.199652,77.68628,"IPC 1860 U/s: 279,337,338 ",VISHWANATH BIRADAR   (PSI),2846215,,136400146,"INFRONT OF SHELL BUNK, CARGO ROAD, INFRONT OF SHELL BUNK, CARGO ROAD",5 KM SOUTH TO PS,Airport,First circle,0,0,0,0,1,0,1,1,0,1,1,0,2023000237,1899,10443189920230237,0
Bengaluru City,Kengeri Traffic PS,0396/2023,1,2023,11,2023-11-20 20:20:00.000,2023-11-20 20:25:00.000,2023-11-22 15:30:00.000,22/11/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.968255,77.531732,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,134(a&b) IPC 1860 U/s: 338 ",NANDEESHA RAJE URS D   (ASI),1370369,,68200395,"ADITYA LAYOUT CROSS, BANGARAPPA NAGARA DOUBLE ROAD, ADITYA LAYOUT CROSS, BANGARAPPA NAGARA DOUBLE ROAD",8 KM TOWARDS EAST,Other,Other,0,1,0,0,0,0,1,0,0,0,1,0,2023000396,2006,10443200620230396,0
Bengaluru City,R.T.Nagar Traffic PS,0391/2017,1,2017,7,2017-07-11 23:24:00.000,2017-07-11 23:25:00.000,2017-07-12 00:30:00.000,12/07/2017,Non Heinous,Undetected,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.027011,77.585235,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(a&b),187 ",VENKTESHAMURTY M V   (PSI),711573.0,,135200008,"NEAR CBI BUS STOP, NEAR CBI BUS STOP",TO WORDS NORTH 2.5KM,B B ROAD,R.T.nagar,1,0,0,0,0,0,1,0,0,0,0,0,2017000394,1780,10443178020170391,0
Bengaluru City,Adugodi Traffic PS,0030/2019,1,2019,5,2019-05-11 04:40:00.000,2019-05-11 04:45:00.000,2019-05-16 14:10:00.000,16/05/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.943156,77.602884,IPC 1860 U/s: 279 ,Vijayakumar V T   (PSI),1051101.0,,177000060,"Opposit Kotari Granite, Bannerughatta Main Road, Opposit Kotari Granite, Bannerughatta Main Road",Towords West 1km,SECTOR NO 01,B G ROAD,1,0,0,0,0,0,1,1,0,1,1,1,2019000030,1762,10443176220190030,0
Bengaluru City,Rajajinagar Traffic PS,0036/2021,1,2021,7,2021-06-28 19:30:00.000,2021-06-28 19:31:00.000,2021-07-06 16:15:00.000,06/07/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.018971,77.539766,"IPC 1860 U/s: 279,338 ",NAGARATHNAMMA D G   (PSI),1462300,,141800031,"Near Krishnananda nagara circle, Near Krishnananda nagara circle",Towords West 4 km,KANTEERAVA STUDIO ROAD,NANDINI LAYOUT,0,1,0,0,0,0,1,1,0,1,1,1,2021000036,1781,10443178120210036,0
Bengaluru City,K.R.Puram Traffic PS,0379/2023,1,2023,11,2023-11-19 19:45:00.000,2023-11-19 19:50:00.000,2023-11-20 10:00:00.000,20/11/2023,Non Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,13.012732,77.661857,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134(B),187 ",CHANDURAPPA M   (PSI),819249,,141500012,"NEAR RAMAMURTHY NAGAR SIGNAL,, NEAR RAMAMURTHY NAGAR SIGNAL,","WEST,  5KM",RAMAMURTHY NAGARA RING ROAD,KASTHURI NAGARA,0,0,0,0,0,0,0,0,0,0,0,0,2023000379,1774,10443177420230379,0
Bengaluru City,Wilsongarden Traffic PS,0036/2024,1,2024,3,2024-03-07 13:30:00.000,2024-03-07 13:40:00.000,2024-03-07 16:30:00.000,07/03/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.956094,77.592178,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,134(a&b) ",NAGARAJU   (ASI),1745562,,180000026,"Near Revoli Restorent, Near Revoli Restorent",Towards North 1.5 km,K H ROAD,K H CIRCLE,0,1,0,0,0,0,1,0,0,0,0,0,2024000036,1765,10443176520240036,0
