District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru City,Yeshwanthapura PS,0316/2022,1,2022,10,2022-09-29 21:30:00.000,2022-09-29 21:50:00.000,2022-10-01 16:30:00.000,01/10/2022,Non Heinous,Pending Trial,Written,THEFT,Extortion,13.0271536,77.5536453,"IPC 1860 U/s: 384,34,506 ",NITHYANANDACHARI.H.N   (PSI),2198916.0,,138900104,"Munir’s Mobile Touch Shop, 1st Main, Munir’s Mobile Touch Shop, 1st Main",1.5 km towards north to ps,BEAT 1,MALLESHWARAM EIGHT MAIN,1,0,0,0,0,0,0,0,0,0,2,0,2022000428,6,10443000620220316,0
Bengaluru City,Indiranagar PS,0227/2022,1,2022,10,2022-10-20 20:45:00.000,2022-10-20 21:00:00.000,2022-10-20 21:30:00.000,20/10/2022,Non Heinous,Pending Trial,Written,THEFT,Extortion,12.973026,77.64484,IPC 1860 U/s: 384 ,HANAMANAGOUDA   (PSI),2925207.0,,140100134,"No-139, 7th Cross, 10th Main, No-139, 7th Cross, 10th Main",PS Towards to South 1.5KM,TEST,INDIRANAGAR,0,1,0,0,0,0,1,0,0,0,2,0,2022000292,1412,10443141220220227,0
Bengaluru City,Devarajeevanahalli PS,0203/2017,1,2017,7,2017-07-06 03:41:00.000,2017-07-06 04:00:00.000,2017-07-06 19:10:00.000,06/07/2017,Non Heinous,Pending Trial,Written,THEFT,Extortion,13.0338994695926,77.6091221216945,"IPC 1860 U/s: 387,34 ",NAYAZ AHAMED   (PI),2153778,,139000032,"7th Cross, Kaveri Nagar, 7th Cross, Kaveri Nagar",Towards North 2.5 km From PS,4,KAVERI NAGAR,0,0,0,0,0,0,2,0,0,0,2,0,2017000231,1402,10443140220170203,0
Bengaluru City,Devarajeevanahalli PS,0234/2018,1,2018,9,2018-08-23 05:30:00.000,2018-08-23 05:45:00.000,2018-09-09 18:30:00.000,09/09/2018,Non Heinous,Pending Trial,Written,THEFT,Extortion,13.0323472815714,77.6088183902612,"IPC 1860 U/s: 384,34 ",RAGHAVENDRA N   (PSI),2415518,,48600385,"Near Janya Apartment, Kaveri Nagara, Near Janya Apartment, Kaveri Nagara",Towards North 2 Km,4,KAVERI NAGAR,1,0,0,0,0,0,2,0,0,0,2,0,2018000270,1402,10443140220180234,0
Bengaluru City,Wilsongarden PS,0263/2022,1,2022,11,2022-11-28 10:00:00.000,2022-11-29 19:30:00.000,2022-11-30 11:15:00.000,30/11/2022,Non Heinous,Other Disposal,Written,THEFT,Extortion,12.954678,77.592127,"IPC 1860 U/s: 384,504,34 ",MANJUNATHA NAIK S   (PSI),3173825,,138800183,"In Front of Sub Register Office, In Front of Sub Register Office",0.5 Km Towards West,BEAT 9,siddaiah road,0,1,0,0,0,0,3,0,0,0,0,0,2022000313,1388,10443138820220263,0
Bengaluru City,Vijayanagar PS,0282/2016,1,2016,5,2016-05-29 14:00:00.000,2016-05-29 15:45:00.000,2016-05-31 18:30:00.000,31/05/2016,Non Heinous,Pending Trial,Written,THEFT,Extortion,12.9700968745271,77.53529626750671,"IPC 1860 U/s: 341,384,354,504 ",SHIVALINGAIAH B N   (PSI),622714,,139500064,"Carmel Park View Apartment, Post Office Road, Carmel Park View Apartment, Post Office Road",About 0.5 K M Towards West Side,BEAT 5,M.C.LAYOUT,0,0,0,0,1,0,1,0,0,0,1,0,2016000309,1424,10443142420160282,0
Bengaluru City,Jeevan Bheemanagar PS,0444/2017,1,2017,11,2017-11-14 03:45:00.000,2017-11-14 04:00:00.000,2017-11-14 10:15:00.000,14/11/2017,Non Heinous,Pending Trial,Written,THEFT,Extortion,12.96780652,77.65439307,"IPC 1860 U/s: 385,380 ",ANIL KUMAR P N   (PI),196700,,88700024,"No-2B KRYSTAL Apartment,2nd Floor,9A ,80 ft Road, No-2B KRYSTAL Apartment,2nd Floor,9A ,80 ft Road",Approx 1.5 km,04,KPWD NAL Quarters JB Nagar,1,0,0,0,0,0,1,0,0,0,1,0,2017000488,1413,10443141320170444,0
Bengaluru City,Hanumanthanagar PS,0251/2022,1,2022,9,2022-08-29 13:00:00.000,2022-09-03 00:00:00.000,2022-09-08 19:15:00.000,08/09/2022,Non Heinous,Other Disposal,Written,THEFT,Extortion,12.940704,77.566245,"IPC 1860 U/s: 427,506,341,504,384,323 ",MANOJ KUMAR D.S   (PSI),2792109,,179700112,"BMS College Compound, BMS College Compound",Towards East 1.5 KM From Ps,BEAT 7,"BSK FIREST STAGE, IIND BLOCK",1,0,0,0,0,0,1,0,0,0,0,0,2022000331,1366,10443136620220251,0
Bengaluru City,Srirampura PS,0213/2018,1,2018,10,2018-09-15 09:00:00.000,2018-09-27 23:00:00.000,2018-10-06 20:00:00.000,06/10/2018,Non Heinous,Abated,Written,THEFT,Extortion,12.987372,77.565896,"IPC 1860 U/s: 506,504,380,384,454,457 ",ANJANEYA S   (PSI),2925603,,176600156,"Bhaskar Advance Automation, D No.28, 1st floor,, Bhaskar Advance Automation, D No.28, 1st floor,",0.1 Km North towards to PS,BEAT3,SRIRAMPURA,1,0,0,0,0,0,1,1,0,1,1,0,2018000254,1358,10443135820180213,0
Bengaluru City,Kalasipalya PS,0109/2018,1,2018,4,2018-04-15 03:30:00.000,2018-04-15 03:45:00.000,2018-04-15 07:05:00.000,15/04/2018,Non Heinous,Dis/Acq,Written,THEFT,Extortion,12.9532,77.5781,"IPC 1860 U/s: 341,324,384,34 ",KIRANKUMAR S NEELAGAR  (PI),1962807,,175500014,"NEAR N R ROAD FLY OVER, NEAR N R ROAD FLY OVER",1 KM TOWARDS NORTH FROM PS,BEAT 3,BAMBOO BAZAAR,0,0,0,0,0,0,3,3,0,3,3,0,2018000124,1431,10443143120180109,0
