District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru City,City Market PS,0182/2019,1,2019,9,2019-09-28 10:30:00.000,2019-09-28 11:00:00.000,2019-09-30 12:45:00.000,30/09/2019,Non Heinous,Compounded,Written,THEFT,Other Items Not Included Above,12.96903848,77.57506842,IPC 1860 U/s: 379 ,NAGARAJU S   (PSI),688669,,143000042,"D K Hi Fashion, No. 213, 1st Floor, D K Hi Fashion, No. 213, 1st Floor",1 KM from the PS towards North,3 RD BEAT,SULTHANPET POOTPATH,0,0,0,0,0,0,1,1,0,1,1,0,2019000269,1432,10443143220190182,0
Bengaluru City,Malleshwaram PS,0026/2024,1,2024,2,2024-02-02 10:00:00.000,2024-02-03 19:00:00.000,2024-02-03 22:20:00.000,03/02/2024,Non Heinous,Under Investigation,Written,THEFT,Other Items Not Included Above,13.000034,77.571209,IPC 1860 U/s: 379 ,Manjunath  Biradar (PSI),3171047,,230300011,"No-26, Krithika, 2nd cross, No-26, Krithika, 2nd cross",towards east 0.5km,Beat 1,Malleswaram,1,0,0,0,0,0,2,0,0,0,2,0,2024000027,1357,10443135720240026,0
Bengaluru City,City Market PS,0008/2020,1,2020,1,2020-01-03 18:15:00.000,2020-01-03 18:20:00.000,2020-01-16 18:30:00.000,16/01/2020,Non Heinous,Compounded,Written,THEFT,Other Items Not Included Above,12.969539,77.579212,IPC 1860 U/s: 379 ,RAMA NAIK   (PSI),756204,,200771,"No. 12, Infront of Mahaveer Saree Center,, No. 12, Infront of Mahaveer Saree Center,",1.5 KM from the PS towards North,6 TH BEAT,CHICKPET MAIN ROAD,0,0,0,0,0,0,1,0,0,0,1,0,2020000010,1432,10443143220200008,0
Bengaluru City,Varthur PS,0057/2022,1,2022,3,2022-03-01 20:00:00.000,2022-03-01 20:30:00.000,2022-03-05 15:30:00.000,05/03/2022,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,12.955928,77.728749,IPC 1860 U/s: 379 ,KRISHNA MURTHY A K   (PSI),2391092,,89200032,"D Mart ,Parking Place,Siddapura, D Mart ,Parking Place,Siddapura",Towards 4km west,BEAT NO 2,R G HALLI SIIAPURA TUBARAHALLI,0,0,0,0,0,0,1,0,0,0,0,0,2022000066,259,10443025920220057,0
Bengaluru City,Peenya PS,0115/2019,1,2019,3,2019-02-25 00:45:00.000,2019-02-25 01:30:00.000,2019-03-18 13:30:00.000,18/03/2019,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,13.02947228,77.52022768,IPC 1860 U/s: 379 ,RAGHUPRASAD.N   (PSI),2289416,,4300081,"NESR SBI CIRCLE, SRS ROAD, NESR SBI CIRCLE, SRS ROAD",TOWARDS SOUTH 1 KM,1st Beat,Peenya Village,1,0,0,0,0,0,0,0,0,0,0,0,2019000158,1350,10443135020190115,0
Bengaluru City,K.R. Puram PS,0020/2018,1,2018,1,2018-01-10 18:00:00.000,2018-01-11 08:30:00.000,2018-01-11 11:30:00.000,11/01/2018,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,13.01037,77.70276,IPC 1860 U/s: 379 ,AMBAREESH   (PI),101007,,81000032,"VINAYAKA LAYOUT, 4TH MAIN, BHATTARAHALLI,, VINAYAKA LAYOUT, 4TH MAIN, BHATTARAHALLI,",1KM TOWARDS EAST,BEAT 7A,K.R.PURA,0,0,0,0,0,0,0,0,0,0,0,0,2018000024,1405,10443140520180020,0
Bengaluru City,Bellanduru PS,0018/2020,1,2020,1,2020-01-10 23:50:00.000,2020-01-11 00:13:00.000,2020-01-11 11:00:00.000,11/01/2020,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,12.929964,77.6755029,IPC 1860 U/s: 379 ,PARASHURAM   (PSI),2830944,,115800066,"Near Post Office, Near Post Office",Towards North 2 KM,BEAT 2,AMBALI PURA,1,0,0,0,0,0,0,0,0,0,0,0,2020000020,2198,10443219820200018,0
Bengaluru City,Jalahalli PS,0018/2017,1,2017,2,2017-02-20 10:00:00.000,2017-02-20 10:05:00.000,2017-02-20 10:30:00.000,20/02/2017,Non Heinous,Pending Trial,Written,THEFT,Other Items Not Included Above,13.0458520412604,77.5564901517739,"IPC 1860 U/s: 379 CODE OF CRIMINAL PROCEDURE, 1973 U/s: 41(D),102 ",LEPAKSHAMURTY R G   (PSI),2687948,,1400106,"B.E.L.CIRCLE BUS STOP,, B.E.L.CIRCLE BUS STOP,",TO WARDS 1.5 KM EAST,BEL,GOKULA,1,0,0,0,0,0,1,1,0,1,1,0,2017000021,14,10443001420170018,0
Bengaluru City,Viveknagar PS,0253/2017,1,2017,11,2017-11-09 19:00:00.000,2017-11-09 19:05:00.000,2017-11-11 19:00:00.000,11/11/2017,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,12.95237467,77.62019945,IPC 1860 U/s: 379 ,H.S. Krishna   (PSI),713136,,169400014,"Infant Jesus Church, Infant Jesus Church",Towards 1 km from Station,Beat 3,ORC Road,0,0,0,0,0,0,0,0,0,0,0,0,2017000293,1390,10443139020170253,0
Bengaluru City,Bommanahalli PS,0116/2021,1,2021,8,2021-08-12 01:00:00.000,2021-08-12 01:10:00.000,2021-08-21 21:00:00.000,21/08/2021,Non Heinous,Pending Trial,Written,THEFT,Other Items Not Included Above,12.89699,77.628279,IPC 1860 U/s: 379 ,RAVISHANKAR M N   (PI),1902445,,189600038,"No.24, Ground floor, 2nd Cross, 4th Main, No.24, Ground floor, 2nd Cross, 4th Main",Towards 2 Km South,Beat No 3,Hongasandra,0,0,0,0,0,0,6,0,0,0,6,0,2021000186,2141,10443214120210116,0
Bengaluru City,Malleshwaram PS,0079/2017,1,2017,3,2017-03-26 06:15:00.000,2017-03-26 10:15:00.000,2017-03-26 10:15:00.000,26/03/2017,Non Heinous,Other Disposal,Written,THEFT,Other Items Not Included Above,13.0025362,77.58462,IPC 1860 U/s: 379 ,SRINIVASAIAH H R   (PSI),615234,,136300051,"Opposit, CET Cell, 18th cross, T Chowdaiah Road,, Opposit, CET Cell, 18th cross, T Chowdaiah Road,",Towards North 1.5 Km,Beat 4,Malleshwara,0,0,0,0,0,0,1,0,0,0,1,0,2017000083,1357,10443135720170079,0
Bengaluru City,Rajarajeshwari Nagar PS,0032/2020,1,2020,2,2020-02-12 13:00:00.000,2020-02-12 13:30:00.000,2020-02-12 14:30:00.000,12/02/2020,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,12.654879,77.4568798,IPC 1860 U/s: 379 ,NAVEEN M S   (PSI),2153733,,91800243,"In Running  BMTC Bus, Near Channasandra Bus stop, In Running  BMTC Bus, Near Channasandra Bus stop",South Towards 1.5Km,BEAT NO 1,R.R.NAGARA,0,1,0,0,0,0,0,0,0,0,0,0,2020000038,1877,10443187720200032,-1
Bengaluru City,Vijayanagar PS,0633/2016,1,2016,12,2016-12-06 17:15:00.000,2016-12-06 17:37:00.000,2016-12-08 10:30:00.000,08/12/2016,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,12.9722523000568,77.5331701003413,IPC 1860 U/s: 379 ,THIMMEGOWDA K   (PSI),1059365,,1500004,"BMTC BUS RUTE NO.401K, VIJAYANAGARA WATER TANK BUS, BMTC BUS RUTE NO.401K, VIJAYANAGARA WATER TANK BUS",0.5 KM TOWADS WEST,BEAT 1,BINNY LAYOUT,0,0,0,0,0,0,0,0,0,0,0,0,2016000686,1424,10443142420160633,0
Bengaluru City,High Grounds PS,0158/2022,1,2022,10,2022-10-01 16:20:00.000,2022-10-01 16:30:00.000,2022-10-07 19:30:00.000,07/10/2022,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,12.994449,77.589639,IPC 1860 U/s: 379 ,Prakash G C   (PSI),3170724.0,,139400206,"No- 3/3- 1, Palace loop road, No- 3/3- 1, Palace loop road",1 km towards North,BEAT 01,CHAKRAVARTHI LAYOUT,1,0,0,0,0,0,0,0,0,0,0,0,2022000194,1394,10443139420220158,0
Bengaluru City,Hennur PS,0446/2016,1,2016,12,2016-12-04 03:50:00.000,2016-12-04 04:30:00.000,2016-12-30 13:15:00.000,30/12/2016,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,13.038542018508,77.6466726448879,IPC 1860 U/s: 379 ,BALANAIK   (PSI),687007,,139900059,"Chikkayallappa Complex, Vaddarapalya,, Chikkayallappa Complex, Vaddarapalya,",3.0 KM Towards North,7,Ashirvad Colony,0,0,0,0,0,0,1,0,0,0,0,0,2016000497,1408,10443140820160446,0
Bengaluru City,HSR Layout PS,0018/2020,1,2020,1,2020-01-07 14:45:00.000,2020-01-07 15:00:00.000,2020-01-23 10:30:00.000,23/01/2020,Non Heinous,Undetected,Written,THEFT,Other Items Not Included Above,12.907196,77.649084,IPC 1860 U/s: 379 ,IRANNA NANAJAGI   (PSI),2635747.0,,6300811,"Petals Silks & Sarees Shop,  No.1248, 24th Main, Petals Silks & Sarees Shop,  No.1248, 24th Main",Towards South 1.5 KM,OTHER,OTHER,0,1,0,0,0,0,0,0,0,0,0,0,2020000018,1796,10443179620200018,0
