District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru Dist,Bannerghatta PS,0004/2019,1,2019,1,2019-01-08 16:30:00.000,2019-01-08 17:00:00.000,2019-01-08 20:15:00.000,08/01/2019,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.810249,77.590547,"IPC 1860 U/s: 304(A),337,279,338 ",ANJANKUMAR V.   (PSI),2289465,,28900466,"VNR BANDE KAGGALIPUR ROAD BANNERUGHATTA, VNR BANDE KAGGALIPUR ROAD BANNERUGHATTA",500  MTR TO WARDS,BEAT 1,BILVARADAHALLI,3,1,0,0,0,0,1,0,0,0,1,0,2019000004,1331,10442133120190004,0
Bengaluru Dist,Jigani PS,0009/2019,1,2019,1,2019-01-10 09:30:00.000,2019-01-10 09:45:00.000,2019-01-11 08:00:00.000,11/01/2019,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.768844,77.656934,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SUDHARSHAN.H.V   (PI),1845435,,50900047,"KALLUBALU VILLAGE, NEAR VIVEKANANDA,, KALLUBALU VILLAGE, NEAR VIVEKANANDA,",4 KMS TOWARDS WEST,2nd BEAT,KOPPA GATE,1,0,0,0,0,0,0,1,0,1,1,0,2019000009,2000,10442200020190009,0
Bengaluru Dist,Chennarayapatana PS,0019/2022,1,2022,3,2022-03-06 20:00:00.000,2022-03-06 20:30:00.000,2022-03-12 22:00:00.000,12/03/2022,Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.201431,77.772826,"IPC 1860 U/s: 337,279,304(A),338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,177,128(1),146 ",Veerendra Prasad.S.R   (PI),1845453,,25000105,"Nalluru Balepura Road Near Gangammadevi Temple, Nalluru Balepura Road Near Gangammadevi Temple",10 km from ps,04,CHENNAHALLI,2,0,0,0,0,0,2,1,0,1,2,0,2022000020,1814,10442181420220019,-1
Bengaluru Dist,Anugondanahalli PS,0023/2022,1,2022,3,2022-03-25 20:20:00.000,2022-03-25 20:30:00.000,2022-03-26 06:00:00.000,26/03/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.958999,77.8470229,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 184,181(3) ",KALLAPPA S KHARATH   (PI),1270740.0,,143000081,"HANDENAHALLI VILLAGE, HANDENAHALLI VILLAGE",8KM EAST TO PS,BEAT 3,HANDENAHALLI,1,0,0,0,0,0,1,1,0,1,1,0,2022000031,1812,10442181220220023,-1
Bengaluru Dist,Doddabelavangala PS,0081/2020,1,2020,5,2020-05-21 14:30:00.000,2020-05-21 14:35:00.000,2020-05-22 11:45:00.000,22/05/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.336637,77.432706,"IPC 1860 U/s: 279,304A,304(A) ",NAVEEN KUMAR M B   (PI),1747830,,189800028,"Near Bachappa House  Road Galibilikote Village, Near Bachappa House  Road Galibilikote Village",TO WORDS SOUTH 5 KMS,BEAT NO 3,RAMPURA,0,1,0,0,0,0,1,1,0,1,1,0,2020000094,264,10442026420200081,-1
Bengaluru Dist,Madanayakanahally PS,0475/2019,1,2019,9,2019-09-24 09:30:00.000,2019-09-24 09:35:00.000,2019-09-24 11:15:00.000,24/09/2019,Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.992475,77.4608419,"IPC 1860 U/s: 304(A),279 ",DALE GOWDA D   (PI),2289445,,179600082,"Magadi Main Road, Near Rajarajeshwari Choultry, Magadi Main Road, Near Rajarajeshwari Choultry",14 kms towards South,8,KADABAGERE,1,0,0,0,0,0,1,1,0,1,1,0,2019000645,1914,10442191420190475,1
Bengaluru Dist,Vishwanathapura PS,0030/2021,1,2021,3,2021-03-02 08:15:00.000,2021-03-02 08:16:00.000,2021-03-02 13:30:00.000,02/03/2021,Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.233189,77.661427,"IPC 1860 U/s: 304(A),279 ",SRINIVAS T   (PI),1845433,,140700084,"Bidaluru-Savakanahalli Gate Road, Near, Bidaluru-Savakanahalli Gate Road, Near",8 KM Towards East,BEAT 4,BIDALUR,1,0,0,0,0,0,1,1,0,1,1,0,2021000037,1878,10442187820210030,-1
Bengaluru Dist,Attibele PS,0202/2019,1,2019,6,2019-06-23 22:40:00.000,2019-06-23 22:42:00.000,2019-06-24 16:30:00.000,24/06/2019,Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.801918,77.782985,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,304(A) ",VISHWANATH K.   (PI),1637264,,133100037,"ATTIBELE SARJAPURA ROAD, NEAR S.R PETROL BUNK NEAR, ATTIBELE SARJAPURA ROAD, NEAR S.R PETROL BUNK NEAR",3 KM TOWARDS NORTH,1,Attibele,1,0,0,0,0,0,0,0,0,0,0,0,2019000265,1332,10442133220190202,0
Bengaluru Dist,Suryanagar PS,0052/2024,1,2024,1,2024-01-22 05:15:00.000,2024-01-22 05:45:00.000,2024-01-22 08:30:00.000,22/01/2024,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.758309,77.724413,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SANJEEVKUMAR JAMBU M   (PI),1845490,,68200116,"MARSOOR MADIWALA TO MAYASANDRA ROAD NEAR SUGALAMMA, MARSOOR MADIWALA TO MAYASANDRA ROAD NEAR SUGALAMMA",5 KM TOWARDS SOUTH,SECOND,MARASURU,1,0,0,0,0,0,1,0,0,0,0,0,2024000056,2144,10442214420240052,0
Bengaluru Dist,Sarjapura PS,0047/2023,1,2023,2,2023-02-19 16:30:00.000,2023-02-19 16:45:00.000,2023-02-19 18:30:00.000,19/02/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.884471,77.74234,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",MANJU S S   (PI),1967210,,142500066,"NearBabuShavaliDarga bus stand Housing board Road, NearBabuShavaliDarga bus stand Housing board Road",5KM Towards west,4 BEAT,DOMMASANDRA,1,0,0,0,0,0,2,2,0,2,2,0,2023000114,1334,10442133420230047,0
Bengaluru Dist,Suryanagar PS,0067/2019,1,2019,3,2019-02-28 11:55:00.000,2019-02-28 11:59:00.000,2019-03-01 18:35:00.000,01/03/2019,Heinous,Undetected,Oral,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.772618,77.701483,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,337,304(A) ",RAVINDRA N   (PI),1250652,,115900032,"INFRONT OF PRASHANTHI GARDEN, MARARUSU VILLAGE,, INFRONT OF PRASHANTHI GARDEN, MARARUSU VILLAGE,",4 KM TOWARDS SOUTH,SECOND,MARASURU,2,0,0,0,0,0,1,0,0,0,0,0,2019000083,2144,10442214420190067,0
Bengaluru Dist,Hosahalli PS,0020/2019,1,2019,8,2019-08-12 19:40:00.000,2019-08-12 19:45:00.000,2019-08-12 22:30:00.000,12/08/2019,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.445016,77.3973779,"IPC 1860 U/s: 283,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 122,187,177,196 ",NAVEEN KUMAR M B   (PI),1747830,,189800028,"Near Lingadheeranahalli Cross, Near Lingadheeranahalli Cross",9 KM Towards West,BEAT 4,KALLUKUNTE,1,0,0,0,0,0,2,1,0,1,2,0,2019000037,1335,10442133520190020,-1
Bengaluru Dist,Nandagudi PS,0145/2019,1,2019,7,2019-07-14 06:45:00.000,2019-07-14 07:10:00.000,2019-07-14 13:30:00.000,14/07/2019,Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.232378,77.952271,"IPC 1860 U/s: 304(A),279 ",RANGASWAMY H M   (PI),2282156.0,,27100074,"Vijaypura-Kolar Road Dalsageri Gate, Vijaypura-Kolar Road Dalsageri Gate",9 Kms Towards East,07 TH BEAT,VADDAHALLI,1,0,0,0,0,0,1,1,0,1,1,0,2019000180,254,10442025420190145,-1
Bengaluru Dist,Hebbagodi PS,0087/2019,1,2019,3,2019-03-10 16:30:00.000,2019-03-10 16:31:00.000,2019-03-10 18:30:00.000,10/03/2019,Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12.835295,77.684265,"IPC 1860 U/s: 304(A),337,279 ",GOWTHAM J   (PI),1895593,,179400051,"In front of Branded Outlet Shop, Vinayakanagara, In front of Branded Outlet Shop, Vinayakanagara",Towards East 3 Km,BEAT 5,KAMMASANDRA,0,1,1,0,0,0,1,1,0,1,2,0,2019000127,1333,10442133320190087,0
Bengaluru Dist,Doddabelavangala PS,0119/2021,1,2021,8,2021-07-31 23:45:00.000,2021-07-31 23:46:00.000,2021-08-01 09:00:00.000,01/08/2021,Heinous,Undetected,Others,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.168768,77.45081,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",HARISH M R   (PI),1896029,,143100080,"Kodipalya-Basavanna Temple road, Kodipalya-Basavanna Temple road",14 KM Towards South,BEAT No 8,HALENAHALLI,1,0,0,0,0,0,0,0,0,0,0,0,2021000155,264,10442026420210119,1
