District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru Dist,Hosakote PS,0149/2020,1,2020,5,2020-05-26 18:30:00.000,2020-05-26 18:35:00.000,2020-05-27 09:30:00.000,27/05/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.078604,77.80253,"IPC 1860 U/s: 304(A),279 ",MANJUNATHA S R   (PI),1966751,,140000055,"Chintamani To Hosakote Road Near Nilagiris weigh, Chintamani To Hosakote Road Near Nilagiris weigh",Towards East  2 km,BEAT NO 1,HOSAKOTE TOWN,1,0,0,0,0,0,1,1,0,1,1,0,2020000182,253,10442025320200149,0
Bengaluru Dist,Hosakote PS,0223/2021,1,2021,6,2021-06-29 17:00:00.000,2021-06-29 17:04:00.000,2021-06-30 09:30:00.000,30/06/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.061515,77.825521,"IPC 1860 U/s: 279,304(A) ",MANJUNATHA S R   (PI),1966751,,140000055,"Near Kannurahalli dinne,, Near Kannurahalli dinne,",05 KM toward South,BEAT NO 1,HOSAKOTE TOWN,1,0,0,0,0,0,1,1,0,1,1,0,2021000253,253,10442025320210223,0
Bengaluru Dist,Doddaballapura Rural PS,0074/2022,1,2022,4,2022-04-01 15:45:00.000,2022-04-01 15:55:00.000,2022-04-05 11:15:00.000,05/04/2022,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.263448,77.552882,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,304(A) ",LAXMIPATHI   (HC),1430577,,26200013,"Bangalore-Doddaballapura Road, Near Petrol Pump, Bangalore-Doddaballapura Road, Near Petrol Pump",Towards South 6 KM,BEAT 6,BASHETTYHALLI,1,0,0,0,0,0,1,1,0,1,2,0,2022000134,263,10442026320220074,1
Bengaluru Dist,Doddaballapura Town PS,0152/2021,1,2021,11,2021-11-15 13:00:00.000,2021-11-15 13:10:00.000,2021-11-15 17:00:00.000,15/11/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.285826,77.537225,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181 ",NAVEEN KUMAR M B   (PI),1747830,,189800028,"Near Adithya School, Sanjayanagara,, Near Adithya School, Sanjayanagara,",03 Km Towads South,BEAT NO 3,KUCHAPPANAPETE,0,1,0,0,0,0,2,1,0,1,2,0,2021000242,262,10442026220210152,1
Bengaluru Dist,Vishwanathapura PS,0071/2023,1,2023,6,2023-05-31 13:00:00.000,2023-05-31 13:01:00.000,2023-06-01 12:00:00.000,01/06/2023,Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.347291,77.682264,"IPC 1860 U/s: 279,338,304(A) ",SRINIVAS T   (PI),1845433,,140700084,"Nandi-Devanahalli Road, Near Karahalli cross, Nandi-Devanahalli Road, Near Karahalli cross",12 KM Towards North,BEAT 3,MUDDANAYAKANAHALLI,1,1,0,1,0,0,1,1,0,1,1,0,2023000109,1878,10442187820230071,-1
Bengaluru Dist,Doddaballapura Rural PS,0299/2023,1,2023,9,2023-09-10 21:00:00.000,2023-09-10 21:10:00.000,2023-09-11 16:30:00.000,11/09/2023,Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.255177,77.48806,"IPC 1860 U/s: 279,337,304(A),338 ",MANJUNATHA.C.   (HC),1446880,,134000011,"Doddaballapura-Nelamangala Road, Near Akashavani, Doddaballapura-Nelamangala Road, Near Akashavani",Towards South 10KM,BEAT 8,GOWDAHALLI,1,0,0,0,6,0,1,1,0,1,1,0,2023000421,263,10442026320230299,1
Bengaluru Dist,Bannerghatta PS,0068/2020,1,2020,5,2020-05-17 20:20:00.000,2020-05-17 20:35:00.000,2020-05-18 11:15:00.000,18/05/2020,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,12.800258,77.598468,"IPC 1860 U/s: 304(A),279 ",ANJANKUMAR V.   (PSI),2289465,,28900466,"NEAR RAGIHALLI GATE BANNERGHATTA JIGANI MAIN ROAD, NEAR RAGIHALLI GATE BANNERGHATTA JIGANI MAIN ROAD",TOWARDS SOUTH 5 KMS,BEAT 3,RAGIHALLI,1,0,0,0,0,0,0,0,0,0,1,0,2020000085,1331,10442133120200068,-1
Bengaluru Dist,Doddaballapura Town PS,0132/2021,1,2021,9,2021-09-12 19:25:00.000,2021-09-12 19:35:00.000,2021-09-13 08:30:00.000,13/09/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.306453,77.546093,"IPC 1860 U/s: 279,304A,304(A) ",NAVEEN KUMAR M B   (PI),1747830,,189800028,"Dcross, Dcross",500 Km Towards South,BEAT NO 1,DCROSS,1,0,0,0,0,0,1,1,0,1,1,0,2021000214,262,10442026220210132,1
Bengaluru Dist,Doddaballapura Rural PS,0185/2020,1,2020,6,2020-06-08 09:30:00.000,2020-06-08 09:35:00.000,2020-06-08 20:00:00.000,08/06/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.258757,77.553242,"IPC 1860 U/s: 304(A),279 ",SATHISHA.B.S   (PI),1895501,,47700005,"Bangalore - DB Pura Road, Bangalore - DB Pura Road",Towards South 8km,BEAT 6,BASHETTYHALLI,0,1,0,0,0,0,1,1,0,1,1,0,2020000224,263,10442026320200185,1
Bengaluru Dist,Sulibele PS,0022/2020,1,2020,3,2020-03-28 10:45:00.000,2020-03-28 11:00:00.000,2020-03-28 14:30:00.000,28/03/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.120295,77.823912,"IPC 1860 U/s: 279,304(A) ",RANGASWAMY H M   (PI),2282156,,27100074,"Chokkahalli santhe oposit Road Chokkahalli village, Chokkahalli santhe oposit Road Chokkahalli village",14 k.m. to wards south,BEAT 10,CHOKKAHALLI,1,0,0,0,0,0,0,1,0,1,1,0,2020000027,1816,10442181620200022,0
Bengaluru Dist,Doddaballapura Rural PS,0019/2024,1,2024,1,2024-01-18 07:00:00.000,2024-01-18 07:05:00.000,2024-01-18 10:00:00.000,18/01/2024,Heinous,Under Investigation,Others,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.323043,77.534464,"IPC 1860 U/s: 304(A),337,279 ",VENKATARAMU.K.S   (ASI),1215909,,26300033,"Doddaballapura-Gowribidanuru Road, Doddaballapura-Gowribidanuru Road",Towards North 3KM,BEAT  10,THAPASIHALLI,1,1,0,1,0,0,1,1,0,1,0,0,2024000021,263,10442026320240019,1
Bengaluru Dist,Hosakote Traffic PS,0016/2024,1,2024,1,2024-01-12 13:00:00.000,2024-01-12 13:02:00.000,2024-01-12 15:30:00.000,12/01/2024,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.08985,77.809188,"IPC 1860 U/s: 304(A),279 ",PRAKASH   (ASI),1369363,,181600020,"NEAR SONNADENAHALLI GATE, CHINTHAMANI ROAD,, NEAR SONNADENAHALLI GATE, CHINTHAMANI ROAD,",05 KM TOWARDS NORTH,BEAT 4,STATE HIGHWAY ROAD SANTHEGATE TO LAKSHMIPURA GATE PETROL BUNK,1,0,0,0,0,0,1,1,0,1,1,0,2024000016,2264,10442226420240016,0
Bengaluru Dist,Doddaballapura Rural PS,0209/2019,1,2019,8,2019-08-05 16:00:00.000,2019-08-05 16:05:00.000,2019-08-05 17:00:00.000,05/08/2019,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.434282,77.4901449,"IPC 1860 U/s: 304(A),279 ",SATHISHA.B.S   (PI),1895501,,47700005,"Near makali durga railway station, Near makali durga railway station",to wards north 16 kms from ps,BEAT  14,KELAGINA JUGANAHALLI,2,0,0,0,0,0,1,1,0,1,1,0,2019000331,263,10442026320190209,-1
Bengaluru Dist,Nandagudi PS,0052/2022,1,2022,4,2022-04-11 03:30:00.000,2022-04-11 03:40:00.000,2022-04-11 09:30:00.000,11/04/2022,Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.177092,77.884714,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",DIWAKAR M   (PI),1895587.0,,178700051,"Hosakote Chinthamani SH 82, Near Shivanapura Cross, Hosakote Chinthamani SH 82, Near Shivanapura Cross",Towards 03 Km East,04 TH BEAT,CHOKKASANDRA,1,0,0,0,0,0,0,0,0,0,0,0,2022000060,254,10442025420220052,0
Bengaluru Dist,Hosakote Traffic PS,0300/2023,1,2023,11,2023-11-19 21:30:00.000,2023-11-19 21:40:00.000,2023-11-20 15:00:00.000,20/11/2023,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.19542,77.8931,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SREEKANTAIAH.B.N   (PI),1845410,,21500019,"Chinthamani Hosakote SH 82, Chinthamani Hosakote SH 82",18 Km Towards East,BEAT 4,STATE HIGHWAY ROAD SANTHEGATE TO LAKSHMIPURA GATE PETROL BUNK,1,0,0,0,0,0,1,0,0,0,0,0,2023000300,2264,10442226420230300,0
Bengaluru Dist,Vijayapura PS,0089/2022,1,2022,6,2022-06-29 07:20:00.000,2022-06-29 07:21:00.000,2022-06-29 10:30:00.000,29/06/2022,Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.2776,77.758802,"IPC 1860 U/s: 279,337,304(A),338 ",Veerendra Prasad.S.R   (PI),1845453,,25000105,"Yaliyuru Gate  Vijayapura Hobli, Yaliyuru Gate  Vijayapura Hobli",Towards West 5 km  from ps,BEAT 6,DHARMAPUA,2,0,0,0,0,0,1,1,0,1,1,0,2022000129,267,10442026720220089,-1
Bengaluru Dist,Hosakote Traffic PS,0276/2023,1,2023,10,2023-10-18 21:00:00.000,2023-10-18 21:05:00.000,2023-10-19 16:00:00.000,19/10/2023,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13.053566,77.747797,"IPC 1860 U/s: 279,304(A) ",GANGAPPA.M   (PSI),819359,,133300010,"K Satyawar Gate Chinthamani To Hosakote SH-82 Road, K Satyawar Gate Chinthamani To Hosakote SH-82 Road",Towards 12 KM North,BEAT 4,STATE HIGHWAY ROAD SANTHEGATE TO LAKSHMIPURA GATE PETROL BUNK,1,0,0,0,0,0,1,0,0,0,1,0,2023000276,2264,10442226420230276,0
