District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bengaluru Dist,Thyamagondlu PS,0015/2024,1,2024,1,2024-01-29 17:00:00.000,2024-01-29 17:15:00.000,2024-01-29 20:10:00.000,29/01/2024,Heinous,Under Investigation,Written,ROBBERY,Chain Snatching,13.228429,77.359858,IPC 1860 U/s: 392 ,RANJAN KUMAR D   (PI),2289478,,109900061,"NEAR TADASIGHATTA RD THAYAMAGONDLU HOBALI, NEAR TADASIGHATTA RD THAYAMAGONDLU HOBALI",TOWARDS EAST 8 KM,3 BEAT,KAREHALLI,0,1,0,0,0,0,0,0,0,0,0,0,2024000019,273,10442027320240015,-1
Bengaluru Dist,Doddabelavangala PS,0197/2023,1,2023,12,2023-12-26 17:00:00.000,2023-12-26 17:05:00.000,2023-12-26 19:00:00.000,26/12/2023,Heinous,Under Investigation,Others,ROBBERY,Chain Snatching,13.271083,77.405826,IPC 1860 U/s: 392 ,NAVEEN KUMAR M B   (PI),1747830,,189800028,"Near Basavaraju Land, Doddahejjaji Kasagatta Road, Near Basavaraju Land, Doddahejjaji Kasagatta Road","Towards South, 6Km",BEAT NO 2,DODDAHEJJAJI,0,1,0,0,0,0,0,0,0,0,0,0,2023000278,264,10442026420230197,-1
Bengaluru Dist,Dobbespet PS,0068/2019,1,2019,6,2019-06-05 10:45:00.000,2019-06-05 10:50:00.000,2019-06-05 13:30:00.000,05/06/2019,Heinous,Pending Trial,Written,ROBBERY,Chain Snatching,13.236792,77.242688,IPC 1860 U/s: 392 ,A RAJEEV   (PI),1744823,,148000005,"Opposit Od Public Schllo, Lakkuru, Opposit Od Public Schllo, Lakkuru",4 Km Towords North,BEAT NO 02,Lakkuru,0,0,0,0,0,0,2,0,0,0,2,0,2019000122,272,10442027220190068,-1
Bengaluru Dist,Hosahalli PS,0002/2023,1,2023,2,2023-02-10 18:45:00.000,2023-02-10 18:55:00.000,2023-02-10 23:30:00.000,10/02/2023,Heinous,Undetected,Written,ROBBERY,Chain Snatching,13.448716,77.475466,IPC 1860 U/s: 394 ,Rao Ganesh Janardhan   (PI),1812289,,176800050,"Near Hosakote Village, Near Hosakote Village",4 Kms towrads North,BEAT 2,HOSAHALLI,0,1,0,0,0,0,1,0,0,0,0,0,2023000004,1335,10442133520230002,-1
Bengaluru Dist,Doddaballapura Rural PS,0149/2022,1,2022,6,2022-06-17 21:20:00.000,2022-06-17 21:30:00.000,2022-06-18 12:30:00.000,18/06/2022,Heinous,Pending Trial,Written,ROBBERY,Chain Snatching,13.278013,77.5113909,IPC 1860 U/s: 394 ,HANUMANTHARAJU.A   (HC),1429981,,27100019,"Anjinaya Temple Near Arulu malige LakeNelamangal-, Anjinaya Temple Near Arulu malige LakeNelamangal-",South 4 km,BEAT 7,ARALUMALLIGE,1,0,0,0,0,0,2,0,0,0,3,0,2022000247,263,10442026320220149,-1
Bengaluru Dist,Doddabelavangala PS,0171/2023,1,2023,10,2023-10-20 16:00:00.000,2023-10-20 16:02:00.000,2023-10-20 16:45:00.000,20/10/2023,Heinous,Under Investigation,Others,ROBBERY,Chain Snatching,13.210563,77.450738,IPC 1860 U/s: 392 ,NAVEEN KUMAR M B   (PI),1747830,,189800028,"Near Garadigarapalya Madhure Lake Park, Near Garadigarapalya Madhure Lake Park",Towards 12km South,BEAT NO 1,KATTALEPALYA,0,1,0,0,0,0,1,0,0,0,0,0,2023000231,264,10442026420230171,-1
Bengaluru Dist,Doddaballapura Rural PS,0326/2021,1,2021,12,2021-12-24 07:00:00.000,2021-12-24 07:10:00.000,2021-12-24 11:30:00.000,24/12/2021,Heinous,Undetected,Written,ROBBERY,Chain Snatching,13.27211,77.5560349,IPC 1860 U/s: 392 ,HARISH KUMAR P M   (PI),1962754,,36600022,"EVER BULE COMPANY APAREAL PARK, EVER BULE COMPANY APAREAL PARK",WEST 3 KM,BEAT 6,BASHETTYHALLI,0,0,0,0,0,0,0,0,0,0,0,0,2021000440,263,10442026320210326,-1
Bengaluru Dist,Chennarayapatana PS,0045/2021,1,2021,6,2021-06-30 10:50:00.000,2021-06-30 11:00:00.000,2021-06-30 12:30:00.000,30/06/2021,Heinous,Pending Trial,Others,ROBBERY,Chain Snatching,13.207253,77.780497,"IPC 1860 U/s: 392,212,34,394 ",SRINIVAS T   (PI),1845433,,140700084,"Infront Of  Mallepur Milk Dairy Mallepur Village, Infront Of  Mallepur Milk Dairy Mallepur Village",Towards South 8kms From PS,03,POLANAHALLI,0,1,0,0,0,0,3,0,0,0,3,0,2021000055,1814,10442181420210045,-1
Bengaluru Dist,Madanayakanahally PS,0387/2020,1,2020,10,2020-10-07 11:15:00.000,2020-10-07 11:30:00.000,2020-10-07 13:20:00.000,07/10/2020,Heinous,Pending Trial,Written,ROBBERY,Chain Snatching,12.991729,77.4167979,IPC 1860 U/s: 392 ,MANJUNATHA B S   (PI),1962675,,133300019,"Giddenahalli, Giddenahalli",Towards South 15 kms,8,KADABAGERE,0,1,0,0,0,0,2,0,0,0,2,0,2020000514,1914,10442191420200387,-1
Bengaluru Dist,Vijayapura PS,0033/2021,1,2021,2,2021-02-28 16:30:00.000,2021-02-28 16:35:00.000,2021-02-28 19:30:00.000,28/02/2021,Heinous,Pending Trial,Others,ROBBERY,Chain Snatching,13.263706,77.781951,"IPC 1860 U/s: 392,341,397,413 ",SRINIVAS T   (PI),1845433,,140700084,"Near Bullahalli Village,Vijayapura-Bullahalli Rd, Near Bullahalli Village,Vijayapura-Bullahalli Rd",8 Kms Towards West From PS,BEAT 5,GUDUVANAHALLI,1,1,0,0,0,0,5,0,0,0,5,0,2021000042,267,10442026720210033,-1
