District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Bidar,Chitaguppa PS,0037/2019,1,2019,3,2019-03-28 17:00:00.000,2019-03-28 17:30:00.000,2019-03-28 18:30:00.000,28/03/2019,Non Heinous,Dis/Acq,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,17.709211,77.193913,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",DAMLA   (HC),1911761,,38100011,"Fatmapur, Chitaguppa, Fatmapur, Chitaguppa",6 KM Towards North,16 Beat,Fatmapur,0,0,0,0,0,0,1,1,0,1,1,0,2019000050,381,10446038120190037,-1
Bidar,Bhalki Town PS,0041/2022,1,2022,4,2022-04-12 10:45:00.000,2022-04-12 10:46:00.000,2022-04-12 12:15:00.000,12/04/2022,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,18.042526,77.2046339,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",MAHESH KUMAR   (HC),2151052,,37400059,"Near Baba Talair Kirana Shope Choudi Galli, Near Baba Talair Kirana Shope Choudi Galli",02 KM West From PS,Beat No 2,Kadlabad,0,0,0,0,0,0,1,0,0,0,1,0,2022000046,1477,10446147720220041,0
Bidar,Bhalki Town PS,0066/2022,1,2022,5,2022-05-20 10:00:00.000,2022-05-20 10:05:00.000,2022-05-20 12:15:00.000,20/05/2022,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,18.027878,77.210501,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",MOHAN   (ASI),1116627,,40400018,"Bhalki-Humnabad Road ¨Beside Samadhan Dhaba, Bhalki-Humnabad Road ¨Beside Samadhan Dhaba",02 KM South From PS,Beat No 2,Kadlabad,0,0,0,0,0,0,1,0,0,0,1,0,2022000073,1477,10446147720220066,0
Bidar,Hallikhed PS,0114/2023,1,2023,10,2023-10-25 09:35:00.000,2023-10-25 10:35:00.000,2023-10-25 11:00:00.000,25/10/2023,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,17.763941,77.260805,"KARNATAKA EXCISE ACT, 1965 U/s: 32(3) ",SIDDAPPA   (ASI),1118724,,37700048,"Near Praksh Hotel Sakkargunjwadi, Near Praksh Hotel Sakkargunjwadi",6 km South From PS,BEAT NO 02,AMIRABADVADI VILLAGE,0,0,0,0,0,0,1,1,0,1,1,0,2023000211,386,10446038620230114,-1
Bidar,Manna Ekhelli PS,0051/2023,1,2023,4,2023-04-11 21:00:00.000,2023-04-11 22:00:00.000,2023-04-11 22:30:00.000,11/04/2023,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,17.764051,77.28231,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",EKNATH   (ASI),1118744,,37200013,"Talmadgi Village Near Mohammad Gafur Khan Hotel, Talmadgi Village Near Mohammad Gafur Khan Hotel",12 km West From Ps,BEAT NO 14,TALMADAGI,0,0,0,0,0,0,1,0,0,0,1,0,2023000064,382,10446038220230051,-1
Bidar,Basava Kalyana Town PS,0070/2023,1,2023,5,2023-05-06 22:00:00.000,2023-05-06 23:00:00.000,2023-05-06 23:30:00.000,06/05/2023,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,17.834046,76.933866,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",SANJEEVKUMAR  DODDE (HC),1914099,,39400023,"Near Rathod Dhaba, Bandavar Oni, Near Rathod Dhaba, Bandavar Oni",South 6km,Beat 5,Vidyashri Collony Basavakalyan,0,0,0,0,0,0,1,0,0,0,1,0,2023000109,401,10446040120230070,-1
Bidar,Chitaguppa PS,0027/2019,1,2019,3,2019-03-14 16:00:00.000,2019-03-14 17:00:00.000,2019-03-14 19:00:00.000,14/03/2019,Non Heinous,Dis/Acq,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,17.676858,77.070712,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",DAMLA   (HC),1911761,,38100011,"NH 50 Hallikhed (K), NH 50 Hallikhed (K)",25 KM Towards West,22 Beat,Hallikhed K,0,0,0,0,0,0,1,1,0,1,1,0,2019000040,381,10446038120190027,-1
Bidar,Mudbi PS,0019/2021,1,2021,3,2021-03-24 14:15:00.000,2021-03-24 15:15:00.000,2021-03-24 15:30:00.000,24/03/2021,Non Heinous,Dis/Acq,Written,Karnataka State Local Act,Karnataka Excise Act 1965,17.736993,76.929159,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",Sidram   (HC),2198298,,192200012,"BAGADURI CROSS, BAGADURI CROSS",100 M EAST,Beat 01,mudbi,0,0,0,0,0,0,1,0,0,0,1,0,2021000041,1471,10446147120210019,-1
Bidar,Bhalki Town PS,0083/2020,1,2020,3,2020-03-21 15:29:00.000,2020-03-21 15:30:00.000,2020-03-21 17:30:00.000,21/03/2020,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,18.050907,77.2253009,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",MOHAN   (ASI),1116627,,40400018,"Near Shivaji Chwok, Near Shivaji Chwok",3 KM East from PS,Beat No 4,Panchshil Nagar,0,0,0,0,0,0,2,2,0,2,2,0,2020000091,1477,10446147720200083,0
Bidar,Bhalki Rural PS,0063/2022,1,2022,5,2022-05-06 19:15:00.000,2022-05-06 20:15:00.000,2022-05-06 21:00:00.000,06/05/2022,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,17.997216,77.232829,"KARNATAKA EXCISE ACT, 1965 U/s: 32,34 ",Bheemashankar   (HC),5220123,,39400045,"shivaji chouk near hotel side public place, shivaji chouk near hotel side public place",EAST 06 KM FROM PS,Beat 9,Talwad.K,0,0,0,0,0,0,1,1,0,1,1,0,2022000070,390,10446039020220063,0
