District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Chickballapura,Dibburahalli PS,0006/2024,1,2024,1,2024-01-27 18:00:00.000,2024-01-27 18:30:00.000,2024-01-28 10:00:00.000,28/01/2024,Heinous,Transfered :UI( Shidlaghatta Circle),Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.636502,77.970117,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",SRINIVASA M   (PI),1369712,,95800267,"Dibburahalli Talakayalabetta Road, Dibburahalli Talakayalabetta Road",3 Kns East To PS,BEAT 05,VADDANHALLY,1,0,0,0,0,0,0,0,0,0,0,0,2024000016,832,10976083220240006,-1
Chickballapura,Gudibande PS,0197/2023,1,2023,11,2023-11-30 12:15:00.000,2023-11-30 14:10:00.000,2023-11-30 17:45:00.000,30/11/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.677419,77.711834,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181 IPC 1860 U/s: 279,304(A) ",NAYAZ BEIG   (PI),1741814,,180700020,"Near Fire Station Yallodu-Gudibande Road, Near Fire Station Yallodu-Gudibande Road",0.5 km North From  ps,BEAT 01,RURAL GUDIBANDE,1,0,0,0,0,0,2,1,0,1,2,0,2023000239,1569,10976156920230197,-1
Chickballapura,Kencharlahalli PS,0091/2020,1,2020,8,2020-08-26 21:00:00.000,2020-08-26 21:05:00.000,2020-08-27 08:30:00.000,27/08/2020,Heinous,Abated,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.44022,78.080309,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",PURUSHOTTAMA G   (PI),2153845,,177700041,"NEAR KANISHETTIHALLI DHARGA, CHINTAMANI-CHELURU, NEAR KANISHETTIHALLI DHARGA, CHINTAMANI-CHELURU",SOUTH 10 KM FROM PS,4th BEAT,SIDDEPALLI,1,0,0,0,0,0,1,0,0,0,2,0,2020000126,825,10976082520200091,-1
Chickballapura,Batlahalli PS,0126/2023,1,2023,11,2023-11-23 20:30:00.000,2023-11-23 21:00:00.000,2023-11-24 11:00:00.000,24/11/2023,Heinous,Transfered :UI( Kencharlahalli Circle),Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.625418,78.126111,"IPC 1860 U/s: 279,304(A) ",VENKATARAMAPPA M   (PI),1146306.0,,85900030,"BOMMEPALLI SHESHADHRI LAND, BOMMEPALLI SHESHADHRI LAND",NORTH 6 KMS TO PS,BEAT NOA02,KODIGALL VILLAGE,1,0,0,0,0,0,1,0,0,0,1,0,2023000156,827,10976082720230126,-1
Chickballapura,Gudibande PS,0013/2023,1,2023,2,2023-02-05 11:30:00.000,2023-02-05 11:31:00.000,2023-02-05 18:15:00.000,05/02/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.734184,77.72428,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,337,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181,196 IPC 1860 U/s: 338 ",NAYAZ BEIG   (PI),1741814,,180700020,"Near Garudacharlahalli Village, Near Garudacharlahalli Village",10 Km North from ps,BEAT 04,UPPARAHALLI,1,1,0,0,0,0,2,1,0,1,2,0,2023000015,1569,10976156920230013,-1
Chickballapura,Chickballapura Traffic PS,0038/2023,1,2023,6,2023-06-26 13:30:00.000,2023-06-26 13:35:00.000,2023-06-26 15:00:00.000,26/06/2023,Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.43624,77.73163,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 134 ",MANJUNATHA M   (PI),1368323,,140500038,"INFRONT OF SONU FANCY STORE, INFRONT OF SONU FANCY STORE",2 KMS SOUTH TO PS,BAGEPALLI ROAD,IB,1,0,0,0,0,0,1,1,0,1,1,0,2023000038,1919,10976191920230038,-1
Chickballapura,Patapalya PS,0042/2023,1,2023,4,2023-04-27 14:30:00.000,2023-04-27 19:00:00.000,2023-04-27 23:00:00.000,27/04/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.756153,77.918139,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181 ",JANARDHANA.P.R   (PI),1966721,,111900060,"In Front Of KEB Power Station Guttamidapalli, In Front Of KEB Power Station Guttamidapalli",5 Kms West From PS,Beat 03,GUTTAMIDAPALLI,0,1,0,0,0,0,1,2,0,2,3,0,2023000057,1575,10976157520230042,-1
Chickballapura,Gudibande PS,0002/2021,1,2021,1,2021-01-03 06:00:00.000,2021-01-03 06:15:00.000,2021-01-03 18:30:00.000,03/01/2021,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.62225,77.740832,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,177,5 ",PRATHAP KR  (PSI),565961,,83800018,"Kammaguttahalli Cross, Kammaguttahalli Cross",10 Km East From ps,BEAT 08,BOMMAGANAHALLI,1,0,0,0,0,0,2,0,0,0,2,0,2021000002,1569,10976156920210002,-1
Chickballapura,Shidlagatta Rural PS,0278/2023,1,2023,11,2023-11-12 08:15:00.000,2023-11-12 08:20:00.000,2023-11-12 11:30:00.000,12/11/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.331571,77.816893,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",SRINIVASA M   (PI),1369712,,95800267,"NEAR RAMESH KOTE HOME MALLURU VILLAGE, NEAR RAMESH KOTE HOME MALLURU VILLAGE",08 KMS SOUTH TO PS,BEAT 2,GANGANAHALLI,1,0,0,0,0,0,1,1,0,1,1,0,2023000371,829,10976082920230278,-1
Chickballapura,Chickballapura Traffic PS,0039/2023,1,2023,6,2023-06-27 14:00:00.000,2023-06-27 14:05:00.000,2023-06-28 11:00:00.000,28/06/2023,Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13.435461,77.731533,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 119,181,177,180 IPC 1860 U/s: 279,338,304(A) ",MANJUNATHA M   (PI),1368323,,140500038,"SHIDLAGATTA CIRCALE, SHIDLAGATTA CIRCALE",3 KM SOUTH TO PS,AB CIRCLE,TB,1,0,0,0,0,0,2,1,1,2,2,0,2023000039,1919,10976191920230039,-1
