District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Chikkamagaluru,Chickmagalur Town PS,0140/2022,1,2022,6,2022-06-25 21:00:00.000,2022-06-25 21:20:00.000,2022-06-27 15:15:00.000,27/06/2022,Non Heinous,Pending Trial,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.321338,75.775786,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",SATHISHA K S   (PSI),724546,,44700095,"SANTHE MAIDANA, SANTHE MAIDANA",1 KM TOWARDS PS TO EAST,28th TOWN BEAT,NEAR BY CHAMUNDI COFFEE CURING,0,0,0,0,0,0,1,0,0,0,1,0,2022000183,450,10448045020220140,0
Chikkamagaluru,Ajjampura PS,0165/2022,1,2022,6,2022-06-06 11:25:00.000,2022-06-06 11:35:00.000,2022-06-06 17:00:00.000,06/06/2022,Non Heinous,Pending Trial,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.812779,75.977152,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",M.S.SANNAKALACHARI   (ASI),1388583,,47300026,"MAKANAHALLI KERE NEAR,MAKANAHALLI, MAKANAHALLI KERE NEAR,MAKANAHALLI",13 KM TOWARDS FROM NORTH,NONE,BUKKAMBUDI,0,0,0,0,0,0,1,0,0,0,1,0,2022000199,474,10448047420220165,-1
Chikkamagaluru,Chickmagalur Town PS,0016/2021,1,2021,2,2021-02-03 12:00:00.000,2021-02-03 12:10:00.000,2021-02-03 12:15:00.000,03/02/2021,Non Heinous,Pending Trial,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.317738,75.782105,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 20(b) (ii) A,29 ",SHAMBHULINGAIAH  M E (PSI),2841043,,46300062,"PATAKI GROUND,, PATAKI GROUND,",1 KM TOWARDS EAST,53rd TOWN BEAT,MARKET ROAD CHIKMAGALUR,0,0,0,0,0,0,1,2,0,2,3,0,2021000022,450,10448045020210016,0
Chikkamagaluru,Gonibeedu PS,0031/2024,1,2024,3,2024-03-08 11:00:00.000,2024-03-08 11:10:00.000,2024-03-09 02:30:00.000,09/03/2024,Non Heinous,Under Investigation,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.108856,75.722349,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 20(b)(ii) C,29 ",Harshavardan H.K   (PSI),2642010,,91800624,"KASKEBYLU VILLAGE, GONIBEEDU HOBLI,, KASKEBYLU VILLAGE, GONIBEEDU HOBLI,",EAST TOWARDS 04 KMS,BEAT NO 01,KASKEBYLU,0,0,0,0,0,0,2,0,0,0,0,0,2024000054,461,10448046120240031,-1
Chikkamagaluru,Birur PS,0071/2022,1,2022,6,2022-06-18 11:00:00.000,2022-06-18 11:05:00.000,2022-06-18 14:30:00.000,18/06/2022,Non Heinous,Convicted,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.590837,75.974829,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",NAGEGOWDA K N   (ASI),1388592,,47700024,"AT. TOWARDS MALU SLEEPER ROAD., AT. TOWARDS MALU SLEEPER ROAD.",500 MEETAR. SOUTH,WARD  BEAT NO 12,WARD BEAT,0,0,0,0,0,0,1,0,0,0,1,1,2022000086,477,10448047720220071,-1
Chikkamagaluru,Aldur PS,0059/2022,1,2022,6,2022-06-18 10:30:00.000,2022-06-18 11:00:00.000,2022-06-18 17:30:00.000,18/06/2022,Non Heinous,Pending Trial,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.245166,75.649073,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",Dhanaraj Thavanandi Manje Gowda (PSI),2948916,,107200051,"NEAR SANTHEMAIDANA SHED ALDUR TOWN, NEAR SANTHEMAIDANA SHED ALDUR TOWN",TOWARDS1 KM WEST,BEAT NO 01,YALAGUDIGE,0,0,0,0,0,0,1,0,0,0,1,0,2022000093,455,10448045520220059,-1
Chikkamagaluru,Chickmagalur CEN Crime PS,0032/2022,1,2022,5,2022-05-26 09:00:00.000,2022-05-26 12:15:00.000,2022-05-26 15:00:00.000,26/05/2022,Non Heinous,Pending Trial,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.297928,75.979804,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 20(b) (ii) (B),29 ",Raghunatha S V   (PSI),2615596,,44700193,"NAER ARALI TREE,BASAVANAKODI-SINDIGERE ROAD, NAER ARALI TREE,BASAVANAKODI-SINDIGERE ROAD",35 K M TOWAREDS EAST,CHIKKAMGALURU RURAL,HADHIHALLI,0,0,0,0,0,0,3,3,0,3,3,0,2022000032,2211,10448221120220032,-1
Chikkamagaluru,Chickmagalur CEN Crime PS,0084/2022,1,2022,9,2022-09-05 14:00:00.000,2022-09-05 14:10:00.000,2022-09-05 18:00:00.000,05/09/2022,Non Heinous,Convicted,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.319831,75.772485,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",HEMACHANDREGOWDA   (ASI),1388562,,45100034,"NEAR URDHU SCHOOL,I G ROAD, NEAR URDHU SCHOOL,I G ROAD",500 METERS TOWARDS EAST,DISTRICT  LIMITS,OTHER BEETS,0,0,0,0,0,0,1,0,0,0,1,1,2022000084,2211,10448221120220084,0
Chikkamagaluru,Ajjampura PS,0163/2022,1,2022,6,2022-06-06 09:30:00.000,2022-06-06 09:40:00.000,2022-06-06 16:20:00.000,06/06/2022,Non Heinous,Convicted,Sue-moto by Police,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.820125,75.981579,"NARCOTIC DRUGS AND PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 27(b) ",M.S.SANNAKALACHARI   (ASI),1388583,,47300026,"BUKKAMBUDI IDGA NEAR, BUKKAMBUDI, BUKKAMBUDI IDGA NEAR, BUKKAMBUDI",15 KM TOWARDS FROM NORTH,NONE,BUKKAMBUDI,0,0,0,0,0,0,1,0,0,0,1,1,2022000197,474,10448047420220163,-1
Chikkamagaluru,N.R. Pura PS,0016/2024,1,2024,3,2024-03-07 16:00:00.000,2024-03-07 18:30:00.000,2024-03-07 19:00:00.000,07/03/2024,Non Heinous,Under Investigation,Written,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,Synthetic,13.626477,75.496272,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985 U/s: 20(b) (ii) A ",M.H.SATHISHA   (HC),1388629.0,,46300028,"Infront Of  Forest  Park, Infront Of  Forest  Park",3 KM Towards North,BEAT NO 4,SHETTY KOPPA,0,0,0,0,0,0,3,3,0,3,0,0,2024000043,470,10448047020240016,-1
