District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Chikkamagaluru,Balehonnur PS,0024/2020,1,2020,3,2020-02-28 15:30:00.000,2020-02-28 15:40:00.000,2020-03-05 16:15:00.000,05/03/2020,Heinous,Dis/Acq,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.379679,75.42331,"IPC 1860 U/s: 504,506,341,34 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(1)(r)(s)(2)(va) ",RAJU S.   (Dy.SP),1421637,,72700001,"KOGALI ADIGEBYLU VILLAGE, KOGALI ADIGEBYLU VILLAGE",10KM TOWARDS TO NORTH,BEAT 15,ADIGEBAILU,3,0,0,0,0,0,4,0,0,0,1,0,2020000032,463,10448046320200024,-1
Chikkamagaluru,Mudigere PS,0115/2023,1,2023,8,2023-08-09 10:30:00.000,2023-08-09 10:35:00.000,2023-08-26 10:00:00.000,26/08/2023,Heinous,Pending Trial,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.0794,75.602485,"The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(1)(r),3(1)(s),3(2)(va) IPC 1860 U/s: 323,504,506 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(1)(r)(s)(2)(va) ",SHAILENDRA H M   (Dy.SP),1421557.0,,57700001,"DARADAHALLI VILLAGE, DARADAHALLI VILLAGE",15 KMS TO SOUTH FROM PS,BEAT 33 DARADAHALLI,MENASAMAKKI,1,0,0,0,0,0,1,0,0,0,1,0,2023000212,459,10448045920230115,-1
Chikkamagaluru,Chickmagalur Town PS,0230/2020,1,2020,12,2020-12-26 11:00:00.000,2020-12-26 11:30:00.000,2020-12-26 18:30:00.000,26/12/2020,Heinous,False Case,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.334151,75.807015,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015 U/s: 3(1)(r),3(1)(t) IPC 1860 U/s: 447,427,34 ",PURUSHOTHAM N   (Dy.SP),1635925,,179900002,"SERVEY NO 104:4:0-21 DANTARAMAKKI, SERVEY NO 104:4:0-21 DANTARAMAKKI",1 KM TOWARDS PS  EAST,44th  TOWN BEAT,DANTARAMAKKI,1,0,0,0,0,0,3,0,0,0,0,0,2020000354,450,10448045020200230,-1
Chikkamagaluru,Birur PS,0114/2019,1,2019,10,2019-10-10 20:30:00.000,2019-10-10 21:00:00.000,2019-10-11 14:30:00.000,11/10/2019,Heinous,Dis/Acq,Oral,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.596273,75.966601,"IPC 1860 U/s: 324,506,504,34 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(1)(r),3(1)(s) IPC 1860 U/s: 326 ",RENUKA PRASAD B Y   (Dy.SP),1634935,,80400001,"RAVI BAR AND RESTAURANT, RAVI BAR AND RESTAURANT",10 KM TOWARDS WEST,NEW BEAT 18,KUDLUR,3,0,0,0,0,0,3,2,0,2,3,0,2019000152,477,10448047720190114,-1
Chikkamagaluru,Ajjampura PS,0279/2021,1,2021,12,2021-12-18 18:45:00.000,2021-12-18 18:50:00.000,2021-12-18 20:30:00.000,18/12/2021,Heinous,Pending Trial,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.72801,76.004063,"IPC 1860 U/s: 504,323,324 SC AND THE ST  (PREVENTION OF ATTROCITIES) ACT, 1989 U/s: 3(1)(r),3(2)(v-a) IPC 1860 U/s: 34 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(2)(va),3(1)(s),3(1)(r) ",HALMURTHY RAO.V.S   (Dy.SP),1635864,,167800015,"AJJAMPURA PATTANA PANCHAYATH, AJJAMPURA PATTANA PANCHAYATH",01 KM TOWARDS FROM EAST,BEAT NO 01,THIPPAGONDANAHALLI,1,0,0,0,0,0,2,2,0,2,2,0,2021000357,474,10448047420210279,-1
Chikkamagaluru,Tarikere Town PS,0013/2022,1,2022,1,2022-01-11 16:30:00.000,2022-01-11 16:40:00.000,2022-01-12 14:00:00.000,12/01/2022,Heinous,False Case,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.718414,75.798606,"The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(1)(r),3(1)(s) IPC 1860 U/s: 506 ",NAGARAJ K R   (Dy.SP),1548055.0,,107700014,"MC HALLI VILLAGE NEAR GRAMA PANCHAYAT, MC HALLI VILLAGE NEAR GRAMA PANCHAYAT",10 KM TO WEST,1 St VILLAGE BEAT,CHIKKATHURU,1,0,0,0,0,0,1,0,1,1,0,0,2022000013,468,10448046820220013,-1
Chikkamagaluru,Tarikere Town PS,0024/2024,1,2024,1,2024-01-23 19:00:00.000,2024-01-23 19:30:00.000,2024-01-26 19:00:00.000,26/01/2024,Heinous,Transfered :UI( Tarikere Sub-Division),Oral,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.473437,75.523734,"IPC 1860 U/s: 324,504 The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2015 U/s: 3(1)(r),3(1)(s),3(2)(va) IPC 1860 U/s: 326 ",HALMURTHY RAO.V.S   (Dy.SP),1635864.0,,167800015,"INFRONT OF COMPLAINANT HOME,BETTADAHALLI, INFRONT OF COMPLAINANT HOME,BETTADAHALLI",10 KM TO EAST,14th VILALGE BEAT,BETTADAHALLI,1,0,0,0,0,0,1,1,0,1,1,0,2024000028,468,10448046820240024,-1
Chikkamagaluru,Balehonnur PS,0005/2021,1,2021,1,2021-01-05 19:30:00.000,2021-01-05 19:35:00.000,2021-01-06 18:00:00.000,06/01/2021,Heinous,Dis/Acq,Oral,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.44572,75.466667,"IPC 1860 U/s: 143,341,504,324,427,149 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(1)(r),3(1)(s),3(2)(va) ",RAJU S.   (Dy.SP),1421637,,72700001,"TATTIKHAN CROSS KARKESHWARA VILLAGE, TATTIKHAN CROSS KARKESHWARA VILLAGE",15 KM TOWARDS TO NORTH,BEAT 14,KARKESHWARA,2,0,0,0,0,0,5,5,0,5,5,0,2021000005,463,10448046320210005,-1
Chikkamagaluru,Gonibeedu PS,0018/2021,1,2021,5,2021-05-10 07:30:00.000,2021-05-10 07:35:00.000,2021-05-22 17:00:00.000,22/05/2021,Heinous,Other Disposal,Written,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.04129,75.683687,"IPC 1860 U/s: 323,342,504,506,330,348 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(1)(a),3(1)(e),3(1)(r),3(2)(va),3(2)(vii) IPC 1860 U/s: 201 ",SRIHARSHA.N   (Dy.SP),1840953,,131600082,"KIRUGUNDA VILLAGE, KIRUGUNDA VILLAGE",10 KM TOWARDS SOUTH,BEAT NO 12,UDUSE,1,0,0,0,0,0,1,1,0,1,1,0,2021000022,461,10448046120210018,-1
Chikkamagaluru,Hariharapura PS,0004/2022,1,2022,1,2022-01-19 10:45:00.000,2022-01-19 10:50:00.000,2022-01-19 20:20:00.000,19/01/2022,Heinous,Pending Trial,Oral,SCHEDULED CASTE AND THE SCHEDULED TRIBES ,Scheduled Caste  ,13.513004,75.294346,"IPC 1860 U/s: 143,147,447,323,504,427,149 The SC & ST (Prevention of Atrocities) Amendment Act 2015 U/s: 3(1)(r)(s)(2)(va) IPC 1860 U/s: 34 ",ANIL KUMAR. M   (Dy.SP),1421547,,180900060,"Sarvey No  268, 98  Sringeri Road, Hariharapura, Sarvey No  268, 98  Sringeri Road, Hariharapura",Towards 1 KM South,BEAT NO 12,HARIHARAPURA,1,0,0,0,0,0,2,0,0,0,2,0,2022000004,465,10448046520220004,-1
