District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Dharwad,Kalaghatagi PS,0012/2023,1,2023,1,2023-01-15 16:00:00.000,2023-01-15 16:01:00.000,2023-01-16 16:00:00.000,16/01/2023,Heinous,Pending Trial,Written,DOWRY DEATHS,By Hanging,15.109775,74.990441,"IPC 1860 U/s: 304B,34,498A,306 ",S M NAGARAJ   (Dy.SP),1353163,,28900303,"at: yalavadal village, at: yalavadal village",east side 12 km  from  ps,Beat 3,MACHAPUR,0,1,0,0,0,0,2,1,0,1,1,0,2023000016,1535,10452153520230012,-1
Bengaluru City,Govindaraja Nagar PS,0412/2023,1,2023,10,2018-10-26 10:00:00.000,2023-10-26 16:00:00.000,2023-10-26 19:30:00.000,26/10/2023,Heinous,Under Investigation,Written,DOWRY DEATHS,By Hanging,12.963558,77.532585,"IPC 1860 U/s: 498A,304B,34 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 ",MAHADEV L DALAWAI   (PSI),2754557,,142400124,"No.141/22, C.H.B.S Layout,, No.141/22, C.H.B.S Layout,",1.5 KM Towards South,Beat No 1,P.F Layout,0,1,0,0,0,0,9,0,0,0,0,0,2023000471,2303,10443230320230412,-1
Bengaluru City,Mico Layout PS,0811/2016,1,2016,10,2016-10-01 13:00:00.000,2016-10-01 13:01:00.000,2016-10-01 21:15:00.000,01/10/2016,Heinous,Pending Trial,Written,DOWRY DEATHS,By Hanging,12.88931203,77.61479247,"DOWRY PROHIBITION ACT, 1961 U/s: 3,4 IPC 1860 U/s: 304B,498A,114 ",M.N.Karibasavangouda   (Dy.SP),1352571,,28900615,"# 39, Abbayya Reddy Layout, D C Halli, Bengaluru, # 39, Abbayya Reddy Layout, D C Halli, Bengaluru",Towards South 3Km From PS,BEAT NO 5,BILEKAHALLI,0,1,0,0,0,0,6,0,0,0,6,0,2016000864,1381,10443138120160811,-1
Mysuru City,Vidyaranyarpuram PS,0017/2019,1,2019,3,2019-03-03 11:00:00.000,2019-03-03 12:00:00.000,2019-03-03 14:30:00.000,03/03/2019,Heinous,Pending Trial,Written,DOWRY DEATHS,By Hanging,12.265058,76.640227,"IPC 1860 U/s: 498A,34,304B DOWRY PROHIBITION ACT, 1961 U/s: 4,3 ",PURNACHANDRA TEJASWI   (Dy.SP),1635719,,136200064,"NO-141/4, 3rd CROSS, NO-141/4, 3rd CROSS",0.5 km towards west,Beat 5,janatha badavane,0,1,0,0,0,0,3,2,1,3,3,0,2019000022,47,10973004720190017,-1
Bengaluru City,Rajarajeshwari Nagar PS,0148/2019,1,2019,9,2019-05-19 00:00:00.000,2019-09-07 00:10:00.000,2019-09-07 08:15:00.000,07/09/2019,Heinous,Pending Trial,Written,DOWRY DEATHS,By Hanging,12.91179,77.51357,"IPC 1860 U/s: 498A,34,304B DOWRY PROHIBITION ACT, 1961 U/s: 4,3 IPC 1860 U/s: 109 ",T KODANDARAM   (ACP),1353599,,142100053,"#91, Shree Sai Nilaya, Near Manipal Hospital, #91, Shree Sai Nilaya, Near Manipal Hospital",West Towards 1.5KM,BEAT NO 2,R.R.NAGARA,0,1,0,0,0,0,3,1,2,3,3,0,2019000210,1877,10443187720190148,-1
Mangaluru City,Ullal PS,0108/2022,1,2022,7,2022-07-10 16:30:00.000,2022-07-10 18:45:00.000,2022-07-11 05:00:00.000,11/07/2022,Heinous,Pending Trial,Written,DOWRY DEATHS,By Hanging,12.810464,74.846039,"IPC 1860 U/s: 304B,34,498A,306 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 ",BALAKRISHNA H N   (PI),1966682,,85800025,"Safa Nagara,Mukkachery, Safa Nagara,Mukkachery",2 KM South West,1,ULLAL,0,1,0,0,0,0,1,2,0,3,3,0,2022000203,1059,10980105920220108,-1
Bidar,Basava Kalyana Rural PS,0004/2019,1,2019,1,2019-01-11 10:00:00.000,2019-01-11 13:00:00.000,2019-01-11 17:00:00.000,11/01/2019,Heinous,Dis/Acq,Written,DOWRY DEATHS,By Hanging,17.96011,77.073918,"IPC 1860 U/s: 304B,323,498A,504,506,149 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 IPC 1860 U/s: 34 ",MAHESHWARAPPA S B   (Dy.SP),979943,,132200009,"In The House Of Deceased Kalavathi, In The House Of Deceased Kalavathi",P S To 15 KM North,Beat No 1,Gorta B,0,1,0,0,0,0,6,3,0,3,3,0,2019000007,403,10446040320190004,-1
Bengaluru City,Rajajinagar PS,0132/2018,1,2018,6,2012-07-05 15:26:00.000,2018-06-13 10:10:00.000,2018-06-13 13:00:00.000,13/06/2018,Heinous,Pending Trial,Written,DOWRY DEATHS,By Hanging,12.98498510177,77.55783344757809,"IPC 1860 U/s: 498A,304B,34 DOWRY PROHIBITION ACT, 1961 U/s: 3,4 ",ASHOK R P   (PI),1895573.0,,88300002,"NO.275/A, 2ND FLOOR, 5TH B CROSS, 2ND MAIN,, NO.275/A, 2ND FLOOR, 5TH B CROSS, 2ND MAIN,",0.5 KM FROM THE PS TOWARDS EAST,BEAT 6,PRAKASHNAGAR,0,1,0,0,0,0,3,1,0,1,1,0,2018000147,1360,10443136020180132,-1
Bengaluru City,Sanjay Nagar PS,0289/2016,1,2016,12,2016-12-27 12:30:00.000,2016-12-27 12:45:00.000,2016-12-27 21:30:00.000,27/12/2016,Non Heinous,False Case,Written,DOWRY DEATHS,By Hanging,13.03199288,77.58891363,"IPC 1860 U/s: 489A,34,304B ",MESTRINAIK K R   (PSI),623527.0,,1400059,"No-3,KPTCL QTR,UAS Campus Compound,, No-3,KPTCL QTR,UAS Campus Compound,",TOWERDS TO PS-2KM,2nd Beat,U.A.S LAYOUT,0,1,0,0,0,0,2,0,0,0,0,0,2016000324,1353,10443135320160289,-1
Kodagu,Bhagamandala PS,0027/2021,1,2021,10,2021-10-04 14:40:00.000,2021-10-04 15:00:00.000,2021-10-04 19:30:00.000,04/10/2021,Heinous,Pending Trial,Written,DOWRY DEATHS,By Hanging,12.354446,75.571632,"IPC 1860 U/s: 498A,304B DOWRY PROHIBITION ACT, 1961 U/s: 3,4 ",GAJENDRA PRASAD G S   (Dy.SP),1353596.0,,90400001,"Ayyangeri Village, Ayyangeri Village",7 K m to PS and South Direction,BEAT 2,AIYANGERI,0,1,0,0,0,0,1,2,1,3,3,0,2021000052,574,10451057420210027,-1
