District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Davanagere,Davanagere South Traffic PS,0115/2020,1,2020,11,2020-11-20 09:30:00.000,2020-11-20 09:31:00.000,2020-11-25 19:00:00.000,25/11/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.422187,75.964065,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338 ",SHESHA NAIK.Y   (HC),1949546,,11700026,"Near Anjaneya Mill Pamenahalli Cross  Road, Near Anjaneya Mill Pamenahalli Cross  Road",5 KM From,3 RD BEAT,VIDYA NAGARA PS LIMITS,1,0,0,0,0,0,1,1,0,1,1,1,2020000115,1521,10438152120200115,0
Davanagere,Channagiri PS,0393/2019,1,2019,12,2019-12-04 15:00:00.000,2019-12-04 15:05:00.000,2019-12-06 14:00:00.000,06/12/2019,Non Heinous,Convicted,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.016939,75.848337,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,196,180 ",Madhu P B   (PI),2153851,,120000034,"Infront Of Complainant House Mavinaktte Village, Infront Of Complainant House Mavinaktte Village",12 Km West to PS,nlr beat 3,MAVINAKATTE,0,1,0,1,0,0,2,1,0,1,2,1,2019000598,1522,10438152220190393,-1
Davanagere,Davanagere Rural PS,0021/2024,1,2024,1,2024-01-18 10:00:00.000,2024-01-18 10:05:00.000,2024-01-18 17:00:00.000,18/01/2024,Non Heinous,Under Investigation,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.429522,76.065939,"IPC 1860 U/s: 337,279 ",SANTHOSH KUMAR.K.M   (HC),1947561,,11000040,"NEAR KANDANAKOVI ROAD, POND, NEAR KANDANAKOVI ROAD, POND",TOWARDS EAST 25 KM TO PS,BEAT 11,KATEHALLI,2,0,0,0,0,0,1,0,0,0,0,0,2024000023,106,10438010620240021,-1
Davanagere,Bilichodu PS,0100/2021,1,2021,10,2021-10-03 18:20:00.000,2021-10-03 18:21:00.000,2021-10-05 17:30:00.000,05/10/2021,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.476223,76.162704,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338 ",K.Satyanarayanaswamy   (PI),1031883,,180901079,"Bilichodu Village, Near Pujar Ramanna Land, Bilichodu Village, Near Pujar Ramanna Land",02 KM Shouth,BEAT 1,MUCCHANURU VILLAGE,1,0,0,0,0,0,1,1,0,1,1,1,2021000126,120,10438012020210100,-1
Davanagere,Honnali PS,0193/2019,1,2019,8,2019-08-31 17:30:00.000,2019-08-31 17:35:00.000,2019-08-31 21:10:00.000,31/08/2019,Non Heinous,Convicted,,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.256539,75.716722,"IPC 1860 U/s: 279,338 ",MALATESHAPPA G N   (PSI),1308191,,152200037,"GHANTYAPURA-THARAGANAHALLI ROAD, GHANTYAPURA-THARAGANAHALLI ROAD",8 KM,VILLAGE BEAT 07,HALEDEVARAHONNALI,1,0,0,0,0,0,1,1,0,1,1,1,2019000389,1526,10438152620190193,-1
Davanagere,Nyamathi PS,0205/2023,1,2023,9,2023-09-25 20:05:00.000,2023-09-25 20:10:00.000,2023-09-26 13:00:00.000,26/09/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.111599,75.554036,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181 ",SHIVAPRASAD.H.R   (ASI),1411806,,9800041,"On Road Mussenal-Kunkuva, On Road Mussenal-Kunkuva",10 KM TOWORDS WEST,Beat 4,KANKANAHALLI,0,0,1,0,0,0,2,0,0,0,2,0,2023000266,1527,10438152720230205,-1
Davanagere,Davanagere South Traffic PS,0053/2021,1,2021,5,2021-04-27 17:05:00.000,2021-04-27 17:06:00.000,2021-05-02 11:30:00.000,02/05/2021,Non Heinous,Convicted,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.440468,75.899002,"IPC 1860 U/s: 279,338 ",Sreedhar K   (PI),2289410,,9400161,"Behand Anjnayya Temple, Behand Anjnayya Temple",Towards South KM,3 RD BEAT,VIDYA NAGARA PS LIMITS,1,0,0,0,0,0,1,1,0,1,1,1,2021000053,1521,10438152120210053,0
Davanagere,Davanagere Rural PS,0304/2019,1,2019,12,2019-12-30 14:30:00.000,2019-12-30 14:31:00.000,2019-12-31 16:00:00.000,31/12/2019,Non Heinous,Compounded,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.443472,76.099416,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196 IPC 1860 U/s: 338 ",SURESHA.M   (HC),1787072,,9700063,"HALLADA HATTIRA, GUDALU AND HULIKATTE ROAD, HALLADA HATTIRA, GUDALU AND HULIKATTE ROAD",TOWORDS EAST 25 KMS,BEAT 13,HULIKATTE,1,0,0,0,0,0,1,1,0,1,1,0,2019000421,106,10438010620190304,-1
Davanagere,Bilichodu PS,0064/2022,1,2022,5,2022-05-16 12:29:00.000,2022-05-16 12:30:00.000,2022-05-27 18:30:00.000,27/05/2022,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.44962,76.138077,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,146 ",MAHAMED ZABIULLA   (HC),1411802,,152300009,"Near High School Halekallu Village, Near High School Halekallu Village",06 Kms South,BEAT 2,CHADURAGOLLA,1,0,0,0,0,0,2,1,0,1,2,0,2022000079,120,10438012020220064,-1
Davanagere,Davanagere South Traffic PS,0004/2020,1,2020,1,2020-01-13 11:30:00.000,2020-01-13 11:31:00.000,2020-01-15 13:00:00.000,15/01/2020,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14.443575,75.913083,"IPC 1860 U/s: 279,338 ",BASAVARAJA.N.H   (ASI),1316431,,9700009,"Nuthan Collage Road, Nuthan Collage Road",Towards South 3 Km,3 RD BEAT,VIDYA NAGARA PS LIMITS,2,0,0,0,0,0,1,1,0,1,1,1,2020000004,1521,10438152120200004,0
