District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Davanagere,Basavapatna PS,0189/2023,1,2023,12,2023-12-06 12:00:00.000,2023-12-06 12:30:00.000,2023-12-09 14:00:00.000,09/12/2023,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.179896,75.770934,"IPC 1860 U/s: 337,279,338 ",VEENA H K   (WPSI),3015814,,11000068,"Near Govt Hospital Thyavanige Village, Near Govt Hospital Thyavanige Village",08 K M Towards East,06,THYAVANAGI,1,0,0,0,0,0,1,0,0,0,1,0,2023000254,1524,10438152420230189,-1
Davanagere,Nyamathi PS,0111/2021,1,2021,6,2021-06-17 13:00:00.000,2021-06-17 13:10:00.000,2021-06-17 15:30:00.000,17/06/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.105115,75.529365,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181,5,3(1) IPC 1860 U/s: 338 ",RAMESH PS   (PSI),2513667,,9400184,"Near Savalanga Nyamathi Savalanga Road, Near Savalanga Nyamathi Savalanga Road",5 km to South,Beat 8,SOGILU,2,0,1,0,0,0,2,1,0,1,2,2,2021000144,1527,10438152720210111,0
Davanagere,Davanagere Rural PS,0093/2019,1,2019,4,2019-04-06 14:15:00.000,2019-04-06 14:30:00.000,2019-04-13 19:15:00.000,13/04/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.485201,75.955564,"IPC 1860 U/s: 337,279 ",LINGANAGOWDA NEGALUR   (PI),1962649,,11200004,"NEAR ELEBETHURU VILLAGE INFRONT OF CHANAL, NEAR ELEBETHURU VILLAGE INFRONT OF CHANAL",07 KM TOWARDS EAST,BEAT 03,PUTAGANHAL,1,0,0,0,0,0,1,1,0,1,1,1,2019000155,106,10438010620190093,1
Davanagere,Channagiri PS,0031/2021,1,2021,2,2021-01-31 19:00:00.000,2021-01-31 19:20:00.000,2021-02-01 12:30:00.000,01/02/2021,Non Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13.986695,75.871373,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",RUPESH.B.J   (HC),1947614,,152400018,"Near Gopanall Village  By Bhadravathi Road, Near Gopanall Village  By Bhadravathi Road",06 K M Towards South,beat 9,HARONAHALLI,2,0,0,0,0,0,0,0,0,0,0,0,2021000038,1522,10438152220210031,-1
Davanagere,Malebennur PS,0106/2019,1,2019,7,2019-07-18 11:15:00.000,2019-07-18 11:20:00.000,2019-07-24 17:00:00.000,24/07/2019,Non Heinous,Convicted,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.342099,75.737728,"IPC 1860 U/s: 279,337,338 ",BASAVARAJAPPA.C.N   (PSI),1238648,,152400001,"Komaranahalli Village, Komaranahalli Village",towards south 2 km,02,Komaranahalli village,2,0,0,0,0,0,1,1,0,1,1,1,2019000184,112,10438011220190106,1
Davanagere,Jagalur PS,0232/2023,1,2023,9,2023-09-21 18:20:00.000,2023-09-21 18:30:00.000,2023-09-23 18:00:00.000,23/09/2023,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.613039,76.29403,"IPC 1860 U/s: 279,337 ",MANJUNATHASWAMY H.S.   (PSI),1239502,,9700031,"Hosakere village, Hosakere village",15 KM TO SOUTH,VILLAGE BEAT 30,LAKKAMPURA VILLAGE,0,0,0,0,2,0,1,0,0,0,0,0,2023000351,119,10438011920230232,-1
Davanagere,Honnali PS,0096/2019,1,2019,4,2019-04-23 16:30:00.000,2019-04-23 16:31:00.000,2019-04-25 16:00:00.000,25/04/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.234718,75.652495,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 156,146,196,196 IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 5,180 ",GURUBASAPPA.M.R   (HC),1787279,,11200003,"IN BETWEEN VADDINAKERE HALLA-T.B CIRCLE, IN BETWEEN VADDINAKERE HALLA-T.B CIRCLE",500 MEETERS,VILLAGE BEAT 01,HONNALI,1,0,0,0,0,0,1,1,0,1,1,1,2019000251,1526,10438152620190096,0
Davanagere,Bilichodu PS,0063/2019,1,2019,8,2019-07-15 17:30:00.000,2019-07-15 17:31:00.000,2019-08-10 16:30:00.000,10/08/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.495553,76.15984,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3,181,196,146 ",MUNAVAR SAB   (HC),1304826,,175400062,"Near Bekary Bilichodu bus stand, Near Bekary Bilichodu bus stand",Towords East 0.5 K M,BEAT 1,MUCCHANURU VILLAGE,1,0,0,0,0,0,1,1,0,1,1,1,2019000133,120,10438012020190063,-1
Davanagere,Honnali PS,0187/2019,1,2019,8,2019-08-20 16:45:00.000,2019-08-20 16:46:00.000,2019-08-21 19:15:00.000,21/08/2019,Non Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.301399,75.618768,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 156,196 ",MALATESHAPPA G N   (PSI),1308191,,152200037,"HONNALI-THUMMINAKATTE STATE HIGHWAY, HONNALI-THUMMINAKATTE STATE HIGHWAY",10 KM,VILLAGE BEAT  03,HOLEHARALAHALLI,2,1,0,0,0,0,2,0,0,0,2,0,2019000377,1526,10438152620190187,-1
Davanagere,Nyamathi PS,0020/2019,1,2019,2,2019-02-07 15:00:00.000,2019-02-07 15:05:00.000,2019-02-09 14:00:00.000,09/02/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.103743,75.522146,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,146,156 ",RAMESH PS   (PSI),2513667,,9400184,"Savalanga Circle, Shivamogga Svalanga Shikaripura, Savalanga Circle, Shivamogga Svalanga Shikaripura",08 kms towards to south,Beat 8,SOGILU,0,1,0,0,0,0,2,1,0,1,2,2,2019000053,1527,10438152720190020,0
Davanagere,Santhebennur PS,0086/2023,1,2023,5,2023-05-28 12:00:00.000,2023-05-28 12:05:00.000,2023-05-29 14:30:00.000,29/05/2023,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,14.155422,76.005273,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 337,338 ",Roopa Tembad   (WPSI),2481721,,142400119,"On Road, Infront of Degree Collage,, On Road, Infront of Degree Collage,",Towards North 02 Kms,1 st Village Beat,Santhebennur,0,0,1,0,0,0,1,1,0,1,1,1,2023000121,1523,10438152320230086,-1
