District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Dharwad,Garag PS,0144/2021,1,2021,9,2021-09-13 01:15:00.000,2021-09-13 01:16:00.000,2021-09-13 03:30:00.000,13/09/2021,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.571372,74.925661,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",TIMMAPUR S F   (HC),1207320,,60800027,"At: Garag Sangolli rayanna Nagar Near Dalawayi, At: Garag Sangolli rayanna Nagar Near Dalawayi",01 KM Towards South,NEW BEAT 16,GARAG,0,0,0,0,0,0,17,17,0,17,17,0,2021000256,609,10452060920210144,0
Dharwad,Hubli Rural PS,0277/2022,1,2022,11,2022-11-19 07:00:00.000,2022-11-19 07:01:00.000,2022-11-19 07:30:00.000,19/11/2022,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.444747,75.212964,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",JADHAV H J   (ASI),1202469,,154000006,"AT Byahatti Village, AT Byahatti Village",10 Km North Side From The PS,BYAHATTI,BYAHATTI,1,0,0,0,0,0,3,3,0,3,3,0,2022000401,1538,10452153820220277,-1
Dharwad,Annigeri PS,0113/2023,1,2023,9,2023-09-17 19:10:00.000,2023-09-17 19:11:00.000,2023-09-17 23:00:00.000,17/09/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.421608,75.432387,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",HOSAMANI S Y   (HC),2276841,,153500012,"At Annigeri Town Near Idga Maidan On Public Road, At Annigeri Town Near Idga Maidan On Public Road",2 Km Towards South To PS,TOWN BEAT,ANNIGERI,0,0,0,0,0,0,7,7,0,7,7,0,2023000200,613,10452061320230113,-1
Dharwad,Navalgund PS,0140/2021,1,2021,8,2021-08-25 16:00:00.000,2021-08-25 16:01:00.000,2021-08-26 08:15:00.000,26/08/2021,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.628974,75.213943,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",KESHAVA LAMANI   (HC),57000736,,154000023,"ON PUBLIC PLACE AT HANASI HANCHINAL ROAD, ON PUBLIC PLACE AT HANASI HANCHINAL ROAD",NORTH SIDE 23 KM AWAY FROM PS,NEW BEAT 36,HANASI VILLAGE,0,0,0,0,0,0,4,9,0,9,9,0,2021000243,612,10452061220210140,-1
Dharwad,Dharwad Rural PS,0146/2019,1,2019,8,2019-08-23 20:00:00.000,2019-08-23 20:01:00.000,2019-08-23 21:45:00.000,23/08/2019,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.481213,75.032764,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",MANTUR F M   (PSI),1210182,,60800003,"Dharwad to Kavalageri road on lake, Dharwad to Kavalageri road on lake",East 12 km from ps,NEW BEAT 39,KAVALAGERI,0,0,0,0,0,0,8,8,0,8,8,8,2019000266,608,10452060820190146,0
Dharwad,Hubli Rural PS,0062/2020,1,2020,3,2020-03-20 15:00:00.000,2020-03-20 15:01:00.000,2020-03-20 16:20:00.000,20/03/2020,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.274811,75.168909,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",JACHSON R DSOUZA   (PI),1898634,,13800008,"NOOLAVI VILLAGE LIMIT HALLYAL ROAD OPEN PLACE, NOOLAVI VILLAGE LIMIT HALLYAL ROAD OPEN PLACE",PS TO 12 K M SOUTH FROM PS,NOOLVI,NOOLVI,0,0,0,0,0,0,0,9,0,9,9,0,2020000079,1538,10452153820200062,1
Dharwad,Hubli Rural PS,0140/2021,1,2021,6,2021-06-14 17:45:00.000,2021-06-14 17:46:00.000,2021-06-14 21:05:00.000,14/06/2021,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.291607,75.122965,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",MADURKAR B F   (HC),1204132,,60800022,"Mavanur Village Limits Open Space, Mavanur Village Limits Open Space",10 KM Towards South Side from PS,MAVANUR,MAVANUR,0,0,0,0,0,0,12,12,0,12,12,0,2021000196,1538,10452153820210140,1
Dharwad,Hubli Rural PS,0304/2023,1,2023,11,2023-11-26 12:30:00.000,2023-11-26 12:31:00.000,2023-11-26 13:00:00.000,26/11/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.404712,75.245593,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",V.S.BELAGONVAKAR   (PSI),699211,,153800064,"Near Railway Station Road  public Place in kusugal, Near Railway Station Road  public Place in kusugal",North Side 10km  from  Ps,KUSUGAL,KUSUGAL,0,0,0,0,0,0,0,8,0,8,8,0,2023000471,1538,10452153820230304,-1
Dharwad,Dharwad Rural PS,0190/2023,1,2023,7,2023-07-24 19:45:00.000,2023-07-24 19:46:00.000,2023-07-24 23:00:00.000,24/07/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.535105,75.04874,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",K H KAMBLE   (HC),000765,,61000074,"Marewad Village Near Appu Daba In Public Place, Marewad Village Near Appu Daba In Public Place",Narth Side 10 KM From PS,NEW BEAT 26,AMMINABHAVI,1,0,0,0,0,0,14,15,0,15,15,0,2023000286,608,10452060820230190,0
Dharwad,Garag PS,0142/2022,1,2022,9,2022-09-14 20:20:00.000,2022-09-14 20:21:00.000,2022-09-14 22:10:00.000,14/09/2022,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.558607,74.948525,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",MANTUR F M   (PSI),1210182,,60800003,"Garag village Mangalagatti Road public Place Near, Garag village Mangalagatti Road public Place Near",East 04 Km from ps,NEW BEAT 16,GARAG,0,0,0,0,0,0,11,11,0,11,11,0,2022000244,609,10452060920220142,0
