District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Dharwad,Navalgund PS,0128/2021,1,2021,8,2021-08-02 06:45:00.000,2021-08-02 06:46:00.000,2021-08-10 10:30:00.000,10/08/2021,Non Heinous,Un Traced,Written,MISSING PERSON,Man,15.556681,75.352215,IPC 1860 U/s: 00MP ,D.B.PATIL   (PI),1023379,,123800012,"At:Navalagund Town In Complenent House, At:Navalagund Town In Complenent House",1 KM West Said,NEW BEAT 1  NVL TOWN,NAVALAGUND TOWN,1,0,0,0,0,0,0,0,0,0,0,0,2021000209,612,10452061220210128,-1
Dharwad,Navalgund PS,0117/2021,1,2021,7,2021-07-07 12:30:00.000,2021-07-07 12:31:00.000,2021-07-14 17:00:00.000,14/07/2021,Non Heinous,Traced,Written,MISSING PERSON,Man,15.517806,75.313468,IPC 1860 U/s: 00MP ,KALMESH M BANNUR   (PSI),2841772,,135600014,"At:Arekurahatti Village In Complenent House, At:Arekurahatti Village In Complenent House",10 KM West Said,NEW BEAT 4,AREKURAHATTI VILLAGE,1,0,0,0,0,0,0,0,0,0,0,0,2021000180,612,10452061220210117,-1
Dharwad,Garag PS,0211/2023,1,2023,11,2006-06-15 20:00:00.000,2006-06-15 20:01:00.000,2023-11-10 20:40:00.000,10/11/2023,Non Heinous,Under Investigation,Written,MISSING PERSON,Man,15.609791,74.954431,IPC 1860 U/s: 00MP ,BASANAGOUD B M   (PSI),2977410,,61300037,"AT KOTABAGI VILLAGE FROM COMPLAINT HOUSE, AT KOTABAGI VILLAGE FROM COMPLAINT HOUSE",15 KM NORTH FROM PS,NEW BEAT 25,KOTABAGI VILLAGE,1,0,0,0,0,0,0,0,0,0,0,0,2023000343,609,10452060920230211,-1
Dharwad,Kalaghatagi PS,0248/2022,1,2022,12,2016-09-25 11:00:00.000,2016-09-25 11:01:00.000,2022-12-12 19:00:00.000,12/12/2022,Non Heinous,Un Traced,Written,MISSING PERSON,Man,15.198838,74.986645,IPC 1860 U/s: 00MP ,CHOUDANNAVAR M F   (ASI),1500409,,60900002,"Infront of Complainant house, Infront of Complainant house",04 KM towrds North from PS,Beat 1,GALAGI HULAKOPPA,1,0,0,0,0,0,0,0,0,0,0,0,2022000398,1535,10452153520220248,-1
Dharwad,Kalaghatagi PS,0265/2023,1,2023,9,2000-05-20 09:00:00.000,2000-05-20 09:01:00.000,2023-09-22 10:30:00.000,22/09/2023,Non Heinous,Under Investigation,Written,MISSING PERSON,Man,15.237669,75.00518,IPC 1860 U/s: 00MP ,DHARWAD S S   (ASI),1203031,,153500001,"At hirehonnalli Village from complainant house, At hirehonnalli Village from complainant house",north side 10 km from ps,Beat 7,CHALAMATTI,1,0,0,0,0,0,0,0,0,0,0,0,2023000404,1535,10452153520230265,-1
Dharwad,Kalaghatagi PS,0094/2019,1,2019,7,2019-07-15 10:30:00.000,2019-07-15 10:32:00.000,2019-07-18 18:00:00.000,18/07/2019,Non Heinous,Traced,Written,MISSING PERSON,Man,15.185208,74.990494,IPC 1860 U/s: 00MP ,P Y KALI   (PSI),697086,,153500013,"In Complainant Haouse, In Complainant Haouse",3KM Towards North From PS,NEW BEAT NO 18,MADAKIHONNALLI,1,0,0,0,0,0,0,0,0,0,0,0,2019000203,1535,10452153520190094,-1
Dharwad,Garag PS,0148/2023,1,2023,8,2023-08-01 11:00:00.000,2023-08-01 11:01:00.000,2023-08-12 15:30:00.000,12/08/2023,Non Heinous,Traced,,MISSING PERSON,Man,15.570143,74.9293,IPC 1860 U/s: 00MP ,Prakash D PSI   (PSI),1906133,,35700013,"AT:  Complaint Hotel at Garag, AT:  Complaint Hotel at Garag",North 00 Km From Ps,NEW BEAT 16,GARAG,1,0,0,0,0,0,0,0,0,0,0,0,2023000249,609,10452060920230148,-1
Dharwad,Hubli Rural PS,0107/2022,1,2022,5,2022-02-16 10:00:00.000,2022-02-16 10:01:00.000,2022-05-16 19:40:00.000,16/05/2022,Non Heinous,Traced,Written,MISSING PERSON,Man,15.449065,75.210146,IPC 1860 U/s: 00MP ,PARWATI S   (WASI),1203313,,60800025,"From Complainants House Byahatti Village, From Complainants House Byahatti Village",18 KM Towards North SIde from PS,BYAHATTI,BYAHATTI,1,0,0,0,0,0,0,0,0,0,0,0,2022000160,1538,10452153820220107,-1
Dharwad,Kalaghatagi PS,0159/2022,1,2022,7,2022-07-23 15:30:00.000,2022-07-23 15:31:00.000,2022-07-27 11:00:00.000,27/07/2022,Non Heinous,Traced,Written,MISSING PERSON,Man,15.184693,74.969477,IPC 1860 U/s: 00MP ,SIDDAPPA RAMAPPA HOSALLI (HC),763,,192900005,"At: Complaint House Desai Oni Kalaghatagi Town, At: Complaint House Desai Oni Kalaghatagi Town",Towards 01 KM Norh side from PS,Beat 8,KALAGHATGI,1,0,0,0,0,0,0,0,0,0,0,0,2022000256,1535,10452153520220159,-1
Dharwad,Kundagol PS,0100/2022,1,2022,9,2022-09-04 20:30:00.000,2022-09-04 20:31:00.000,2022-09-13 20:15:00.000,13/09/2022,Non Heinous,Under Investigation,Others,MISSING PERSON,Man,15.225997,75.191818,IPC 1860 U/s: 00MP ,S N AMBIGER   (PI),1378859,,17200113,"Betadur village Yallappa Koppad's house, Betadur village Yallappa Koppad's house",West side 12 km from ps,Beat No 5,Kamadolli Village,1,0,0,0,0,0,0,0,0,0,0,0,2022000180,1540,10452154020220100,-1
