District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Dharwad,Annigeri PS,0014/2024,1,2024,1,2024-01-24 12:30:00.000,2024-01-24 12:31:00.000,2024-01-24 15:40:00.000,24/01/2024,Non Heinous,Under Investigation,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.583968,75.482171,"IPC 1860 U/s: 338,279 ",HOSAMANI S Y   (HC),2276841,,153500012,"Annigeri Navalagund Road Near Malaprabha Kaluve, Annigeri Navalagund Road Near Malaprabha Kaluve",West 14 Km From Ps,BEAT NO 3,BASAPUR,1,0,0,0,0,0,1,0,0,0,0,0,2024000019,613,10452061320240014,-1
Dharwad,Dharwad Rural PS,0196/2023,1,2023,8,2023-07-18 16:00:00.000,2023-07-18 16:01:00.000,2023-08-01 17:30:00.000,01/08/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.41119,75.000429,"IPC 1860 U/s: 338,279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,134 ",SHINTRI S B   (WHC),2314060,,153800016,"On Dharwad Kalaghatagi road near Hanchinamani, On Dharwad Kalaghatagi road near Hanchinamani",09 KM South side from PS,NEW BEAT 1,NUGGIKERI,1,0,0,0,0,0,1,0,0,0,1,0,2023000293,608,10452060820230196,-1
Dharwad,Dharwad Rural PS,0007/2021,1,2021,1,2021-01-15 14:00:00.000,2021-01-15 14:01:00.000,2021-01-15 22:30:00.000,15/01/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.34895,74.88463,"IPC 1860 U/s: 338,337,279 ",BORAMMA  MAGADUM (WPSI),2964140,,155900069,"On Dharwad Haliyal Road, On Dharwad Haliyal Road",West 25 km from ps,NEW BEAT 10,BAAD,3,0,0,0,0,0,1,0,0,0,1,1,2021000015,608,10452060820210007,-1
Dharwad,Kalaghatagi PS,0068/2022,1,2022,4,2022-04-01 19:30:00.000,2022-04-01 19:31:00.000,2022-04-03 11:30:00.000,03/04/2022,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.191583,75.067661,IPC 1860 U/s: 279 ,Halappa S Gener   (ASI),1496410,,153800044,"Beside Kalaghatagi Mundagod Road Near Sent Merry, Beside Kalaghatagi Mundagod Road Near Sent Merry",East Side 6 km from ps,Beat 3,MACHAPUR,0,0,0,0,0,0,1,1,0,1,1,0,2022000094,1535,10452153520220068,-1
Dharwad,Kundagol PS,0110/2023,1,2023,8,2023-08-25 18:35:00.000,2023-08-25 18:40:00.000,2023-08-25 21:30:00.000,25/08/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.259423,75.150668,"IPC 1860 U/s: 338,337,279 ",SHIVAYOGI HALLAD   (HC),2269838,,153500056,"TADAS CROSS NEAR YATRI NIVAS HOTEL, TADAS CROSS NEAR YATRI NIVAS HOTEL",20 KM FROM PS,BEAT 4,hirebudihal,1,2,0,0,0,0,1,1,0,1,1,0,2023000176,1540,10452154020230110,-1
Dharwad,Dharwad Rural PS,0010/2020,1,2020,1,2020-01-13 11:00:00.000,2020-01-13 11:01:00.000,2020-01-16 11:00:00.000,16/01/2020,Non Heinous,Pending Trial,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.506485,74.833994,"IPC 1860 U/s: 279,337,338 ",Mahendra Kumar Naik   (PSI),2481422,,150900040,"Dharwad Kalaghatagi road, Dharwad Kalaghatagi road",South 18 km from ps,NEW BEAT 6,KANAVIHONNAPUR,1,2,0,0,0,0,1,0,0,0,1,0,2020000017,608,10452060820200010,-1
Dharwad,Hubli Rural PS,0154/2021,1,2021,7,2021-07-03 12:30:00.000,2021-07-03 12:31:00.000,2021-07-04 12:00:00.000,04/07/2021,Non Heinous,Convicted,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.266968,75.145532,IPC 1860 U/s: 279 ,MADURKAR B F   (HC),1204132,,60800022,"ON PB ROAD NEAR NOOLAVI CROSS, ON PB ROAD NEAR NOOLAVI CROSS",13 K M SOUTH FROM PS,NOOLVI,NOOLVI,0,0,0,0,0,0,1,1,0,1,1,1,2021000213,1538,10452153820210154,-1
Dharwad,Dharwad Rural PS,0031/2022,1,2022,2,2022-02-12 10:00:00.000,2022-02-12 10:01:00.000,2022-02-23 18:30:00.000,23/02/2022,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.402719,75.010955,"IPC 1860 U/s: 338,279 ",TADAHAL M N   (HC),1498755,,60900027,"DHARWAD HALIYAL ROAD, NEAR NIGADI VILLAGE,, DHARWAD HALIYAL ROAD, NEAR NIGADI VILLAGE,",WEST 12 KM FROM PS,NEW BEAT 10,BAAD,1,0,0,0,0,0,1,0,0,0,1,0,2022000044,608,10452060820220031,-1
Dharwad,Alnavar PS,0031/2019,1,2019,4,2019-04-11 14:40:00.000,2019-04-11 14:41:00.000,2019-04-11 20:10:00.000,11/04/2019,Non Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.44877,74.749139,"IPC 1860 U/s: 338,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,146 ",ANIL KUMAR H D   (PI),2153222,,29200006,"ALNAVAR DHARWAD ON ROAD NEAR KADABAGATTI BUSSTAND, ALNAVAR DHARWAD ON ROAD NEAR KADABAGATTI BUSSTAND",NORTH SAID 3 KM S FROM PS,BEAT NO 1,Kumbarkoppa,0,0,1,0,0,0,0,0,0,0,2,0,2019000065,610,10452061020190031,-1
Dharwad,Kalaghatagi PS,0138/2020,1,2020,10,2020-10-06 16:00:00.000,2020-10-06 16:01:00.000,2020-10-10 17:00:00.000,10/10/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.174283,75.030809,"IPC 1860 U/s: 337,279,338 ",GADAG S I   (ASI),1202521,,153500002,"Tadasa Kalaghatagi On Road Near Ganjigatti Cross, Tadasa Kalaghatagi On Road Near Ganjigatti Cross",10Km Towards East From PS,NEW BEAT NO 18,MADAKIHONNALLI,2,0,0,0,0,0,1,1,0,1,1,1,2020000265,1535,10452153520200138,-1
Dharwad,Kalaghatagi PS,0010/2020,1,2020,1,2020-01-18 02:00:00.000,2020-01-18 02:01:00.000,2020-01-28 10:00:00.000,28/01/2020,Non Heinous,Convicted,Others,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.132256,74.927624,IPC 1860 U/s: 279 ,Shankar Lamani   (ASI),1499730,,60800002,"Kalaghatagi  Tadas Road near Hindasageri bridge, Kalaghatagi  Tadas Road near Hindasageri bridge",05 KM east side from PS,NEW BEAT NO 18,MADAKIHONNALLI,0,0,0,0,0,0,1,1,0,1,1,1,2020000021,1535,10452153520200010,-1
Dharwad,Dharwad Rural PS,0059/2024,1,2024,2,2024-02-25 15:00:00.000,2024-02-25 15:01:00.000,2024-02-26 13:15:00.000,26/02/2024,Non Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15.352907,74.875223,"IPC 1860 U/s: 337,279 ",JADHAV H R   (HC),2314171,,61200022,"Dharwad Haliyal Road Near Basavanna Templ On Road, Dharwad Haliyal Road Near Basavanna Templ On Road",West Side 21 KM From PS,NEW BEAT 10,BAAD,1,0,0,0,0,0,1,0,0,0,0,0,2024000091,608,10452060820240059,-1
