District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Vijayapur,Golgumbaz PS,0036/2020,1,2020,4,2020-04-20 19:10:00.000,2020-04-20 19:15:00.000,2020-04-21 09:15:00.000,21/04/2020,Non Heinous,Convicted,Others,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,16.826737,75.735513,"IPC 1860 U/s: 188,269 ",B.M.SINDGIKAR   (WHC),1809470,,41100055,"GOLAGUMBAZ CHOWKI, GOLAGUMBAZ CHOWKI",TOWARDS WEST 0.5 KM FROM PS,BEAT 2,VIDYA NAGAR,0,0,0,0,0,0,1,0,0,0,1,1,2020000057,1495,10447149520200036,-1
Vijayapur,Basavan Bagewadi PS,0091/2021,1,2021,6,2021-06-02 10:30:00.000,2021-06-02 10:31:00.000,2021-06-02 11:30:00.000,02/06/2021,Non Heinous,Convicted,Others,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,16.571923,75.97717,"IPC 1860 U/s: 188,269,271 ",BASAVARAJ M PATIL   (PI),2282151,,135400068,"Nera Bus Stand In Sai Complex Accused Stationarry, Nera Bus Stand In Sai Complex Accused Stationarry",Towords East 02 KM,1,SAVAL HALL LT,0,0,0,0,0,0,1,0,0,0,1,1,2021000113,429,10447042920210091,-1
Vijayapur,Chadachan PS,0017/2020,1,2020,4,2020-04-24 11:00:00.000,2020-04-24 11:05:00.000,2020-04-24 11:30:00.000,24/04/2020,Non Heinous,Convicted,Written,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,17.313792,75.658788,"IPC 1860 U/s: 269,188 ",B Y INGALE   (ASI),1023377,,41100042,"Near Katageri Hospetal Accused Panshop Chadachan, Near Katageri Hospetal Accused Panshop Chadachan",Towards West 0.5Km From PS,Beat 06,DEVAR NIMBARAGI,0,0,0,0,0,0,1,1,0,1,1,1,2020000067,424,10447042420200017,-1
Bengaluru City,Ashoknagar PS,0178/2020,1,2020,7,2020-07-30 17:30:00.000,2020-07-30 17:50:00.000,2020-07-30 18:00:00.000,30/07/2020,Non Heinous,Pending Trial,Written,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,12.970842,77.608828,"THE DISASTER MANAGEMENT ACT, 2005 U/s: 51(b) IPC 1860 U/s: 188,269,270 ",RAMESH M S   (PSI),2212957.0,,138900102,"Bhavani Marketing Store,3rd Cross,Markam Road, Bhavani Marketing Store,3rd Cross,Markam Road",0.4kms,1st Beat,Ashoknagar,0,0,0,0,0,0,1,0,0,0,1,0,2020000222,1389,10443138920200178,-1
Belagavi Dist,Kudachi PS,0058/2020,1,2020,5,2020-05-05 11:10:00.000,2020-05-05 11:11:00.000,2020-05-05 12:15:00.000,05/05/2020,Non Heinous,Convicted,Written,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,16.627499,74.858492,"IPC 1860 U/s: 188 THE DISASTER MANAGEMENT ACT, 2005 U/s: 51 ",S D METRI   (WHC),2279387,,220400009,"Kudachi Town Near Railway Bridge, Kudachi Town Near Railway Bridge",East 1 KM,KUDACHI 2,KUDACHI,0,0,0,0,0,0,1,1,0,1,1,1,2020000072,1484,10444148420200058,-1
Kalaburagi City,Sub Urban PS,0091/2020,1,2020,7,2020-06-28 00:05:00.000,2020-06-28 23:55:00.000,2020-07-04 20:30:00.000,04/07/2020,Non Heinous,Pending Trial,Written,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,17.365832,76.844839,"IPC 1860 U/s: 188,269,270 ",MOIZUDDIN   (HC),1397378,,70800033,"SGS convent Shcool, SGS convent Shcool",2 KM towords North,BEAT NO 2,SHRI. REVANASIDDESHWAER COLONY,0,0,0,0,0,0,1,0,0,0,1,0,2020000124,708,10985070820200091,-1
Hubballi Dharwad City,Gokul Road PS,0036/2023,1,2023,4,2023-04-23 20:25:00.000,2023-04-23 20:30:00.000,2023-04-23 21:45:00.000,23/04/2023,Non Heinous,Convicted,Others,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,15.36019,75.108891,"IPC 1860 U/s: 188,341,34 ",S.T.GODACHAPPANAVAR   (HC),1356780,,7800144,"Gokul road tendersur road opp anupama avenue, Gokul road tendersur road opp anupama avenue",500 meter north towards from ps,Beat2,Maniyarachal,0,0,0,0,0,0,1,4,0,4,4,4,2023000139,71,10971007120230036,-1
Hubballi Dharwad City,Vidyanagar PS,0038/2020,1,2020,4,2020-04-17 15:00:00.000,2020-04-17 15:01:00.000,2020-04-17 17:00:00.000,17/04/2020,Non Heinous,Convicted,Sue-moto by Police,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,15.354819,75.130217,"IPC 1860 U/s: 188 THE DISASTER MANAGEMENT ACT, 2005 U/s: 51(b) IPC 1860 U/s: 269 ",R S PATIL   (ASI),1157983,,8100043,"Hosur Cross, Hosur Cross","South 1,1/2 km from PS",Beat1,Lokappan Hakkal,1,0,0,0,0,0,7,0,0,0,7,1,2020000055,74,10971007420200038,-1
Bengaluru Dist,Doddaballapura Town PS,0094/2021,1,2021,5,2021-05-26 14:00:00.000,2021-05-26 14:10:00.000,2021-05-26 16:30:00.000,26/05/2021,Non Heinous,Convicted,Written,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,13.294143,77.540337,"IPC 1860 U/s: 188 THE DISASTER MANAGEMENT ACT, 2005 U/s: 51(b) ",GOVINDA B.M.   (PI),2196365,,91900282,"P Bhavarilal Bhandari Polyster Yarn,, P Bhavarilal Bhandari Polyster Yarn,",3 Km Towards South,BEAT NO 3,KUCHAPPANAPETE,0,0,0,0,0,0,1,0,0,0,1,1,2021000119,262,10442026220210094,-1
Shivamogga,Kote PS,0047/2023,1,2023,5,2023-05-10 17:20:00.000,2023-05-10 17:30:00.000,2023-05-11 00:30:00.000,11/05/2023,Non Heinous,Pending Trial,Written,Disobedience to Order Promulgated by PublicServan,By Govt. Institution,13.926648,75.581416,IPC 1860 U/s: 188 ,KOPPAD C R   (PSI),01038825,,188600059,"S.P.M Road Near Bopalam Gov. School, S.P.M Road Near Bopalam Gov. School",1km Towards West,3RD BEAT,GANDHI BAZAAR,0,0,0,0,0,0,15,0,0,0,15,0,2023000073,1005,10462100520230047,-1
