District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Haveri,Haveri CEN Crime PS,0004/2024,1,2024,1,2023-12-13 14:49:00.000,2024-01-09 17:00:00.000,2024-01-18 13:30:00.000,18/01/2024,Non Heinous,Under Investigation,Written, CYBER CRIME,"Information Technology Act 2000, 2009",14.795903,75.397125,"IPC 1860 U/s: 420 INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) ",Malleshappa Nagappa Kuriyavar (HC),1207313,,180900192,", ",East Side 2 KM,HAVERI,BASAVESHWARANAGAR,0,0,0,0,1,0,0,0,0,0,0,0,2024000004,2230,10439223020240004,-1
Haveri,Haveri CEN Crime PS,0050/2022,1,2022,6,2022-04-28 15:45:00.000,2022-06-01 13:45:00.000,2022-06-02 18:45:00.000,02/06/2022,Non Heinous,Undetected,Others, CYBER CRIME,"Information Technology Act 2000, 2009",14.421039,75.509931,"INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) IPC 1860 U/s: 420 ",RAMAKANTH Y HULLAR   (PI),1352849,,148900001,"In Complainant's & Accused mobile phones at Compla, In Complainant's & Accused mobile phones at Compla",59 km from PS towards south side.,Rattihalli,Hallur,1,0,0,0,0,0,0,0,0,0,0,0,2022000050,2230,10439223020220050,-1
Haveri,Haveri CEN Crime PS,0096/2023,1,2023,12,2023-12-01 13:30:00.000,2023-12-01 16:00:00.000,2023-12-03 18:30:00.000,03/12/2023,Non Heinous,Under Investigation,Written, CYBER CRIME,"Information Technology Act 2000, 2009",14.792011,75.392439,"IPC 1860 U/s: 420 INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) ",Nithyanand Malagavi   (HC),1796252,,13300236,"AT-SHIVAJINAGAR 3RD CROSS, AT-SHIVAJINAGAR 3RD CROSS",NORTH SIDE 2KM FROM PS,HAVERI,BASAVESHWARANAGAR,1,0,0,0,0,0,1,0,0,0,0,0,2023000096,2230,10439223020230096,-1
Haveri,Haveri CEN Crime PS,0081/2022,1,2022,9,2022-09-04 14:41:00.000,2022-09-04 15:05:00.000,2022-09-04 19:15:00.000,04/09/2022,Non Heinous,Undetected,Others, CYBER CRIME,"Information Technology Act 2000, 2009",14.812767,75.385861,"INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) IPC 1860 U/s: 420 ",RAMAKANTH Y HULLAR   (PI),1352849,,148900001,"In Complainant's & Accused Mobile Phones At Saint, In Complainant's & Accused Mobile Phones At Saint",2 km from PS towards west side.,HAVERI,BASAVESHWARANAGAR,1,0,0,0,0,0,0,0,0,0,0,0,2022000081,2230,10439223020220081,-1
Haveri,Haveri CEN Crime PS,0012/2021,1,2021,2,2021-01-26 10:00:00.000,2021-01-29 16:30:00.000,2021-02-01 19:30:00.000,01/02/2021,Non Heinous,Undetected,Written, CYBER CRIME,"Information Technology Act 2000, 2009",14.777305,75.136738,"INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) IPC 1860 U/s: 419,420 ",SANTOSH KRISHNA PAWAR (PI),1962850,,17900041,"At in Complainant mobile in Hanagal, At in Complainant mobile in Hanagal",42 KM towards PS West Side,HANGAL,Nellikoppa,1,0,0,0,0,0,0,0,0,0,0,0,2021000012,2230,10439223020210012,-1
Haveri,Haveri CEN Crime PS,0049/2021,1,2021,7,2020-04-10 10:00:00.000,2021-07-09 10:30:00.000,2021-07-09 15:00:00.000,09/07/2021,Non Heinous,False Case,Written, CYBER CRIME,"Information Technology Act 2000, 2009",14.772026,75.125685,"IPC 1860 U/s: 420 INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) ",SANTOSH KRISHNA PAWAR (PI),1962850,,17900041,"Complainant and Accused mobile phone., Complainant and Accused mobile phone.",West side 30 KM.,HANGAL,Nellikoppa,1,0,0,0,0,0,0,0,0,0,0,0,2021000049,2230,10439223020210049,-1
Haveri,Rattihalli PS,0143/2023,1,2023,11,2023-10-04 16:30:00.000,2023-10-04 16:32:00.000,2023-11-03 16:45:00.000,03/11/2023,Non Heinous,Transfered :UI( Hirekerur Circle),Written, CYBER CRIME,"Information Technology Act 2000, 2009",14.426991,75.50781,"IPC 1860 U/s: 420 INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) ",BASAVARAJ P.S.   (PI),1966760,,81500046,"Kadur Village Complaintat House, Kadur Village Complaintat House",South Sade 5 K M Fram P S,Beat 5,Kadur,1,0,0,0,0,0,0,0,0,0,0,0,2023000207,154,10439015420230143,-1
Haveri,Haveri CEN Crime PS,0010/2022,1,2022,1,2021-09-25 10:00:00.000,2022-01-19 19:30:00.000,2022-01-28 18:45:00.000,28/01/2022,Non Heinous,Undetected,Others, CYBER CRIME,"Information Technology Act 2000, 2009",14.630953,75.62006,"INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) IPC 1860 U/s: 420 ",SANTOSH MALAGOUDA PATIL (PI),2481435,,14900053,"In Complainant's & Accused mobile phones at Compla, In Complainant's & Accused mobile phones at Compla",35 km from PS towards east side.,RANEBENNUR,HALAGERI,1,0,0,0,0,0,0,0,0,0,0,0,2022000010,2230,10439223020220010,-1
Haveri,Haveri CEN Crime PS,0045/2022,1,2022,5,2022-05-16 18:00:00.000,2022-05-16 18:01:00.000,2022-05-17 20:00:00.000,17/05/2022,Non Heinous,Undetected,Others, CYBER CRIME,"Information Technology Act 2000, 2009",14.784685,75.56746,"INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D),67 ",RAMAKANTH Y HULLAR   (PI),1352849,,148900001,"In Accused Mobile Phones through whatsapp, In Accused Mobile Phones through whatsapp",21 km  from PS towards east side.,HAVERI,BASAVESHWARANAGAR,1,0,0,0,0,0,0,0,0,0,0,0,2022000045,2230,10439223020220045,-1
Haveri,Haveri CEN Crime PS,0079/2022,1,2022,8,2022-08-28 20:30:00.000,2022-08-29 21:15:00.000,2022-08-30 16:00:00.000,30/08/2022,Non Heinous,Undetected,Others, CYBER CRIME,"Information Technology Act 2000, 2009",14.521299,75.792489,"INFORMATION TECHNOLOGY ACT 2008 U/s: 66(C),66(D) IPC 1860 U/s: 420 ",RAMAKANTH Y HULLAR   (PI),1352849,,148900001,"In Complainant's & accused mobile Phones, In Complainant's & accused mobile Phones",50 km from PS towards south side.,RANEBENNUR,HALAGERI,1,0,0,0,0,0,0,0,0,0,0,0,2022000079,2230,10439223020220079,-1
