District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Haveri,Hansabhavi PS,0057/2019,1,2019,4,2019-04-02 16:35:00.000,2019-04-02 16:36:00.000,2019-04-02 18:00:00.000,02/04/2019,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.565171,75.355646,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",B I GOJANUR   (ASI),01204482,,15100054,"Haunsabhavi village Near Bus stand on public, Haunsabhavi village Near Bus stand on public",West 1 km,Beat 1,Haunsabhavi,0,0,0,0,0,0,1,0,0,0,2,1,2019000108,151,10439015120190057,-1
Haveri,Savanoor PS,0157/2021,1,2021,8,2021-08-03 10:00:00.000,2021-08-03 10:01:00.000,2021-08-03 13:30:00.000,03/08/2021,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),15.017014,75.331531,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",K G RUGI   (ASI),1204524,,15600003,"At- Chillur Village, At- Chillur Village",North Side 05 KM From PS,Beat 07,K.B.Timmapur villge,0,0,0,0,0,0,1,1,0,1,1,0,2021000185,158,10439015820210157,0
Haveri,Savanoor PS,0004/2022,1,2022,1,2022-01-14 10:30:00.000,2022-01-14 10:31:00.000,2022-01-14 11:00:00.000,14/01/2022,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.96033,75.381697,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",Basavaraj Sannahanamanthappa Pujar (ASI),1204114,,15000032,"At- Shukrawar Pet Savanur, At- Shukrawar Pet Savanur",South Side 01 KM from PS,Beat 01,Savanur Town,0,0,0,0,0,0,1,1,0,1,1,1,2022000005,158,10439015820220004,0
Haveri,Hansabhavi PS,0058/2019,1,2019,4,2019-04-02 19:30:00.000,2019-04-02 19:31:00.000,2019-04-02 21:00:00.000,02/04/2019,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.571582,75.371043,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",SHIVAPPA DURGAPPA SAGAR (ASI),01202810,,15100052,"Haunsabhavi village Near Bangalore crass, Haunsabhavi village Near Bangalore crass",East 1 km,Beat 1,Haunsabhavi,0,0,0,0,0,0,2,0,0,0,2,2,2019000109,151,10439015120190058,-1
Haveri,Hanagal PS,0108/2020,1,2020,6,2020-06-16 16:30:00.000,2020-06-16 17:00:00.000,2020-06-16 18:00:00.000,16/06/2020,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.861665,75.102466,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",IMAMSHAEB MAHMADALI BUDANKHAN (HC),1204129,,14700004,"AT:HULLATTI VILLAGE NEAR GRAM PANCHAYANTH, AT:HULLATTI VILLAGE NEAR GRAM PANCHAYANTH",NORTH SIDE 10 KM FROM PS,Beat 5,Hasanabadi,0,0,0,0,0,0,1,3,0,3,3,3,2020000141,159,10439015920200108,-1
Haveri,Ranebennur Rural PS,0115/2019,1,2019,6,2019-06-03 19:14:00.000,2019-06-03 19:15:00.000,2019-06-03 21:15:00.000,03/06/2019,Non Heinous,Convicted,Oral,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.719313,75.755593,"IPC 1860 U/s: 420 KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",MEGHARAJ M.V   (PSI),2481446,,103100064,"Belur village infront of Kariyamma Devi Tempale, Belur village infront of Kariyamma Devi Tempale",East side 15 K M,OP Beat 2,Udagatti,0,0,0,0,0,0,1,1,0,1,1,1,2019000178,146,10439014620190115,-1
Haveri,Haveri Rural PS,0035/2024,1,2024,2,2024-02-26 11:00:00.000,2024-02-26 11:01:00.000,2024-02-26 13:00:00.000,26/02/2024,Non Heinous,Under Investigation,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.783994,75.388103,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",Shivappa Lamani   (HC),1793311,,13300235,"Near Bus stop on public road, Near Bus stop on public road",East side 10 km from PS,Beat 2,Agadi village,0,0,0,0,0,0,1,0,0,0,1,0,2024000052,137,10439013720240035,1
Haveri,Haveri CEN Crime PS,0007/2019,1,2019,3,2019-03-19 17:24:00.000,2019-03-19 17:25:00.000,2019-03-19 19:15:00.000,19/03/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.864119,75.511568,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",A C Shivayyanavar   (HC),2256894,,14100058,"On Public road, opposit Buastand Yalagachh, On Public road, opposit Buastand Yalagachh",20 KM Towards PS East side,HAVERI,BASAVESHWARANAGAR,0,0,0,0,0,0,2,1,0,1,2,1,2019000007,2230,10439223020190007,1
Haveri,Hirekerur  PS,0099/2019,1,2019,6,2019-06-25 15:00:00.000,2019-06-25 15:01:00.000,2019-06-25 16:15:00.000,25/06/2019,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.413685,75.439677,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",Devaraja Sannamariyappa Saler (PSI),1202746,,15000043,"At:Gundagatti Village in Basavaeshvara Nagara Road, At:Gundagatti Village in Basavaeshvara Nagara Road",South 10 Km From PS,Beat 5,Ingalagondi,0,0,0,0,0,0,2,1,0,1,2,0,2019000222,150,10439015020190099,-1
Haveri,Haveri Rural PS,0052/2019,1,2019,5,2019-05-20 18:15:00.000,2019-05-20 18:16:00.000,2019-05-20 19:25:00.000,20/05/2019,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.778125,75.302148,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",K B JAKKARADDER   (HC),1209720,,14600011,"Near Devihosur cross on public road, Near Devihosur cross on public road",West side 12 km from PS,Beat 7,Sangur Village,0,0,0,0,0,0,1,1,0,1,1,1,2019000188,137,10439013720190052,1
Haveri,Haveri Town PS,0053/2019,1,2019,7,2019-07-20 14:15:00.000,2019-07-20 14:16:00.000,2019-07-20 14:45:00.000,20/07/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),14.795186,75.4045,"KARNATAKA POLICE ACT, 1963 U/s: 78(3) ",P R PUTTAPPAGOUDAR   (WHC),1206946,,14500028,"At:Near Matan Market On public road  Haveri, At:Near Matan Market On public road  Haveri",East side 2 km,Town Beat 4,Shivabasava Nagar,0,0,0,0,0,0,1,1,0,1,1,1,2019000119,136,10439013620190053,1
