District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Haveri,Byadagi PS,0035/2023,1,2023,3,2023-03-01 14:30:00.000,2023-03-01 14:35:00.000,2023-03-02 17:30:00.000,02/03/2023,Non Heinous,Pending Trial,Others,RIOTS,Land Disputes,14.593901,75.427293,"IPC 1860 U/s: 143,147,148,323,324,354,504,506,149 ",Manjappa Kuppeluru   (PSI),2840927,,166400054,"Katenahalli Village Grama Pachayath, Katenahalli Village Grama Pachayath",South Side 12 KM PS,BEAT 7,BANNIHATTI VILLAGE,0,2,0,0,0,0,6,0,0,0,6,0,2023000074,140,10439014020230035,-1
Haveri,Byadagi PS,0037/2023,1,2023,3,2023-03-04 08:30:00.000,2023-03-04 08:31:00.000,2023-03-05 19:00:00.000,05/03/2023,Non Heinous,Pending Trial,Written,RIOTS,Land Disputes,14.616735,75.48503,"IPC 1860 U/s: 506,504,143,147,148,149,447,323,324,354 ",FARUK AHAMMED MAKTUMSAHEB KHAJI (ASI),1203012,,14200007,"At Baiinahtti Village Complainet House Near, At Baiinahtti Village Complainet House Near",6 km From ps,BEAT 7,BANNIHATTI VILLAGE,1,1,0,0,0,0,12,0,0,0,12,0,2023000076,140,10439014020230037,-1
Haveri,Savanoor PS,0083/2019,1,2019,5,2019-05-22 09:30:00.000,2019-05-22 09:32:00.000,2019-05-22 12:30:00.000,22/05/2019,Non Heinous,Pending Trial,Written,RIOTS,Land Disputes,14.927695,75.320253,"IPC 1860 U/s: 354,324,323,149,148,147,143,504,341,506 ",BASAVRAJ DEVAPPA MALLUR (HC),1209593,,13300133,"At-Mavoor Village  Near assused Field, At-Mavoor Village  Near assused Field",South side 5 K.M.,Beat 11,Mavoor village,1,0,0,0,0,0,6,5,0,5,5,0,2019000176,158,10439015820190083,-1
Haveri,Haveri Rural PS,0179/2021,1,2021,12,2021-11-30 15:30:00.000,2021-11-30 16:00:00.000,2021-12-01 22:30:00.000,01/12/2021,Non Heinous,Pending Trial,Written,RIOTS,Land Disputes,14.742366,75.401178,"IPC 1860 U/s: 324,323,149,148,147,143,504,506,354(B) ",N R KATE   (PSI),1203534,,13300018,"Chikkalingadahalli Village Complainant, Chikkalingadahalli Village Complainant",South Side 8 kms From P S,Beat 1,Kurubagonda,2,0,0,0,0,0,8,6,2,8,8,0,2021000257,137,10439013720210179,-1
Haveri,Ranebennur Rural PS,0032/2019,1,2019,3,2019-02-15 09:29:00.000,2019-02-15 09:30:00.000,2019-03-02 11:00:00.000,02/03/2019,Non Heinous,Pending Trial,Written,RIOTS,Land Disputes,14.674009,75.540953,"IPC 1860 U/s: 324,323,149,147,143,504,506 ",M N MAYANNAVAR   (HC),1204130,,14200026,"In Kakol village infront of Bharalingappa, In Kakol village infront of Bharalingappa",West side 12 K M,Beat 1,Asundi Village,1,0,0,0,0,0,5,0,0,0,4,0,2019000050,146,10439014620190032,-1
Haveri,Hanagal PS,0174/2019,1,2019,8,2019-07-28 11:00:00.000,2019-07-28 11:05:00.000,2019-08-20 18:00:00.000,20/08/2019,Non Heinous,False Case,Others,RIOTS,Land Disputes,14.781151,75.12475,"IPC 1860 U/s: 354,323,447,149,147,143,504,506 ",RAMANNA PARAPPA HADAPAD (ASI),1202468,,15900018,"HANAGAL TOWN DARGA ARIA COMPLAINT HOME SIDE, HANAGAL TOWN DARGA ARIA COMPLAINT HOME SIDE",NORTH SIDE 01 KM FROM PS,Hanagal Town 1,Hanagal,0,0,0,0,2,0,5,0,0,0,0,0,2019000253,159,10439015920190174,-1
Haveri,Savanoor PS,0037/2021,1,2021,2,2021-02-27 09:30:00.000,2021-02-27 09:31:00.000,2021-02-27 17:00:00.000,27/02/2021,Non Heinous,Dis/Acq,Written,RIOTS,Land Disputes,14.985692,75.334424,"IPC 1860 U/s: 354,324,323,149,148,147,143,504,506,114 ",KRISHNA NAIK   (PSI),1202727,,14000018,"At-Huralikuppi Village near complainanat house, At-Huralikuppi Village near complainanat house",South side 06 K.M.,Beat 28,Huralikuppi village,6,0,0,0,0,0,9,9,0,9,9,0,2021000045,158,10439015820210037,-1
Haveri,Shiggaon PS,0075/2021,1,2021,5,2021-05-25 16:30:00.000,2021-05-25 16:31:00.000,2021-05-25 20:45:00.000,25/05/2021,Non Heinous,False Case,Written,RIOTS,Land Disputes,14.991361,75.226735,"IPC 1860 U/s: 506,341,504,143,147,148,149,323,324 ",M M TAHASILDAR   (PSI),1796848,,13300020,"At INFRONT IN COMPLAINT HOME, At INFRONT IN COMPLAINT HOME",STATION FROM WEST SIDE 06 KM,VILLAGE BEAT 11,Jakkanakatti Village,3,0,0,0,0,0,5,0,0,0,0,0,2021000087,155,10439015520210075,-1
Haveri,Ranebennur Rural PS,0116/2019,1,2019,6,2019-06-07 11:00:00.000,2019-06-07 11:01:00.000,2019-06-07 13:30:00.000,07/06/2019,Non Heinous,Pending Trial,Written,RIOTS,Land Disputes,14.668198,75.708819,"IPC 1860 U/s: 143,147,148,323,324,354(B),504,506,149 ",MEGHARAJ M.V   (PSI),2481446,,103100064,"Medleri to Medleri thanda road complant land, Medleri to Medleri thanda road complant land",East side 14 K M,OP Beat 1,Medleri,3,3,0,0,0,0,16,0,0,0,7,0,2019000179,146,10439014620190116,-1
Haveri,Hanagal PS,0238/2019,1,2019,12,2019-09-24 19:30:00.000,2019-09-24 20:00:00.000,2019-12-02 21:15:00.000,02/12/2019,Non Heinous,False Case,Judicial/Magistrate reference,RIOTS,Land Disputes,14.893159,75.10872,"IPC 1860 U/s: 354,326,324,323,149,148,147,143,504,506 ",SHREESHAIL PATTANASHETTI  (PSI),2727120,,101300087,"YALIVAL VILLAGE MARIKAMBA TEMPLE NEAR, YALIVAL VILLAGE MARIKAMBA TEMPLE NEAR",NORTH SIDE 22 KM FROM PS,Beat 3,Bammanhalli,1,3,0,0,0,0,12,0,0,0,0,0,2019000334,159,10439015920190238,-1
