District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Hubballi Dharwad City,Vidyanagar PS,0151/2022,1,2022,12,2022-12-09 18:30:00.000,2022-12-09 18:31:00.000,2022-12-09 19:00:00.000,09/12/2022,Non Heinous,Convicted,Sue-moto by Police,AFFRAY,Affray,15.365596,75.129178,IPC 1860 U/s: 160 ,B.V.CHIKKABASUR   (ASI),1666803,,7000021,"ON PUBLIC ROAD, OPP HANUMAN TEMPLE, ON PUBLIC ROAD, OPP HANUMAN TEMPLE",TOWORDS EAST 0.5 KM FROM PS,Beat1,Lokappan Hakkal,0,0,0,0,0,0,2,2,0,2,2,1,2022000241,74,10971007420220151,0
Hubballi Dharwad City,Hubballi Town PS,0108/2021,1,2021,9,2021-09-27 19:10:00.000,2021-09-27 19:11:00.000,2021-09-27 19:40:00.000,27/09/2021,Non Heinous,Convicted,Sue-moto by Police,AFFRAY,Affray,15.351619,75.145974,IPC 1860 U/s: 160 ,ANAND M. VANAKUDRE   (PI),1898607,,31500004,"NEAR HOTEL SWARNA PARADISE STATION ROAD, NEAR HOTEL SWARNA PARADISE STATION ROAD",NORTH 1 KM FROM PS,Beat4,COIN ROAD,0,0,0,0,0,0,5,5,0,5,5,5,2021000173,76,10971007620210108,0
Hubballi Dharwad City,Old Hubballi PS,0109/2022,1,2022,7,2022-07-04 17:30:00.000,2022-07-04 17:31:00.000,2022-07-04 19:30:00.000,04/07/2022,Non Heinous,Pending Trial,Written,AFFRAY,Affray,15.331337,75.128081,IPC 1860 U/s: 160 ,S.M.DIDDI   (WASI),1358317,,7100053,"SADASHIVNAGAR NEAR MAZID,, SADASHIVNAGAR NEAR MAZID,",1.5KM TOWARDS SOUTH FROM PS,BEAT69,SADASHIV NAGAR,0,0,0,0,0,0,6,6,0,6,6,0,2022000174,78,10971007820220109,0
Hubballi Dharwad City,Kasabapeth PS,0078/2023,1,2023,8,2023-08-16 17:45:00.000,2023-08-16 17:46:00.000,2023-08-16 18:25:00.000,16/08/2023,Non Heinous,Pending Trial,Sue-moto by Police,AFFRAY,Affray,15.328629,75.137464,IPC 1860 U/s: 160 ,RAVI BHIMAPPA VADDAR (PSI),2841429,,168900032,"ALTAF NAGAR LAST CROSS, ALTAF NAGAR LAST CROSS",TOWORDS EAST 2 KM FROM PS,BEAT 20 ALTAF NAGAR,ALTAF NAGAR,1,0,0,0,0,0,3,3,0,3,3,0,2023000161,80,10971008020230078,0
Hubballi Dharwad City,Old Hubballi PS,0213/2022,1,2022,12,2022-12-15 19:30:00.000,2022-12-15 19:31:00.000,2022-12-15 20:00:00.000,15/12/2022,Non Heinous,Pending Trial,Written,AFFRAY,Affray,15.335423,75.124326,IPC 1860 U/s: 160 ,SHIVANAND  BANNIKOPPA (PSI),2597827,,7400106,"SHIVASHANKAR COLONY 2nD CROSS NEAR ON PUBLIC ROAD, SHIVASHANKAR COLONY 2nD CROSS NEAR ON PUBLIC ROAD",TOWARDS .500 MTRS WEST FROM PS,BEAT65,SHIVASHANKAR COLONY,0,0,0,0,0,0,4,2,2,4,4,0,2022000329,78,10971007820220213,0
Hubballi Dharwad City,Bendigeri PS,0020/2023,1,2023,3,2023-03-15 23:00:00.000,2023-03-16 10:30:00.000,2023-03-16 11:30:00.000,16/03/2023,Non Heinous,Convicted,Sue-moto by Police,AFFRAY,Affray,15.343453,75.155773,IPC 1860 U/s: 160 ,G S NARAGUNDKAR   (ASI),1360552,,7100026,"BIDNAL BIDI PLOT MAIN ROAD, BIDNAL BIDI PLOT MAIN ROAD",2.5 KM SOUTH FROM PS,17,BIDI KARMIK NAGAR,0,0,0,0,0,0,7,7,0,7,7,7,2023000085,79,10971007920230020,0
Hubballi Dharwad City,Ghantikeri PS,0003/2022,1,2022,1,2022-01-11 16:30:00.000,2022-01-11 16:31:00.000,2022-01-11 17:00:00.000,11/01/2022,Non Heinous,Convicted,Sue-moto by Police,AFFRAY,Affray,15.340905,75.14087,IPC 1860 U/s: 160 ,S.M.NAIK   (ASI),1157875,,7800126,"SHIMPI GALLI CROSS NEAR SANN HANUMAN TEMPLE, SHIMPI GALLI CROSS NEAR SANN HANUMAN TEMPLE",SOUTH 500 MTRS FROM PS,BEAT 1,SARAFGATTI,0,0,0,0,0,0,2,2,0,2,2,2,2022000003,77,10971007720220003,0
Hubballi Dharwad City,Keshavapur PS,0027/2022,1,2022,4,2022-04-05 07:00:00.000,2022-04-05 07:01:00.000,2022-04-05 10:30:00.000,05/04/2022,Non Heinous,Compounded,Sue-moto by Police,AFFRAY,Affray,15.88809,76.095806,IPC 1860 U/s: 160 ,M B DODDAMANI   (PSI),1158074,,7900041,"Keshwapur Nagashettikoppa Keri Ondi, Keshwapur Nagashettikoppa Keri Ondi",North 3 km from PS,BEAT 1,BHAVANINAGAR,1,0,0,0,0,0,14,7,7,14,15,0,2022000047,73,10971007320220027,-1
Hubballi Dharwad City,Kasabapeth PS,0147/2022,1,2022,11,2022-11-01 20:15:00.000,2022-11-01 20:30:00.000,2022-11-01 21:15:00.000,01/11/2022,Non Heinous,Pending Trial,Sue-moto by Police,AFFRAY,Affray,15.336052,75.1313,IPC 1860 U/s: 160 ,RAVI BHIMAPPA VADDAR (PSI),2841429.0,,168900032,"NAER DURGADBAIL CIRCLE KHODELY AUTO STEAND, NAER DURGADBAIL CIRCLE KHODELY AUTO STEAND",TOWARDS 2 KM FROM NORTH PS,BEAT 24 KARJAGI ONI,KARJAGI ONI,1,0,0,0,0,0,3,3,0,3,3,0,2022000206,80,10971008020220147,0
Hubballi Dharwad City,Kasabapeth PS,0111/2022,1,2022,9,2022-09-12 19:15:00.000,2022-09-12 19:20:00.000,2022-09-12 20:00:00.000,12/09/2022,Non Heinous,Convicted,Sue-moto by Police,AFFRAY,Affray,15.314718,75.125475,IPC 1860 U/s: 160 ,ADEPPA BANNI   (PI),1122819.0,,36900127,"KAYAKA NAGAR, KAYAKA NAGAR",2.5 km SOUTH FROM PS,BEAT 68 KAYAK NAGAR,KAYAK NAGAR,1,0,0,0,0,0,2,2,0,2,2,2,2022000166,80,10971008020220111,0
