District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Hubballi Dharwad City,Hubballi Sub Urban PS,0022/2024,1,2024,2,2024-02-16 23:00:00.000,2024-02-17 08:00:00.000,2024-02-17 18:10:00.000,17/02/2024,Non Heinous,Under Investigation,Written,BURGLARY - NIGHT,At Residential Premises,15.355446,75.140636,"IPC 1860 U/s: 454,457,380 ",R.R.MUNDEWADAGI   (PSI),1706551,,155900007,"IN COMPLAINANT HOUSE VADDAR ONI DESHPANDE NAGR, IN COMPLAINANT HOUSE VADDAR ONI DESHPANDE NAGR",TOWARDS NORTH 3 K.M FROM P.S,BEAT3,New Cotton Market Hubli,0,1,0,0,0,0,1,0,0,0,0,0,2024000050,70,10971007020240022,0
Hubballi Dharwad City,Dharwad Sub-Urban PS,0132/2022,1,2022,6,2022-06-23 15:30:00.000,2022-06-25 10:00:00.000,2022-06-25 17:00:00.000,25/06/2022,Non Heinous,Pending Trial,Others,BURGLARY - NIGHT,At Residential Premises,15.474475,75.004,"IPC 1860 U/s: 457,454,380 ",UMESHGOUDA MALLANAGOUDA PATIL (PSI),2811535,,7000135,"HASHMINAGAR 4th CROSS, HASHMINAGAR 4th CROSS",NORTH 2 KM FROM PS,BEAT8,CENTRAL JAIL,0,4,0,0,0,0,0,4,0,4,4,0,2022000178,1686,10971168620220132,0
Hubballi Dharwad City,Dharwad Town PS,0027/2021,1,2021,2,2021-02-05 09:00:00.000,2021-02-13 16:00:00.000,2021-02-14 12:45:00.000,14/02/2021,Non Heinous,Pending Trial,Written,BURGLARY - NIGHT,At Residential Premises,15.47107,75.024671,"IPC 1860 U/s: 457,454,380,511 ",L K KODABAL   (PSI),1203052,,14200005,"MADIHAL NEAR GANESH NAGAR 02 cd CROSS COMPLAINT HO, MADIHAL NEAR GANESH NAGAR 02 cd CROSS COMPLAINT HO",EAST-02 KM FROM PS,BEAT NO 1,M.R. NAGAR,1,1,0,0,0,0,1,0,0,0,1,0,2021000032,81,10971008120210027,0
Hubballi Dharwad City,Dharwad Town PS,0162/2021,1,2021,8,2021-08-21 16:35:00.000,2021-08-22 08:45:00.000,2021-08-22 19:30:00.000,22/08/2021,Non Heinous,Pending Trial,Written,BURGLARY - NIGHT,At Residential Premises,15.471706,75.021918,"IPC 1860 U/s: 454,457,380 ",L K KODABAL   (PSI),1203052,,14200005,"SHIVAGANGA NAGAR 7 TH CROSS COMPLAINANT HOUSE, SHIVAGANGA NAGAR 7 TH CROSS COMPLAINANT HOUSE",NORTH 03 KM FROM PS,BEAT NO 1,M.R. NAGAR,1,0,0,0,0,0,1,1,0,1,2,0,2021000251,81,10971008120210162,0
Hubballi Dharwad City,Gokul Road PS,0058/2019,1,2019,9,2019-09-01 07:00:00.000,2019-09-03 10:30:00.000,2019-09-03 16:30:00.000,03/09/2019,Heinous,Undetected,Others,BURGLARY - NIGHT,At Residential Premises,15.359062,75.092894,"IPC 1860 U/s: 457,454,380 ",NAGARAJ  M KAMMAR (PI),1895538,,117700001,"H No - 144, MIG - 01, Gandhi Nagar, H No - 144, MIG - 01, Gandhi Nagar",The West 3.5 K M From P S,Beat3,Ravi Nagar Left Side,1,0,0,0,0,0,0,0,0,0,0,0,2019000146,71,10971007120190058,0
Hubballi Dharwad City,Kasabapeth PS,0059/2020,1,2020,12,2020-12-06 16:00:00.000,2020-12-15 20:00:00.000,2020-12-16 13:00:00.000,16/12/2020,Non Heinous,Undetected,Others,BURGLARY - NIGHT,At Residential Premises,15.32968,75.129783,"IPC 1860 U/s: 454,457,380 ",RATANKUMAR  JIRAGYAL (PI),1898636,,125400037,"TIPPUNAGAR 2nd CROSS, MALEKAR PLOT, TIPPUNAGAR 2nd CROSS, MALEKAR PLOT",TOWARDS SOUTH 2 KM PROM P.S,BEAT 49 MALEKAR PLOT,MALEKAR PLOT,0,1,0,0,0,0,1,0,0,0,0,0,2020000105,80,10971008020200059,0
Hubballi Dharwad City,APMC Navanagar,0056/2022,1,2022,7,2022-07-07 17:30:00.000,2022-07-10 12:30:00.000,2022-07-10 16:00:00.000,10/07/2022,Heinous,Undetected,,BURGLARY - NIGHT,At Residential Premises,15.398162,75.082546,"IPC 1860 U/s: 457,454,380 ",B S MANTUR   (PI),1895576,,152700020,"H NO 131/1 NEAR GURU RESIDENCY APT ADYAPAKANAGAR, H NO 131/1 NEAR GURU RESIDENCY APT ADYAPAKANAGAR",NORTH 1.5 KM FROM PS,5,GOUDAR ONI BAIRIDEVARAKOPPA,1,0,0,0,0,0,0,0,0,0,0,0,2022000099,1901,10971190120220056,0
Hubballi Dharwad City,Vidyagiri PS,0002/2021,1,2021,1,2021-01-06 20:30:00.000,2021-01-06 22:45:00.000,2021-01-07 11:00:00.000,07/01/2021,Non Heinous,Undetected,Others,BURGLARY - NIGHT,At Residential Premises,15.441449,75.002505,"IPC 1860 U/s: 457,380 ",S R TEGUR   (PSI),634139,,168700001,"VANASIRI NAGAR 17 MAIN At: COMPLAINANT HOUSE, VANASIRI NAGAR 17 MAIN At: COMPLAINANT HOUSE",5KM EAST FORM PS,Beat7,NAVALUR,1,0,0,0,0,0,0,0,0,0,0,0,2021000003,1687,10971168720210002,0
Hubballi Dharwad City,Hubballi Town PS,0053/2022,1,2022,5,2022-05-13 17:00:00.000,2022-05-14 07:00:00.000,2022-05-14 12:30:00.000,14/05/2022,Non Heinous,Undetected,Written,BURGLARY - NIGHT,At Residential Premises,15.346603,75.154352,"IPC 1860 U/s: 454,457,380 ",M M TAHASHILDAR   (PI),2014037,,107200025,"IN COMPLAINANT HOUSE, AT: BESIDE OF SAMUDAYA, IN COMPLAINANT HOUSE, AT: BESIDE OF SAMUDAYA",1 KM FROM PS TOWORDS SOUTH,Beat6,THABIBLAND,1,0,0,0,0,0,0,0,0,0,0,0,2022000080,76,10971007620220053,0
Hubballi Dharwad City,Bendigeri PS,0119/2022,1,2022,9,2022-09-22 22:00:00.000,2022-09-23 06:30:00.000,2022-09-24 12:45:00.000,24/09/2022,Non Heinous,Undetected,Others,BURGLARY - NIGHT,At Residential Premises,15.338415,75.148906,"IPC 1860 U/s: 457,380 ",S S DESAI   (PSI),2597958,,193600002,"INSIDE THE COMPLAINANT HOUSE, NEAR MASIDI,, INSIDE THE COMPLAINANT HOUSE, NEAR MASIDI,",0.5 KM TOWARDS FROM PS SOUTH,34,SETLAMENT GANGADAR NAGAR,0,1,0,0,0,0,0,0,0,0,0,0,2022000184,79,10971007920220119,0
