District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Hubballi Dharwad City,Old Hubballi PS,0043/2021,1,2021,4,2021-04-01 13:15:00.000,2021-04-01 13:20:00.000,2021-04-01 14:30:00.000,01/04/2021,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,others ,15.338499,75.127794,"KARNATAKA POLICE ACT, 1963 U/s: 109,37,36 ",N. M. MANIYAR   (ASI),1206944,,7400054,"2ND CROSS, ARAVINDNAGAR INFRONT OF, 2ND CROSS, ARAVINDNAGAR INFRONT OF",1 KM TOWARDS NORTH FROM PS,BEAT1,SIDDALINGESHWAR COLONY,0,0,0,0,0,0,1,2,0,2,2,2,2021000107,78,10971007820210043,0
Hubballi Dharwad City,Hubballi Town PS,0016/2019,1,2019,3,2019-03-06 05:00:00.000,2019-03-06 05:01:00.000,2019-03-06 11:15:00.000,06/03/2019,Non Heinous,Dis/Acq,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.351521,75.145973,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",B A KHANDAPPAGOUDAR   (ASI),1158001,,7300015,"SWARNA HOTEL BUILDING, RAILWAY STAION ROAD, SWARNA HOTEL BUILDING, RAILWAY STAION ROAD",1 KM FROM PS TOWORDS EAST,Beat4,COIN ROAD,0,0,0,0,0,0,0,1,0,1,1,0,2019000030,76,10971007620190016,0
Hubballi Dharwad City,Hubballi Sub Urban PS,0055/2021,1,2021,3,2021-03-29 19:10:00.000,2021-03-29 19:11:00.000,2021-03-29 19:20:00.000,29/03/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.350594,75.13604,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",S H NAIKAR   (ASI),1157980,,188800113,"OLD BUS STAND NEAR SHIRAHATTI BUS STOP, OLD BUS STAND NEAR SHIRAHATTI BUS STOP",WEST 0.5KM TO WORDS PS,BEAT6,Girani chawl,0,0,0,0,0,0,1,1,0,1,1,1,2021000087,70,10971007020210055,0
Hubballi Dharwad City,Dharwad Sub-Urban PS,0274/2023,1,2023,11,2023-11-23 05:30:00.000,2023-11-23 05:40:00.000,2023-11-23 12:30:00.000,23/11/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.467232,75.013013,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",M.H.SHIVARAJ   (ASI),1501062,,7800105,"NEAR NAYAKA ADDA CIRCLE, BESIDE MYSORE GARAGE, NEAR NAYAKA ADDA CIRCLE, BESIDE MYSORE GARAGE",TOWORDS EAST 0.5 KM FROM PS,SUB BEAT 01 KILLA,KILLA,0,0,0,0,0,0,1,1,0,1,1,0,2023000435,1686,10971168620230274,-1
Hubballi Dharwad City,Hubballi Town PS,0074/2021,1,2021,6,2021-06-17 18:45:00.000,2021-06-17 18:46:00.000,2021-06-17 20:00:00.000,17/06/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.348674,75.150896,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",BHIMAPPA  SATANNAVAR (PSI),2597826,,7600134,"BESIDE OF TUNGABHADRA GEST HOUSE COUMPOND, RAILWAY, BESIDE OF TUNGABHADRA GEST HOUSE COUMPOND, RAILWAY",1.5 KM FROM PS TOWORDS EAST,Beat5,KALAMMANAAGASI,0,0,0,0,0,0,1,1,0,1,1,1,2021000114,76,10971007620210074,0
Hubballi Dharwad City,Kasabapeth PS,0006/2024,1,2024,1,2024-01-15 05:30:00.000,2024-01-15 05:31:00.000,2024-01-15 06:50:00.000,15/01/2024,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.490834,75.086807,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",Vishwanath Mallappa Alamatti (PSI),2930073,,8000101,"GABBUR ,CIRCLE, GABBUR ,CIRCLE",TOWORD SOUTH 3 KM FREOM PS,BEAT 29 OLD GABBUR,OLD GABBUR,1,0,0,0,0,0,1,0,0,0,1,0,2024000008,80,10971008020240006,0
Hubballi Dharwad City,Vidyanagar PS,0153/2022,1,2022,12,2022-12-14 19:30:00.000,2022-12-14 19:31:00.000,2022-12-14 20:00:00.000,14/12/2022,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.367155,75.128244,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",T L NAIK   (ASI),1356788,,7000077,"NEAR VENAYAK COLONY LOKAPPAN HAKKAL VIDYNAGAR, NEAR VENAYAK COLONY LOKAPPAN HAKKAL VIDYNAGAR",TOWARDS EAST 2 K.M FROM P.S,Beat1,Lokappan Hakkal,1,0,0,0,0,0,1,1,0,1,1,1,2022000253,74,10971007420220153,0
Hubballi Dharwad City,Keshavapur PS,0043/2019,1,2019,3,2019-03-11 19:30:00.000,2019-03-11 19:45:00.000,2019-03-11 20:00:00.000,11/03/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.357533,75.146879,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",S P NAGNUR   (ASI),1158063,,7800120,"NEAR CONVENT SCHOOL, NEAR CONVENT SCHOOL",2.5 KM TOWARDS WEST,BEAT 7,VINOBHA NAGAR,0,0,0,0,0,0,1,1,0,1,1,1,2019000080,73,10971007320190043,0
Hubballi Dharwad City,Hubballi Town PS,0028/2022,1,2022,3,2022-03-13 18:30:00.000,2022-03-13 18:31:00.000,2022-03-13 19:45:00.000,13/03/2022,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.345562,75.154691,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",ANAND M. VANAKUDRE   (PI),1898607,,31500004,"BESIDE OF GOVRNAMENT SCOOL COMPOUND, BESIDE OF GOVRNAMENT SCOOL COMPOUND",1 KM FROM PS TOWORDS EAST,Beat6,THABIBLAND,0,0,0,0,0,0,0,1,0,1,1,1,2022000047,76,10971007620220028,0
Hubballi Dharwad City,Hubballi Sub Urban PS,0137/2019,1,2019,12,2019-12-09 18:30:00.000,2019-12-09 18:45:00.000,2019-12-09 19:05:00.000,09/12/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.350286,75.136161,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",M.H.JADHAV   (WASI),1358302,,145300019,"HUBLI IN OLD BUS STAND, HUBLI IN OLD BUS STAND",TOWARDS 1.5KM WEST,BEAT6,Girani chawl,0,0,0,0,0,0,1,0,1,1,1,1,2019000272,70,10971007020190137,0
Hubballi Dharwad City,Hubballi Sub Urban PS,0043/2022,1,2022,4,2022-04-01 05:00:00.000,2022-04-01 05:30:00.000,2022-04-01 05:45:00.000,01/04/2022,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.347536,75.138649,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",S H NAIKAR   (ASI),1157980,,188800113,"AT TADAPATRIGALLI CROSS, AT TADAPATRIGALLI CROSS",SOUTH 1KM,BEAT5,Dajibanpet,0,0,0,0,0,0,1,1,0,1,1,1,2022000071,70,10971007020220043,0
Hubballi Dharwad City,Bendigeri PS,0015/2021,1,2021,1,2021-01-22 02:45:00.000,2021-01-22 02:46:00.000,2021-01-22 03:30:00.000,22/01/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.33757,75.145438,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",BASAWWA B.SAJJAN   (WHC),1666794,,7300002,"NEAR MASJID, SONIYAGANDHI NAGAR, NEAR MASJID, SONIYAGANDHI NAGAR",4 K SOUTH FROM PS SOUTH,14,SONIYA GANDHI NAGAR,1,0,0,0,0,0,1,1,0,1,1,0,2021000018,79,10971007920210015,0
Hubballi Dharwad City,Vidyanagar PS,0130/2021,1,2021,10,2021-10-04 19:00:00.000,2021-10-04 19:01:00.000,2021-10-04 19:30:00.000,04/10/2021,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.372882,75.117507,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",JAYANT GOULI   (PI),1898615,,30200015,"IN UNKAL CROSS BUS STOP, IN UNKAL CROSS BUS STOP",TOWARDS NORTH 2 K.M FROM P.S,Beat5,Halager Oni,1,0,0,0,0,0,3,3,0,3,3,0,2021000179,74,10971007420210130,0
Hubballi Dharwad City,Hubballi Sub Urban PS,0056/2019,1,2019,5,2019-05-09 19:00:00.000,2019-05-09 19:15:00.000,2019-05-09 19:45:00.000,09/05/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.350097,75.13606,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",K V CHANDAVARKAR   (WPSI),120695,,8100025,"HUBLI IN OLD BUS STAND IN, HUBLI IN OLD BUS STAND IN",TOWARDS WEST 2 KM,BEAT6,Girani chawl,0,0,0,0,0,0,1,1,0,1,1,1,2019000144,70,10971007020190056,0
Hubballi Dharwad City,Old Hubballi PS,0251/2023,1,2023,11,2023-11-22 05:30:00.000,2023-11-22 05:31:00.000,2023-11-22 11:40:00.000,22/11/2023,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,others ,15.338231,75.110637,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",S.M.DIDDI   (WASI),1358317,,7100053,"ANANDNAGAR ROAD, NEAR WELL COME HALL, ANANDNAGAR ROAD, NEAR WELL COME HALL",2 KM WEST FROM PS,BEAT52,NEW ANAND NAGAR,0,0,0,0,0,0,1,1,0,1,1,0,2023000417,78,10971007820230251,0
Hubballi Dharwad City,Old Hubballi PS,0022/2021,1,2021,2,2021-02-21 21:30:00.000,2021-02-21 21:32:00.000,2021-02-21 23:00:00.000,21/02/2021,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,others ,15.33819,75.122027,"KARNATAKA POLICE ACT, 1963 U/s: 109,37,36 ",R A CHANDRANNAVAR   (HC),1671312,,7200027,"DURGA SHKATI COLONY, NEAKR NAGAR, DURGA SHKATI COLONY, NEAKR NAGAR",SOUTH 3 KMS FROM PS,BEAT71,NEKHAR NAGAR,0,0,0,0,0,0,2,2,0,2,2,0,2021000033,78,10971007820210022,0
Hubballi Dharwad City,Hubballi Town PS,0016/2021,1,2021,2,2021-02-11 19:00:00.000,2021-02-11 19:01:00.000,2021-02-11 20:00:00.000,11/02/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.345179,75.140983,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",VINOD  DODDALINGAPPANAVAR (PSI),2976846.0,,7600147,"BESIDE OF PENDARGALLI  MASQUE WALL, BESIDE OF PENDARGALLI  MASQUE WALL",HALF KM FROM PS TOWORDS SOUTH,Beat1,DURGADBAIL,0,0,0,0,0,0,1,1,0,1,1,1,2021000020,76,10971007620210016,0
Hubballi Dharwad City,APMC Navanagar,0046/2023,1,2023,9,2023-09-13 19:15:00.000,2023-09-13 19:16:00.000,2023-09-13 20:00:00.000,13/09/2023,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.39553,75.083783,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",M F PURAGOJI   (HC),1671287.0,,8000045,"NAVANAGAR GARDEN ROAD, NAVANAGAR GARDEN ROAD",NORTH TAWARDS 0.5 KM FROM PS,6,navanagar Main Road,0,0,0,0,0,0,1,1,0,1,1,0,2023000121,1901,10971190120230046,0
Hubballi Dharwad City,Keshavapur PS,0025/2020,1,2020,3,2020-03-12 18:45:00.000,2020-03-12 19:00:00.000,2020-03-12 19:30:00.000,12/03/2020,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,others ,15.365705,75.166571,"KARNATAKA POLICE ACT, 1963 U/s: 96(B) ",BABA   (PSI),2597957.0,,7700112,"KUSUGAL ROAD SAMSKAR SCHOOL, KUSUGAL ROAD SAMSKAR SCHOOL",1 KM WEST FROM PS,BEAT 5,Arihanta nagar,0,0,0,0,0,0,2,2,0,2,2,2,2020000037,73,10971007320200025,0
