District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Tumakuru,Bellavi PS,0022/2021,1,2021,4,2021-04-16 14:00:00.000,2021-04-16 14:05:00.000,2021-04-16 15:00:00.000,16/04/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.392572,77.043208,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",Hanumantharayappa   (PSI),912507,,107700515,"BALLAPURA, BALLAPURA",TO WARDS SOUTH 6 KM,BEAT 5,AGALAGUNTE,0,1,0,0,0,0,5,2,0,2,5,5,2021000023,1090,10464109020210022,0
Vijayanagara,Harapanahalli PS,0027/2019,1,2019,2,2019-02-26 18:30:00.000,2019-02-26 19:30:00.000,2019-02-26 20:30:00.000,26/02/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),14.846188,75.844932,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",Sreedhar K   (PI),2289410.0,,9400161,"Behind Highschool Compound. Harakanal Village, Behind Highschool Compound. Harakanal Village",Towards West 17 KM,BEAT 9,EESHAPURA,0,0,0,0,0,0,9,8,0,8,9,8,2019000129,115,10438011520190027,-1
Koppal,Koppal Rural PS,0187/2019,1,2019,8,2019-08-15 17:00:00.000,2019-08-15 18:00:00.000,2019-08-15 19:00:00.000,15/08/2019,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.315195,76.179319,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",SURESH D.   (PI),1960012,,28900470,"HVINAHL VILLAGE LIMITS NEAR NEW NH ROAD, HVINAHL VILLAGE LIMITS NEAR NEW NH ROAD",TOWARDS 08 KM SOUTH,Beat 11,HUVINAHAL,0,0,0,0,0,0,7,0,0,0,7,0,2019000246,1159,10468115920190187,-1
Tumakuru,Huliyar PS,0062/2021,1,2021,4,2021-04-15 10:40:00.000,2021-04-15 10:50:00.000,2021-04-15 14:15:00.000,15/04/2021,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.583976,76.660268,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",RAMESH K T   (PI),1959853.0,,48600212,"Infront of Eshwara Temple, Badakegudlu, Infront of Eshwara Temple, Badakegudlu",Towards southeast 16 km,BEAT 20,Mylukebbe,0,0,0,0,0,0,7,0,0,0,7,3,2021000074,1653,10464165320210062,19
Koppal,Kushtagi PS,0069/2020,1,2020,3,2020-03-23 16:30:00.000,2020-03-23 16:31:00.000,2020-03-23 18:15:00.000,23/03/2020,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.765818,76.28059,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",CHITTARANJAN D.   (PI),2481347,,68300201,"Hiremannapur sima, Hiremannapur sima",East 12 k.m from ps,Village Beat No 48,Hiremannapur,0,0,0,0,0,0,5,5,0,5,5,5,2020000082,1176,10468117620200069,-1
Bidar,Hulsoor PS,0065/2019,1,2019,10,2019-10-17 17:40:00.000,2019-10-17 18:30:00.000,2019-10-17 18:45:00.000,17/10/2019,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),18.000587,77.045476,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",SIDRAM   (ASI),1120575,,40500045,"PUBLIC PLACE HALHALLI CROSS  HALHALLI, PUBLIC PLACE HALHALLI CROSS  HALHALLI",3 KM EAST FROM PS,Beat No 2,Anthar Bharathi Thanda,0,0,0,0,0,0,5,4,0,4,7,7,2019000108,404,10446040420190065,-1
Haveri,Savanoor PS,0167/2021,1,2021,8,2021-08-15 13:00:00.000,2021-08-15 13:01:00.000,2021-08-15 14:40:00.000,15/08/2021,Non Heinous,Pending Trial,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.017767,75.330939,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",BHIMAPPA FAKKIRAPPA KADAKOL (HC),1207050,,16000036,"At-Chillur Badni Village Near Beeralingeshwar, At-Chillur Badni Village Near Beeralingeshwar",Towards North Side 6 Km From ps,Beat 07,K.B.Timmapur villge,0,0,0,0,0,0,1,4,0,4,4,0,2021000197,158,10439015820210167,-1
Udupi,Kundapura PS,0099/2022,1,2022,9,2022-09-04 14:00:00.000,2022-09-04 14:45:00.000,2022-09-04 17:00:00.000,04/09/2022,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.562141,74.687312,"KARNATAKA POLICE (AMENDMENT) ACT, 2021 U/s: 87 KARNATAKA POLICE ACT, 1963 U/s: 93 ",PRASADKUMAR KALAHAL   (PSI),2855667,,119700089,"PUBLIC PLACE OF NEAR NANDIKESHWARA TEMPLE KORAVADI, PUBLIC PLACE OF NEAR NANDIKESHWARA TEMPLE KORAVADI",TOWARDS 10 KMS SOUTH EAST,Beat No 34,Kumbhashi Village,0,0,0,0,0,0,4,0,0,0,4,4,2022000215,1216,10469121620220099,-1
Chickballapura,Gudibande PS,0046/2021,1,2021,3,2021-03-27 17:15:00.000,2021-03-27 18:00:00.000,2021-03-27 21:00:00.000,27/03/2021,Non Heinous,Convicted,Written,KARNATAKA POLICE ACT 1963,Street Gambling (87),13.593589,77.776235,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",ANAND.M.R.   (ASI),1401848,,157200026,"Muthukadhahalli Village, Muthukadhahalli Village",15 Km East From Ps,BEAT 20,ADEGARAHALLI OR CHIKKANAGAVALLI,0,0,0,0,0,0,5,5,0,5,5,5,2021000068,1569,10976156920210046,-1
Dharwad,Garag PS,0144/2021,1,2021,9,2021-09-13 01:15:00.000,2021-09-13 01:16:00.000,2021-09-13 03:30:00.000,13/09/2021,Non Heinous,Pending Trial,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),15.571372,74.925661,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",TIMMAPUR S F   (HC),1207320,,60800027,"At: Garag Sangolli rayanna Nagar Near Dalawayi, At: Garag Sangolli rayanna Nagar Near Dalawayi",01 KM Towards South,NEW BEAT 16,GARAG,0,0,0,0,0,0,17,17,0,17,17,0,2021000256,609,10452060920210144,1
