District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Kalaburagi City,Kalaburagi Traffic II PS,0102/2021,1,2021,4,2021-04-13 19:44:00.000,2021-04-13 19:45:00.000,2021-04-14 09:30:00.000,14/04/2021,Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.425874,76.8879839,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196 ",AMARESH   (PI),1637569,,117600006,"KALABURAGI to MAHAGAOV ROAD, KALABURAGI to MAHAGAOV ROAD",15 KM NORTH FROM PS,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,2,2,0,2,3,0,2021000102,1560,10985156020210102,0
Kalaburagi City,Kalaburagi Traffic II PS,0080/2023,1,2023,3,2023-03-11 12:59:00.000,2023-03-11 13:00:00.000,2023-03-11 18:15:00.000,11/03/2023,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.33804,76.808402,"IPC 1860 U/s: 279,304(A) ",AMARESH   (PI),1637569,,117600006,"HERAPUR MAIN ROAD to ALAND MAIN ROAD, HERAPUR MAIN ROAD to ALAND MAIN ROAD",6 KM FROM PS TOWARDS WEST,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,1,1,0,1,1,0,2023000080,1560,10985156020230080,0
Kalaburagi City,Kalaburagi Traffic II PS,0146/2022,1,2022,7,2022-07-03 15:44:00.000,2022-07-03 15:45:00.000,2022-07-03 18:00:00.000,03/07/2022,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.286654,76.868278,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,304(A) ",Khaja Hussain   (PI),47999,,39100013,"KALABURAGI  TO SHAHABAD ROAD, KALABURAGI  TO SHAHABAD ROAD",10 KMEAST FROM PS,BEAT NO 1,Traffic PS Limits,3,0,0,0,0,0,1,1,0,1,1,0,2022000146,1560,10985156020220146,0
Kalaburagi City,Kalaburagi Traffic II PS,0196/2020,1,2020,8,2020-08-18 19:14:00.000,2020-08-18 19:15:00.000,2020-08-19 14:30:00.000,19/08/2020,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.307187,76.854707,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,180,187,196 IPC 1860 U/s: 279,338,304(A) ",YESHWANT   (HC),1399003,,156000035,"SHAHABAD RING ROAD, SHAHABAD RING ROAD",04 KM SOUTH FROM PS,BEAT NO 1,Traffic PS Limits,3,0,0,0,0,0,1,1,0,1,4,0,2020000196,1560,10985156020200196,0
Kalaburagi City,Kalaburagi Traffic II PS,0355/2023,1,2023,12,2023-12-27 21:29:00.000,2023-12-27 21:30:00.000,2023-12-28 00:15:00.000,28/12/2023,Heinous,Under Investigation,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.257965,76.89179,"IPC 1860 U/s: 279,304(A) ",Khaja Hussain   (PI),47999,,39100013,"NH-150 KALABURAGI-SHAHABAD ROAD, NH-150 KALABURAGI-SHAHABAD ROAD",10 km South From Ps,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,0,0,0,0,1,0,2023000355,1560,10985156020230355,0
Kalaburagi City,Kalaburagi Traffic II PS,0034/2021,1,2021,1,2021-01-30 20:14:00.000,2021-01-30 20:15:00.000,2021-01-31 01:45:00.000,31/01/2021,Heinous,Dis/Acq,Oral,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.449774,76.901944,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,304(A) ",AMARESH   (PI),1637569,,117600006,"KALABURAGI to MAHAGAOV ROAD, KALABURAGI to MAHAGAOV ROAD",10 KM NORTH FROM PS,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,2,2,0,2,2,0,2021000034,1560,10985156020210034,0
Kalaburagi City,Kalaburagi Traffic II PS,0193/2020,1,2020,8,2020-08-18 01:00:00.000,2020-08-18 06:00:00.000,2020-08-18 11:00:00.000,18/08/2020,Heinous,Undetected,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.44386,76.898536,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",AMARESH   (PI),1637569,,117600006,"HUMANABAD ROAD AURAD BORDER TOGARI NADU BOARD, HUMANABAD ROAD AURAD BORDER TOGARI NADU BOARD",15 KM NORTH FROM PS,BEAT NO 1,Traffic PS Limits,0,1,0,0,0,0,0,0,0,0,0,0,2020000193,1560,10985156020200193,0
Kalaburagi City,Kalaburagi Traffic II PS,0273/2020,1,2020,12,2020-12-04 12:29:00.000,2020-12-04 12:30:00.000,2020-12-04 15:00:00.000,04/12/2020,Heinous,Dis/Acq,Written,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.366941,76.831982,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",AMARESH   (PI),1637569,,117600006,"ALAND RING ROAD TO HUMANABAD RING ROAD, ALAND RING ROAD TO HUMANABAD RING ROAD",05 KM NORTH FROM PS,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,1,1,0,1,1,0,2020000273,1560,10985156020200273,0
Kalaburagi City,Kalaburagi Traffic II PS,0177/2020,1,2020,7,2020-07-29 17:29:00.000,2020-07-29 17:30:00.000,2020-07-29 19:30:00.000,29/07/2020,Heinous,Dis/Acq,Oral,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.397786,76.869936,"IPC 1860 U/s: 279,304(A) ",AMARESH   (PI),1637569,,117600006,"NEAR SMALL BRIDGE ON UPLAON to BELUR CROSS, NEAR SMALL BRIDGE ON UPLAON to BELUR CROSS",12 KM FROM PS TOWARDS NORTH,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,1,1,0,1,1,0,2020000177,1560,10985156020200177,0
Kalaburagi City,Kalaburagi Traffic I PS,0088/2023,1,2023,8,2023-08-16 19:29:00.000,2023-08-16 19:30:00.000,2023-08-16 23:15:00.000,16/08/2023,Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS FATAL,National Highways,17.11664,76.792985,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 279,338,304(A) ",M B PATIL   (PI),1899021,,157800001,"NH 50 kalaburagi Jevargi Main Road, NH 50 kalaburagi Jevargi Main Road",South Towards PS 25 KM,BEAT 01,TRAFFIC PS ONE AREA,2,0,1,1,0,0,1,1,0,1,1,0,2023000088,1747,10985174720230088,-1
