District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Kalaburagi City,Kalaburagi Traffic II PS,0156/2019,1,2019,7,2019-07-28 19:59:00.000,2019-07-28 20:00:00.000,2019-07-28 23:30:00.000,28/07/2019,Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.43221,76.891978,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",AMARESH   (PI),1637569,,117600006,"KALABURAGI TO BIDAR ROAD, KALABURAGI TO BIDAR ROAD",12 KM ROM PS TOWARDS NORTH,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,1,1,0,1,1,0,2019000156,1560,10985156020190156,0
Kalaburagi City,Kalaburagi Traffic II PS,0089/2021,1,2021,4,2021-04-01 20:14:00.000,2021-04-01 20:15:00.000,2021-04-02 13:45:00.000,02/04/2021,Non Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.278694,76.871471,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",RAJU KAMATI  (HC),2540736,,68800107,"SHAHABAD to KALABURAGI MAIN ROAD, SHAHABAD to KALABURAGI MAIN ROAD",14 KM SOUTH FROM PS,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,1,1,0,1,1,0,2021000089,1560,10985156020210089,0
Kalaburagi City,Kalaburagi Traffic II PS,0172/2021,1,2021,8,2021-08-10 21:44:00.000,2021-08-10 21:45:00.000,2021-08-11 13:30:00.000,11/08/2021,Non Heinous,Dis/Acq,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.431009,76.890619,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",LAKKAPPA   (PSI),900796818,,70800024,"KALABURAGI to HUMNABAD MAIN ROAD, KALABURAGI to HUMNABAD MAIN ROAD",12 KM NORTH FROM PS,BEAT NO 1,Traffic PS Limits,1,1,0,0,0,0,1,1,0,1,1,0,2021000172,1560,10985156020210172,0
Kalaburagi City,Kalaburagi Traffic II PS,0279/2023,1,2023,10,2023-10-21 20:59:00.000,2023-10-21 21:00:00.000,2023-10-22 12:15:00.000,22/10/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.306153,76.849725,"IPC 1860 U/s: 279,338 ",Khaja Hussain   (PI),47999,,39100013,"Near Naganhalli Railway Over Bridge On Road, Near Naganhalli Railway Over Bridge On Road",4 km East form PS,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,1,1,0,1,1,0,2023000279,1560,10985156020230279,0
Kalaburagi City,Kalaburagi Traffic II PS,0244/2023,1,2023,9,2023-09-16 18:35:00.000,2023-09-16 18:36:00.000,2023-09-18 19:00:00.000,18/09/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.347838,76.859808,IPC 1860 U/s: 279 ,NAZAMA SULTAN   (WPSI),1227494,,70400023,"ON HAGARAGA RING ROAD CIRCLE, ON HAGARAGA RING ROAD CIRCLE",4 KM TOWARDS EAST,BEAT NO 1,Traffic PS Limits,0,0,0,0,0,0,1,1,0,1,1,0,2023000244,1560,10985156020230244,0
Kalaburagi City,Kalaburagi Traffic II PS,0205/2021,1,2021,9,2021-09-30 18:29:00.000,2021-09-30 18:30:00.000,2021-09-30 22:45:00.000,30/09/2021,Non Heinous,Convicted,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.255388,76.895172,"IPC 1860 U/s: 279,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",YESHWANT   (HC),1399003,,156000035,"KALABURAGI TO SHAHABAD MAIN ROAD, KALABURAGI TO SHAHABAD MAIN ROAD",08 KM SOUTH FROM PS,BEAT NO 1,Traffic PS Limits,2,0,0,0,0,0,1,1,0,1,1,1,2021000205,1560,10985156020210205,0
Kalaburagi City,Kalaburagi Traffic II PS,0238/2022,1,2022,11,2022-11-02 10:59:00.000,2022-11-02 11:00:00.000,2022-11-04 17:00:00.000,04/11/2022,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.293906,76.863545,"IPC 1860 U/s: 279,337 ",YESHWANT   (HC),1399003,,156000035,"KALABURAGI TO SHAHABAD MAIN ROAD, KALABURAGI TO SHAHABAD MAIN ROAD",09 KM SOUTH FROM PS,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,1,1,0,1,1,1,2022000238,1560,10985156020220238,0
Kalaburagi City,Kalaburagi Traffic II PS,0168/2023,1,2023,6,2023-06-13 18:29:00.000,2023-06-13 18:30:00.000,2023-06-14 18:15:00.000,14/06/2023,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.305061,76.856209,"IPC 1860 U/s: 279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 ",MAHIBOOB SAB   (HC),2515075,,176100096,"NH-150 KALABURAGI TO SHAHABAD ROAD, NH-150 KALABURAGI TO SHAHABAD ROAD",8 km South From PS,BEAT NO 1,Traffic PS Limits,0,0,0,0,0,0,1,1,0,1,1,1,2023000168,1560,10985156020230168,0
Kalaburagi City,Kalaburagi Traffic II PS,0001/2023,1,2023,1,2022-12-30 21:29:00.000,2022-12-30 21:30:00.000,2023-01-01 12:30:00.000,01/01/2023,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.457748,76.90542,"IPC 1860 U/s: 279,337,338 ",PRAKASH   (HC),2540734,,69500080,"KALABURAGI ROAD TO HUMUNABAD ROAD, KALABURAGI ROAD TO HUMUNABAD ROAD",15 KM NORTH FROM PS,BEAT NO 1,Traffic PS Limits,3,0,0,0,0,0,1,1,0,1,1,1,2023000001,1560,10985156020230001,0
Kalaburagi City,Kalaburagi Traffic II PS,0096/2022,1,2022,5,2022-05-03 13:29:00.000,2022-05-03 13:30:00.000,2022-05-03 18:30:00.000,03/05/2022,Non Heinous,Pending Trial,,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17.411846,76.8796919,"IPC 1860 U/s: 279,338 ",MAHEBUB NADAF  (HC),2540771,,70400053,"KALABURAGI to HUMNABAD MAIN ROAD, KALABURAGI to HUMNABAD MAIN ROAD",12 KM FROM PS TOWARD EAST,BEAT NO 1,Traffic PS Limits,1,0,0,0,0,0,1,1,0,1,1,0,2022000096,1560,10985156020220096,0
