District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No,Cluster_Labels
Kodagu,Siddapura PS,0016/2022,1,2022,4,2022-03-31 19:30:00.000,2022-03-31 19:31:00.000,2022-04-01 13:30:00.000,01/04/2022,Non Heinous,Pending Trial,Oral,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.239708,75.919163,"INDIAN MOTOR VEHICLES ACT, 1988 U/s: 3(1) IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,5(1),180,146,196 ",SANTHOSH KUMAR T C   (HC),1719774,,57300023,"POLIBETTA, POLIBETTA",10 KM TOWARDS  SOUTH,BEAT 7,MEKURU HOSKERI VILLAGE POLIBETTA,1,0,0,0,0,0,2,0,0,0,2,0,2022000028,570,10451057020220016,-1
Kodagu,Virajpet Town PS,0019/2019,1,2019,2,2019-02-27 15:45:00.000,2019-02-27 15:46:00.000,2019-02-27 17:45:00.000,27/02/2019,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.205078,75.79883,"IPC 1860 U/s: 279,337 ",JAGADISH DHULASHETTI   (PSI),2370779,,56600443,"NEAR KODAVA SAMAJA ROAD, NEAR KODAVA SAMAJA ROAD",2 K M TO THE NORTH,Beat 1,Chikpet,1,0,0,0,0,0,1,0,0,0,1,1,2019000022,578,10451057820190019,-1
Kodagu,Kushalanagar Rural PS,0116/2023,1,2023,9,2023-09-27 17:45:00.000,2023-09-27 17:46:00.000,2023-09-27 19:30:00.000,27/09/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.29918,75.57223,"IPC 1860 U/s: 279,337,338 ",DINESH KUMAR K N   (HC),1714863,,58200030,"Kudige Village, Kudige Village",2 k m towards north,Beat No 1,Kudluru,0,0,1,0,0,0,1,0,0,0,1,0,2023000195,2138,10451213820230116,-1
Kodagu,Gonikoppa PS,0109/2020,1,2020,8,2020-08-22 19:30:00.000,2020-08-22 19:35:00.000,2020-08-22 20:00:00.000,22/08/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.184316,75.931542,IPC 1860 U/s: 279 ,MEDAPPA M K   (ASI),544893,,57800001,"INFRONT OF FRIENDS AUTO WORKS POLIBETTA ROAD, INFRONT OF FRIENDS AUTO WORKS POLIBETTA ROAD",1KM TOWARDS EAST,1ST BEAT TOWN,FOURTH BLOCK PATEL NAGAR,1,0,0,0,0,0,1,0,0,0,1,0,2020000147,582,10451058220200109,-1
Kodagu,Shanivarasanthe PS,0129/2020,1,2020,10,2020-10-23 18:20:00.000,2020-10-23 18:25:00.000,2020-10-24 11:00:00.000,24/10/2020,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.633924,75.924923,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,146 ",PARASHIVA MURTHY S   (PI),1737807,,68200105,"Near govt Hospital, Near govt Hospital",towards 12 km South,4 th Beat,CHINNALLI ROAD,1,0,0,0,0,0,1,0,0,0,1,1,2020000183,592,10451059220200129,-1
Kodagu,Siddapura PS,0046/2023,1,2023,6,2023-06-28 10:15:00.000,2023-06-28 10:16:00.000,2023-06-29 15:00:00.000,29/06/2023,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.257796,75.924205,"IPC 1860 U/s: 279,337 ",PRAVEEN KUMAR M T   (ASI),1338174,,58700017,"Polibetta Main Road Mottemane near, Polibetta Main Road Mottemane near",Towards 10 km  South,BEAT 7,MEKURU HOSKERI VILLAGE POLIBETTA,0,1,0,0,0,0,1,0,0,0,1,0,2023000110,570,10451057020230046,-1
Kodagu,Madikeri Traffic  PS,0032/2023,1,2023,11,2023-11-04 20:30:00.000,2023-11-04 20:31:00.000,2023-11-06 15:00:00.000,06/11/2023,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.4255,75.735292,"IPC 1860 U/s: 337,279,338 ",VISHWANATH H K   (HC),1719753,,57000039,"1st Mile, Murnad Road, stuart Hill,, 1st Mile, Murnad Road, stuart Hill,",4 KMs Towards East from the PS,BEAT 3,Gowli Street,1,0,0,0,0,0,0,1,0,1,1,1,2023000032,571,10451057120230032,-1
Kodagu,Madikeri Traffic  PS,0002/2021,1,2021,1,2021-01-25 14:25:00.000,2021-01-25 14:30:00.000,2021-01-25 17:15:00.000,25/01/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.413832,75.736485,IPC 1860 U/s: 279 ,VENKATARAMANA H Y   (PSI),740514,,56600009,"JUNIOR COLLEGE ROAD, JUNIOR COLLEGE ROAD",2 KM EAST,BEAT 5,Juniour College road,1,0,0,0,0,0,1,1,0,1,1,1,2021000002,571,10451057120210002,-1
Kodagu,Virajpet Rural PS,0034/2020,1,2020,5,2020-05-04 09:45:00.000,2020-05-04 09:46:00.000,2020-05-04 11:45:00.000,04/05/2020,Non Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.209348,75.819066,"IPC 1860 U/s: 279,337 ",SIDDALING BANASE   (PSI),3040616,,56600445,"IMANGALA VILLAGE, IMANGALA VILLAGE",5 KM TO THE EAST,NO,Imangala Village,0,1,0,0,0,0,1,0,0,0,1,1,2020000050,579,10451057920200034,-1
Kodagu,Madikeri Traffic  PS,0009/2021,1,2021,4,2021-04-10 14:30:00.000,2021-04-10 14:35:00.000,2021-04-10 18:00:00.000,10/04/2021,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,12.411447,75.746303,"IPC 1860 U/s: 279,337 ",PADMANABHA N.H.   (ASI),740371,,56600117,"Near Ganapathi Temple Road Dechur, Near Ganapathi Temple Road Dechur",3 KM Towards East,BEAT 5,Juniour College road,0,1,0,0,0,0,1,0,0,0,1,1,2021000009,571,10451057120210009,-1
